section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Why should you look farther ahead on a freeway than on a city street?,"a:To see potential hazards earlier and allow more time to react.,b:Because it takes a quarter of a mile to stop.,c:Because it helps you keep up with traffic.",a,Higher speeds on freeways require earlier detection of changing conditions and hazards.,easy
4,Safe & Defensive Driving Practices,"If an oncoming driver fails to dim their headlights, what should you do?","a:Look toward the right side of the road to avoid glare.,b:Look toward the center of the roadway.,c:Look straight ahead.",a,Glance toward the right edge of the road to avoid being blinded while keeping enough view to stay in your lane.,easy
8,Special Situations & Road Users,"When following a motorcycle, what should you do?","a:Allow a larger following distance (three to four seconds).,b:Drive more slowly than usual.,c:Be ready to use your horn frequently.,d:Tailgate to prevent lane changes.",a,Maintain a larger following distance behind motorcycles because they can stop quickly and are more vulnerable in a fall.,easy
3,"Signs, Signals & Road Markings","If a lane-control sign over your lane has an arrow with 'ONLY' below it, you must:","a:Travel in the direction of the arrow.,b:Always make a lane change.,c:Look for a destination sign to follow.",a,A lane-control sign marked 'ONLY' indicates the required direction of travel for that lane.,easy
2,Traffic Laws & Rules of the Road,Where is a U-turn prohibited?,"a:On or near any curve or hill.,b:In a parking lot.,c:On a straight road with 500 feet of clear view.,d:At an intersection controlled by a stop sign.",a,Never make a U-turn on or near a curve or hill where you cannot clearly see approaching traffic; it creates a collision risk.,easy
2,Traffic Laws & Rules of the Road,When are collisions more likely to occur regarding vehicle speeds?,"a:When one vehicle is traveling faster or slower than the flow of traffic.,b:When all vehicles travel at about the same speed.,c:Only when vehicles travel too fast.,d:Only when vehicles travel too slowly.",a,Collisions are more likely when a vehicle's speed differs significantly from the general flow of traffic.,easy
8,Special Situations & Road Users,Why should drivers give extra space to children on bicycles?,"a:They do not have the same physical reflexes as adults.,b:They are smaller and more difficult to see than adults.,c:Both of the above.",c,"Children are less predictable and harder to see; give extra space near schools, parks, and driveways.",medium
8,Special Situations & Road Users,"If a pedestrian is partway across when your signal turns green, how should you proceed?","a:Wait until the pedestrian has cleared the street before you proceed.,b:Proceed if you have the right-of-way.,c:Proceed if the pedestrian is not in your lane.",a,Yield to pedestrians in the intersection even if your light turns green; wait until they finish crossing.,medium
3,"Signs, Signals & Road Markings",What does a broken yellow centerline allow drivers to do?,"a:Pass on the left when the way ahead is clear.,b:Passing is not permitted.,c:Passing on the right is permitted when the way ahead is clear.",a,Broken yellow centerlines permit passing on the left from the side with the dashed line when safe to do so.,easy
4,Safe & Defensive Driving Practices,"Before returning to your lane after passing, what should you verify?","a:See both headlights of the passed vehicle in your rearview mirror.,b:Flash your headlights.,c:Beep your horn.",a,"After passing, make sure you can see both headlights of the vehicle you passed in your rearview mirror before moving back into that lane.",easy
6,"Alcohol, Drugs & Impaired Driving",What term is used to describe the amount of alcohol in a person's blood?,"a:Blood alcohol concentration (BAC).,b:Implied consent (IC).,c:Rate of alcohol consumption (RAC).",a,BAC measures the percentage of alcohol in the bloodstream and is used to determine impairment.,easy
7,Vehicle Ownership & Responsibilities,Where is the safest place for children age 12 and under in a vehicle with airbags?,"a:The back seat.,b:The front passenger seat.,c:The truck bed of a pickup.,d:Standing between the front seats.",a,Airbags can injure children; anyone age 12 or younger should ride in the back seat.,easy
