id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9293,"ਸਵਾਰੀਆਂ ਨਾਲ ਗੱਡੀ ਚਲਾਉਣ ਵੇਲੇ, ਬੱਸ ਡਰਾਈਵਰ ਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਯਾਤਰੀਆਂ ਨਾਲ ਗੱਲਬਾਤ ਵਿੱਚ ਰੁੱਝੋ।,ਯਾਤਰੀਆਂ ਨਾਲ ਗੱਲਬਾਤ ਵਿੱਚ ਸ਼ਾਮਲ ਨਾ ਹੋਵੋ।,ਯਾਤਰੀਆਂ ਨਾਲ ਗੱਲਬਾਤ ਵਿੱਚ ਰੁੱਝੋ ਜੇਕਰ ਉਹ ਅਜਿਹਾ ਕਰਨ ਵਿੱਚ ਅਰਾਮਦੇਹ ਮਹਿਸੂਸ ਕਰਦੇ ਹਨ।,,B,"ਇੱਕ ਡਰਾਈਵਰ ਆਪਣੇ ਵਾਹਨ ਵਿੱਚ ਸਵਾਰ ਯਾਤਰੀਆਂ ਦੀ ਸੁਰੱਖਿਆ ਲਈ ਜ਼ਿੰਮੇਵਾਰ ਹੁੰਦਾ ਹੈ। ਧਿਆਨ ਭਟਕਾਉਣ ਅਤੇ ਡ੍ਰਾਈਵਿੰਗ ਦੇ ਖ਼ਤਰਿਆਂ ਨੂੰ ਵਧਾਉਣ ਤੋਂ ਬਚਣ ਲਈ, ਇੱਕ ਬੱਸ ਡਰਾਈਵਰ ਨੂੰ ਡ੍ਰਾਈਵਿੰਗ ਕਰਦੇ ਸਮੇਂ ਯਾਤਰੀਆਂ ਨਾਲ ਗੱਲਬਾਤ ਕਰਨ ਤੋਂ ਬਚਣਾ ਚਾਹੀਦਾ ਹੈ।"
8543,ਕਾਲੀ ਬਰਫ਼ ਹੈ:,,ਆਮ ਤੌਰ 'ਤੇ ਮੋਟਾ.,ਆਮ ਤੌਰ 'ਤੇ ਪਤਲੇ.,ਗੱਡੀ ਚਲਾਉਣ ਵੇਲੇ ਕੋਈ ਖ਼ਤਰਾ ਨਹੀਂ।,,B,ਕਾਲੀ ਬਰਫ਼ ਬਰਫ਼ ਦੀ ਇੱਕ ਪਰਤ ਹੁੰਦੀ ਹੈ ਜੋ ਪਤਲੀ ਅਤੇ ਸਾਫ਼ ਹੁੰਦੀ ਹੈ ਕਿ ਇਸ ਵਿੱਚੋਂ ਸੜਕ ਦਿਖਾਈ ਦੇ ਸਕਦੀ ਹੈ। ਸਤ੍ਹਾ ਇੱਕ ਗਿੱਲੀ ਸੜਕ ਵਰਗੀ ਦਿਖਾਈ ਦੇਵੇਗੀ। ਕਾਲੀ ਬਰਫ਼ ਤੋਂ ਹਮੇਸ਼ਾ ਸੁਚੇਤ ਰਹੋ ਜੇਕਰ ਤਾਪਮਾਨ ਠੰਢ ਤੋਂ ਹੇਠਾਂ ਹੋਣ 'ਤੇ ਸੜਕ ਗਿੱਲੀ ਦਿਖਾਈ ਦਿੰਦੀ ਹੈ।
11338,"ਡਰਾਈਵਿੰਗ ਟੈਸਟ ਦੇ ਦੌਰਾਨ, ਪਰੀਖਿਅਕ ਤੁਹਾਨੂੰ ਇਸ 'ਤੇ ਸਕੋਰ ਦੇਵੇਗਾ:",,ਰਵੱਈਆ.,ਤੁਸੀਂ ਕਿੰਨੀ ਜਲਦੀ ਆਪਣੀ ਮੰਜ਼ਿਲ 'ਤੇ ਪਹੁੰਚਦੇ ਹੋ।,ਤੁਹਾਡਾ ਆਮ ਡਰਾਈਵਿੰਗ ਵਿਵਹਾਰ।,,C,"ਆਨ-ਰੋਡ ਡਰਾਈਵਿੰਗ ਟੈਸਟ ਦੇ ਦੌਰਾਨ, ਪਰੀਖਿਅਕ ਤੁਹਾਨੂੰ ਖਾਸ ਡਰਾਈਵਿੰਗ ਅਭਿਆਸਾਂ ਦੇ ਨਾਲ-ਨਾਲ ਤੁਹਾਡੇ ਆਮ ਡਰਾਈਵਿੰਗ ਵਿਵਹਾਰ 'ਤੇ ਸਕੋਰ ਦੇਵੇਗਾ।"
8598,ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਹੜਾ ਤੁਹਾਡੇ ਖੂਨ ਵਿੱਚ ਅਲਕੋਹਲ ਦੀ ਗਾੜ੍ਹਾਪਣ (BAC) ਨੂੰ ਨਿਰਧਾਰਤ ਕਰਦਾ ਹੈ?,,ਤੁਸੀਂ ਕਿੰਨਾ ਪੀਂਦੇ ਹੋ,ਤੁਸੀਂ ਕਿੰਨੀ ਵਾਰ ਪੀਂਦੇ ਹੋ,ਪੀਣ ਦਾ ਤਾਪਮਾਨ,,A,"ਮੁੱਖ ਕਾਰਕ ਜੋ ਇੱਕ ਵਿਅਕਤੀ ਦੇ ਖੂਨ ਵਿੱਚ ਅਲਕੋਹਲ ਦੀ ਗਾੜ੍ਹਾਪਣ (BAC) ਨੂੰ ਨਿਰਧਾਰਤ ਕਰਦੇ ਹਨ, ਉਹ ਹਨ ਕਿ ਕਿੰਨੀ ਅਲਕੋਹਲ ਦਾ ਸੇਵਨ ਕੀਤਾ ਗਿਆ ਹੈ, ਕਿੰਨੀ ਜਲਦੀ ਖਪਤ ਕੀਤੀ ਗਈ ਸੀ, ਅਤੇ ਵਿਅਕਤੀ ਦੇ ਸਰੀਰ ਦਾ ਭਾਰ।"
9933,ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਹਨ:,,ਸਿਫ਼ਾਰਿਸ਼ ਕੀਤੀ।,ਸਿਰਫ਼ 100 ਮੀਲ ਤੋਂ ਵੱਧ ਲੰਬੀਆਂ ਯਾਤਰਾਵਾਂ ਲਈ ਲੋੜੀਂਦਾ ਹੈ।,ਕਾਨੂੰਨ ਦੁਆਰਾ ਲੋੜੀਂਦਾ ਹੈ।,,C,ਸੰਘੀ ਅਤੇ ਰਾਜ ਦੇ ਕਾਨੂੰਨਾਂ ਅਨੁਸਾਰ ਡਰਾਈਵਰਾਂ ਨੂੰ ਹਰ ਯਾਤਰਾ ਤੋਂ ਪਹਿਲਾਂ ਆਪਣੇ ਵਾਹਨਾਂ ਦੀ ਲੰਬਾਈ ਦੀ ਪਰਵਾਹ ਕੀਤੇ ਬਿਨਾਂ ਜਾਂਚ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।
9593,"ਲੇਨ ਬਦਲਦੇ ਸਮੇਂ, ਮੋੜ ਸਿਗਨਲ:",,ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰਨੀ ਚਾਹੀਦੀ।,ਜੇਕਰ ਕੋਈ ਵਾਹਨ ਤੁਹਾਡੇ ਨੇੜੇ ਹੋਵੇ ਤਾਂ ਹੀ ਵਰਤਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।,ਹਰ ਵਾਰ ਵਰਤਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ.,,C,ਲੇਨਾਂ ਨੂੰ ਮੋੜਨ ਜਾਂ ਬਦਲਣ ਤੋਂ ਪਹਿਲਾਂ ਹਮੇਸ਼ਾ ਆਪਣੇ ਇਰਾਦਿਆਂ ਦਾ ਸੰਕੇਤ ਦਿਓ। ਇਹ ਨਾ ਸੋਚੋ ਕਿ ਦੂਜੇ ਡ੍ਰਾਈਵਰ ਤੁਹਾਡੇ ਰਸਤੇ ਤੋਂ ਹਟ ਜਾਣਗੇ ਕਿਉਂਕਿ ਤੁਸੀਂ ਮੁੜਨ ਦਾ ਸੰਕੇਤ ਦੇ ਰਹੇ ਹੋ।
8519,"ਟਰੱਕ ਡਰਾਈਵਰਾਂ ਨੂੰ ਐਮਰਜੈਂਸੀ ਸਾਜ਼ੋ-ਸਾਮਾਨ, ਸਮੇਤ:",,ਇੱਕ ਤਰਲ ਬਲਦੀ ਭੜਕਣ.,ਤਿੰਨ ਲਾਲ ਪ੍ਰਤੀਬਿੰਬਤ ਤਿਕੋਣ।,ਪੰਜ ਫਲੈਸ਼ਲਾਈਟਾਂ।,,B,"ਟਰੱਕ ਡਰਾਈਵਰਾਂ ਕੋਲ ਹਮੇਸ਼ਾ ਐਮਰਜੈਂਸੀ ਸਾਜ਼ੋ-ਸਾਮਾਨ ਹੱਥ ਵਿੱਚ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ। ਲੋੜੀਂਦੇ ਚੇਤਾਵਨੀ ਉਪਕਰਣਾਂ ਵਿੱਚ ਤਿੰਨ ਲਾਲ ਪ੍ਰਤੀਬਿੰਬਤ ਤਿਕੋਣ, ਛੇ ਫਿਊਜ਼, ਜਾਂ ਤਿੰਨ ਤਰਲ ਬਲਨਿੰਗ ਫਲੇਅਰ ਹੁੰਦੇ ਹਨ।"
11361,"ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਕਿ ਤੁਸੀਂ ਇੱਕ ਵੱਡਾ ਟਰੱਕ ਚਲਾਉਂਦੇ ਸਮੇਂ ਆਵਾਜਾਈ ਨੂੰ ਹੌਲੀ ਨਾ ਕਰੋ, ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਉੱਪਰ ਵੱਲ ਡ੍ਰਾਈਵਿੰਗ ਕਰਦੇ ਸਮੇਂ ਗੀਅਰਸ ਬਦਲੋ।,ਉੱਪਰ ਵੱਲ ਗੱਡੀ ਚਲਾਉਂਦੇ ਸਮੇਂ ਕੋਈ ਹੋਰ ਵਾਹਨ ਲੰਘਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,ਜਦੋਂ ਵੀ ਸੰਭਵ ਹੋਵੇ ਸਹੀ ਲੇਨ ਵਿੱਚ ਰਹੋ।,,C,"ਜੇਕਰ ਕੋਈ ਭਾਰੀ ਲੋਡ ਤੁਹਾਡੇ ਵਾਹਨ ਨੂੰ ਹੋਰ ਟ੍ਰੈਫਿਕ ਦੀ ਗਤੀ ਦੇ ਨਾਲ ਰੱਖਣ ਤੋਂ ਰੋਕਦਾ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਸਹੀ ਲੇਨ ਵਿੱਚ ਰਹਿਣਾ ਚਾਹੀਦਾ ਹੈ।"
8530,"ਪਹਾੜੀ ਤੋਂ ਹੇਠਾਂ ਦੀ ਯਾਤਰਾ ਕਰਦੇ ਸਮੇਂ, ਤੁਸੀਂ ਲੋੜੀਂਦੀ ਬ੍ਰੇਕਿੰਗ ਦੀ ਮਾਤਰਾ ਨੂੰ ਇਹਨਾਂ ਦੁਆਰਾ ਘਟਾ ਸਕਦੇ ਹੋ:",,ਇੱਕ ਉੱਚ ਗੇਅਰ ਵਿੱਚ ਬਦਲਣਾ.,ਇੱਕ ਹੇਠਲੇ ਗੇਅਰ ਵਿੱਚ ਬਦਲਣਾ.,ਨਿਰਪੱਖ ਵਿੱਚ ਬਦਲਣਾ.,,B,"ਕਿਸੇ ਪਹਾੜੀ ਤੋਂ ਹੇਠਾਂ ਜਾਣ ਤੋਂ ਪਹਿਲਾਂ, ਹੌਲੀ ਕਰੋ ਅਤੇ ਇੱਕ ਗੇਅਰ ਵਿੱਚ ਹੇਠਾਂ ਸ਼ਿਫਟ ਕਰੋ ਜੋ ਤੁਹਾਨੂੰ ਬਹੁਤ ਜ਼ਿਆਦਾ ਬ੍ਰੇਕ ਲਗਾਏ ਬਿਨਾਂ ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਕੰਟਰੋਲ ਕਰਨ ਦੇਵੇਗਾ। ਹੇਠਾਂ ਵੱਲ ਗੱਡੀ ਚਲਾਉਂਦੇ ਸਮੇਂ ਬਹੁਤ ਜ਼ਿਆਦਾ ਬ੍ਰੇਕ ਦੀ ਵਰਤੋਂ ਕਰਨ ਨਾਲ ਬ੍ਰੇਕ ਜ਼ਿਆਦਾ ਗਰਮ ਹੋ ਸਕਦੀ ਹੈ, ਬ੍ਰੇਕਿੰਗ ਪਾਵਰ ਨੂੰ ਘਟਾ ਸਕਦੀ ਹੈ।"
9888,ਬੱਸ ਦੀ ਐਮਰਜੈਂਸੀ ਛੱਤ:,,ਬੱਸ ਚਲਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਬੰਦ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।,ਇੱਕ ਡਰਾਈਵ ਦੌਰਾਨ ਹਵਾ ਦੀ ਆਵਾਜਾਈ ਦੀ ਇਜਾਜ਼ਤ ਦੇਣ ਲਈ ਖੋਲ੍ਹਿਆ ਜਾ ਸਕਦਾ ਹੈ.,ਬੱਸ ਨੂੰ ਚਲਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਹਟਾ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।,,B,"ਬੱਸ 'ਤੇ, ਤਾਜ਼ੀ ਹਵਾ ਦੀ ਆਗਿਆ ਦੇਣ ਲਈ ਕੁਝ ਐਮਰਜੈਂਸੀ ਛੱਤ ਦੇ ਹੈਚਾਂ ਨੂੰ ਖੁੱਲ੍ਹੀ ਸਥਿਤੀ ਵਿੱਚ ਬੰਦ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਹੈ। ਹਾਲਾਂਕਿ, ਇਹ ਨਿਯਮਤ ਅਭਿਆਸ ਨਹੀਂ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।"
