section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which statement about driving speed is correct?,"a:As your speed increases, your following distance should increase and the chance of a fatality in a crash increases.,b:Increasing speed reduces stopping distance.,c:Speed has no effect on crash severity.",a,Higher speeds increase stopping distances and the severity of crashes; therefore you should increase following distance as speed increases.,easy
2,Traffic Laws & Rules of the Road,"If you are following a school bus or a tank truck carrying flammable liquids, what precaution should you take at railroad crossings?","a:Pass the vehicle on the right if you are in a hurry.,b:Assume the vehicle will always follow the speed limit.,c:Be prepared to stop at all railroad crossings.",a,School buses and tank trucks carrying flammable liquids must stop at all railroad tracks before crossing. Always be prepared to stop when following these vehicles.,easy
2,Traffic Laws & Rules of the Road,"When exiting an alley or driveway across a sidewalk, what should you do with regard to pedestrians?","a:Stop before entering the sidewalk area and yield to pedestrians.,b:Expect pedestrians to yield to you.,c:Stop only if pedestrians are in the sidewalk.",a,"When leaving a driveway or alley, stop before entering the sidewalk area and yield to any pedestrians and traffic.",medium
5,Driving in Special Conditions,When is it necessary to use your low-beam headlights?,"a:In fog.,b:On a lighted street.,c:On a freeway.",a,"Use low beam headlights in fog, rain, snow, or mist because high beams reflect off precipitation and can reduce visibility.",easy
4,Safe & Defensive Driving Practices,How can you help keep the driver behind you at a safe following distance?,"a:Tailgate the car ahead to discourage them from following.,b:Brake suddenly to create distance.,c:Drive 10 mph faster than the car behind you.,d:Maintain a steady speed and signal your intentions in advance.",d,Keeping a steady speed and signaling early helps the driver behind judge a safe following distance and react appropriately.,easy
2,Traffic Laws & Rules of the Road,"If the center of the roadway has one solid yellow line and one broken yellow line with the broken line next to your lane, what does that mean?","a:You are allowed only to make right turns in this area.,b:You are not allowed to pass in this area.,c:You are in a passing zone and may pass other vehicles on the left if no oncoming traffic is present.",c,"When the broken yellow line is next to your lane, passing is permitted from your lane when it is safe and clear of oncoming traffic.",easy
2,Traffic Laws & Rules of the Road,"If another vehicle is passing you, how should you respond?","a:Speed up to block the pass.,b:Brake hard to prevent them from passing.,c:Maintain a steady speed and allow the other vehicle to pass safely.",c,"When being passed, maintain your speed or slow slightly if needed to allow the vehicle to complete the pass safely; do not speed up.",easy
6,"Alcohol, Drugs & Impaired Driving","If you are taking a non-prescription drug, what should you do before driving?","a:Drink alcohol to counteract drowsiness.,b:Read the labels on the drug for warnings about driving.,c:Continue to drive regardless of any warnings.",b,Many over-the-counter medications can impair driving. Read labels and consult a doctor or pharmacist if you are unsure about driving while using the medicine.,easy
6,"Alcohol, Drugs & Impaired Driving",Which is true about driving while taking medications?,"a:Over-the-counter meds cannot impair driving if taken correctly.,b:All prescribed medicines are always safe for driving.,c:Most cold medications can make a person drowsy.",c,Many over-the-counter and prescription medicines can impair driving; always check labels and consult your doctor or pharmacist.,medium
5,Driving in Special Conditions,Which statement about roadwork zones is true?,"a:Only slow down if you see workers present.,b:You must 'Slow for the Cone Zone.' (reduce speed and be careful in work zones).,c:Fines are the same as normal traffic fines.",b,Slow for Cone Zone safety campaigns: reduce speed and be prepared for changing conditions and workers.,easy
