section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,How do stopping distances and crash severity change with higher speeds?,"a:Increase as vehicle speed increases.,b:Decrease as vehicle speed increases.,c:Are not affected by vehicle speed.",a,Higher speeds lengthen stopping distances and increase the severity and risk of injuries in a collision; increase following distance as speed rises.,medium
5,Driving in Special Conditions,How should you drive just after it begins to rain?,"a:Avoid making turns and stops at high speed.,b:Test your tires' traction while going uphill.,c:Decrease the distance you look ahead of your vehicle.",a,Wet roads reduce traction; avoid sudden high-speed turns or stops and reduce speed.,easy
8,Special Situations & Road Users,Extra space in front of a large truck is needed so:,"a:Other drivers when they want to slow down.,b:The truck driver has room to stop the vehicle.,c:Other drivers can merge onto the freeway.",b,"Because trucks take longer to stop, leave extra space in front so the truck driver can safely stop without causing a collision.",easy
6,"Alcohol, Drugs & Impaired Driving",Which statement about legal and over-the-counter drugs is true?,"a:Only illegal drugs can impair your driving.,b:Any prescription drug is safe to use if you don't feel drowsy.,c:Even over-the-counter drugs can impair your driving.",c,"Prescription and over-the-counter medications (including cold, allergy, and sleep remedies) can impair driving; it's illegal to drive while impaired by any drug.",medium
5,Driving in Special Conditions,"In fog, which lights should you use?","a:Use your parking lights.,b:Use your high beam headlights.,c:Use your low beam headlights.",c,Low beam headlights are appropriate in fog because high beams reflect and increase glare.,easy
2,Traffic Laws & Rules of the Road,"As you enter a roundabout, you should slow down and:","a:Yield to any car already within the roundabout.,b:Yield to any crossing pedestrians and bicyclists.,c:Both of the above.",c,"When entering a roundabout, yield to both pedestrians/bicyclists and to traffic already circulating in the roundabout.",medium
4,Safe & Defensive Driving Practices,How often should you check your rearview mirrors?,"a:Often to see how traffic is moving behind you.,b:Only when you are slowing down.,c:To see if a vehicle is in your blind spot.",a,Regular mirror checks help you understand surrounding traffic and anticipate needed actions; avoid staring straight ahead for too long.,easy
2,Traffic Laws & Rules of the Road,"If you reach an intersection but are not in the correct lane to make your intended turn, what should you do?","a:Continue to the next intersection to make the turn.,b:Signal the direction you want to go and wait for a gap.,c:Stop and wait until the way is clear before turning.",a,Never turn from the wrong lane. Proceed to the next intersection and make the turn from the proper lane.,easy
5,Driving in Special Conditions,"To improve visibility in rain or fog, drivers should use:","a:Low beam headlights.,b:High beam headlights.,c:Parking lights.",a,Low-beam headlights help others see your vehicle and reduce the glare that high beams cause in fog or heavy rain.,easy
5,Driving in Special Conditions,How should you adjust driving on gravel or dirt surfaces?,"a:Your tires grip better than on pavement.,b:You have less traction than on pavement, so slow down.,c:Visibility is better than on pavement.",b,Loose surfaces reduce traction and increase stopping distance; slow down and drive cautiously on gravel or dirt roads.,medium
5,Driving in Special Conditions,"During adverse weather, how should you steer and brake?","a:Steer off the road.,b:Drive in a low gear.,c:Steer and brake smoothly.",c,"In poor weather, use smooth steering and braking inputs to maintain control and avoid skids.",easy
4,Safe & Defensive Driving Practices,What is the best method to avoid dangerous driving situations?,"a:Know what is happening around your vehicle.,b:Turn off the radio.,c:Always keep your eyes focused ahead of your car.",a,"Constantly observe the road ahead, to the sides, and behind you so you can react early to potential hazards.",easy
5,Driving in Special Conditions,How can you reduce glare from oncoming headlights?,"a:Look briefly toward the right side of the road.,b:Stay focused on the centerline.,c:Flash your high beams at them.",a,"Glance briefly toward the right edge of the road to avoid being blinded by oncoming headlights, then resume scanning ahead.",easy
3,"Signs, Signals & Road Markings","What do ""No passing zone"" signs indicate?","a:To maintain a steady speed.,b:That it is not safe to pass.,c:To speed up slightly.",b,"A ""No passing zone"" sign means passing is illegal in that area because visibility or conditions make passing unsafe.",easy
3,"Signs, Signals & Road Markings",At an intersection with a flashing yellow light you must:,"a:Wait for the green light before proceeding.,b:Slow down and cross the intersection carefully.,c:Stop before crossing the intersection.",b,A flashing yellow light means proceed with caution after yielding to any crossing traffic or pedestrians.,easy
2,Traffic Laws & Rules of the Road,At what speed should you travel?,"a:At the speed of vehicles surrounding you.,b:At the posted speed limit.,c:At a speed appropriate for road and weather conditions.",c,Drive at a speed that is safe for the conditions; you must never exceed the legal limit and should slow down for hazards.,easy
6,"Alcohol, Drugs & Impaired Driving",What is the only proven method to eliminate alcohol from your system?,"a:Drink strong coffee.,b:Wait.,c:Take a cold shower.",b,"Only time allows the body to metabolize and remove alcohol; 8,Special Situations & Road Users,nothing you eat, drink, or do will speed this up.",easy
3,"Signs, Signals & Road Markings",A double solid yellow centerline indicates that passing is:,"a:Allowed from both directions.,b:Allowed only from your direction of travel.,c:Not allowed from either direction.",c,Double solid yellow lines prohibit vehicles from crossing the centerline to pass in either direction.,easy
5,Driving in Special Conditions,"Which headlights should be used in fog, rain, or snow?","a:Fog lights only.,b:High beams.,c:Low beams.",c,"Use low beam headlights during fog, rain, or snow; high beams will reflect back and reduce visibility.",easy
5,Driving in Special Conditions,How should you enter the interstate from a short ramp with no acceleration lane?,"a:Immediately enter the far-right traffic lane and speed up.,b:Use the shoulder to get up to traffic speed.,c:Speed up and enter only after identifying a gap in traffic.",c,"On a short ramp without an acceleration lane, wait for a gap and then enter when it is safe; do not use the shoulder to accelerate.",medium
6,"Alcohol, Drugs & Impaired Driving",What does Tennessee's Implied Consent Law require of drivers?,"a:If requested, you must submit to a test for alcohol or drugs.,b:Traffic laws apply even without signs at intersections.,c:You may refuse tests for alcohol or drugs without consequence.",a,By driving in Tennessee you consent to chemical tests for alcohol or drugs if law enforcement requests them; refusal has penalties.,medium
5,Driving in Special Conditions,If your vehicle begins to hydroplane on water you should:,"a:Apply the brakes firmly to prevent your vehicle from sliding.,b:Drive at a constant speed to gain better traction.,c:Slow down gradually and not apply the brakes.",c,"If hydroplaning occurs, ease off the accelerator and let the vehicle slow; do not slam on the brakes.",medium
4,Safe & Defensive Driving Practices,"If a tire suddenly goes flat while driving, you should:","a:Press down on the brake pedal as hard as you can.,b:Slow down gradually and not brake.,c:Rapidly pump the brake pedal several times.",b,"Hold the steering wheel firmly, ease off the accelerator, and let the vehicle slow before carefully pulling off the road; avoid hard braking.",difficult
2,Traffic Laws & Rules of the Road,When must you come to a complete stop?,"a:Where there is a red traffic light.,b:At any intersection where a police officer orders you to stop.,c:Both of the above.",c,"You must stop at steady or flashing red lights and obey any police officer who directs traffic, regardless of signs or signals.",easy
2,Traffic Laws & Rules of the Road,What should you do first before stopping your vehicle at a traffic signal or sign?,"a:Set the parking brake.,b:Check your mirrors for surrounding traffic.,c:Press down hard on the accelerator.",b,"Before stopping, check your mirrors to be aware of traffic behind and around you. Then ease off the accelerator and apply steady braking for a smooth stop.",easy
5,Driving in Special Conditions,"What is the purpose of work zone barriers, drums, cones, and signs?","a:Inconvenience drivers.,b:Make drivers angry about slow traffic.,c:Keep traffic out of hazardous work zones.",c,Work zone devices guide and protect drivers and workers by directing traffic away from hazardous areas.,easy
2,Traffic Laws & Rules of the Road,Which of the following is true about changing lanes?,"a:Look over your right shoulder for a right lane change and your left shoulder for a left lane change.,b:Vehicles with two outside mirrors do not have blind spots.,c:You only need to turn and look over your right shoulder for lane changes to the right or left.",a,"Signal, check mirrors, and glance over the appropriate shoulder to inspect blind spots before changing lanes.",medium
5,Driving in Special Conditions,When driving through work zones you should:,"a:Maintain your normal speed the whole way through the zone.,b:Reduce your speed and be prepared to stop suddenly.,c:Increase your speed to get through the zone as quickly as possible.",b,"Slow down in work zones, obey posted limits, and be prepared to stop; workers and changed traffic patterns may be present.",medium
6,"Alcohol, Drugs & Impaired Driving",What is the minimum jail sentence upon a second DUI conviction?,"a:Five days in jail.,b:20 days in jail.,c:45 days in jail.",c,"A second DUI conviction carries a jail sentence of at least 45 days and up to 11 months and 29 days, along with other penalties.",difficult
5,Driving in Special Conditions,Under low-visibility conditions caused by fog you should:,"a:Turn on your high beam headlights.,b:Increase your speed so you do not cause an accident.,c:Slow down and use your low beam headlights.",c,"Use low beams in fog and reduce speed; if visibility becomes extremely poor, pull off the road safely and wait.",medium
5,Driving in Special Conditions,"After signaling and matching speed when entering the interstate, what should you do?","a:Expect traffic to allow you to proceed since you have right-of-way.,b:Merge carefully into the gap.,c:Wait for the lane to clear completely before merging.",b,"Identify a gap, accelerate to match traffic, signal, and merge carefully into the opening when it is safe.",medium
5,Driving in Special Conditions,Which of these is a dangerous habit when driving through work zones?,"a:Failing to carefully watch for workers and moving equipment,b:Both of the above,c:Tailgating another vehicle.",b,"In work zones you should reduce speed, avoid following too closely, and watch carefully for workers and equipment. Both tailgating and inattention are dangerous.",easy
2,Traffic Laws & Rules of the Road,"If you face a green light but traffic ahead blocks the intersection, what should you do?","a:Don't enter the intersection until you can get completely across.,b:Partially enter the intersection to establish your right-of-way.,c:Continue into the intersection and wait for traffic to clear.",a,"Even with a green light, do not enter an intersection unless you can clear it completely; blocking the intersection is illegal.",medium
