section-num,section-name,question,options,correct-answer,note,difficulty
4,Driving in Special Conditions,"To reduce the effects of oncoming headlight glare at night, where should you direct your gaze?","a:Over your shoulder.,b:Toward the right edge of the road ahead.,c:Directly at the oncoming headlights.",b,"If oncoming drivers do not dim lights, keep your eyes on the right edge of the road to avoid being blinded by glare.",medium
5,"Alcohol, Drugs & Impaired Driving",Which is the best way to prevent alcohol-related crashes?,"a:Call a taxi.,b:Decide before you start drinking that you will not drive.,c:Simply say",a,The only reliable way to avoid drinking and driving is to decide before you start drinking that you will not drive; alcohol impairs judgment and makes safe decisions harder after drinking.,easy
6,Vehicle Ownership & Responsibilities,What is the safest practice for children riding in a vehicle?,"a:They may be held by a strong adult,b:They may stand in the back of the vehicle,c:They must be properly restrained in appropriate child seats or seat belts",c,Children must be secured in appropriate child restraints or seat belts; never hold a child in your arms while the vehicle is moving.,easy
2,"Signs, Signals & Road Markings",What color pavement markings separate lanes traveling in opposite directions?,"a:White,b:Yellow,c:Red,d:Brown",b,Yellow lines separate lanes of traffic moving in opposite directions; white lines separate same-direction lanes.,easy
6,Vehicle Ownership & Responsibilities,"Before driving an unfamiliar vehicle you borrowed, what should you do?","a:Familiarize yourself with controls and check for defects,b:Hide defects so the owner isn't embarrassed,c:Assume it's the same as your car,d:Drive carefully without checking",a,"When driving an unfamiliar vehicle, take time to locate and test controls and correct any defects before driving.",easy
6,Vehicle Ownership & Responsibilities,"When stopped in a travel lane on the roadway, what is allowed?","a:You may stop to drop off passengers.,b:You may not stop in a travel lane for any reason.,c:You may stop to look up an address briefly.",b,"Do not stop in a travel lane; proceed to a safe area off the roadway to pull over. If you miss an exit, go to the next exit to turn around.",easy
6,Vehicle Ownership & Responsibilities,"If an approaching train is near enough to be a danger, what must you do?","a:Slow down and proceed with caution.,b:Cross at your own risk if no signals are present.,c:Not cross the tracks until the train has completely passed.",c,"If a train is approaching and could be dangerous, you must wait until it has passed before crossing the tracks.",easy
1,Traffic Laws & Rules of the Road,"When you encounter a flashing red traffic light at an intersection, what must you do?","a:Stop and wait for a flashing green light.,b:Come to a complete stop,c:Slow down and drive carefully through the intersection.",b,"A flashing red light is treated like a stop sign: stop fully, look both ways, and go only when safe.",easy
1,Traffic Laws & Rules of the Road,"When entering the street from a driveway, what must you do?","a:Drive slowly and expect approaching vehicles to yield.,b:Sound your horn to warn pedestrians and vehicles.,c:Stop and proceed only when there are no pedestrians or vehicles approaching.",c,"Always stop before entering the roadway from a driveway, yield to approaching vehicles and pedestrians, and cross the sidewalk area only when safe.",medium
2,"Signs, Signals & Road Markings",What should a driver do when encountering a steady yellow traffic light?,"a:Accelerate to avoid a red light.,b:Slow to a stop unless already in the intersection.,c:Continue as they have the right-of-way.",b,A steady yellow light warns that a red light is about to appear; stop unless you are already within the intersection.,easy
