section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,How should you approach a railroad crossing that has only a crossbuck sign and no lights or gates?,"a:Only cross when directed by a flagger,b:Assume no train is coming and proceed at normal speed,c:Approach with extreme caution and cross only when you are sure no train is coming",c,"Always approach such crossings cautiously, look and listen for trains, and cross only when it is safe.",medium
8,Special Situations & Road Users,What should you do when approaching railroad tracks?,"a:Look and listen,b:Drive around a lowered gate,c:Speed up to beat the train",a,"Always approach crossings with caution: look both ways, listen, and be prepared to stop for trains or for vehicles using the rails.",easy
4,Safe & Defensive Driving Practices,"When driving near heavy trucks, what must other road users allow for?","a:The decreased stopping distance required by large vehicles,b:The decreased noise of larger vehicles,c:The increased stopping distance required by large vehicles",c,Large vehicles require greater stopping distances; smaller vehicle drivers should leave space and avoid blind spots.,medium
3,"Signs, Signals & Road Markings",What are the standard colors for most warning signs that alert you to hazards ahead?,"a:Black letters on a white background,b:Black letters or symbols on a yellow background,c:White symbols on a blue background",b,Most warning signs are yellow with black symbols or lettering; work zone warnings are usually orange with black markings.,easy
3,"Signs, Signals & Road Markings",What does a solid yellow arrow on a traffic signal mean?,"a:You may turn in the arrow's direction without yielding,b:The arrow is not used as a traffic signal,c:Same as a circular yellow light — prepare to stop or clear the intersection",c,A solid yellow arrow means the protected-turn phase is ending; slow and prepare to stop as you would for a circular yellow light.,medium
8,Special Situations & Road Users,"When interacting with pedestrians, what is a driver's obligation?","a:Yield only when the pedestrian is legally entitled to the right-of-way,b:Yield the right-of-way to all pedestrians and do everything possible to avoid striking them,c:Require pedestrians to always yield to vehicles",b,"Drivers must be alert to pedestrians and yield right-of-way to them to prevent collisions, even if pedestrians are not crossing legally.",easy
2,Traffic Laws & Rules of the Road,A solid yellow line on your side of the centerline means:,"a:You may pass with caution,b:You may not pass from your lane,c:You must slow down immediately",b,A solid yellow line adjacent to your lane indicates passing is prohibited in your direction.,easy
4,Safe & Defensive Driving Practices,"If you observe other drivers acting angrily, how should you respond?","a:React with hand gestures to de-escalate,b:Distance yourself from the situation and avoid eye contact or provoking gestures,c:Make eye contact to calm them down",b,"Physically and mentally distance yourself, avoid eye contact and gestures, and take actions to get out of potential danger safely.",easy
2,Traffic Laws & Rules of the Road,"If the traffic light turns from green to a steady yellow as you approach, what should you do?","a:Stop before entering the intersection unless you are too close to stop safely,b:Speed up to beat the light,c:Ignore it because green just ended",a,"When you see a steady yellow, prepare to stop; if you are too close to stop safely, proceed carefully through the intersection.",easy
3,"Signs, Signals & Road Markings",What does a red-and-white triangular sign at an intersection require drivers to do?,"a:Slow down and yield the right-of-way; be prepared to stop if necessary,b:Always come to a full stop regardless of conditions,c:Increase speed to clear the intersection quickly",a,"A red-and-white downward-pointing triangular sign is a yield sign; reduce speed, yield to traffic and pedestrians, and stop if required.",easy
7,Vehicle Ownership & Responsibilities,"If you are involved in a traffic accident, what is your immediate responsibility?","a:Stop immediately and provide assistance if needed,b:Drive away if the accident seems minor,c:Continue on and report it later",a,"Stop immediately, render aid as appropriate, call police or emergency services if needed, and exchange information as required by law.",medium
2,Traffic Laws & Rules of the Road,"From a two-way left-turn center lane, which maneuver is permitted?","a:Making left turns from either direction into or out of the lane,b:Continuing straight through the intersection in that lane,c:Passing slower traffic",a,"A two-way center turn lane is reserved for left turns from either direction (and in many areas for U-turns where legal), not for passing or through traffic.",medium
