section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,When should you increase the following distance between you and the vehicle ahead?,"a:When you are being tailgated by another driver.,b:When you are following a small passenger vehicle.,c:When you are driving more slowly than the posted speed limit.",a,"If someone is following too closely, create extra space in front of you or change lanes to reduce the risk of a rear-end collision.",easy
2,Traffic Laws & Rules of the Road,If you miss your exit on the freeway you should not:,"a:Back up on the road or shoulder.,b:Continue on and find an alternate route.,c:Proceed to the next exit and return to your destination.",a,Do not reverse on a freeway; proceed to the next exit and safely return to your route.,medium
7,Vehicle Ownership & Responsibilities,If you must make an emergency stop on an interstate you should:,"a:Pull off the road, turn on your emergency flashers, and stay in your vehicle if you can.,b:Sound your horn at passing cars to get their attention.,c:Get out of your vehicle and flag down the first vehicle that passes.",a,"If you stop on the shoulder, use flashers and remain inside your vehicle for safety unless danger requires otherwise.",easy
8,Special Situations & Road Users,"When facing a green light with pedestrians in the intersection, who has the right-of-way?","a:You must yield the right-of-way to pedestrians.,b:You have the right-of-way over pedestrians.,c:Pedestrians must wait for you to cross.",a,"Drivers must yield to pedestrians and vehicles already in the intersection, even when the light is green for drivers.",easy
4,Safe & Defensive Driving Practices,"If a tire blows out, you should:","a:Hold the steering wheel tightly and use the brakes lightly.,b:Apply the brake and hold it.,c:Pull over quickly.",a,"Grip the wheel, let the vehicle slow gradually, and use brakes lightly to maintain control before pulling over safely.",medium
2,Traffic Laws & Rules of the Road,At what speed should you normally travel?,"a:At a speed appropriate for road and weather conditions.,b:At the speed of vehicles surrounding you.,c:At the speed limit.",a,"Drive at a safe speed for the current road, traffic, and weather conditions—never exceed the legal speed limit.",medium
4,Safe & Defensive Driving Practices,How often should you check your rearview mirrors?,"a:Often to see how traffic is moving behind you.,b:Only when you are slowing down.,c:To see if a vehicle is in your blind spot.",a,Frequent mirror checks keep you aware of traffic patterns and potential hazards around your vehicle.,easy
3,"Signs, Signals & Road Markings",What are construction zone signs generally like in color and shape?,"a:Diamond-shaped or rectangular with orange and black coloring.,b:Round or octagonal with black and yellow coloring.,c:Square or rectangular with white and red coloring.",a,Temporary work zone signs have orange backgrounds with black letters or symbols and are often diamond-shaped or rectangular.,medium
3,"Signs, Signals & Road Markings","Approaching an intersection with a flashing yellow light, what should you do?","a:Slow down and proceed with caution.,b:Stop before crossing the intersection.,c:Wait for a green light before proceeding.",a,"A flashing yellow light means slow down and proceed with caution, watching for cross traffic and pedestrians.",easy
3,"Signs, Signals & Road Markings",A red arrow pointing right at a traffic signal means you may:,"a:Not turn in that direction until the light turns green.,b:Turn in that direction after slowing and checking for traffic.,c:Turn in that direction after you come to a complete stop.",a,A red arrow means stop for that direction; you must wait for a green signal or arrow to proceed.,easy
2,Traffic Laws & Rules of the Road,How should a driver check blind spots when changing lanes?,"a:Look only at the left outside mirror.,b:Look over the left or right shoulder toward the lane you want to enter.,c:Rely only on the inside rearview mirror.,d:Use the turn signal and assume it is clear.",b,Blind spots are not visible in mirrors; look over the appropriate shoulder to check for vehicles before changing lanes.,easy
5,Driving in Special Conditions,If oncoming headlights are blinding you at night you should:,"a:Glance toward the right edge of the road.,b:Switch your lights to high beams.,c:Turn your lights on and off.",a,Look toward the right edge of the lane to avoid glare while keeping your car safely on the road.,easy
7,Vehicle Ownership & Responsibilities,Head restraints should be adjusted so they:,"a:Contact the back of the head.,b:Are removed from the seats when possible.,c:Are anywhere since they have no effect.",a,Head restraints help prevent whiplash in rear-end collisions and should be positioned to touch the back of the head.,easy
4,Safe & Defensive Driving Practices,"If you are angry after an argument, what should you do before driving?","a:Take a few minutes to cool off before driving.,b:Loudly play the radio while driving.,c:Drive on the interstate to let off steam.",a,Strong emotions reduce driving ability; calm down before operating a vehicle so you can focus on driving safely.,easy
3,"Signs, Signals & Road Markings",When is it legal to pass another vehicle?,"a:You are on a road with a solid line next to your lane.,b:You are on a hill or curve.,c:You are on a road with a broken line next to your lane.",c,"A broken line beside your lane indicates passing is allowed when it is safe; never pass on hills, curves, or where a solid line prohibits it.",easy
8,Special Situations & Road Users,When must you yield to a pedestrian?,"a:At all times, even if the pedestrian is not obeying traffic laws.,b:Only if they are in a crosswalk.,c:Only if the traffic lights are in the pedestrian's favor.",a,Always do everything you can to avoid striking a pedestrian; yield even if they are not obeying traffic laws.,easy
3,"Signs, Signals & Road Markings","When you see a flashing yellow light at an intersection, how should you proceed?","a:Slow down and cross the intersection carefully.,b:Stop, then enter the intersection when it is safe.,c:Yield to all traffic before crossing the intersection.",a,A flashing yellow light means slow down and proceed with caution; you do not need to stop unless required by traffic conditions.,easy
6,"Alcohol, Drugs & Impaired Driving",Alcohol is classified as which of the following?,"a:A stimulant.,b:An antihistamine.,c:A depressant.,d:A vitamin.",c,"Alcohol is a depressant that dulls judgment and slows reflexes, impairing driving skills.",easy
5,Driving in Special Conditions,Sudden strong wind gusts on highways can:,"a:Cause problems for all vehicles.,b:Only affect the movement of large vehicles.,c:Only cause visibility problems.",a,"Strong winds can affect vehicle stability and visibility for all types of vehicles, though large vehicles may be especially affected.",medium
7,Vehicle Ownership & Responsibilities,When parking on any hill you should:,"a:Use your parking brake and leave the vehicle in park.,b:One of your rear wheels should touch the curb.,c:Make your front wheels parallel to the road if there is no curb.",a,Always leave the vehicle in gear or in park and set the parking brake when parked on a hill.,medium
2,Traffic Laws & Rules of the Road,Which statement about driving too slowly is true?,"a:Driving too slowly on certain highways can be dangerous.,b:Driving too slowly is never unsafe.,c:The speed at which you drive does not affect safety.",a,Driving significantly slower than the flow of traffic can create hazards and lead to unsafe passing maneuvers by others.,easy
2,Traffic Laws & Rules of the Road,How should you make room for vehicles entering the freeway from an on-ramp?,"a:Maintain your speed and position.,b:Merge into a different lane.,c:Slow down.",b,"If it is safe, move into the next lane to create a gap for entering vehicles; if you cannot, adjust your speed to allow them to merge safely.",easy
3,"Signs, Signals & Road Markings",A road with double solid yellow centerlines means passing is:,"a:Not allowed from either direction.,b:Allowed from both directions.,c:Allowed only from your direction of travel.",a,Double solid yellow lines indicate opposing traffic and prohibit passing from either direction.,easy
