Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Exclusive Right-to-Sell","Estate for Years","Escrow","Bilateral Contract","D","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Acceptance","Escrow","Estate for Years","Exclusive Right-to-Sell","B","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Exclusive Right-to-Sell","Acceptance","Estate for Years","Accord","C","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Acceptance","Exclusive Right-to-Sell","Accord And Satisfaction","Accord","B","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accounts Payable","Acceptance","Accord And Satisfaction","Accord","B","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accord","Accord And Satisfaction","Addendum","Accounts Payable","A","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Accounts Payable","Addendum","Accord And Satisfaction","Additional Deposit","C","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Addendum","Additional Deposit","Accounts Payable","Adjusted Mortgage","C","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Addendum","Additional Deposit","Adjusted Mortgage","Administrator's Deed","A","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. is the legal definition of:","Client","Agency","Commission","Clarifier","B","Agency is defined as: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. Example: A home seller hires a real estate broker to market their home. The seller signs a listing agreement, creating an agency relationship. The broker now has the legal authority and duty to represent the seller's interests in negotiations with prospective buyers."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","What real estate term matches the following description: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood.","Commission","Community Second Mortgage","Blockbusting","Client","C","Blockbusting is defined as: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood. Example: An agent contacts homeowners in a subdivision and warns them that a minority family has purchased a nearby home, advising them to sell their properties before home values drop. This is blockbusting, and it violates federal fair housing laws."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","Define: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing.","Commission","Custody","Caveat Emptor","Community Second Mortgage","C","Caveat Emptor is defined as: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. Example: A buyer purchases a home in a state with strict caveat emptor laws. During inspections, they fail to check the crawlspace. After closing, they discover termite damage. Under caveat emptor, the buyer is responsible for the repairs unless they can prove the seller intentionally concealed the damage."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. matches which of the following terms?","Commingling","Custody","Community Second Mortgage","Delivery","A","Commingling is defined as: An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. Example: A broker receives a $5,000 earnest money check from a buyer. Instead of depositing it into the brokerage's trust account, they deposit it into their business operating account to pay office utilities, intending to transfer it back later. This is commingling, and it can result in the revocation of their real estate license."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","Select the correct term for this definition: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties.","Dual Agency","Delivery","Document Preparation Fee","Custody","A","Dual Agency is defined as: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties. Example: An agent lists a house for sale. A buyer who does not have an agent contacts them directly to purchase the home. The agent represents both the buyer and the seller in the transaction, creating a dual agency relationship that requires signed disclosures from both parties."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability. is the legal definition of:","Delivery","Document Preparation Fee","Environmental Protection Agency (epa)","Fair Housing Act","D","Fair Housing Act is defined as: A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability. Example: A landlord refuses to rent an apartment to a qualified family because they have children. This is a violation of the Fair Housing Act, which protects familial status."
"National: Agency & Fiduciary Duties","Agency & Ethics","National","What real estate term matches the following description: The legal duties of loyalty, obedience, disclosure, confidentiality, accountability, and reasonable care (OLD CAR) owed by an agent to their client.","Document Preparation Fee","Fiduciary Duties","Environmental Protection Agency (epa)","Equal Dignity Rule","B","Fiduciary Duties is defined as: The legal duties of loyalty, obedience, disclosure, confidentiality, accountability, and reasonable care (OLD CAR) owed by an agent to their client. Example: An agent learns that a prospective buyer is willing to pay $10,000 more than their written offer. Under the duty of loyalty and disclosure, the agent must inform the seller of this fact immediately."
