Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Escrow","Estate for Years","Exclusive Right-to-Sell","Bilateral Contract","D","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Acceptance","Escrow","Exclusive Right-to-Sell","Estate for Years","B","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Estate for Years","Acceptance","Accord","Exclusive Right-to-Sell","A","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Acceptance","Accord And Satisfaction","Exclusive Right-to-Sell","Accord","C","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accord","Acceptance","Accord And Satisfaction","Accounts Payable","B","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accord","Accounts Payable","Addendum","Accord And Satisfaction","A","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Accord And Satisfaction","Additional Deposit","Accounts Payable","Addendum","A","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Addendum","Accounts Payable","Additional Deposit","Adjusted Mortgage","B","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Addendum","Additional Deposit","Administrator's Deed","Adjusted Mortgage","A","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Adult","Administrator's Deed","Adjusted Mortgage","Additional Deposit","D","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
"National: Contracts","Contracts","National","A mortgage released after a company has undergone reorganization. matches which of the following terms?","Adjusted Mortgage","Administrator's Deed","Adult","Advance Fee","A","Adjusted Mortgage is defined as: A mortgage released after a company has undergone reorganization. Example: An example applying the concept of Adjusted Mortgage in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Ad Valorem","Resident Manager","Reservation","Remainder","A","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"National: Real Estate Practice","State Rules","National","A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. is the legal definition of:","Resident Manager","Reservation","Asbestos","Residential Accredited Appraiser","C","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"National: Real Estate Practice","State Rules","National","What real estate term matches the following description: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes.","Residential Accredited Appraiser","Resident Manager","Residential Broker","Assessed Value","D","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"National: Real Estate Practice","State Rules","National","Define: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit.","Residential Accredited Appraiser","Lis Pendens","Residuary Estate","Residential Broker","B","Lis Pendens is defined as: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. Example: A buyer sues a seller for specific performance to force the sale of a home. The buyer's attorney records a lis pendens on the property to prevent the seller from selling it to someone else during the lawsuit."
"National: Real Estate Practice","State Rules","National","A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. matches which of the following terms?","A.I.R. (american Industrial Real Estate Association)","Resort Property","Residuary Estate","Residential Broker","A","A.I.R. (american Industrial Real Estate Association) is defined as: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. Example: An example applying the concept of A.I.R. (american Industrial Real Estate Association) in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes.","Abandonment Of Homestead","Restoration","Resort Property","Residuary Estate","A","Abandonment Of Homestead is defined as: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. Example: An example applying the concept of Abandonment Of Homestead in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. is the legal definition of:","Accommodator","Resort Property","Restoration","Restraint Of Alienation","A","Accommodator is defined as: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. Example: An example applying the concept of Accommodator in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","What real estate term matches the following description: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A..","Resubdivision","Administrator","Restraint Of Alienation","Restoration","B","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: A written statement or declaration, sworn to before an officer who has authority to administer an oath.","Affidavit","Reversion","Resubdivision","Restraint Of Alienation","A","Affidavit is defined as: A written statement or declaration, sworn to before an officer who has authority to administer an oath. Example: An example applying the concept of Affidavit in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support. matches which of the following terms?","Affidavit Of Alimony And Child Support","Safety Clause","Reversion","Resubdivision","A","Affidavit Of Alimony And Child Support is defined as: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support. Example: An example applying the concept of Affidavit Of Alimony And Child Support in U.S. real estate transactions."
