section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,"When an emergency vehicle approaches with lights or siren active, what must a driver do immediately?","a:Pull to the right and stop.,b:Slow down and stay in lane.,c:Pull to the right and turn on four-way flashers.,d:Drive to the left shoulder and stop",a,You must promptly pull to the right and stop to allow emergency vehicles to pass safely.,medium
1,Traffic Laws & Rules of the Road,Which statement best describes drivers who have consumed alcohol and then drive?,"a:They do not have sufficient control over their bodies, minds, or vehicles,b:They are always aware of the risks, c:They become better drivers because they are more careful",a,"Alcohol is a depressant that reduces judgment, vision, coordination, and reaction time, impairing a driver’s ability to operate a vehicle safely.",medium
1,Traffic Laws & Rules of the Road,"When approaching railroad tracks, what should you do?","a:Look and listen, slow down, and be prepared to stop.,b:Speed up to cross before a train appears.,c:Drive around lowered gates if a car is stuck on the tracks.,d:Keep radio volume high to hear signals better.",a,"Always look, listen, and be ready to stop at tracks; do not go around gates or take risks.",medium
1,Traffic Laws & Rules of the Road,How must a driver respond to a flashing red traffic signal?,"a:Come to a complete stop, yield to traffic and pedestrians, then proceed when safe.,b:Slow down and continue without stopping.,c:Merge to the right.",a,"A flashing red light means stop, yield to other traffic and pedestrians, and proceed only when it is safe.",medium
1,Traffic Laws & Rules of the Road,"If you socialize and drink alcohol, what is a safe option to ensure safe travel?","a:Ride home with a friend who has not been drinking.,b:Drink coffee before driving.,c:Take a cold shower before driving.,d:Wait 10 minutes and then drive",a,Arranging a sober ride home prevents impaired driving; coffee or a shower does not reduce blood alcohol content.,medium
1,Traffic Laws & Rules of the Road,Does talking or texting on a cell phone significantly increase crash risk?,"a:False,b:True",b,Using a handheld or hands-free phone for talking or texting distracts you and increases the likelihood of a crash; it reduces attention and reaction time.,medium
1,Traffic Laws & Rules of the Road,"When driving near heavy trucks, what must other drivers allow for?","a:The increased stopping distance required by large vehicles,b:The decreased stopping distance of trucks,c:The reduced noise levels from larger vehicles",a,Large vehicles need more distance to stop; smaller vehicles should avoid lingering in truck blind spots and give them extra space.,medium
1,Traffic Laws & Rules of the Road,Which behavior describes an inattentive driver?,"a:Daydreaming or staring at objects off the roadway while driving.,b:Checking mirrors frequently and scanning traffic.,c:Watching only the car directly ahead.,d:Using turn signals when changing lanes.",a,Inattentive drivers are distracted by non-driving activities and do not adequately scan the road.,medium
1,Traffic Laws & Rules of the Road,"When making an emergency roadside stop, is it unnecessary to set the parking brake?","a:False,b:True",a,"When you make an emergency stop, set your parking brake and turn on your emergency flashers to alert other drivers.",medium
1,Traffic Laws & Rules of the Road,"Which traffic signal situation requires you to come to a complete stop, yield, then proceed when clear?","a:A flashing red light.,b:A solid green light.,c:A flashing yellow light.,d:A steady yellow light",a,"A flashing red light functions like a stop sign: stop, yield to others, and proceed when safe.",medium
1,Traffic Laws & Rules of the Road,"If an oncoming vehicle fails to dim its high beams, where should you glance?","a:Toward the right edge of your lane.,b:Directly at the source of the light.,c:Toward the left side of the road.,d:At the center line for reference.",a,Glance to the right side of the road to avoid temporary blindness from glare while maintaining roadway position.,medium
1,Traffic Laws & Rules of the Road,"What is the default speed limit in business, residential, and school districts unless otherwise posted?","a:25 mph,b:15 mph,c:30 mph",a,"Unless signs indicate otherwise, the speed limit for passenger vehicles and motorcycles in business, residential, or school areas is 25 mph.",medium
1,Traffic Laws & Rules of the Road,"Before turning left at an intersection, what is important to do?","a:Yield to oncoming vehicles and pedestrians,b:Sound your horn to warn oncoming traffic,c:Swing to the right side of your lane to make room",a,Before making a left turn you must yield to oncoming traffic and pedestrians; do not turn unless the way is clear and it is legal to do so.,medium
1,Traffic Laws & Rules of the Road,What type of signs are typically orange?,"a:Work zone and construction signs.,b:Regulatory signs like speed limits.,c:School zone signs.,d:Recreational area signs.",a,Orange signs warn of work zones or construction and alert drivers to changing conditions ahead.,medium
1,Traffic Laws & Rules of the Road,"What does a 'Reduced speed, 35 mph' sign mean?","a:The new 35 mph speed limit begins at this sign.,b:The reduced speed begins at the next sign.,c:You have plenty of time to slow down before the zone.,d:The advisory speed begins after the sign",a,A posted reduced speed sign indicates the new posted speed limit begins at that sign.,medium
1,Traffic Laws & Rules of the Road,"At a school crossing sign, what should drivers do?","a:Watch for children and be prepared to stop.,b:Always stop even if no children are present.,c:Always sound your horn when children are near.,d:Drive at normal speed if no crossing guard is present",a,Always yield to pedestrians and be alert for children who may enter the crosswalk or roadway unexpectedly.,medium
1,Traffic Laws & Rules of the Road,"Is signaling before turning, changing lanes, or pulling away from a curb required?","a:Yes — it is required by law and a good habit,b:Only if other traffic is present,c:Only during the maneuver itself, not beforehand",a,You must signal your intentions in advance (Virginia requires signaling at least 100 feet before changing lanes or turning) so other road users can anticipate your actions.,medium
1,Traffic Laws & Rules of the Road,What should you adjust first when you sit in a vehicle before driving?,"a:Your seat.,b:Your rearview mirror.,c:Your seat belt.",a,"Adjust your seat first so you can reach the controls and see the road, then set mirrors and fasten your seat belt.",medium
1,Traffic Laws & Rules of the Road,Signs that warn drivers about hazardous conditions are called what?,"a:Warning signs,b:Regulatory signs,c:Information signs",a,Warning signs (usually yellow with black symbols) advise drivers of potentially hazardous conditions ahead and should be obeyed for safety.,medium
1,Traffic Laws & Rules of the Road,Which statement about speed is correct?,"a:Driving too slowly on some highways can be dangerous.,b:Speeding is safe if you are skilled.,c:Speed has no effect on crash severity.,d:Speeding never results in fatalities",a,Both driving too fast and driving much slower than traffic can be dangerous; speed increases crash severity and risk.,medium
1,Traffic Laws & Rules of the Road,When should you look over your shoulder to check a blind spot?,"a:When changing lanes,b:When turning left or right,c:When pulling toward or away from a curb,d:All of the above",d,"Check blind spots any time you intend to change the vehicle's position—turning, changing lanes, or parking.",medium
