section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,When are you allowed to drive on the shoulder of the road?,"a:Only when directed to do so by an official.,b:When the car in front of you is driving too slowly.,c:When the car in front of you is turning.,d:Whenever you need to pass another vehicle.",a,"Driving on the shoulder is permitted only under official direction (e.g., emergency or traffic control); it is not a legal passing lane.",medium
5,Driving in Special Conditions,Roads are most slippery at which time?,"a:Just after it starts to rain.,b:When it has been raining hard for several hours.,c:When they are clean and dry.,d:During a heavy downpour after several hours.",a,"Road surface oils mix with the first rain, creating very slippery conditions often during the first half-hour of rain.",easy
7,Vehicle Ownership & Responsibilities,Which statement about railroad crossings is correct?,"a:You must stop at a railroad crossing when directed by a flagger or stop sign.,b:You have the right-of-way at all railroad crossings.,c:You should use cruise control to maintain speed across tracks.,d:You never need to stop at railroad crossings.",a,"Stop at railroad crossings when signs, signals, or flaggers direct you to do so, and always proceed with caution near tracks.",easy
3,"Signs, Signals & Road Markings","If an overhead lane sign shows an arrow with the word 'ONLY' beneath it, what must you do?","a:Always change lanes to the left.,b:Drive in the direction shown by the arrow.,c:Look for a destination sign to decide.,d:Ignore the arrow if the way looks clear.",b,A lane control sign indicates you must travel in the direction shown by the arrow from that lane.,easy
5,Driving in Special Conditions,"When roads are icy or snowy, what should you do before descending a steep hill?","a:Follow closely behind the vehicle ahead to maintain traction.,b:Pump the brakes continuously to prevent freezing.,c:Shift into a low gear before going down the hill.",c,"On slippery slopes, shift to a low gear to use engine braking and avoid riding the brakes; maintain extra space behind the vehicle ahead and avoid quick stops. If you don’t have ABS, you may need to pump the brakes to slow down.",medium
7,Vehicle Ownership & Responsibilities,"If your car's suspension is in poor condition, what problem can result?","a:Vehicle control problems.,b:Squealing brakes.,c:Improved fuel economy.,d:Increased tire pressure.",a,Bad suspension reduces vehicle control and ride comfort and may make the car difficult to handle.,difficult
8,Special Situations & Road Users,How must you yield when an emergency vehicle with siren and lights approaches?,"a:Drive as close as possible to the right edge of the road and stop.,b:Stop immediately even if you are in an intersection.,c:Move into the right lane and slow until it passes.",a,"Pull to the right edge of the road and stop, avoiding stopping in an intersection, until the emergency vehicle passes.",easy
5,Driving in Special Conditions,When in rainy weather you should be most cautious when turning or stopping:,"a:During the first half hour of rain.,b:After it has been raining hard for several hours.,c:When the pavement is freshly cleaned.,d:Only during heavy downpours.",a,Roads are especially slippery shortly after rain begins because oil and residue on the surface mix with the water.,easy
3,"Signs, Signals & Road Markings",What do signs with orange backgrounds indicate?,"a:Construction and maintenance warnings.,b:General warning signs.,c:Regulatory instructions.",a,Orange signs are specifically used to warn drivers about construction and maintenance areas ahead.,easy
4,Safe & Defensive Driving Practices,"If a child is about to run into the street, what should you do immediately?","a:Sound a sharp blast of your horn to warn them.,b:Flash your headlights to get attention.,c:Begin to prepare to slow down in stages.,d:Drive past slowly so as not to startle the child.",a,"If a child or pedestrian is about to enter your path, a sharp horn blast can warn them and help prevent a collision.",easy
3,"Signs, Signals & Road Markings",During what times are drivers required to use headlights?,"a:From one-half hour after sunset until one-half hour before sunrise, and whenever visibility is less than 200 feet.,b:Only during the day in clear weather.,c:Whenever the driver feels tired.",a,Headlights are legally required from 30 minutes after sunset to 30 minutes before sunrise and anytime visibility drops below 200 feet.,medium
6,"Alcohol, Drugs & Impaired Driving",What is the only thing that can lower your BAC and reduce alcohol’s effects?,"a:Time for the body to metabolize the alcohol.,b:Consuming coffee or caffeine.,c:Eating high-fat foods.,d:Taking a cold shower.",a,Only the passage of time allows the body to remove alcohol; nothing else speeds up the process.,easy
6,"Alcohol, Drugs & Impaired Driving",When is it acceptable to drive while using a medication that impairs your driving?,"a:Only if it was prescribed by a physician.,b:If you don't feel drowsy.,c:Under no circumstances.,d:If you take half the recommended dose.",c,"It is illegal and unsafe to drive under the influence of any substance—alcohol, prescription or over-the-counter medications, or illegal drugs—that impairs your ability to drive.",easy
3,"Signs, Signals & Road Markings","When encountering a flashing yellow traffic signal at an intersection, how should you proceed?","a:Slow down and cross the intersection carefully.,b:Stop first, then enter when safe.,c:Yield to all traffic before crossing regardless of conditions.",a,A flashing yellow light means proceed with caution—slow down and be alert for cross traffic or other hazards.,easy
3,"Signs, Signals & Road Markings",What does a double solid yellow centerline indicate about passing?,"a:Passing is not allowed from either direction.,b:Passing is allowed from both directions.,c:Passing is allowed only from your direction of travel.",a,Double solid yellow lines prohibit passing for traffic in both directions.,easy
7,Vehicle Ownership & Responsibilities,"When backing up a vehicle, what is the correct practice?","a:Look through the rear window while backing up.,b:Rely only on your rearview mirror.,c:Press the accelerator as needed to move quickly.,d:Use your side mirrors only.",a,"When reversing, turn and look through the rear window; do not depend solely on mirrors and move at a low speed.",easy
4,Safe & Defensive Driving Practices,"If your vehicle's rear end skids to the left, what steering action should you take?","a:Steer to the left (in the direction you want to go).,b:Steer to the right.,c:Tap the brakes lightly and shift into neutral.,d:Hold the steering wheel straight and speed up.",a,"If your rear skids left, steer left to bring the front of the vehicle into alignment with the rear; avoid braking hard during the skid.",difficult
5,Driving in Special Conditions,"When preparing to exit an interstate, when should you begin slowing?","a:About halfway through the deceleration lane.,b:Immediately upon entering the deceleration lane.,c:As you approach the deceleration lane.",a,"Maintain highway speed until in the deceleration lane, then reduce speed to the advisory exit speed before the ramp curve.",medium
7,Vehicle Ownership & Responsibilities,South Dakota requires vehicles to be covered by liability insurance:,"a:At all times.,b:Only when used on an interstate.,c:Only when driven by a minor.,d:Only when registered out of state.",a,State law requires vehicles to be properly registered and insured at all times; drivers must carry proof of insurance.,medium
2,Traffic Laws & Rules of the Road,When may drivers stop in a travel lane?,"a:When they are lost.,b:Never.,c:When dropping off a passenger.",b,Do not stop in travel lanes for any reason; pull completely off the roadway when stopping is necessary.,easy
