section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,To whom must drivers turning left yield?,"a:Oncoming traffic that is going straight or turning right.,b:Vehicles following behind them.,c:Drivers making a right turn",a,"Drivers making left turns must yield to all vehicles, bicycles, and motorcycles approaching from the opposite direction.",easy
2,Traffic Laws & Rules of the Road,When should you drive the posted maximum speed limit?,"a:Only under ideal driving and road conditions.,b:Only during daytime hours.,c:Only during nighttime hours.",a,"The maximum posted speed is for ideal conditions; reduce speed for rain, traffic, poor visibility, or other hazards.",medium
7,Vehicle Ownership & Responsibilities,"After a minor intersection collision with no injuries, what should you do if possible?","a:Leave your vehicle in the traffic lane until police arrive.,b:Move your vehicle out of the traffic lane if it is safe to do so.,c:Leave the scene immediately.,d:Stand in traffic to warn others.",b,"If there are no injuries and it's safe, move vehicles out of the travel lanes to prevent further collisions.",medium
7,Vehicle Ownership & Responsibilities,"If you must park in an area not normally used for parking, what should you ensure?","a:Park with reverse lights on.,b:Make your vehicle visible to drivers from any direction.,c:Park five feet from the curb.,d:Leave the engine running.",b,"When parked unusually, ensure your vehicle is visible to approaching drivers so it doesn't become a hazard.",medium
2,Traffic Laws & Rules of the Road,"When making a left turn at an intersection, who must you yield to?","a:Oncoming traffic and pedestrians always.,b:Oncoming traffic only if it is turning left.,c:Pedestrians only if a Walk signal is displayed.",a,Drivers turning left must yield to oncoming traffic and to pedestrians in the crosswalk before completing the turn.,easy
4,Safe & Defensive Driving Practices,Which statement about blind spots is correct?,"a:Mirrors eliminate all blind spots.,b:Large trucks have bigger blind spots than most passenger vehicles.,c:You can check blind spots using only your rearview mirror.,d:Blind spots don't exist at low speeds.",b,Large trucks have much larger blind spots than passenger vehicles; always be cautious when driving near them.,easy
8,Special Situations & Road Users,When a gate at a railroad crossing is lowering you should:,"a:Drive around the gate.,b:Come to a complete stop and wait.,c:Speed up and cross the tracks before the gate lowers completely.",b,Do not cross when a gate is lowering; stop and wait until it is fully raised and signals have stopped.,easy
4,Safe & Defensive Driving Practices,Which action indicates you are driving defensively?,"a:Keeping your eyes fixed on the vehicle directly ahead.,b:Putting one car length between you and the vehicle ahead.,c:Continuously scanning and keeping your eyes moving for hazards.",c,Defensive drivers continually scan the road and surroundings to anticipate hazards rather than staring at one spot.,easy
5,Driving in Special Conditions,What should you avoid doing when the road is slippery just after rain begins?,"a:Avoid making turns and stops while driving at high speeds.,b:Test your tires' traction while going uphill.,c:Decrease the distance you look ahead of your vehicle.",a,On wet roads reduce speed and avoid sudden turns or stops to reduce the chance of skidding.,easy
5,Driving in Special Conditions,When is it necessary to use your low beams?,"a:In fog, rain, snow, or mist.,b:Only on a lighted street.,c:Only on a freeway.,d:When following another vehicle at any distance.",a,Use low beams in precipitation or low visibility to reduce glare and improve visibility.,easy
4,Safe & Defensive Driving Practices,Which of the following is the correct practice for using your feet in driving?,"a:Use your left foot to brake.,b:Use your right foot for both braking and accelerating your vehicle.,c:You should always brake abruptly to ensure stopping.",b,Use your right foot for both the accelerator and brake for smoother and safer control of the vehicle.,easy
5,Driving in Special Conditions,Which headlight setting is best when driving in fog?,"a:Low beam headlights,b:High beam headlights,c:Four-way flashers",a,"Use low beams in fog, rain, or snow because high beams reflect off moisture and reduce visibility.",easy
8,Special Situations & Road Users,Where are a truck's blind spots typically located?,"a:Directly behind the truck only.,b:On the immediate left of the cab only.,c:Both directly behind and on the immediate left side of the cab.,d:Only to the truck's right side.",c,Trucks have large blind spots on the immediate left of the cab and directly behind the truck where the driver cannot see smaller vehicles.,medium
4,Safe & Defensive Driving Practices,Driving more slowly than surrounding traffic is:,"a:A good idea if the weather is bad.,b:Appropriate if you don’t know the speed limit.,c:Often a hazard because other drivers may become frustrated and try to pass you.",c,Driving much slower than surrounding traffic can create hazards as other drivers attempt risky passes.,medium
8,Special Situations & Road Users,"When following a school bus or a tank truck carrying hazardous materials, what should you be prepared for?","a:To pass them on the right.,b:To stop at all railroad crossings they must stop at.,c:To decrease your following distance.",b,School buses and tank trucks carrying hazardous cargo are required to stop at railroad crossings; be prepared to stop as well.,medium
2,Traffic Laws & Rules of the Road,Is it ever acceptable to drive off the paved roadway to pass another vehicle?,"a:Under no circumstances — do not drive off the main traveled portion to pass.,b:Only if the vehicle ahead is turning left.,c:If there are two or more lanes going your direction, you may.",a,You must not leave the paved or main-traveled portion of the road to pass another vehicle.,easy
6,"Alcohol, Drugs & Impaired Driving","If you have had several beers, the only way to reduce the effects of alcohol is to:","a:Take a cold shower.,b:Wait several hours.,c:Drink several cups of coffee.",b,Time is the only means by which the body can metabolize alcohol; other methods do not speed elimination.,medium
2,Traffic Laws & Rules of the Road,What do No Passing Zone signs indicate?,"a:That you should speed up slightly.,b:That it is not safe to pass in the area.,c:That you should maintain your current speed.",b,A No Passing Zone sign means passing is prohibited because visibility or conditions make passing unsafe.,easy
3,"Signs, Signals & Road Markings",What shape/color and markings identify temporary work zone signs?,"a:Diamond-shaped or rectangular with orange background and black symbols or letters.,b:Square or rectangular with white and red coloring.,c:Round or octagonal with black and yellow coloring.",a,Temporary work zone signs use orange backgrounds with black text or symbols to warn of roadwork and hazards.,easy
