section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving",What kinds of drugs can impair your driving ability?,"a:Only illegal drugs.,b:Only prescription medicines.,c:Over-the-counter, prescription, and illegal drugs.,d:No drugs affect driving if taken as directed.",c,"Many drugs — illegal, prescription, or over-the-counter — may impair driving and make it unsafe or illegal to drive.",easy
4,Safe & Defensive Driving Practices,"If your vehicle's accelerator sticks open, what is the correct response?","a:Shift to neutral, turn on hazard lights, apply brakes gradually, and safely pull off the road; then turn off the ignition.,b:Slam the brakes and hold them down hard.,c:Keep accelerating to reach a safe area quickly.,d:Turn the steering wheel sharply to stall the engine.",a,"If the throttle sticks, shift to neutral and safely slow to the side while using brakes and hazards; then turn off the engine when safe.",difficult
8,Special Situations & Road Users,"On a two-lane road without bicycle lanes, the safest way to pass a bicyclist is to:","a:Slow down, wait for no oncoming traffic, and pass leaving sufficient space.;b:Honk and expect the bicyclist to move over.;c:Pass as close as possible to minimize time near them.;d:Force them off the road by driving quickly past.",a,Give bicyclists at least 3 feet of space (more at higher speeds or with groups) and only pass when it is safe to do so.,medium
8,Special Situations & Road Users,May you drive around or under a railroad crossing gate that is being lowered or raised?,"a:No; you must not go around gates while they are moving even if a train is not visible.,b:Yes, if you first look carefully.,c:Yes, as long as an approaching train is far away.,d:Yes, if your vehicle can go under without touching the gate.",a,Do not go around lowered or moving gates; wait until the gates are fully raised and signals have stopped before crossing.,easy
2,Traffic Laws & Rules of the Road,What do speed limit signs legally indicate?,"a:The maximum or minimum speed that is legally allowed under ideal conditions.,b:Potential driving speeds for the area.,c:The speed drivers should drive in heavy traffic.,d:A recommended speed for inexperienced drivers.",a,Speed limit signs state the maximum or minimum legal speeds under ideal conditions; drivers must reduce speed when conditions require it.,medium
7,Vehicle Ownership & Responsibilities,Why is a leaking exhaust system hazardous?,"a:A loss of hearing.,b:Pollution.,c:Carbon monoxide poisoning.",c,"A leaking exhaust can allow carbon monoxide to enter the passenger compartment, which can be deadly; repair exhaust leaks promptly.",medium
2,Traffic Laws & Rules of the Road,"When merging from an entrance ramp onto a crowded freeway, what should you do?","a:Use mirrors and blind-spot checks and use the acceleration lane to match freeway speed.,b:Stop at the end of the ramp and wait for a gap.,c:Yield only to vehicles on your left.,d:Enter immediately without checking.",a,"Use the acceleration lane to match freeway speed, check mirrors and blind spots, and yield to traffic already on the freeway.",medium
8,Special Situations & Road Users,You hear a siren behind you while driving. What should you do?,"a:Safely pull over to the right and stop to allow the emergency vehicle to pass.,b:Stop immediately where you are and remain.,c:Speed up to get out of the way.,d:Ignore it if you do not see lights.",a,"When an emergency vehicle approaches from behind, create a clear path by pulling to the right and stopping when safe to do so.",easy
4,Safe & Defensive Driving Practices,Which factor greatly increases stopping distance and the seriousness of a crash?,"a:High speeds,b:Slow speeds,c:Night driving.",a,Higher speeds greatly increase stopping distance and the potential severity of a crash; driving faster increases impact force.,easy
3,"Signs, Signals & Road Markings",What does a single broken yellow line down the center of a two-lane road mean?,"a:Traffic moves in opposite directions and passing is allowed when it is safe.,b:Traffic moves in the same direction and passing is prohibited.,c:You must not cross for any reason.,d:It marks a bicycle lane.",a,A single broken yellow line separates opposing traffic and permits passing from either side when it’s safe.,easy
