section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"When you hear or see an emergency vehicle approaching, what should you do?","a:Proceed slowly and ignore it if possible.,b:Stop immediately in your current lane.,c:Drive as far right as is safe and stop.",c,"When an emergency vehicle with flashing lights and siren approaches, you must yield the right-of-way by pulling as far to the right side of the road as is safe and stopping until it has passed. Do not stop in the middle of a lane or in an intersection, and never try to outrun or follow closely behind an emergency vehicle.",easy
3,"Signs, Signals & Road Markings",What do double solid yellow lines down the middle of the road mean?,"a:Indication of a railroad crossing ahead.,b:Passing is not allowed from either direction.,c:Only pedestrians may cross here.",b,"Double solid yellow lines separate traffic moving in opposite directions and mean you must not pass from either direction. You may cross them only to make a left turn or to enter/exit a driveway or side road when it is safe and legal, but not to overtake and pass another vehicle.",easy
3,"Signs, Signals & Road Markings",Which recommendation does NOT help safe night driving?,"a:Being aware that dark-tinted windows reduce nighttime visibility.,b:Carrying a flashlight in your vehicle.,c:Keeping your windshield dirty so glare is reduced.",c,"For safe night driving, keep your windshield clean inside and out, because dirt and film increase glare from headlights and streetlights and reduce how well you can see. Dark window tint can further reduce visibility at night, so be aware of its effect. Carrying a flashlight can be helpful if you must stop or walk outside your vehicle in the dark, but you should never keep your windshield dirty to reduce glare.",medium
4,Safe & Defensive Driving Practices,"Before backing out of a driveway where children are playing, what should you do?","a:Start the car and back out slowly while watching your mirrors.,b:Sound the horn to warn the children.,c:Get out and walk to the back of the car to be sure the way is clear.",c,"Before backing where children may be present, you should walk behind the vehicle and check the area. Mirrors and cameras have blind spots close to the vehicle, so physically checking behind you is the safest way to avoid hitting a child or object.",easy
2,Traffic Laws & Rules of the Road,"When preparing to make a left turn, what should drivers do?","a:Watch for oncoming vehicles and pedestrians and yield when necessary.,b:Move into the left lane and signal.,c:Slow down gradually while checking their rearview mirror only.",a,"When preparing for a left turn, you must signal, move into the proper lane in advance, and most importantly watch for oncoming traffic, cyclists, and pedestrians. You must yield to oncoming vehicles and pedestrians in the crosswalk before turning when it is safe.",medium
5,Driving in Special Conditions,"If you start to feel tired while driving, what is the best action?","a:Open a window to stay awake.,b:Drink coffee and keep going.,c:Stop driving and rest.",c,"When you feel tired while driving, your reaction time and judgment are reduced, and you may even fall asleep briefly without realizing it. Opening a window or drinking coffee cannot fully overcome fatigue. The safest action is to get off the road as soon as you can do so safely, stop driving, and rest or change drivers before continuing.",easy
4,Safe & Defensive Driving Practices,Which practice helps prevent drowsiness on long trips?,"a:Reducing your speed significantly.,b:Keeping the radio on loud.,c:Stopping regularly to rest and stretch.",c,"On long trips, the safest way to fight drowsiness is to stop regularly to rest, walk, and stretch. Loud music or just slowing down does not keep you alert and can give a false sense of safety. Plan breaks before you feel very tired, and switch drivers if possible.",easy
4,Safe & Defensive Driving Practices,Which commonly causes traffic accidents?,"a:Inattentive driving and excessive speed for conditions as well as following too closely.,b:Only bad weather.,c:Mechanical failures exclusively.",a,"Many crashes are caused by driver behavior such as not paying attention, driving too fast for road or weather conditions, and following other vehicles too closely. These behaviors reduce the time and space you have to react to hazards, greatly increasing the chance of a collision.",easy
8,Special Situations & Road Users,"When approaching a railroad crossing, what precautions should you take?","a:Assume the tracks are clear if no train is visible.,b:Speed up to clear the crossing quickly.,c:Slow down, look and listen for trains, and be prepared to stop if a train is approaching or warning devices are active.",c,"Approach railroad crossings with caution: slow down, look and listen for trains in both directions, and be prepared to stop. Obey all warning signs, lights, and gates, and never go around lowered gates or try to beat a train.",medium
8,Special Situations & Road Users,"When crossing railroad tracks, what should you do to be safe?","a:Listen,b:Look and listen for trains in both directions and only cross when it is clearly safe.,c:Cross especially quickly when a train is approaching.",b,"At railroad crossings, you must slow down, look carefully in both directions, and listen for trains. Only cross the tracks when you are sure no train is coming and there is enough space to clear the tracks completely. Never try to cross quickly when a train is approaching; trains are much faster and need far more distance to stop than a car.",easy
