section-num,section-name,question,options,correct-answer,note,difficulty
7,Vehicle Ownership & Responsibilities,"If your accelerator becomes stuck while driving, what should you do first?","a:Shift to neutral and apply steady pressure on the brake.,b:Reach down and try to pull the pedal up.,c:Shift into park immediately.",a,"Keep control, shift to neutral, brake steadily, and then pull off the road safely before turning off the engine.",difficult
1,Licensing & Permit Requirements,"After a suspended license is restored, how long is the probationary driving period?","a:Two years.,b:One year.,c:Six months.",b,Drivers whose privileges were suspended and later restored are placed on probation for one year; violations during this time may result in further suspension.,medium
4,Safe & Defensive Driving Practices,When changing lanes you should:,"a:Rely only on your mirrors.,b:Begin signaling as you move into the lane.,c:Signal at least 100 feet before changing lanes and check blind spots.",c,"Signal before you change lanes (about 100 feet in residential areas), check mirrors and glance over your shoulder to check blind spots.",medium
4,Safe & Defensive Driving Practices,How should you scan the road to prepare for hazards ahead?,"a:Fix your gaze straight ahead at all times.,b:Keep your left foot lightly on the brake pedal.,c:Continuously scan the entire roadway and adjacent areas.",c,"Search well ahead, to the sides, and behind to identify potential problems before they occur. Constant scanning helps you react early.",easy
5,Driving in Special Conditions,What is the best way to avoid hydroplaning on wet roads?,"a:Speed up to get through puddles quickly.,b:Use cruise control at all times.,c:Drive in the center of the roadway only.,d:Maintain properly inflated and treaded tires and reduce speed on wet surfaces.",d,Proper tire maintenance and reducing speed in wet conditions help prevent hydroplaning and loss of control.,medium
4,Safe & Defensive Driving Practices,"When backing your vehicle, what is the correct practice?","a:Turn your head and look out the rear window rather than relying solely on mirrors.,b:Rely only on your mirrors.,c:Open the driver's door to see if it is safe.",a,"When reversing, look over your shoulder and check behind your vehicle; do not depend only on mirrors or sensors.",easy
2,Traffic Laws & Rules of the Road,"When making a right turn on a green light, you must do which of the following?","a:Yield to pedestrians and any vehicles with the right-of-way.,b:Maintain your normal speed and proceed.,c:Stop and search for nearby police cars first.",a,"Unless a sign prohibits it, you may turn on green but must yield to pedestrians and any oncoming traffic that has the right-of-way.",easy
4,Safe & Defensive Driving Practices,"When faced with an oncoming car on the left and a bicyclist on the right, what is the safest move?","a:Let the oncoming car pass first, then pass the bicyclist.,b:Drive between them and split the difference.,c:Pull onto the shoulder to pass both at once.",a,"Deal with one hazard at a time: let the oncoming car pass, then safely pass the bicyclist when clear.",medium
3,"Signs, Signals & Road Markings",A regulatory sign showing a red circle with a slash through a black symbol means:,"a:Drivers should come to a complete stop.,b:The depicted action is forbidden.,c:Some drivers should yield to others.",b,"A red circle with a diagonal slash identifies actions that are prohibited, such as no U-turn or no left turn.",easy
2,Traffic Laws & Rules of the Road,From which lane should you begin a left turn from multilane one-way streets or highways?,"a:The far left lane.,b:The right lane.,c:The middle of the intersection.",a,"When turning left from a multi-lane one-way street or highway, start from the left-most lane designated for left turns.",medium
