id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
83668,ਜਦੋਂ ਕੋਈ ਐਂਬੂਲੈਂਸ ਆਪਣੀਆਂ ਲਾਈਟਾਂ ਚਮਕਦੀ ਹੋਈ ਨੇੜੇ ਆਉਂਦੀ ਹੈ ਤਾਂ ਡਰਾਈਵਰਾਂ ਨੂੰ ਕਾਨੂੰਨੀ ਤੌਰ 'ਤੇ ਕੀ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ?,,ਹੌਲੀ ਕਰੋ ਅਤੇ ਸਾਵਧਾਨੀ ਨਾਲ ਅੱਗੇ ਵਧੋ।,ਸੱਜੇ ਪਾਸੇ ਵੱਲ ਖਿੱਚੋ ਅਤੇ ਰੁਕੋ।,ਖੱਬੇ ਪਾਸੇ ਵੱਲ ਖਿੱਚੋ ਅਤੇ ਰੁਕੋ।,"ਪੋਸਟ ਕੀਤੀ ਗਤੀ ਨਾਲ ਜਾਰੀ ਰੱਖੋ, ਐਂਬੂਲੈਂਸ ਤੁਹਾਨੂੰ ਖੱਬੇ ਪਾਸੇ ਤੋਂ ਪਾਸ ਕਰੇਗੀ।",B,
83684,"ਸ਼ਹਿਰ ਦੇ ਟ੍ਰੈਫਿਕ ਵਿੱਚ, ਇੱਕ ਡਰਾਈਵਰ ਜਿਸ ਵਿੱਚ ਕਾਰ ਦੀਆਂ ਖਿੜਕੀਆਂ ਖੁੱਲ੍ਹੀਆਂ ਹਨ ਅਤੇ ਕੋਈ ਰੇਡੀਓ ਨਹੀਂ ਚੱਲਦਾ, ਉਹ ਸ਼ਾਇਦ _____ ਫੁੱਟ ਤੋਂ ਵੱਧ ਦੂਰ ਸਾਇਰਨ ਦਾ ਪਤਾ ਨਾ ਲਗਾ ਸਕੇ।",,50,15,123,100,C,
83671,"ਕਿਸੇ ਹੋਰ ਵਾਹਨ ਦਾ ਪਿੱਛਾ ਕਰਦੇ ਸਮੇਂ, ਹੇਠਾਂ ਦਿੱਤੀ ਦੂਰੀ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ",,ਜਦੋਂ ਸੜਕ ਤਿਲਕਣ ਹੁੰਦੀ ਹੈ ਤਾਂ ਦੁੱਗਣੀ ਹੁੰਦੀ ਹੈ।,ਪੈਕ ਬਰਫ਼ ਨਾਲ ਇੱਕ ਸੜਕ 'ਤੇ ਤਿੰਨ ਗੁਣਾ.,ਜੇਕਰ ਤੁਹਾਡਾ ਵਾਹਨ ਭਾਰੀ ਹੈ ਤਾਂ 50% ਦਾ ਵਾਧਾ।,ਉਪਰੋਕਤ ਵਿੱਚੋਂ ਕੋਈ ਵੀ।,D,
83655,ਐਂਬੂਲੈਂਸ ਦੀ ਮਕੈਨੀਕਲ ਸੁਰੱਖਿਆ ਲਈ ਕੌਣ ਜ਼ਿੰਮੇਵਾਰ ਹੈ?,,ਐਂਬੂਲੈਂਸ ਡਰਾਈਵਰ,ਸੇਵਾ ਦਾ ਮਾਲਕ,ਸੇਵਾ ਮਕੈਨਿਕ,ਐਂਬੂਲੈਂਸ ਸੇਵਾਦਾਰ,A,
83648,"ਜਦੋਂ ਐਂਬੂਲੈਂਸ ਦੋ ਜਾਂ ਦੋ ਤੋਂ ਵੱਧ ਸੇਵਾਵਾਂ ਤੋਂ ਆਸਾਨੀ ਨਾਲ ਉਪਲਬਧ ਹੁੰਦੀ ਹੈ, ਤਾਂ ਤੁਹਾਡੀ ਐਂਬੂਲੈਂਸ ਕੰਪਨੀ ਮੋਟਰ ਵਾਹਨ ਦੁਰਘਟਨਾ ਦਾ ਜਵਾਬ ਦੇ ਸਕਦੀ ਹੈ",,ਸਿਰਫ਼ ਸ਼ਾਂਤੀ ਅਧਿਕਾਰੀ ਜਾਂ ਜਨਤਕ ਏਜੰਸੀ ਡਿਸਪੈਚਰ ਦੀ ਹਦਾਇਤ 'ਤੇ।,ਜਦੋਂ ਵੀ ਤੁਹਾਡੀ ਐਂਬੂਲੈਂਸ ਤੁਹਾਡੇ ਪ੍ਰਤੀਯੋਗੀ ਦੇ ਮੁਕਾਬਲੇ ਸੀਨ ਦੇ ਨੇੜੇ ਹੁੰਦੀ ਹੈ।,ਕਿਸੇ ਹੋਰ ਐਂਬੂਲੈਂਸ ਡਰਾਈਵਰ ਤੋਂ ਕਾਲ ਪ੍ਰਾਪਤ ਕਰਨ ਤੋਂ ਤੁਰੰਤ ਬਾਅਦ।,ਇੱਕ ਨਿੱਜੀ ਵਿਅਕਤੀ ਤੋਂ ਕਾਲ ਪ੍ਰਾਪਤ ਕਰਨ ਤੋਂ ਤੁਰੰਤ ਬਾਅਦ.,A,
83654,ਐਂਬੂਲੈਂਸ 'ਤੇ ਲਾਲ ਚੇਤਾਵਨੀ ਲਾਈਟਾਂ ਦਿਖਾਈਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ,,ਐਮਰਜੈਂਸੀ ਕਾਲ ਦਾ ਜਵਾਬ ਦੇਣ ਵੇਲੇ।,ਜਦੋਂ ਇੱਕ ਬਹੁਤ ਜ਼ਿਆਦਾ ਖ਼ਤਰਾ ਮੌਜੂਦ ਹੁੰਦਾ ਹੈ।,ਜਦੋਂ ਮਰੀਜ਼ ਨੂੰ ਲਿਜਾਣ ਵਿੱਚ ਗਤੀ ਮਹੱਤਵਪੂਰਨ ਹੁੰਦੀ ਹੈ।,ਉਪਰੋਕਤ ਹਾਲਾਤਾਂ ਵਿੱਚੋਂ ਕਿਸੇ ਵੀ ਅਧੀਨ।,D,
83663,ਇੱਕ ਅਸਥਾਈ ਸਰਟੀਫਿਕੇਟ ਦੇ ਬਾਅਦ ਬੇਕਾਰ ਹੋ ਜਾਵੇਗਾ,,180 ਦਿਨ।,3 ਮਹੀਨੇ।,5 ਸਾਲ।,1 ਸਾਲ।,A,
83643,"""ਕੋਡ 3"" ਛੋਟਾਂ ਦੇ ਤਹਿਤ ਗੱਡੀ ਚਲਾਉਣ ਵੇਲੇ, ਤੁਸੀਂ ਸਿਰਫ਼ ਲਾਲ ਬੱਤੀ ਦੀ ਉਲੰਘਣਾ ਕਰ ਸਕਦੇ ਹੋ",,ਪਹਿਲਾਂ ਫੁੱਲ ਸਟਾਪ 'ਤੇ ਆਉਣ ਤੋਂ ਬਾਅਦ।,ਜਦੋਂ ਤੁਸੀਂ 30 ਮੀਲ ਪ੍ਰਤੀ ਘੰਟਾ ਤੋਂ ਵੱਧ ਤੇਜ਼ ਗੱਡੀ ਨਹੀਂ ਚਲਾ ਰਹੇ ਹੋ।,ਜਦੋਂ ਆਲੇ-ਦੁਆਲੇ ਕੋਈ ਹੋਰ ਆਵਾਜਾਈ ਨਹੀਂ ਹੁੰਦੀ।,15 ਮੀਲ ਪ੍ਰਤੀ ਘੰਟਾ ਤੱਕ ਹੌਲੀ ਹੋਣ ਤੋਂ ਬਾਅਦ.,D,
83679,ਦੁਆਰਾ ਚੇਤਾਵਨੀ ਲੈਂਪ ਦੀ ਪ੍ਰਭਾਵਸ਼ੀਲਤਾ ਨੂੰ ਘਟਾਇਆ ਜਾ ਸਕਦਾ ਹੈ,,ਘੱਟ ਸੂਰਜ ਜਾਂ ਚਮਕ.,ਟ੍ਰੈਫਿਕ ਸਿਗਨਲਾਂ ਅਤੇ ਨਿਓਨ ਲਾਈਟਾਂ ਨਾਲ ਉਲਝਣ.,ਜੇਕਰ ਐਂਬੂਲੈਂਸ 'ਤੇ ਬਹੁਤ ਜ਼ਿਆਦਾ ਜਾਂ ਬਹੁਤ ਘੱਟ ਮਾਊਂਟ ਕੀਤਾ ਗਿਆ ਹੈ।,ਉਪਰੋਕਤ ਕਾਰਕਾਂ ਵਿੱਚੋਂ ਕੋਈ ਜਾਂ ਸਾਰੇ।,D,
83644,"ਭਾਵੇਂ ਤੁਹਾਡੇ ਕੋਲ ਐਂਬੂਲੈਂਸ ਡਰਾਈਵਰ ਸਰਟੀਫਿਕੇਟ ਹੈ ਜੋ ਪਿਛਲੇ ਸਾਲ ਦਸੰਬਰ ਤੋਂ ਬਾਅਦ ਨਵਿਆਇਆ ਗਿਆ ਹੈ, ਤੁਸੀਂ ਐਮਰਜੈਂਸੀ ਕਾਲ ਦਾ ਜਵਾਬ ਨਹੀਂ ਦੇ ਸਕਦੇ ਹੋ",,ਜੇਕਰ ਤੁਹਾਡੀ ਲੋੜੀਂਦੀ EMT ਦੀ ਮਿਆਦ ਪੁੱਗ ਗਈ ਹੈ।,ਜੇਕਰ ਤੁਹਾਡਾ ਮੈਡੀਕਲ ਸਰਟੀਫਿਕੇਟ ਪਿਛਲੇ ਦੋ ਸਾਲਾਂ ਵਿੱਚ ਜਾਰੀ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਸੀ।,ਜੇਕਰ ਤੁਹਾਡੇ ਡਰਾਈਵਰ ਲਾਇਸੈਂਸ ਨੂੰ ਮੁਅੱਤਲ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ।,ਉਪਰੋਕਤ ਸਥਿਤੀਆਂ ਵਿੱਚੋਂ ਕਿਸੇ ਵਿੱਚ ਵੀ.,D,
