id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11607,ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਵਿੱਚ ਹਵਾ ਦੇ ਦਬਾਅ ਦੇ ਨੁਕਸਾਨ ਦਾ ਕਾਰਨ ਹੋਵੇਗਾ:,,ਸਸਪੈਂਸ਼ਨ ਸਪਰਿੰਗਜ਼ ਨੂੰ ਵਧਾਉਣ ਲਈ।,ਖੋਲ੍ਹਣ ਲਈ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ।,ਸਰਗਰਮ ਕਰਨ ਲਈ ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕਾਂ।,,C,ਐਮਰਜੈਂਸੀ ਏਅਰ ਲਾਈਨ ਇੱਕ ਸੁਮੇਲ ਵਾਹਨ 'ਤੇ ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕਾਂ ਨੂੰ ਨਿਯੰਤਰਿਤ ਕਰਦੀ ਹੈ। ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਵਿੱਚ ਹਵਾ ਦੇ ਦਬਾਅ ਦਾ ਨੁਕਸਾਨ ਐਮਰਜੈਂਸੀ ਟ੍ਰੇਲਰ ਬ੍ਰੇਕਾਂ ਨੂੰ ਸਰਗਰਮ ਕਰਨ ਦਾ ਕਾਰਨ ਬਣੇਗਾ।
11858,"ਕਨਵਰਟਰ ਡੌਲੀ ਨੂੰ ਦੂਜੇ ਟ੍ਰੇਲਰ ਨਾਲ ਜੋੜਦੇ ਸਮੇਂ, ਟ੍ਰੇਲਰ ਦੀ ਉਚਾਈ ਪੰਜਵੇਂ ਪਹੀਏ ਦਾ ਕੇਂਦਰ ____ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।",,ਦੇ ਨਾਲ ਪੱਧਰ,ਤੋਂ ਥੋੜ੍ਹਾ ਉੱਚਾ ਹੈ,ਤੋਂ ਥੋੜ੍ਹਾ ਘੱਟ,,C,"ਕਨਵਰਟਰ ਡੌਲੀ ਨੂੰ ਦੂਜੇ ਜਾਂ ਤੀਜੇ ਟ੍ਰੇਲਰ ਨਾਲ ਜੋੜਦੇ ਸਮੇਂ, ਟ੍ਰੇਲਰ ਦੀ ਉਚਾਈ ਸਹੀ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ। ਇਹ ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਕੇਂਦਰ ਤੋਂ ਥੋੜ੍ਹਾ ਘੱਟ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।"
11559,"ਅਚਾਨਕ ਮੋੜ ਵਿੱਚ, ____ ਟ੍ਰੇਲਰ ਦੇ ਉਲਟ ਜਾਣ ਦੀ ਸਭ ਤੋਂ ਵੱਧ ਸੰਭਾਵਨਾ ਹੈ।",,ਸਾਹਮਣੇ,ਆਖਰੀ,ਮਿਡਲ,,B,"ਮੋੜ ਬਣਾਉਂਦੇ ਸਮੇਂ, ਹੌਲੀ ਅਤੇ ਸੁਚਾਰੂ ਢੰਗ ਨਾਲ ਚਲਾਉਣਾ ਯਕੀਨੀ ਬਣਾਓ। ਟ੍ਰੇਲਰਾਂ ਨੂੰ ਖਿੱਚਦੇ ਸਮੇਂ ਤੇਜ਼ ਮੋੜ ਲੈਣਾ ਖਤਰਨਾਕ ਹੁੰਦਾ ਹੈ ਅਤੇ ਆਖਰੀ ਟ੍ਰੇਲਰ ਦੇ ਘੁੰਮਣ ਦੇ ਜੋਖਮ ਨੂੰ ਵਧਾ ਸਕਦਾ ਹੈ।"
11839,"ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਨੂੰ ਪੂਰਾ ਕਰਨ ਤੋਂ ਬਾਅਦ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ:",,ਸਰਵਿਸ ਲਾਈਨ ਵਾਲਵ ਬੰਦ ਹੈ।,ਟ੍ਰੇਲਰ ਹੈਂਡ ਬ੍ਰੇਕ ਲਾਗੂ ਕੀਤਾ ਗਿਆ ਹੈ।,ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਵਾਲਵ ਖੁੱਲ੍ਹਾ ਹੈ।,,A,"ਯਾਤਰਾ ਤੋਂ ਪਹਿਲਾਂ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਪਿਛਲੀ ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਅਤੇ ਸਰਵਿਸ ਲਾਈਨ ਬੰਦ ਕਰਨ ਵਾਲੇ ਵਾਲਵ ਖੋਲ੍ਹ ਕੇ ਅਤੇ ਬਾਹਰ ਨਿਕਲਣ ਵਾਲੀ ਹਵਾ ਨੂੰ ਸੁਣ ਕੇ ਸਾਰੇ ਟਰੇਲਰਾਂ 'ਤੇ ਸਾਰੇ ਏਅਰ ਬ੍ਰੇਕਾਂ ਤੱਕ ਹਵਾ ਪਹੁੰਚ ਜਾਵੇ। ਗੱਡੀ ਚਲਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਦੋਵੇਂ ਬੰਦ ਵਾਲਵ ਬੰਦ ਕਰੋ।"
9468,____ ਤੋਂ ਬਾਅਦ ਬਣਾਏ ਗਏ ਸਾਰੇ ਟ੍ਰੇਲਰ ਐਂਟੀ-ਲਾਕ ਬ੍ਰੇਕਿੰਗ ਸਿਸਟਮ (ABS) ਨਾਲ ਲੈਸ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ।,,1943,1998,2009,,B,"1 ਮਾਰਚ, 1998 ਨੂੰ ਜਾਂ ਇਸ ਤੋਂ ਬਾਅਦ ਨਿਰਮਿਤ ਸਾਰੇ ਟ੍ਰੇਲਰ ਅਤੇ ਕਨਵਰਟਰ ਡੌਲੀਆਂ ਵਿੱਚ ਐਂਟੀ-ਲਾਕ ਬ੍ਰੇਕਿੰਗ ਸਿਸਟਮ (ABS) ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ।"
11605,"ਇੱਕ ਏਅਰ ਸਪਲਾਈ ਕੰਟਰੋਲ ਲੀਵਰ ਆਪਣੀ ""ਆਮ"" ਸਥਿਤੀ ਵਿੱਚ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ ਜਦੋਂ ਤੁਸੀਂ:",,ਟਾਇਰ ਬਦਲਣਾ।,ਟ੍ਰੇਲਰ ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕਾਂ ਨੂੰ ਲਾਗੂ ਕਰਨਾ।,ਇੱਕ ਟ੍ਰੇਲਰ ਖਿੱਚ ਰਿਹਾ ਹੈ।,,C,"ਪੁਰਾਣੇ ਵਾਹਨਾਂ ਵਿੱਚ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਨਿਯੰਤਰਣ ਨੌਬਸ ਦੀ ਬਜਾਏ ਲੀਵਰ ਦੁਆਰਾ ਚਲਾਏ ਜਾ ਸਕਦੇ ਹਨ। ਜੇਕਰ ਇੱਕ ਹਵਾ ਸਪਲਾਈ ਨਿਯੰਤਰਣ ਇਸਦੀ ""ਆਮ"" ਸਥਿਤੀ ਵਿੱਚ ਸੈੱਟ ਕੀਤਾ ਗਿਆ ਹੈ, ਤਾਂ ਇਹ ਤੁਹਾਡੇ ਲਈ ਟ੍ਰੇਲਰ ਨੂੰ ਖਿੱਚਣ ਲਈ ਸਹੀ ਢੰਗ ਨਾਲ ਸੈੱਟ ਕੀਤਾ ਗਿਆ ਹੈ।"
11526,ਉਪਰਲੇ ਅਤੇ ਹੇਠਲੇ ਪੰਜਵੇਂ ਪਹੀਏ ਵਿਚਕਾਰ ਕਿੰਨੀ ਥਾਂ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ?,,ਲਗਭਗ ਪੰਜ ਇੰਚ ਸਪੇਸ,ਵੱਧ ਤੋਂ ਵੱਧ ਦੋ ਇੰਚ ਸਪੇਸ,ਕੋਈ ਥਾਂ ਨਹੀਂ,,C,"ਯਾਤਰਾ ਤੋਂ ਪਹਿਲਾਂ, ਸਾਰੇ ਜੋੜਾਂ ਦੀ ਜਾਂਚ ਕਰਨਾ ਯਕੀਨੀ ਬਣਾਓ। ਉਪਰਲੇ ਅਤੇ ਹੇਠਲੇ ਪੰਜਵੇਂ ਪਹੀਏ ਵਿਚਕਾਰ ਕੋਈ ਥਾਂ ਨਹੀਂ ਹੋਣੀ ਚਾਹੀਦੀ।"
11569,"ਇੱਕ ਆਟੋਮੈਟਿਕ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ ਨਾਲ ਲੈਸ ਵਾਹਨ ਵਿੱਚ, ਵਾਲਵ ਉਦੋਂ ਬਾਹਰ ਆ ਜਾਵੇਗਾ ਜਦੋਂ:",,ਹਵਾ ਦਾ ਦਬਾਅ 20 ਅਤੇ 45 psi ਦੇ ਵਿਚਕਾਰ ਇੱਕ ਪੱਧਰ ਤੱਕ ਘੱਟ ਜਾਂਦਾ ਹੈ।,ਤੁਸੀਂ ਟ੍ਰੇਲਰ ਜੈਕਨੀਫ ਦਾ ਅਨੁਭਵ ਕਰ ਰਹੇ ਹੋ।,ਪਹੀਏ ਸਕਿੱਡ ਤੋਂ ਬਾਅਦ ਮੁੜ ਤੋਂ ਟ੍ਰੈਕਸ਼ਨ ਪ੍ਰਾਪਤ ਕਰਦੇ ਹਨ।,,A,"ਆਟੋਮੈਟਿਕ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ ਨਾਲ ਲੈਸ ਵਾਹਨਾਂ ਵਿੱਚ, ਜੇਕਰ ਹਵਾ ਦਾ ਦਬਾਅ 20 ਅਤੇ 45 psi ਦੇ ਵਿਚਕਾਰ ਇੱਕ ਪੱਧਰ ਤੱਕ ਘੱਟ ਜਾਂਦਾ ਹੈ ਤਾਂ ਵਾਲਵ ਬਾਹਰ ਆ ਜਾਵੇਗਾ। ਜਦੋਂ ਵਾਲਵ ਬਾਹਰ ਨਿਕਲਦਾ ਹੈ, ਤਾਂ ਸੁਰੱਖਿਆ ਵਾਲਵ ਬੰਦ ਹੋ ਜਾਵੇਗਾ, ਹਵਾ ਦੇ ਪ੍ਰਵਾਹ ਨੂੰ ਰੋਕਦਾ ਹੈ।"
9895,ਹੇਠਾਂ ਦਿੱਤੇ ਵਿੱਚੋਂ ਕਿਹੜਾ ਇੱਕ ਰੀਗ ਨੂੰ ਰੋਲ ਓਵਰ ਹੋਣ ਤੋਂ ਰੋਕਣ ਵਿੱਚ ਮਦਦ ਨਹੀਂ ਕਰੇਗਾ?,,ਕਾਰਗੋ ਨੂੰ ਜਿੰਨਾ ਸੰਭਵ ਹੋ ਸਕੇ ਜ਼ਮੀਨ ਦੇ ਨੇੜੇ ਰੱਖਣਾ,ਮੋੜ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਹੌਲੀ-ਹੌਲੀ ਗੱਡੀ ਚਲਾਉਣਾ,ਇੱਕ ਸੜਕ ਦੇ ਮੋਢੇ 'ਤੇ ਗੱਡੀ ਚਲਾਉਣਾ,,C,"ਇੱਕ ਰਿਗ ਨੂੰ ਰੋਲਿੰਗ ਤੋਂ ਰੋਕਣ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ, ਤੁਹਾਨੂੰ ਲੋਡ ਕਰਨ ਵੇਲੇ ਕਾਰਗੋ ਦੇ ਭਾਰ ਨੂੰ ਜ਼ਮੀਨ ਦੇ ਜਿੰਨਾ ਸੰਭਵ ਹੋ ਸਕੇ ਨੇੜੇ ਰੱਖਣਾ ਚਾਹੀਦਾ ਹੈ। ਤੁਹਾਨੂੰ ਮੋੜ ਦੁਆਲੇ ਹੌਲੀ-ਹੌਲੀ ਗੱਡੀ ਵੀ ਚਲਾਉਣੀ ਚਾਹੀਦੀ ਹੈ।"
11567,ਟ੍ਰੇਲਰ ਏਅਰ ਸਪਲਾਈ ਨਿਯੰਤਰਣ ਵਿੱਚ ਧੱਕੋ:,,ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕਾਂ ਨੂੰ ਸਰਗਰਮ ਕਰੋ।,ਏਅਰ ਬ੍ਰੇਕਾਂ ਨੂੰ ਅਕਿਰਿਆਸ਼ੀਲ ਕਰੋ।,ਟ੍ਰੇਲਰ ਨੂੰ ਹਵਾ ਨਾਲ ਸਪਲਾਈ ਕਰੋ।,,C,ਟ੍ਰੇਲਰ ਨੂੰ ਹਵਾ ਨਾਲ ਸਪਲਾਈ ਕਰਨ ਲਈ ਟ੍ਰੇਲਰ ਏਅਰ ਸਪਲਾਈ ਕੰਟਰੋਲ ਵਿੱਚ ਧੱਕੋ। ਹਵਾ ਦੀ ਸਪਲਾਈ ਬੰਦ ਕਰਨ ਅਤੇ ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕਾਂ ਨੂੰ ਸਰਗਰਮ ਕਰਨ ਲਈ ਟ੍ਰੇਲਰ ਏਅਰ ਸਪਲਾਈ ਕੰਟਰੋਲ ਨੂੰ ਬਾਹਰ ਕੱਢੋ।
