section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,How do stopping distances and crash severity change with higher speeds?,"a:Increase as vehicle speed increases.,b:Decrease as vehicle speed increases.,c:Are not affected by vehicle speed.",a,"As your speed increases, both your stopping distance and the force of any crash increase. You need more distance to react and brake, and the impact is much more severe at higher speeds, so you should leave a larger following distance as you go faster.",
5,Driving in Special Conditions,How should you drive just after it begins to rain?,"a:Avoid making turns and stops at high speed.,b:Test your tires' traction while going uphill.,c:Decrease the distance you look ahead of your vehicle.",a,"When rain first begins, oil and dirt on the road mix with water and make the surface very slippery. You should slow down and avoid fast turns or sudden stops so your tires can maintain traction and you have better control of the vehicle.",
8,Special Situations & Road Users,Extra space in front of a large truck is needed so:,"a:Other drivers have space in front of the truck when they need to slow down.,b:The truck driver has room to stop the vehicle safely.,c:Other drivers can merge onto the freeway more easily.",b,"Large trucks are heavy and need a much longer distance to stop than smaller vehicles. Leaving extra space in front of a truck gives the truck driver enough room to slow or stop safely, reducing the risk of a rear-end collision if traffic suddenly changes.",
6,"Alcohol, Drugs & Impaired Driving",Which statement about legal and over-the-counter drugs is true?,"a:Only illegal drugs can impair your driving.,b:Any prescription drug is safe to use if you don't feel drowsy.,c:Even over-the-counter drugs can impair your driving.",c,"Many prescription and over-the-counter medicines, such as cold, allergy, and sleep medications, can cause drowsiness or slow your reactions. Even if a drug is legal, it can still impair your driving, and it is illegal to drive while impaired by any drug.",
5,Driving in Special Conditions,"In fog, which lights should you use?","a:Use your parking lights.,b:Use your high beam headlights.,c:Use your low beam headlights.",c,"In fog, use low beam headlights so you can see and be seen without creating extra glare. High beams reflect off the fog and make it harder to see, while low beams aim light down toward the road and improve visibility.",
2,Traffic Laws & Rules of the Road,"As you enter a roundabout, you should slow down and:","a:Yield to any car already within the roundabout.,b:Yield to any crossing pedestrians and bicyclists.,c:Both of the above.",c,"When approaching a roundabout, slow down and yield to pedestrians and bicyclists in crosswalks, and to all traffic already circulating inside the roundabout. Vehicles in the roundabout have the right-of-way over entering traffic.",
4,Safe & Defensive Driving Practices,How often should you check your rearview mirrors?,"a:Often to see how traffic is moving behind you.,b:Only when you are slowing down.,c:To see if a vehicle is in your blind spot.",a,"Check your mirrors frequently to stay aware of traffic behind and beside you. Regular mirror checks help you spot fast-approaching vehicles, tailgaters, and changing traffic conditions so you can react safely.",
2,Traffic Laws & Rules of the Road,"If you reach an intersection but are not in the correct lane to make your intended turn, what should you do?","a:Continue to the next intersection to make the turn.,b:Signal the direction you want to go and wait for a gap.,c:Stop and wait until the way is clear before turning.",a,"If you are not in the correct lane for your intended turn, continue straight and make your turn at the next intersection from the proper lane. Turning from the wrong lane is unsafe and often illegal.",difficult
5,Driving in Special Conditions,"To improve visibility in rain or fog, drivers should use:","a:Low beam headlights.,b:High beam headlights.,c:Parking lights.",a,"In rain or fog, use low-beam headlights. Low beams reduce glare and help you see the road and be seen by others. High beams reflect off moisture in the air and can make it harder to see.",
5,Driving in Special Conditions,How should you adjust driving on gravel or dirt surfaces?,"a:Your tires grip better than on pavement.,b:You have less traction than on pavement, so slow down.,c:Visibility is better than on pavement.",b,"On gravel or dirt, your tires have less traction and your stopping distance increases. Slow down, avoid sudden steering or braking, and increase your following distance to maintain control.",
5,Driving in Special Conditions,"During adverse weather, how should you steer and brake?","a:Steer off the road.,b:Drive in a low gear.,c:Steer and brake smoothly.",c,"In rain, snow, ice, or other poor conditions, sudden steering or hard braking can cause a skid. Use gentle, smooth steering and gradual braking so your tires keep traction and you maintain control of the vehicle.",
4,Safe & Defensive Driving Practices,What is the best method to avoid dangerous driving situations?,"a:Know what is happening around your vehicle.,b:Turn off the radio.,c:Always keep your eyes focused ahead of your car.",a,"The best way to avoid dangerous situations is to stay aware of everything around your vehicle. Check ahead, to the sides, and behind you frequently so you can spot hazards early and adjust your speed or position before they become emergencies.",
5,Driving in Special Conditions,How can you reduce glare from oncoming headlights?,"a:Look briefly toward the right side of the road.,b:Stay focused on the centerline.,c:Flash your high beams at them.",a,"When oncoming headlights cause glare, briefly look toward the right edge of your lane and use it as a guide. This keeps you in your lane without staring directly into the bright lights, which can temporarily blind you.",
3,"Signs, Signals & Road Markings","What do ""No passing zone"" signs indicate?","a:To maintain a steady speed.,b:That it is not safe to pass.,c:To speed up slightly.",b,"A “No Passing Zone” sign means you must not pass other vehicles in that area. These zones are placed where visibility, curves, hills, or other conditions make passing unsafe, so you must stay in your lane until the restriction ends.",
3,"Signs, Signals & Road Markings",At an intersection with a flashing yellow light you must:,"a:Wait for the green light before proceeding.,b:Slow down and cross the intersection carefully.,c:Stop before crossing the intersection.",b,"A flashing yellow light means proceed with caution. Slow down, be prepared to stop, and yield to pedestrians and any traffic that has the right‑of‑way before you enter the intersection.",
2,Traffic Laws & Rules of the Road,At what speed should you travel?,"a:At the speed of vehicles surrounding you.,b:At the posted speed limit.,c:At a speed appropriate for road and weather conditions.",c,"You must always choose a speed that is safe for current road, traffic, and weather conditions. This may be lower than the posted speed limit when visibility is poor, the road is wet or icy, or traffic is heavy. You may never exceed the posted speed limit, even if other drivers are going faster.",
6,"Alcohol, Drugs & Impaired Driving",What is the only proven method to eliminate alcohol from your system?,"a:Drink strong coffee.,b:Wait.,c:Take a cold shower.",b,"Only time allows your body to break down and eliminate alcohol. Your liver can process only a certain amount per hour, and nothing you eat, drink, or do—such as coffee, a cold shower, or exercise—will speed this up. You must wait until your body has had enough time to metabolize the alcohol before driving.",
3,"Signs, Signals & Road Markings",A double solid yellow centerline indicates that passing is:,"a:Allowed from both directions.,b:Allowed only from your direction of travel.,c:Not allowed from either direction.",c,"A double solid yellow centerline means vehicles in both directions are prohibited from crossing the lines to pass. You may cross only when making a permitted left turn into or out of a driveway or side road, but you may not use the opposing lane to pass another vehicle from either direction.",
5,Driving in Special Conditions,"Which headlights should be used in fog, rain, or snow?","a:Fog lights only.,b:High beams.,c:Low beams.",c,"In fog, rain, or snow, use low beam headlights. High beams reflect off moisture in the air, creating glare and making it harder to see. Low beams provide better forward visibility and make your vehicle more visible to others without causing excessive glare.",
5,Driving in Special Conditions,How should you enter the interstate from a short ramp with no acceleration lane?,"a:Immediately enter the far-right traffic lane and speed up.,b:Use the shoulder to get up to traffic speed.,c:Speed up and enter only after identifying a gap in traffic.",c,"On a short entrance ramp with no acceleration lane, you must adjust your speed on the ramp and enter only when you see a safe gap in traffic. Do not drive on the shoulder to gain speed. Yield to interstate traffic and merge smoothly when there is enough space.",
6,"Alcohol, Drugs & Impaired Driving",What does Tennessee's Implied Consent Law require of drivers?,"a:If requested, you must submit to a test for alcohol or drugs.,b:Traffic laws apply even without signs at intersections.,c:You may refuse tests for alcohol or drugs without consequence.",a,"Tennessee’s Implied Consent Law means that by driving on Tennessee roads, you have already agreed to take a chemical test (breath, blood, or urine) if a law enforcement officer lawfully requests it. You may refuse, but that refusal brings automatic penalties such as license suspension, separate from any DUI charge.",difficult
5,Driving in Special Conditions,If your vehicle begins to hydroplane on water you should:,"a:Apply the brakes firmly to prevent your vehicle from sliding.,b:Drive at a constant speed to gain better traction.,c:Slow down gradually and not apply the brakes.",c,"When your vehicle hydroplanes, the tires lose contact with the road and ride on top of the water. You should ease off the accelerator and let the vehicle slow down gradually. Do not brake hard or make sudden steering movements, because that can cause a skid. Once you feel the tires regain traction, you can brake gently if needed.",
4,Safe & Defensive Driving Practices,"If a tire suddenly goes flat while driving, you should:","a:Press down on the brake pedal as hard as you can.,b:Slow down gradually and not brake.,c:Rapidly pump the brake pedal several times.",b,"If a tire blows out or goes flat suddenly, grip the steering wheel firmly, keep the vehicle going straight, and ease your foot off the accelerator. Let the vehicle slow down gradually without hard braking, then gently apply the brakes when you have control and can move safely off the road. Hard or sudden braking can cause you to lose control, especially at higher speeds.",
2,Traffic Laws & Rules of the Road,When must you come to a complete stop?,"a:Where there is a red traffic light.,b:At any intersection where a police officer orders you to stop.,c:Both of the above.",c,"You must come to a complete stop at a steady red traffic light and at a flashing red light, just as you would at a stop sign. You also must stop whenever a police officer directing traffic orders you to stop, even if the traffic signal would otherwise allow you to go. Obeying traffic signals and lawful orders from officers is required in all states.",
2,Traffic Laws & Rules of the Road,What should you do first before stopping your vehicle at a traffic signal or sign?,"a:Set the parking brake.,b:Check your mirrors for surrounding traffic.,c:Press down hard on the accelerator.",b,"Before stopping for a signal or sign, check your mirrors so you know what traffic is doing behind and around you. This helps you brake smoothly and gives drivers behind you time to react. After checking, ease off the accelerator and apply steady pressure to the brake pedal to come to a controlled stop.",
5,Driving in Special Conditions,"What is the purpose of work zone barriers, drums, cones, and signs?","a:Inconvenience drivers.,b:Make drivers angry about slow traffic.,c:Keep traffic out of hazardous work zones.",c,"Work zone barriers, drums, cones, and signs are used to guide traffic safely around or through construction areas and to keep vehicles out of hazardous work zones, protecting both drivers and workers.",
2,Traffic Laws & Rules of the Road,Which of the following is true about changing lanes?,"a:Look over your right shoulder for a right lane change and your left shoulder for a left lane change.,b:Vehicles with two outside mirrors do not have blind spots.,c:You only need to turn and look over your right shoulder for lane changes to the right or left.",a,"Before changing lanes, always signal, check your mirrors, and then quickly look over the shoulder on the side you are moving toward to check your blind spot. Even with mirrors, blind spots still exist, so you must turn your head to be sure the lane is clear.",
5,Driving in Special Conditions,When driving through work zones you should:,"a:Maintain your normal speed the whole way through the zone.,b:Reduce your speed and be prepared to stop suddenly.,c:Increase your speed to get through the zone as quickly as possible.",b,"In work zones, you must slow down, obey posted work zone speed limits, and be prepared to stop suddenly. Workers, equipment, and changed traffic patterns can appear unexpectedly, so extra caution and reduced speed are essential.",
