section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When an emergency vehicle with flashing lights is approaching, you must:","a:Maintain your speed and stay in your lane until the vehicle has passed.,b:Move into the right lane and drive slowly until the vehicle has passed.,c:Pull over to the curb or edge of the road and stop until the vehicle has passed.",c,"Pull over to the right edge of the road and stop to allow emergency vehicles to pass safely; on one-way streets, drive to the nearest road edge.",easy
2,Traffic Laws & Rules of the Road,"When making a left turn, you should begin the turn from:","a:Make the turn from any lane, providing you signal well in advance.,b:Make the turn from the rightmost lane.,c:Make the turn from the leftmost lane.",c,Turn from the lane closest to the direction you intend to go (leftmost lane) and enter the nearest appropriate lane.,medium
2,Traffic Laws & Rules of the Road,Excessive speed most often:,"a:Increases your ability to react to a hazard.,b:Does not increase the chance of a crash.,c:Often leads to high-risk decision-making.",c,Speeding is a leading factor in crashes and typically leads to riskier decisions that increase crash severity.,easy
5,Driving in Special Conditions,"When driving behind another vehicle at night, you should:","a:Use your high beam headlights.,b:Use your high beam headlights until you are within 10 feet of the vehicle ahead.,c:Keep your headlights on the low beam setting.",c,Lower your headlights to low beams when following closely to avoid blinding the driver ahead and to reduce glare.,easy
1,Licensing & Permit Requirements,"What is the nighttime driving curfew for 16- and 17-year-olds (effective Aug 1, 2008)?","a:10 p.m. to 6 a.m.,b:11 p.m. to 5 a.m.,c:12 a.m. to 5 a.m.",b,"16- and 17-year-old drivers are generally prohibited from driving between 11 p.m. and 5 a.m. unless exceptions apply for work, school, religious activities, or medical necessity.",difficult
8,Special Situations & Road Users,"If a truck or bus is making a right turn where you also need to turn right, you should:","a:Squeeze between the truck or bus and the curb.,b:Wait until the truck or bus turns before you turn.,c:Quickly turn before the truck or bus is able to.",b,Do not try to cut between a large vehicle and the curb while it is turning; wait until it completes its turn.,medium
5,Driving in Special Conditions,What does safe interstate driving require of motorists?,"a:Have the ability to safely drive at increased speeds.,b:Be constantly alert.,c:Both of the above.",c,Interstate driving requires drivers to handle higher speeds safely and stay constantly alert for traffic and roadway hazards.,medium
4,Safe & Defensive Driving Practices,What important action should you take before making a turn?,"a:Increase your speed.,b:Check traffic in all directions.,c:Always move to the left lane.",b,"Before turning, check traffic to the front, rear, and both sides to ensure the maneuver can be made safely.",easy
2,Traffic Laws & Rules of the Road,A red arrow pointing to the right on a traffic signal means you may:,"a:Turn in that direction after slowing and checking for traffic.,b:Not turn in that direction until the light turns green.,c:Turn in that direction after you come to a complete stop.",b,A red arrow means no turning in the arrow direction until a green signal or arrow permits the turn.,easy
2,Traffic Laws & Rules of the Road,"When approaching an intersection controlled by a flashing red light, what must you do?","a:Reduce your speed and proceed with caution.,b:Come to a complete stop, yield to oncoming traffic and pedestrians, then proceed.,c:Come to a complete stop and remain stopped as long as the light is red.",b,"A flashing red light functions like a stop sign: stop, yield to others, and proceed only when safe.",easy
2,Traffic Laws & Rules of the Road,What is the proper method to make a right turn?,"a:Signal, slow down, and move into the lane nearest the right curb before turning.,b:Signal, slow down, and move toward the centerline before turning.,c:Approach in the left lane and swing wide.,d:Signal only if other traffic is present.",a,"Signal, slow, and approach the turn from the lane nearest the right curb or edge, staying close to the curb.",easy
4,Safe & Defensive Driving Practices,How can you make room for cars entering the freeway?,"a:Maintain your speed and position.,b:Slow down or change lanes to create a gap.,c:Honk to alert them to merge.,d:Speed up to pass them quickly.",b,"When safe, merge into another lane or slow to create a gap so entering vehicles can merge smoothly.",easy
2,Traffic Laws & Rules of the Road,Should you drive on the shoulder to pass a car?,"a:If the shoulder is wide enough.,b:Under no circumstances.,c:If the vehicle ahead of you is turning left.",b,Passing on the shoulder is unsafe and illegal; only pass where the roadway permits and it is safe to do so.,easy
7,Vehicle Ownership & Responsibilities,"When parking next to a curb, when should you use your turn signals?","a:Only when pulling away from the curb.,b:When pulling next to, but not away from, the curb.,c:When pulling next to or away from the curb.",c,Signal when pulling next to a curb and when pulling away so other drivers understand your intentions.,easy
5,Driving in Special Conditions,"If you must make an emergency stop on an interstate, what should you do?","a:Sound your horn at passing cars to get their attention.,b:Get out of your vehicle and flag down the first vehicle that passes.,c:Pull off the road, turn on your emergency flashers, and stay in your vehicle, if you can.",c,"If stopping on the shoulder, turn on emergency flashers and remain in the vehicle if it is safe to do so; walking along an interstate is hazardous.",easy
8,Special Situations & Road Users,"When following a motorcycle, allow extra space in front of your vehicle because:","a:Passenger vehicle.,b:Station wagon.,c:Motorcycle.",c,"Motorcycles can stop more quickly and are harder to see, so give them additional space to respond safely.",easy
6,"Alcohol, Drugs & Impaired Driving",Which driving skills are impaired by alcohol or drugs?,"a:Reaction time and coordination.,b:All of the above.,c:Alertness and concentration.",b,"Alcohol and many drugs reduce alertness and concentration, slow reaction times, and impair coordination.",easy
4,Safe & Defensive Driving Practices,What is the effect of excessive speed?,"a:Saves time so you can get to your destination more quickly.,b:Helps you maneuver around obstacles.,c:Increases the likelihood of serious bodily injury and death.",c,Excessive speed greatly increases the chance of severe crashes and is a leading contributing factor in fatal collisions.,easy
4,Safe & Defensive Driving Practices,"With oncoming traffic to your left and parked cars to your right, steer:","a:Closer to the oncoming vehicles than the parked vehicles.,b:A middle course between the oncoming and parked vehicles.,c:Closer to the parked vehicles than the oncoming vehicles.",b,Maintain a middle course between oncoming traffic and parked cars to maximize clearance on both sides.,easy
2,Traffic Laws & Rules of the Road,"When merging onto a freeway, how fast should you be traveling?","a:More slowly than the freeway traffic.,b:At or near the speed of the freeway traffic.,c:At the legal speed limit.",b,"Enter the freeway at or near the speed of the existing traffic so you can merge smoothly, unless that speed exceeds the legal limit.",medium
5,Driving in Special Conditions,What defensive action should you take when driving at night?,"a:Always use your high beams.,b:Look directly at the headlights of an oncoming vehicle.,c:Increase your following distance.",c,Increase following distance when visibility is reduced at night and use headlights correctly to improve safety.,easy
4,Safe & Defensive Driving Practices,"When traffic is merging into your lane on the freeway, what should you do?","a:Assert your right-of-way by speeding up.,b:Make room for the merging traffic if possible.,c:Always maintain your exact position.,d:Move onto the shoulder to let them in.",b,"When safe, make room to let merging vehicles enter the lane smoothly rather than asserting right-of-way aggressively.",easy
2,Traffic Laws & Rules of the Road,What does a yellow left-turn arrow indicate?,"a:Drivers should prepare to yield to oncoming traffic.,b:The protected left turn is about to end.,c:Both of the above.",c,A yellow arrow warns that the protected left-turn phase is ending and drivers should prepare to yield to oncoming traffic.,medium
4,Safe & Defensive Driving Practices,"If you start to feel tired while driving, what is the best action?","a:Open a window.,b:Drink something with caffeine.,c:Stop and either get rest or change drivers.",c,"To avoid fatigue-related crashes, stop and rest or switch drivers; short fixes like caffeine or an open window aren't reliable.",easy
4,Safe & Defensive Driving Practices,How can you help keep the driver behind you a safe distance away?,"a:Driving 10 mph faster than the car behind you.,b:Driving 10 mph slower than the car behind you.,c:Maintaining a steady speed.",c,Maintain a steady speed and signal well in advance to help the driver behind keep a safe following distance.,easy
4,Safe & Defensive Driving Practices,Stopping distances and crash severity:,"a:Decrease as vehicle speed increases.,b:Are not affected by vehicle speed.,c:Increase as vehicle speed increases.",c,Higher speeds increase stopping distances and the likelihood of more severe crashes; adjust speed to conditions.,medium
5,Driving in Special Conditions,"If the rear of your vehicle begins to skid left, what steering action should you take?","a:Turn the steering wheel to the left (into the skid).,b:Turn the steering wheel to the right (away from the skid).,c:Keep the steering wheel straight and not turn.,d:Brake hard immediately.",a,"If the rear skids left, steer left (into the skid) while easing off the accelerator; with ABS, brake firmly while steering.",medium
8,Special Situations & Road Users,"If you see pedestrians in an upcoming crosswalk, a motorist should:","a:Continue ahead. The motorist has the right-of-way.,b:Wait for the pedestrians to cross the street.,c:Pull to the right and go around the pedestrians.",b,Drivers must yield to pedestrians within crosswalks and wait until they have safely crossed before proceeding.,easy
6,"Alcohol, Drugs & Impaired Driving",Which statement about drugs and driving is correct?,"a:Only illegal drugs can impair your driving.,b:Even over-the-counter drugs can impair your driving.,c:Any prescription drug is safe to use if you don't feel drowsy.,d:You are always safe to drive if the label does not warn against driving.",b,Both prescription and over-the-counter medicines can impair driving ability; it is illegal to drive under the influence of any drug that affects your driving.,medium
2,Traffic Laws & Rules of the Road,"If you come to an intersection controlled by a flashing yellow light, you must:","a:Wait for the green light before proceeding.,b:Slow down and cross the intersection carefully.,c:Stop before crossing the intersection.",b,"A flashing yellow signal means slow down, be alert, and proceed through the intersection with caution.",easy
2,Traffic Laws & Rules of the Road,"When entering a freeway, how should you check traffic before merging?","a:Using your rearview and side mirrors only.,b:Using your side mirror and looking over your shoulder.,c:Using your rearview mirror only.,d:Using the horn to alert others.",b,Use side mirrors and a shoulder check to view blind spots and ensure it's safe to merge.,medium
2,Traffic Laws & Rules of the Road,Which action should you never take when changing lanes?,"a:Cross the centerline in an intersection.,b:Check your blind spots by looking over your left or right shoulder.,c:Check for other drivers moving into the same lane.",a,Do not change lanes or attempt to pass by crossing the centerline within an intersection; wait until clear and legal to do so.,medium
7,Vehicle Ownership & Responsibilities,"In a vehicle equipped with airbags, the safest place for children 12 and under is:","a:The front seat.,b:The back seat.,c:The bed of a pick-up truck.",b,Children 12 and under should ride in the back seat because airbags can be dangerous for smaller passengers.,easy
4,Safe & Defensive Driving Practices,"If you are angry after an argument, what is the safest choice before driving?","a:Loudly play the radio while driving so you won’t think about your argument.,b:Take a few minutes to cool off before driving.,c:Drive on the interstate to let off steam.",b,Emotions affect driving ability; calm down before driving so you can focus on the road and make safe decisions.,easy
5,Driving in Special Conditions,"In bad weather, what is the correct steering and braking approach?","a:Steer off the road immediately.,b:Steer and brake smoothly.,c:Brake sharply and steer quickly.,d:Use hard steering corrections to avoid hazards.",b,"In inclement weather, make gradual steering and braking inputs to maintain control.",easy
6,"Alcohol, Drugs & Impaired Driving",A blood alcohol concentration (BAC) of 0.02 percent is associated with what change in crash risk?,"a:Won't put other drivers at risk.,b:Won't have any effect on your driving.,c:Will double your chances of having an accident.",c,Even small increases in BAC significantly raise crash risk; a BAC of 0.02 can substantially increase the likelihood of a collision.,medium
5,Driving in Special Conditions,"At dawn or dusk and during rain or snow, a good way to let other drivers know you are there is to turn:","a:Up the instrument panel lights.,b:On your parking lights.,c:On your headlights.",c,Use your headlights when conditions make it hard to see or be seen; use low beams when wipers are required.,easy
2,Traffic Laws & Rules of the Road,"When turning left from a two-way street onto a one-way street, which lane should you enter?","a:Turn into the first available lane on the one-way street.,b:Turn into any lane.,c:Turn into the far right lane.,d:Turn into the second lane from the curb.",a,"When turning onto a one-way street, enter the lane nearest to you that is lawful and available (the first lane).",easy
8,Special Situations & Road Users,What defines a crosswalk?,"a:Another name for a four-way intersection.,b:An area designated for road construction workers.,c:The area where pedestrians may cross the roadway.",c,A crosswalk is the designated area — marked or unmarked — where pedestrians may legally cross the street.,easy
8,Special Situations & Road Users,"When passing a motorcycle, what must you do?","a:Stay in the right lane as much as possible because the motorcycle is small and doesn't use all of the lane.,b:Blow your horn to make the motorcycle move onto the shoulder so that you can pass.,c:Have your vehicle entirely in the left lane before and during the pass.",c,Give motorcycles a full lane; never share the same lane or crowd a motorcycle when passing.,medium
5,Driving in Special Conditions,"When driving in fog, which of these is the correct practice?","a:Use your high beam headlights.,b:Use your parking lights.,c:Use your low beam headlights.",c,"In fog, use low beam headlights; high beams will reflect and reduce your forward visibility.",easy
2,Traffic Laws & Rules of the Road,Drivers making a left turn must yield to which traffic?,"a:Oncoming vehicles traveling straight or turning right.,b:Passing cars.,c:No one in particular.",a,"A driver turning left must yield to oncoming traffic, including bicycles and motorcycles, that are close enough to be a hazard.",easy
4,Safe & Defensive Driving Practices,Which action commonly blocks the smooth flow of traffic?,"a:Slowing down to look at a collision scene.,b:Avoiding unnecessary lane changes.,c:Using public transportation instead of your vehicle.",a,Rubbernecking at crashes or unusual events slows traffic and contributes to congestion and secondary crashes.,easy
