section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Is it ever acceptable to drive off the paved road onto the shoulder to pass another vehicle?,"a:No — you may not drive off the main traveled portion of the road to pass.,b:Yes, if the vehicle ahead is turning left.,c:Yes, if there are two or more lanes traveling in your direction.",a,Do not drive onto the shoulder to pass; passing must be done within the proper travel lanes when safe.,medium
8,Special Situations & Road Users,"After stopping for a train at a railroad crossing and the train passes, you should:","a:Look for a second train and wait for signals to stop flashing.,b:Immediately proceed once the visible train passes.,c:Drive around crossing gates if they stay down briefly.,d:Honk to signal your intent to cross.",a,There may be another train on adjacent tracks; wait until all gates are up and signals stop before proceeding.,
3,"Signs, Signals & Road Markings",Regulatory signs are typically what color background?,"a:White.,b:Green.,c:Yellow.,d:Blue.",a,"Regulatory signs (speed, stop, yield, etc.) are usually white rectangles or squares with colored symbols or text.",
5,Driving in Special Conditions,"Work zone barrels, cones, and signs are used to:","a:Keep drivers out of hazardous work areas.,b:Inconvenience drivers intentionally.,c:Make drivers angry about slow traffic.",a,These devices guide and protect drivers and workers by keeping traffic out of dangerous parts of the work zone.,
3,"Signs, Signals & Road Markings",A centerline with one solid yellow and one broken yellow line means:,"a:You may pass from the side next to the broken line when it is safe.,b:You are not allowed to pass in this area.,c:You are only allowed to make right turns in this area.",a,"When the broken line is adjacent to your lane, you may cross it to pass if it is safe; the solid line side may not pass.",
2,Traffic Laws & Rules of the Road,"If you are already in an intersection when a green light changes to yellow, you should:","a:Continue moving and clear the intersection safely.,b:Stop in the intersection, and c:Increase your speed to avoid collisions.",a,"If you are within the intersection when the light turns yellow, proceed to clear it safely rather than stopping in it.",
3,"Signs, Signals & Road Markings",A broken yellow line between two lanes of traffic indicates:,"a:Passing is permitted when it is safe.,b:Both lanes of traffic are going in the same direction.,c:Passing is not permitted.",a,Dashed yellow lines separate opposing lanes and mean that passing is allowed when it is safe to do so.,
5,Driving in Special Conditions,"In fog, rain, or snow you should use:","a:Low beam headlights.,b:High beam headlights.,c:Fog lights only.",a,Low beam headlights reduce glare from reflected moisture and help you see better in precipitation and fog.,
5,Driving in Special Conditions,Why is driving at night generally more dangerous than driving in daylight?,"a:Your reaction time is slower at night.,b:You cannot see as far ahead at night.,c:The road is always more slippery at night.,d:Oncoming headlights eliminate glare.",b,Reduced visibility and glare from oncoming lights mean you cannot see as far at night; use headlights and be cautious.,
4,Safe & Defensive Driving Practices,"Because motorcycles and similar small vehicles can be hard to spot, you should:","a:Make constant visual checks and be especially alert.,b:Share a lane with a motorcycle.,c:Slow down every time you see one.",a,Motorcycles can be hidden in blind spots; check mirrors frequently and look carefully before changing lanes or turning.,
2,Traffic Laws & Rules of the Road,"After you pass another vehicle, when is it safe to return to your lane?","a:When you can see the passed vehicle's headlights in your rearview mirror.,b:After you have signaled for three seconds.,c:When the other driver signals you to return.",a,"Return to your lane only when you can see both headlights of the passed vehicle in your inside rearview mirror, indicating enough space.",
3,"Signs, Signals & Road Markings",An orange and red triangular emblem on the rear of a vehicle indicates:,"a:The vehicle is a slow-moving vehicle.,b:The vehicle will yield the right-of-way.,c:Shoulder work is ahead.",a,Slow-moving vehicles such as farm equipment or maintenance vehicles display an orange-red triangle on the back to warn other drivers.,
5,Driving in Special Conditions,"When driving in fog, which lighting is best to use?","a:Four-way flashers.,b:Low beam headlights.,c:High beam headlights.,d:Parking lights only.",b,"Use low-beam headlights in fog, rain, or snow; high beams can reflect off moisture and reduce visibility.",
2,Traffic Laws & Rules of the Road,"If you begin a turn but then decide not to, you should:","a:Complete the turn you started.,b:Signal and rejoin traffic by backing up.,c:Quickly steer back to the previous lane.,d:Stop in the intersection and wait.",a,"Once committed to a turn, follow through; abrupt corrections can cause collisions.",difficult
6,"Alcohol, Drugs & Impaired Driving",Which statement about driving while taking medications is true?,"a:Many cold medications can make a person drowsy.,b:Over-the-counter meds never impair driving if used as directed.,c:Prescribed medications are always safe to drive on.,d:Medications only affect drivers over 65.",a,Both prescription and OTC medications can impair driving; many cold/allergy meds cause drowsiness.,
2,Traffic Laws & Rules of the Road,"When changing lanes, you should never:","a:Attempt to change lanes in an intersection.,b:Check blind spots by looking over your shoulder.,c:Check for other drivers moving into the same lane.,d:Signal your intended move.",a,Never change lanes within an intersection; always check mirrors and blind spots and signal before moving.,difficult
8,Special Situations & Road Users,"When vehicles are stopped behind a school bus with flashing red lights, they must remain stopped until:","a:The stop arm is retracted and the bus resumes motion.,b:All students are off the bus.,c:The stop arm is retracted.",a,"Motorists must stop for a school bus with flashing red lights and its stop arm extended, and remain stopped until the lights are off, the arm is withdrawn, and the bus moves.",
3,"Signs, Signals & Road Markings","If you see a lane-control sign with an arrow and the word \""ONLY\"" under it above your lane, you must:","a:Travel in the direction indicated by the arrow.,b:Always make a lane change.,c:Ignore it if traffic is light.",a,"Lane-control signs require you to use the indicated lane movement (for example, left-only) as shown by the arrow and \",
8,Special Situations & Road Users,"A truck's \""No zones\"" refer to areas where cars:","a:Disappear into blind spots or are so close they limit the truck driver's ability to stop or maneuver.,b:Have several car lengths between their vehicle and the truck.,c:Have sufficient space to travel behind the truck.",a,"No zones are the large blind areas around trucks and buses where smaller vehicles may be hidden or too close, increasing crash risk.",
7,Vehicle Ownership & Responsibilities,"Whenever you park on any hill, you should:","a:Set the parking brake and leave the vehicle in \,b: (or in gear).,c:Let the vehicle roll slightly and then set the parking brake.,d:Always point your front wheels straight ahead regardless of curb presence.",a,On hills you should leave the car in park or in gear and engage the parking brake; also turn wheels appropriately depending on curb.,
3,"Signs, Signals & Road Markings",A steady red arrow on a traffic signal means:,"a:Traffic may not move in the arrow's direction.,b:You may turn in that direction after stopping.,c:You may turn in that direction with caution.,d:The direction has right-of-way.",a,A steady red arrow prohibits traffic from moving in that direction until a green signal appears.,
4,Safe & Defensive Driving Practices,"If an oncoming vehicle fails to dim high beams at night, you should:","a:Look toward the right edge of your lane and watch the vehicle from the corner of your eye.,b:Look straight ahead in your lane.,c:Look toward the left edge of your lane.,d:Flash your high beams back at them.",a,Avoid looking directly at incoming high beams; focus on the right edge and use peripheral vision to track the vehicle.,
2,Traffic Laws & Rules of the Road,A green arrow signal requires you to:,"a:Yield to any vehicle, bicycle, or pedestrian still in the intersection, then turn in the arrow's direction.,b:Wait four seconds before proceeding.,c:Yield only to pedestrians.",a,A green arrow indicates you may turn in the arrow's direction after yielding to any traffic or pedestrians in the intersection.,
