chapter,section,sub-section,question,options,correct-answer,note
3,,,When driving on snowy or icy roads:,"a:Using cruise control is safe.,b:Change speed and direction gradually.,c:Drive as in normal conditions.",b,Gradual changes prevent skidding on slippery surfaces like snow or ice.
3,,,Minimum speed signs aim to:,"a:Maintain smooth traffic flow.,b:Show local road conditions.,c:Test traffic signal needs.",a,Minimum speed limits prevent slow driving that disrupts traffic flow.
3,,,A red octagon-shaped sign means:,"a:Do not enter.,b:One-way.,c:Stop.",c,An octagonal red sign always indicates a complete stop.
3,,,Drugs that can impair driving include:,"a:Allergy medicine.,b:Marijuana.,c:Cold remedies.,d:All of the above",d,"Prescription, over-the-counter, and illegal drugs can all impair driving ability."
3,,,"If your view is blocked at an intersection, you should:","a:Slow down and check both directions.,b:Keep your speed and look both ways.,c:Stop then inch forward to see clearly.",c,Stop and inch forward to ensure a clear view of cross traffic before proceeding.
3,,,Which of the following does not happen after drinking?,"a:Your reflexes and reaction time slow down,b:Your judgment of speed and distance is distorted,c:You are less alert,d:You calm down so you can concentrate",d,Alcohol impairs concentration rather than calming you down to improve focus.
3,,,"To avoid glare from oncoming headlights, you should:","a:Look briefly to the right road edge.,b:Focus on the centerline.,c:Flash your high beams.",a,Glance right to avoid glare while maintaining awareness of the road ahead.
3,,,What should you do when you approach an intersection with a flashing yellow light?,"a:Slow down and proceed with caution.,b:Stop before crossing the intersection.,c:Wait for a green light before proceeding.",a,"A flashing yellow light requires slowing down and proceeding cautiously, yielding to other traffic."
3,,,The amount of alcohol in the blood is called:,"a:Implied consent (IC).,b:Blood alcohol concentration (BAC).,c:Rate of alcohol consumption (RAC).",b,"BAC measures the percentage of alcohol in the blood, indicating impairment."
3,,,You must not exceed a speed that is:,"a:The maximum speed limit.,b:Faster than reasonable and prudent.,c:Safe for current conditions.,d:All",d,Stay within the speed limit and adjust for conditions to drive safely.
3,,,Always allow extra space in front of your vehicle when following a:,"a:Passenger vehicle.,b:Station wagon.,c:Motorcycle.",c,Motorcycles require extra following distance due to their ability to stop quickly and their vulnerability.
3,,,What is the appropriate action to take when approaching a railroad crossing that does not have signals (such as lights or crossing gates)?,"a:Always bring the car to a complete stop,b:Slow down and be prepared to stop,c:Do nothing; all railroad crossings have signals,d:Increase speed to get across the tracks quickly",b,Slowing down and preparing to stop allows you to check for trains at unsignaled crossings.
3,,,You may not park:,"a:On a hill.,b:In a parking lot.,c:On a crosswalk or bike lane.",c,Parking on crosswalks or bike lanes is illegal to protect pedestrians and cyclists.
3,,,"In New York, a BAC of ____ is evidence of intoxication:","a:0.05 percent,b:0.03 percent,c:0.08 percent",c,A BAC of 0.08 percent or higher legally indicates intoxication in New York.
3,,,"When preparing to turn right, position your vehicle:","a:Near the street’s center.,b:Close to the left side.,c:Close to the right side.",c,Stay close to the right for a safe right turn.
3,,,Which is true about speed?,"a:Driving too slowly can never be risky.,b:Speeding can be fatal.,c:Speeding is safe for skilled drivers.",b,Speeding increases crash severity.
