section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,Which agency handles driver licensing and permits in Massachusetts?,"a:Massachusetts DMV,b:Massachusetts Registry of Motor Vehicles (RMV),c:Massachusetts DOT,d:Massachusetts Secretary of State",b,"Massachusetts's Registry of Motor Vehicles (RMV) handles driver licensing, vehicle registration, and permits. Massachusetts does not have a traditional DMV — the RMV is the licensing authority in the state.",medium
1,Traffic Laws & Rules of the Road,Massachusetts's real RMV knowledge test has 25 questions. How many must you get right to pass — and what makes this threshold unusual?,"a:22 correct (88%) — higher than most states,b:20 correct (80%) — same as most states,c:18 correct (72%) — lower than most states,d:15 correct (60%) — much lower than most states",c,"Massachusetts requires only 18 out of 25 correct — a 72% passing threshold. This is lower than the 80% standard used by most other states. You can miss up to 7 questions and still pass. While the bar is lower, don't treat this as a reason to under-prepare.",medium
1,Traffic Laws & Rules of the Road,How many questions can you miss on Massachusetts's RMV knowledge test and still pass?,"a:3 questions (88% threshold),b:5 questions (80% threshold),c:7 questions (72% threshold),d:10 questions (60% threshold)",c,"You can miss up to 7 questions on Massachusetts's 25-question test and still pass at 72%. This is more lenient than the typical 80% standard. However, fully understanding the rules of the road matters for your safety long after the test.",medium
1,Traffic Laws & Rules of the Road,What is the minimum age to apply for a Massachusetts learner's permit?,"a:15,b:16,c:15 and a half,d:14",b,"Massachusetts requires applicants to be at least 16 years old to apply for a learner's permit. This is older than many other states, which allow permits at 15 or even 14. Massachusetts also requires completion of an approved driver education program before getting a junior operator's license.",medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a Massachusetts driver age 21 or older?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,Massachusetts sets the OUI (Operating Under the Influence) limit at 0.08% BAC for drivers 21 and older. Massachusetts uses the term OUI rather than DUI. Commercial drivers face a stricter 0.04% limit.,medium
1,Traffic Laws & Rules of the Road,Massachusetts uses the term 'OUI' for drunk driving. What does OUI stand for?,"a:Operating Under Influence,b:Operating Under Intoxication,c:Offense Under Impairment,d:Operating Unfit Impaired",a,"Massachusetts uses OUI — Operating Under the Influence — rather than DUI or DWI. The concept is the same: operating a motor vehicle while impaired by alcohol or drugs, or with a BAC of 0.08% or higher for drivers 21 and older.",medium
1,Traffic Laws & Rules of the Road,What BAC triggers Massachusetts's zero tolerance law for drivers under 21?,"a:0.00%,b:0.02%,c:0.04%,d:0.08%",b,Massachusetts sets the underage OUI threshold at 0.02% BAC for drivers under 21 — effectively zero. Any measurable amount of alcohol above 0.02% is illegal for drivers under 21 in Massachusetts.,medium
1,Traffic Laws & Rules of the Road,"Under Massachusetts's GDL program, how many hours of supervised driving must a permit holder log?","a:30 hours (no night requirement),b:40 hours (10 at night),c:40 hours (no specific night requirement),d:50 hours (10 at night)",b,"Massachusetts requires 40 hours of supervised driving practice, with at least 10 hours driven at night. The supervising driver must be a licensed adult age 21 or older seated in the front seat. These hours must be certified before applying for a junior operator's license.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit on Massachusetts urban streets when no speed limit sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:45 mph",b,"Massachusetts sets the default speed limit in thickly settled districts (urban areas) at 30 mph when no sign is posted. On rural roads, the default is 50 mph. Always check for posted signs — use defaults only when no sign is visible.",medium
1,Traffic Laws & Rules of the Road,What is Massachusetts's default speed limit on rural roads — and how does it differ from most states?,"a:55 mph — same as most states,b:50 mph — slightly lower than most states' 55 mph,c:65 mph — higher than most states,d:45 mph — significantly lower than most states",b,Massachusetts's default rural road speed limit is 50 mph — slightly lower than the 55 mph default used by most other states. Massachusetts's more dense and older road infrastructure contributed to this lower default limit. Always check for posted speed limit signs.,medium
1,Traffic Laws & Rules of the Road,Massachusetts's Move Over law requires what when approaching a stationary emergency vehicle with flashing lights?,"a:Slow to 25 mph only,b:Move one lane away if safe, or reduce speed if a lane change is not possible,c:Stop completely behind the vehicle,d:Only applies to police vehicles",b,"Massachusetts's Move Over law requires drivers to move one lane away from stationary emergency, law enforcement, utility, or tow vehicles with flashing lights. If a safe lane change is not possible, significantly reduce speed. The law applies to all such vehicles.",medium
1,Traffic Laws & Rules of the Road,When must Massachusetts drivers use their headlights?,"a:Only from sunset to sunrise,b:From 30 minutes after sunset to 30 minutes before sunrise, and when visibility is under 500 feet,c:Only in rain and fog,d:Only after 9 PM",b,"Massachusetts requires headlights from one-half hour after sunset to one-half hour before sunrise, and whenever weather reduces visibility to less than 500 feet. This includes rain, fog, and snow — not just complete darkness.",medium
1,Traffic Laws & Rules of the Road,You approach a school bus stopped on an undivided road with red flashing lights. What must you do?,"a:Stop only if you are behind the bus,b:Stop in both directions at least 100 feet from the bus,c:Slow to 15 mph and proceed carefully,d:Stop only if children are visible",b,"Massachusetts law requires all vehicles in both directions on an undivided road to stop at least 100 feet from a school bus with flashing red lights. Wait until the stop arm retracts and lights stop before proceeding. On a divided highway, only traffic behind the bus must stop.",medium
1,Traffic Laws & Rules of the Road,What is the minimum recommended following distance in Massachusetts under normal conditions?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,"Massachusetts recommends a minimum 3-second following distance under normal conditions. In rain, fog, or on wet roads, increase to at least 6 seconds. Given Massachusetts's heavy traffic and stop-and-go city driving, maintaining adequate following distance is especially important.",medium
1,Traffic Laws & Rules of the Road,A flashing red traffic signal requires you to:,"a:Slow down and proceed with caution,b:Yield to cross traffic and proceed,c:Come to a complete stop, yield, and proceed when safe,d:Continue at the posted speed",c,"A flashing red signal is treated exactly like a stop sign in Massachusetts. Make a complete stop, yield to all traffic and pedestrians, and proceed only when safe. A flashing yellow means caution — slow down but a full stop is not required.",medium
1,Traffic Laws & Rules of the Road,"On a two-lane road in Massachusetts, when may you cross a solid yellow center line to pass?","a:When the road ahead is visible for at least 500 feet,b:You may never cross a solid yellow line on your side to pass,c:When the vehicle ahead is traveling below the speed limit,d:When you signal for at least 200 feet first",b,A solid yellow line on your side prohibits crossing the center line to pass. No exceptions. Only when a broken (dashed) yellow line is on your side may you pass when it is safe. Always verify the line type on your side before attempting to pass.,medium
1,Traffic Laws & Rules of the Road,Massachusetts seatbelt law requires which occupants to wear a seatbelt?,"a:Driver and front-seat passengers only,b:All occupants,c:Only those under 16,d:Driver only",b,Massachusetts requires all vehicle occupants — in all seating positions — to wear a seatbelt. Massachusetts has primary enforcement. Children must use appropriate child safety seats based on age and size.,medium
1,Traffic Laws & Rules of the Road,"When an emergency vehicle with lights and siren approaches, you must:","a:Speed up and move out of the way quickly,b:Pull to the right edge and stop,c:Slow to 15 mph in your lane,d:Move to the center lane",b,"Massachusetts law requires you to immediately pull to the right edge of the road and stop when an emergency vehicle with active lights and siren approaches. Remain stopped until the vehicle passes. If in an intersection, clear it first, then pull over.",medium
1,Traffic Laws & Rules of the Road,Can you make a right turn on a red light in Massachusetts?,"a:No, right turns on red are prohibited statewide,b:Yes, after a complete stop, yielding to traffic and pedestrians, unless a sign prohibits it,c:Yes, without stopping if the turn is clear,d:Only on one-way streets",b,"Right turns on red are permitted in Massachusetts after a complete stop, yielding to all pedestrians and cross traffic, and unless a 'No Turn on Red' sign is posted. Always make a full stop — rolling through on red is illegal even when turning right.",medium
1,Traffic Laws & Rules of the Road,You arrive at a 4-way stop at the same time as a vehicle to your right. Who goes first?,"a:You go first,b:The vehicle on your right goes first,c:Whoever is going straight has priority,d:The larger vehicle goes first",b,"When two vehicles arrive simultaneously at a 4-way stop, the vehicle on the right has the right of way. You must yield to the driver on your right. This is the standard tie-breaking rule used at all-way stops.",medium
1,Traffic Laws & Rules of the Road,What is the maximum speed limit on Massachusetts rural interstate highways?,"a:55 mph,b:60 mph,c:65 mph,d:70 mph",c,Massachusetts's maximum speed limit on rural interstate highways is 65 mph for passenger vehicles. This is lower than many other states. Some urban sections may have lower posted limits. Always check posted signs.,medium
