section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Before entering a curve you should:,"a:Accelerate quickly.,b:Activate your turn signal.,c:Reduce your speed.,d:Brake hard in the curve.",c,Slow down before you enter the curve to maintain control; braking hard in the curve can cause loss of control.,easy
3,"Signs, Signals & Road Markings",Broken yellow pavement markings are used to:,"a:Separate lanes of traffic moving in opposite directions where passing is allowed.,b:Mark the right edge of the roadway.,c:Indicate no passing zones.,d:Separate lanes of traffic moving in the same direction.",a,Broken yellow lines separate opposing traffic and indicate passing is permitted when the way ahead is clear.,easy
5,Driving in Special Conditions,In dense fog you should slow down and use which lights?,"a:Parking lights only.,b:High beam headlights.,c:Low beam headlights.,d:Emergency flashers only.",c,Use low beams in fog; high beams can reflect back and reduce visibility further.,medium
8,Special Situations & Road Users,"When following a large truck, you should:","a:Stay farther behind than you would a passenger vehicle.,b:Attempt to stay directly beside the truck.,c:Keep no more than one car length behind.,d:Follow more closely because the truck blocks your view.",a,Keep extra space behind large trucks so you can see and stop safely; tailgating reduces your safety margin and may place you in the truck's blind spot.,easy
2,Traffic Laws & Rules of the Road,"If you face a green signal but pedestrians remain in the intersection, you must:","a:Proceed only if turning right.,b:Wave the pedestrians on and continue.,c:Proceed because you have the right-of-way.,d:Yield to the pedestrians.",d,Drivers must yield to pedestrians in the intersection even when the light is green and must yield when turning on a steady green.,easy
5,Driving in Special Conditions,"If an oncoming driver fails to dim their headlights, where should you look?","a:Look toward the center of the roadway.,b:Toward the right side of the road.,c:Look straight ahead.",b,"If an oncoming driver fails to dim lights, look toward the right side of the road to avoid being blinded and stay on course.",easy
5,Driving in Special Conditions,What is the safest action if you find the roadway ahead flooded?,"a:Drive only in the center of the roadway.,b:Slam on the brakes.,c:Do not drive through the flooded area; turn around and find another route.",c,Never attempt to drive through floodwater. Even seemingly shallow water can hide hazards and stall your vehicle.,easy
1,Licensing & Permit Requirements,How is having a driver license classified?,"a:A right.,b:A requirement.,c:A privilege.",c,Driving is a privilege that can be suspended or revoked if abused. Holders must obey traffic laws to retain that privilege.,easy
5,Driving in Special Conditions,Your vehicle can begin to hydroplane at speeds as low as approximately:,"a:25 miles per hour.,b:35 miles per hour.,c:55 miles per hour.,d:45 miles per hour.",b,Hydroplaning can start at speeds near 35 mph on standing water as tires lose their ability to channel water away.,medium
2,Traffic Laws & Rules of the Road,"When you approach a flashing red traffic light, you must:","a:Only stop if other vehicles are present.,b:Assume it will turn green soon and proceed.,c:Treat the intersection as if controlled by a stop sign.,d:Turn around and find another route.",c,"A flashing red light requires a full stop and yielding, the same as a stop sign.",easy
