id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
55168,"Make sure that the _________ are not cut, chafed, spliced, or worn, and not tangled, pinched, or dragged against tractor parts.",,splash guards,door ties and lifts,air lines and electrical lines,locking jaws,C,"During your pre-trip inspection, check the electrical lines and air hoses (or hydraulic hoses for hydraulic brakes). Make sure that the lines and hoses are not cut, chafed, spliced, or worn. Also make sure they are not tangled, pinched, or dragging on parts of the tractor."
55162,What do you inspect to make sure that all are present and show no signs of looseness such as rust trails or shiny threads?,,Rims,Lug nuts,Spacers,None of the above,B,"During your pre-trip inspection, check that all lug nuts are present and accounted for, tightly fastened, and free of cracks or distortions."
55164,What maintains air pressure in the air brake system?,,Power steering,Water pump,Air compressor,Alternator,C,"The air compressor maintains air pressure for the air brakes by pumping air into the air storage tanks. If your vehicle's air compressor is belt driven, make sure that its drive belt is snug. A belt that is too loose might slip and not drive the air compressor properly."
55170,What should be fully engaged with no loose or missing pins in the slide mechanism of the sliding fifth wheel?,,Sliding pintle,Gap,Locking pins,Locking jaws,C,"On many vehicles, the fifth wheel is designed to slide forward and backward on slider rails. If that is so on your vehicle, check the sliding fifth wheel locking pins. Make sure that none of them are loose or missing and that all of them are fully engaged."
55165,Which tires should have a minimum tread depth of 4/32 inch?,,Spare tires,Steering axle tires,Non-drive axle tires,All of the above,B,"The tires on the steering axle should have at least 4/32 inch of tread, and all other tires should have at least 2/32 inch of tread. Inadequate tread on the front tires increases the risk of a front-wheel skid."
55159,What carries air or hydraulic fluid to the wheel brake assembly?,,Slack adjusters,Brake linings,Brake hoses / lines,Brake chambers,C,"Compressed air (or hydraulic fluid if your vehicle has hydraulic brakes) flows to the brakes through hoses and lines. During your pre-trip inspection, check all hoses and lines for leaks or tangles."
55171,"To improve visibility during severe or stormy weather, __________ must be secure, undamaged, and operating smoothly and correctly.",,the handholds and steps,the windshield wipers and washer,the lighting indicators,the emergency equipment,B,Check that the windshield wiper blades are in good condition and press hard enough against the windshield to keep it clean without excessive streaking. Also make sure that the windshield washer mechanism works and there is enough windshield washer fluid in the reservoir.
55172,"_________ should be clean with no dirt, illegal stickers, obstructions, or damage.",,The headlights,The lighting indicators,The windshield and mirrors,None of the above,C,"Windshields and mirrors should be clean and free of damage, illegal stickers, or obstructions that could impede visibility."
55166,Which of the following can disengage the engine from the drivetrain?,,Parking brake,Drive shaft,Clutch and gearshift,Water pump,C,"To ensure that your vehicle doesn't move once you start the engine, first depress the clutch (unless the vehicle has an automatic transmission) and put the gearshift in neutral (or Park for an automatic transmission). Once the engine has started, slowly release the clutch."
55173,"_________ are the brackets, bolts, or bushings that are used to attach the spring or air bag to the axle and vehicle frame.",,Spring mounts,Mounting bolts,Shock absorbers,Torque,A,"Spring mounts consist of the brackets, bolts, shackles, and bushings used for attaching springs or air bags (for an air ride suspension) to the vehicle frame. During your inspection, check that the spring mounts are secured to the vehicle's frame and axles. Check that no bushings are damaged or missing. Check that there are no broken, loose, or missing bolts or U-bolts."
55175,What releases the fifth wheel locking jaws so the trailer can be coupled?,,Apron,Drawbar,Release arm,Locking pins,C,"The release arm allows you to disengage the fifth-wheel locking jaws so you can uncouple the trailer. During your pre-trip inspection, check that the release arm is in the engaged position and the safety latch (if so equipped) is in place."
55174,"If the wheel has a sight glass, check that the oil level is adequate. Otherwise, look for leaks around the",,battery.,hydraulic brakes.,hub oil seals and axle seals.,rims.,C,"As part of your pre-trip inspection of the wheels, check the axle seals and the hub oil/grease seals for leaks. Look for oil or grease on the wheels and any visible evidence of cracks or leaks. If the wheel has a sight glass, you can visually confirm that the oil level is adequate."
55160,________ are gas or hydraulic devices that cushion the vehicle's ride and stabilize the vehicle.,,Shock absorbers,Brakes,Mounts,Springs,A,"During your pre-trip inspection, check the shock absorbers on every axle of your vehicle (including the trailers if any) to be sure that they are securely mounted and not leaking."
55163,"What should you check to be sure it is solid, clear of objects, and securely bolted to the tractor frame?",,Kingpin,Platform,Apron,Catwalk,D,Check that the steps leading up to the cab and catwalk (if any) are clear of obstructions and secured to the tractor frame.
55158,What transmits power from the transmission to the drive axle?,,Air compressor belt,Power steering belt,Steering play,Drive shaft,D,"The drive shaft transmits torque from the transmission and the gear box to the drive wheels. During your pre-trip inspection, check that the drive shaft is not bent or cracked and the U-joints aren't loose or worn. While you're driving, a dropped drive shaft could be very serious."
55169,You are looking for puddles on the ground and dripping fluids on the underside of the engine and transmission. What are you checking for?,,Oil level,Power steering fluid,Leaks,None of the above,C,"As part of your engine inspection, check the ground below the engine compartment for puddles or dripping liquids."
55161,What is the sliding mechanism and locking device for tandem axles on trailers?,,Frame,Landing gear,Tandem release arm / locking pins,Suspension system,C,"If so equipped, make sure that the locking pins are locked in place and the release arm is secured."
55157,"You pump the pedal three times and hold it down for five seconds, making sure that the pedal does not move. What are you inspecting?",,Air brakes,Hydraulic brakes,Parking brake,All of the above,B,"If your vehicle has hydraulic brakes, test them by pumping the brake pedal three times and then applying firm pressure to it for five seconds, making sure the pedal does not move during that time. If your vehicle has air brakes, test them by performing the final air brake check as described in the New York State Commercial Driver's Manual."
55167,What transforms steering column action into wheel action?,,Suspension,Steering play,Steering box,Steering linkage,C,"When you turn the steering wheel, the steering box translates this motion into turning the front wheels. During your pre-trip inspection, check that the steering box is in good condition, securely mounted, and not leaking. Also check that no nuts, bolts, or cotter keys are missing."
56179,"What, if loose or missing, may cause movement between the sliding fifth wheel and the slide mounting?",,Drawbar,Mounting bolts,Safety latch,Locking pins,D,"If so equipped, look for loose or missing locking pins in the slide mechanism of the sliding fifth wheel. Make sure that the pins are fully engaged."
56178,"Which gauge helps you prevent engine failure, seizure, or breakdown?",,Oil pressure,Ammeter,Temperature,Power steering,A,"During your pre-trip inspection, make sure that the oil pressure gauge is working and it shows normal or increasing oil pressure. Running the engine without oil will eventually cause serious damage."
56176,Which belt should you make sure is securely mounted and adjusts and latches properly?,,Air compressor,Safety / seat,Steering,Water pump,B,You should wear your safety belt at all times while you're riding. (You may fail your skills test if you don't wear it.) Make sure it is in good condition and securely mounted in the cab. Also make sure it adjusts and latches properly.
56177,What do you use the dipstick to check?,,Coolant level,Oil level,Windshield washer fluid level,None of the above,B,"Use the dipstick to check the oil level in the engine. If the oil level is below the refill mark, add oil before you start to drive."
75092,Which external lights should you check?,,Taillights,Brake lights,Turn signals,All of the above,D,"The external lights that should be checked include the following: high- and low-beam headlights, clearance lights, taillights, backing lights, four-way emergency flashers, left and right turn signals, red and amber reflectors, and brake lights."
75091,Which gauge indicates the alternator or generator is charging?,,Oil pressure,Ammeter or voltmeter,Temperature,All of the above,B,"During your pre-trip inspection, check the ammeter gauge or voltmeter gauge to make sure that the alternator or generator is charging properly or the warning light is off."
75090,"If the coolant overflow container is not part of the pressurized system, to check the coolant level,",,(a) inspect the reservoir sight glass.,(b) remove the container cap and check the level visible.,do either (a) or (b).,do neither (a) nor (b).,C,"If the coolant overflow container is not part of the pressurized system, you can remove the cap to check the coolant level even when the engine is hot. Alternatively, some vehicles have sight glasses to let you check the coolant level. Note: Never attempt to remove the radiator cap or any other part of the pressurized system until the system has cooled thoroughly. While it's hot, pressurized steam or boiling water can spray out and injure you."
75093,"As part of your vehicle inspection test, if your vehicle has a cargo lift, you will have to",,check it for any missing parts.,explain the process of checking it for correct operation.,check it for leaks or damage.,do all of the above.,D,"As part of your vehicle inspection test, if your vehicle is equipped with a cargo lift, explain how to check it for correct operation. Check for leaking, damaged, or missing parts. Also check that the cargo lift is fully retracted and securely latched."
111640,Which of the following is a way to check the coolant level?,,Check the dipstick.,Check the sight glass.,Check the water pump.,Check the temperature gauge.,B,"Your vehicle may provide a way for you to check the coolant level even when the engine is hot. Such devices include reservoir sight glasses, see-through coolant overflow containers, and coolant recovery containers."
111642,Which of these converts air pressure to mechanical force to operate the brake at a wheel?,,Brake lining,Brake chamber,Brake hoses,Drum brake,B,"The brake chamber (one at each wheel) converts air pressure to mechanical force to operate the brake at that wheel. When you press the brake pedal, compressed air from a service tank enters the brake chamber. Air pressure pushes out the brake chamber's pushrod, which moves the slack adjuster. The moving slack adjuster applies the brake."
111644,What heats the cab and prevents frost from forming on the windshield?,,Heater/defroster,Header board,Windshield wiper,Air conditioner,A,"The heater/defroster provides a stream of warmed air. By selecting the appropriate vents, you can choose whether the air will heat the cab or melt frost on the windshield."
111641,Which of these keeps your vehicle from rolling when it's parked?,,Locking pin,Brake lining,Service brake,Parking brake,D,The parking brake keeps your vehicle from moving when it's parked. The mechanism is separate from the service brakes that you use in normal driving.
19285,Eye contact with drivers,,ensures that they will stop and let you through.,should be avoided to discourage aggression.,should be made before you cross any intersection.,is not a guarantee that they will yield to you.,D,"Eye contact is not a guarantee that drivers will yield to you. Often, drivers fail to notice motorcyclists even when they are looking directly at them."
19286,"When you ride a motorcycle, your clothing should be protective and",,completely cover your arms and legs.,made of an approved material.,tight fitting.,loose fitting.,A,"When you ride a motorcycle, your clothing should be protective and cover your arms and legs completely. This is very important in case of a collision."
88983,"As you are riding, an object appears suddenly in your path. What should you do?",,Brake abruptly while swerving,Swerve onto the shoulder of the road,Swerve into the left lane,,B,"Sometimes you may not have enough room to stop, even if you use both brakes properly. An object might appear suddenly in your path or the vehicle ahead might stop abruptly. The only way to avoid a collision may be to turn quickly or swerve around it. In this situation, since there is traffic in the left lane, the safest option would be to swerve onto the shoulder of the road."
88981,Which portion of the lane should you be in before starting to pass?,,The right portion of the lane at a safe following distance,"The left portion of the lane, as close as possible to the vehicle you are going to pass",The left portion of the lane at a safe following distance,The center portion of the lane at a safe following distance,C,"Passing and being passed by another vehicle is not much different than with a car. However, visibility is more critical. Before starting to pass, ride in the left portion of the lane at a safe following distance to increase your line of sight and make you more visible. Signal left and check for oncoming traffic. Use your mirrors and turn your head to look for traffic behind."
19292,Motorcycles can slip on grease that cars have deposited on the road. Where are such deposits most likely to be found?,,On multilane highways,On bridges and overpasses,On gravel roads,At busy intersections,D,"Motorcycles can slip on grease that cars have deposited on the road. These strips of grease can be found at busy intersections and toll booths, where cars tend to remain stopped for longer periods."
