section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Utah has the lowest legal BAC limit for drivers in the United States. What is the legal BAC limit for adult drivers (age 21+) in Utah?,"a:0.08%,b:0.06%,c:0.05%,d:0.04%",c,"Utah's legal BAC limit is 0.05% — the lowest of any US state and significantly lower than the 0.08% standard used in all other states. Utah lowered the limit from 0.08% to 0.05% in 2018, making it a leader in impaired driving prevention. This is a critical state-specific fact that is frequently tested on the Utah DMV exam.",medium
2,Traffic Laws & Rules of the Road,At what minimum age can a Utah teenager apply for a learner permit?,"a:14,b:15,c:15 and a half,d:16",b,"Utah allows applicants to apply for a learner permit at age 15. The permit allows supervised driving practice with a licensed driver age 21 or older in the front passenger seat. After holding the permit for 6 months and completing required supervised hours, the teen can apply for a limited-term license.",medium
2,Traffic Laws & Rules of the Road,Why is Utah's 0.05% BAC limit significant compared to other states?,"a:It was set by federal mandate in 2020,b:Utah is the only US state with a 0.05% BAC limit — all other states use 0.08%,c:Utah raised the limit to 0.05% from 0.02% in 2022,d:Utah's 0.05% only applies to commercial drivers",b,Utah is the ONLY US state with a 0.05% BAC limit. Every other state uses 0.08% as the standard per se DUI limit. Utah lowered the limit from 0.08% to 0.05% in 2018 following state legislation. This lower threshold means a person can be legally impaired in Utah at BAC levels that would be legal in other states.,medium
2,Traffic Laws & Rules of the Road,"Under Utah's GDL program, a teen with a learner permit (age 15–16) must complete how many hours of supervised driving before applying for a limited-term license?","a:30 hours total,b:40 hours (including 10 at night),c:40 hours (including 10 at night, starting after the first 6 months),d:60 hours total",b,"Utah requires learner permit holders to complete 40 hours of supervised driving practice, including at least 10 hours at night, before applying for a limited-term license. The permit must also be held for at least 6 months. These hours must be driven with a licensed adult (21+) in the front seat.",medium
2,Traffic Laws & Rules of the Road,What is the maximum speed limit on Utah rural interstate highways?,"a:65 mph,b:70 mph,c:75 mph,d:80 mph",c,Utah allows a maximum speed of 75 mph on rural interstate highways for passenger vehicles. Some sections may have lower posted limits near cities or construction zones. Utah's wide desert highways and open terrain make it one of several western states with higher rural interstate limits.,medium
2,Traffic Laws & Rules of the Road,Utah's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.05% — same as the adult limit,b:0.02%,c:0.04%,d:0.00% — any detectable amount",d,"Utah has absolute zero tolerance for underage drinking and driving — any detectable amount of alcohol in a driver under 21 is illegal. Combined with Utah's already lower adult BAC limit of 0.05%, Utah has among the strictest DUI laws in the nation. Any BAC reading for a driver under 21 results in DUI charges.",medium
2,Traffic Laws & Rules of the Road,What is the default speed limit on Utah urban streets when no speed limit sign is posted?,"a:20 mph,b:25 mph,c:30 mph,d:35 mph",b,"Utah's default urban speed limit is 25 mph when no other limit is posted. In school zones and residential areas, even lower limits may be posted. Always check posted signs — cities like Salt Lake City and Provo have many zones with reduced limits.",medium
2,Traffic Laws & Rules of the Road,"Utah has many canyon roads and mountain passes. When driving downhill on a steep grade, what is the safest technique?","a:Apply brakes continuously and steadily throughout the descent,b:Shift to a lower gear before descending to use engine braking, and apply brakes intermittently if needed,c:Increase speed slightly to maintain momentum through curves,d:Turn off the engine to coast down the hill",b,"On Utah's steep canyon descents, use engine braking by downshifting before starting the descent. This reduces wear on your brakes and prevents brake fade — a condition where brakes overheat and lose effectiveness. Apply the brakes intermittently in short, firm applications rather than riding them continuously.",medium
2,Traffic Laws & Rules of the Road,"In Utah, a limited-term license holder (teen age 16–17) has a nighttime driving restriction. When may they NOT drive without a licensed adult?","a:Between 10 PM and 6 AM,b:Between 11 PM and 5 AM,c:Between midnight and 5 AM,d:Between midnight and 6 AM",d,"Utah limited-term license holders under 17 may not drive between midnight and 6 AM without a licensed adult (21+) in the front seat. This curfew applies from the time the license is issued until the holder turns 17. Exceptions include driving to or from employment, school, or a medical emergency.",medium
2,Traffic Laws & Rules of the Road,"When approaching a school bus with activated red flashing lights and a stop arm in Utah, you must:","a:Stop only if traveling in the same direction as the bus,b:Stop at least 15 feet in all directions on undivided roads until lights stop flashing,c:Slow to 10 mph and pass with caution if no children are crossing,d:Stop only if children are visible outside the bus",b,"Utah requires all vehicles on an undivided road to stop at least 15 feet from a school bus with activated red lights, in both directions. Wait until the red lights stop flashing and the stop arm retracts before proceeding. On divided highways with a median, only vehicles behind the bus must stop.",medium
2,Traffic Laws & Rules of the Road,Utah's Move Over law requires drivers approaching a stopped emergency or utility vehicle with flashing lights to:,"a:Sound their horn as a warning and proceed,b:Only slow down — lane changes are not required,c:Move to a non-adjacent lane if safe, or reduce speed if a lane change is not possible,d:Stop completely until the vehicle departs",c,"Utah's Move Over law requires drivers to move to a lane not adjacent to the stopped vehicle if safely possible. If a lane change cannot be made safely, reduce speed to a safe level. Utah's law covers emergency, law enforcement, maintenance, and highway worker vehicles.",medium
