section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"On a narrow road when meeting an oncoming vehicle, what must you do?","a:Demand the other vehicle pull over.,b:Pull completely off the road and stop.,c:Allow the oncoming vehicle at least one-half of the main-traveled portion of the road.",c,"On narrow roads, give oncoming traffic at least half of the main-traveled portion so both vehicles can pass safely.",medium
7,Vehicle Ownership & Responsibilities,It is an infraction to smoke in a vehicle when a child is present.,"a:TRUE,b:FALSE",a,You may not smoke in a vehicle while transporting a child age 15 or younger; doing so is an infraction.,easy
5,Driving in Special Conditions,"Approaching a heavy truck from behind while driving uphill, you should know:","a:You may not be able to safely pass the truck.,b:The truck may be traveling at a speed slower than the posted limit.,c:You may not be able to legally pass the truck.",b,Large vehicles often slow when climbing hills; be cautious approaching them and avoid unsafe passing where visibility is limited.,medium
3,"Signs, Signals & Road Markings",What does a steady yellow arrow at a signal mean?,"a:Merge into the lane indicated by the arrow immediately.,b:Prepare to stop because a red arrow is coming.,c:You may turn left after yielding to oncoming traffic.",b,A steady yellow arrow warns that the signal is about to change to red; stop if you can do so safely.,medium
8,Special Situations & Road Users,"When in line of traffic crossing a railroad without signals, what must you ensure?","a:You may pass slower drivers while on the tracks.,b:You have the right-of-way and need not check for trains.,c:There is enough space for your vehicle to fully clear the tracks.",c,"Before entering tracks, make sure you have room to clear them completely; never pass another vehicle while crossing.",medium
8,Special Situations & Road Users,"If a fire engine follows you but has no lights/sirens on, how should you respond?","a:Pull over immediately.,b:Continue driving normally.,c:Speed up to clear the way.",b,"If an emergency vehicle is not using emergency signals, you are not required to yield; keep driving normally.",easy
3,"Signs, Signals & Road Markings",A red and white triangular sign at an intersection means:,"a:Always come to a full stop at the intersection.,b:Look both ways as you cross the intersection.,c:Yield and be prepared to stop if necessary.",c,"A yield sign requires you to slow and give right-of-way to vehicles and pedestrians in the intersection, stopping if necessary.",easy
2,Traffic Laws & Rules of the Road,Is it permissible to stop in a travel lane to drop off passengers or to look up an address?,"a:Yes — you may stop to drop off passengers.,b:No — you should not stop in a travel lane for any reason.,c:Yes — you may stop to look up an address.",b,"Do not stop in a travel lane. If you miss a turn or exit, continue to the next safe place to turn around rather than stopping or backing up in the lane.",easy
3,"Signs, Signals & Road Markings",What color are pavement markings that separate traffic moving in opposite directions?,"a:Blue,b:White,c:Red,d:Yellow",d,Yellow pavement markings are used to separate traffic moving in opposite directions.,easy
3,"Signs, Signals & Road Markings",Traffic lanes moving in opposite directions are divided by what color lines?,"a:White,b:Black,c:Yellow",c,Yellow pavement markings divide traffic moving in opposite directions.,easy
5,Driving in Special Conditions,What should you avoid when driving on slippery roads?,"a:Reducing your following distance.,b:Using cruise control.,c:Driving below the speed limit.",b,Do not use cruise control on slippery roads; also reduce speed and avoid sudden movements to maintain control.,medium
8,Special Situations & Road Users,Why should you be particularly cautious when passing a bicycle?,"a:You are moving faster than the bicycle.,b:The bicycle always has the right-of-way.,c:Oncoming traffic may not see you pull out to pass the bicycle.",c,"Cyclists may swerve to avoid road hazards, and oncoming drivers may not anticipate you moving into the opposite lane to pass.",easy
2,Traffic Laws & Rules of the Road,"If you miss your freeway exit and want to get off, you should:","a:Proceed to the next exit and safely leave the freeway,b:Make a U-turn across the median,c:Pull onto the shoulder and back up to the exit,d:Cross multiple lanes quickly to reach the exit",a,"If you miss an exit, take the next exit and return safely. Backing up or crossing medians on freeways is illegal and dangerous.",easy
5,Driving in Special Conditions,"When driving in fog, which actions are recommended?","a:Drive at the posted speed but turn on the high beams,b:Use high beam headlights to increase visibility,c:Drive cautiously at reduced speed and use low beam headlights (do not use high beams),d:Ignore fog and continue as normal",c,"In fog, slow down, use low beams (or fog lights), and avoid high beams which can worsen visibility by reflecting light back.",easy
3,"Signs, Signals & Road Markings",A traffic signal showing a green arrow with a red light means you may:,"a:You must wait for a solid green to proceed in any direction.,b:You may drive only in the direction of the green arrow.,c:You may only drive straight ahead.",b,"A green arrow permits movement only in the arrow's direction, even if other signals are red, provided the intersection is clear.",easy
7,Vehicle Ownership & Responsibilities,What problems do worn or bald tires create?,"a:Only reduced fuel efficiency.,b:No effect on handling in dry conditions.,c:Increased stopping distance",c,"Tires with little tread increase stopping distance, make turning harder, and raise hydroplaning risk.",medium
8,Special Situations & Road Users,A driver behind a motorcycle must allow as much following distance as when following a car. True or False?,"a:False,b:True",b,Motorcyclists can stop or maneuver more quickly; allow at least three to four seconds following distance to give them room to react.,medium
2,Traffic Laws & Rules of the Road,Which pavement line allows you to pass another vehicle traveling in the same direction?,"a:Double solid yellow lines,b:A single solid white line,c:A solid yellow line beside your lane,d:A broken white line",d,Broken white lines separate lanes moving in the same direction and may be crossed to change lanes or pass when safe.,medium
2,Traffic Laws & Rules of the Road,"If your vehicle's turn signals fail, you should use which method to indicate turns?","a:Hand signals,b:Your horn,c:Your headlights",b,Use hand signals to indicate turns if your electric turn signals are not functioning.,easy
5,Driving in Special Conditions,Which of these is least helpful for safe night driving?,"a:Carrying a flashlight in your vehicle,b:Keeping the windshield clean,c:Being aware that tinted windows reduce night visibility,d:Reducing interior reflections by cleaning glass",a,Carrying a flashlight may be useful in emergencies but does not directly improve night driving safety like clean glass or reduced interior reflections do.,medium
8,Special Situations & Road Users,"Why should drivers be extra alert to motorcyclists, bicyclists, and pedestrians?","a:They always have the right-of-way.,b:They are often more difficult to see in traffic.,c:They obey different traffic laws than larger motor vehicles.",b,Smaller road users are harder to detect in traffic due to size and less visible lighting; remain vigilant to avoid collisions.,easy
5,Driving in Special Conditions,"When following another vehicle at night, you must dim your headlights within what distance?","a:100 feet.,b:200 feet.,c:300 feet.",c,Dim your high beams to low beams when you are within 300 feet of the vehicle ahead.,easy
8,Special Situations & Road Users,You must yield to children playing in the street.,"a:False,b:True",b,Drive with extreme caution where children are present and yield when necessary to protect them.,easy
4,Safe & Defensive Driving Practices,Which of the following commonly causes traffic accidents?,"a:Excessive speed for conditions.,b:Following other vehicles too closely.,c:Inattentive driving.",c,"While all are common causes, driving too fast for the conditions is a major factor in many crashes.",medium
1,Licensing & Permit Requirements,"When entering a street from a driveway, what must you do?","a:Honk to warn others and proceed slowly.,b:Drive slowly through without stopping.,c:Stop and go only when no pedestrians or vehicles are approaching.",c,"You must stop before entering the roadway from a driveway, yield to pedestrians and oncoming traffic, and not cross the sidewalk area without stopping.",easy
2,Traffic Laws & Rules of the Road,"Before passing on a multi-lane highway, what should you do?","a:Speed up and pass in one quick move,b:Rely only on your mirrors to make the lane change,c:Check that the passing lane is clear and signal before changing lanes,d:Always pass on the right regardless of lane markings",c,"Before passing or changing lanes you should confirm the lane is clear, signal your intention, and move over safely.",easy
4,Safe & Defensive Driving Practices,Which factor most directly affects braking distance?,"a:The condition of the pavement.,b:The condition of your brakes and tires.,c:The speed at which your vehicle is traveling.",c,Braking distance increases rapidly with speed; other factors like brake/tire condition and pavement also affect stopping distance.,medium
8,Special Situations & Road Users,"When you hear a fire engine siren behind you, what must you do?","a:Drive with your flashers on.,b:Slow down until it passes you.,c:Pull over to the side of the road and stop.",c,"When an emergency vehicle is approaching with a siren, you must pull over to the curb or side of the road and stop to allow it to pass.",easy
2,Traffic Laws & Rules of the Road,You must signal in which of the following situations?,"a:When pulling into or out of a parking space.,b:When changing lanes.,c:Any time you are turning or changing lanes (all of the above).",b,"Signals must be used whenever you change lanes, turn, or pull into/out of parking areas to inform other road users.",easy
2,Traffic Laws & Rules of the Road,"If you miss your exit on an interstate expressway, you should:","a:Get off at the next exit and return safely.,b:Roll down your window and ask the driver next to you for help.,c:Stop and make a U-turn.",c,Do not reverse or make unsafe turns on the highway. Continue to the next exit and safely turn around there.,easy
2,Traffic Laws & Rules of the Road,"When merging onto a freeway, which practice is usually best?","a:Turn on your hazard lights until you are safely on the freeway.,b:Proceed slowly while waiting for an opening.,c:Accelerate on the ramp to match the speed of freeway traffic and merge safely.",c,Use the acceleration lane to reach traffic speed and merge smoothly; traffic on the freeway has the right-of-way.,easy
7,Vehicle Ownership & Responsibilities,You are involved in an accident and another person is injured. What should you do?,"a:Move the injured away from the scene immediately.,b:Always leave the injured where they are.,c:Not move the injured unnecessarily; keep them warm and provide first aid if qualified.",a,Avoid moving injured persons unless absolutely necessary; keep them warm and administer first aid for severe bleeding while waiting for emergency responders.,medium
4,Safe & Defensive Driving Practices,How does increasing your vehicle's speed affect your field of vision?,"a:Increases your field of vision.,b:Makes it easier to see cross traffic.,c:Decreases your field of vision.",c,"As speed increases your field of vision narrows, so you must be more alert to potential hazards.",easy
4,Safe & Defensive Driving Practices,When is it appropriate to honk your horn?,"a:When passing a bicyclist.,b:When traveling through an intersection.,c:When you see a child who is about to run into the street.",b,"Use your horn as a warning to alert others (for example, to stop a child from running into the street), not for routine driving maneuvers.",easy
5,Driving in Special Conditions,What should you do first to slow on a slippery surface?,"a:Engage the parking brake.,b:Firmly apply the brakes.,c:Take your foot off the gas.",c,"On slippery roads, first ease off the accelerator; apply brakes gently if more deceleration is needed.",easy
3,"Signs, Signals & Road Markings",What does a solid yellow arrow mean on a traffic signal?,"a:You may turn immediately without caution.,b:It never appears on real signals.,c:It has the same meaning as a circular yellow light — prepare to stop.",c,A solid yellow arrow means the protected turning interval is ending; slow and prepare to stop for red.,medium
3,"Signs, Signals & Road Markings",A flashing red signal at an intersection is equivalent to which sign?,"a:A yield sign.,b:A stop sign.,c:A slow sign.",b,A flashing red light requires a full stop and yielding to traffic like a stop sign.,easy
7,Vehicle Ownership & Responsibilities,Only vehicles displaying special plates or placards for persons with disabilities may park in spaces reserved by official sign.,"a:False,b:True",b,Parking spaces marked for persons with disabilities may only be used by vehicles displaying the appropriate plates or placards.,easy
5,Driving in Special Conditions,When is it especially important to slow down?,"a:Only at night,b:Only when you see a speed limit sign,c:Only during heavy traffic,d:On narrow or winding roads",d,"Reduce speed on narrow/winding roads, near intersections and crossings, and whenever the road surface is slippery or hazardous.",easy
4,Safe & Defensive Driving Practices,What is the most common cause of traffic crashes?,"a:Mechanical failures,b:Wildlife on roadways,c:Bad weather,d:Human error by drivers",d,"Most crashes are caused by human error — mistakes, inattention, poor decisions — rather than unavoidable mechanical reasons.",easy
6,"Alcohol, Drugs & Impaired Driving",Does drinking coffee after alcohol reduce blood alcohol concentration?,"a:Yes,b:You yes,c:No",c,Coffee may make you more alert but does not lower blood alcohol concentration or make you sober.,easy
8,Special Situations & Road Users,"When you hear or see an approaching emergency vehicle using lights or siren, you must:","a:Drive to the right and stop until it passes.,b:Slow down but remain in your lane.,c:Motion for the emergency vehicle to pass you.",a,"Yield right-of-way to emergency vehicles with lights or sirens by pulling to the right and stopping; if in an intersection, clear it first.",easy
