section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If you see a pedestrian using a guide dog or carrying a white cane, what must you do?","a:The pedestrian must yield the right-of-way.,b:You must yield the right-of-way.,c:Honk your horn to alert them.",b,Pedestrians with guide dogs or white canes are visually impaired and have the right-of-way. Yield and allow them to cross safely.,easy
8,Special Situations & Road Users,"When a bicyclist is making a left turn, where might you expect to see them?","a:They may use the left lane.,b:They may cut through all lanes.,c:They may wait on the side of the road.",a,Bicyclists generally follow the same rules as motor vehicles and may use the left lane when preparing to make a left turn.,easy
4,Safe & Defensive Driving Practices,"In the event you are about to be struck from the rear, which action should you not do?","a:Release your seat belt.,b:Brace yourself.,c:Press your head against the head restraint.",a,Do not release your seat belt. Brace yourself by pressing against the seat back and head restraint and be ready to apply the brakes if possible.,medium
2,Traffic Laws & Rules of the Road,"If you must make an emergency stop on an interstate, what is the safest action?","a:Get out of your vehicle and flag down passing cars.,b:Sound your horn at passing cars to get attention.,c:Pull off the road, turn on emergency flashers, and stay in your vehicle if possible.",c,"If you must stop on the shoulder, use emergency flashers and remain in your vehicle if it is safe. Walking beside a high-speed interstate is very dangerous.",medium
6,"Alcohol, Drugs & Impaired Driving",Which statement about alcohol in any concentration is true?,"a:It's a stimulant.,b:It's a depressant.,c:It has no effect on the nervous system.,d:It improves concentration.",b,"Alcohol, even in small amounts, acts as a depressant and impairs nerve and bodily functions.",easy
7,Vehicle Ownership & Responsibilities,"When parking facing uphill with no curb, how should you turn your wheels?","a:Turn wheels away from the edge of the road.,b:Turn wheels toward the edge of the road.,c:Keep wheels straight.,d:Turn wheels toward the center of the road.",a,"When parking uphill without a curb, turn the front wheels to the right (away from the center) so the vehicle will roll off the road if brakes fail.",medium
8,Special Situations & Road Users,"Because motorcycles and scooters are harder to see, drivers should:","a:Share a lane with a motorcycle.,b:Make constant visual checks.,c:Slow down when driving.",b,Motorcycles are small and can easily be missed in a quick glance or in blind spots. Make frequent visual checks to spot them.,easy
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, what is the first action you should take?","a:Ease up on the gas pedal.,b:Brake as hard as possible.,c:Turn off the ignition.",a,"When a skid begins, release the accelerator or brake and steer where you want the vehicle to go. Avoid hard braking unless ABS requires otherwise.",medium
5,Driving in Special Conditions,How should you steer and brake in inclement weather?,"a:Steer off the road.,b:Drive in a low gear.,c:Steer and brake smoothly.",c,"In poor conditions, avoid sudden steering or braking. Smooth, gentle inputs help maintain control on slippery surfaces.",easy
4,Safe & Defensive Driving Practices,How is driving slower than surrounding traffic typically viewed?,"a:Appropriate if you don’t know the speed limit.,b:Often a hazard because others may try unsafe passes.,c:A good idea if the weather is bad.",b,"Driving much slower than the flow of traffic can cause frustration and risky passing maneuvers by other drivers, increasing collision risk.",easy
4,Safe & Defensive Driving Practices,"If you feel tired while driving, what is the recommended action?","a:Increase the volume of your radio.,b:Find a safe place to park and take a short nap.,c:Increase your speed to reach the destination faster.",b,"Warning signs of fatigue include struggling to stay awake or drifting lanes. If you notice these, stop in a safe place and rest or nap.",easy
4,Safe & Defensive Driving Practices,"At crosswalks, intersections, and railroad crossings, what should you always do?","a:Stop, listen, and proceed cautiously.,b:Slowly pass vehicles that seem to be stopped for no reason.,c:Look to the sides of your vehicle to see what is coming.",c,"Whenever people or other traffic may cross your path, look to the left and right sides of your vehicle to ensure no one is approaching.",easy
5,Driving in Special Conditions,Why should you avoid using high beams in fog or mist?,"a:The light will reflect back into your eyes.,b:Vehicles behind you may follow too closely.,c:Approaching vehicles might not see you.",a,"High beams reflect off fog and mist, creating glare that reduces visibility for you and other drivers.",easy
6,"Alcohol, Drugs & Impaired Driving",Alcohol belongs to which drug classification?,"a:A stimulant.,b:A depressant.,c:An antihistamine.,d:A hallucinogen.",b,"Alcohol is a depressant that slows down the brain and nervous system, impairing judgment and reaction time.",easy
4,Safe & Defensive Driving Practices,Which is a safe driving habit?,"a:Using your high beam lights in the fog.,b:Staring fixedly at the road ahead.,c:Checking your rearview mirrors frequently.",c,"Scan the road and check mirrors every 2–5 seconds to remain aware of hazards. Use low beams in fog, not high beams, and avoid staring at a single spot.",easy
4,Safe & Defensive Driving Practices,"If you are angry after an argument, what should you do before driving?","a:Loudly play the radio while driving so you won’t think about your argument.,b:Take a few minutes to cool off before driving.,c:Drive on the interstate to let off steam.",b,Emotional distress affects concentration and decision-making; allow time to calm down before operating a vehicle.,easy
6,"Alcohol, Drugs & Impaired Driving",Which ability is affected first by alcohol?,"a:Balance.,b:Judgment.,c:Vision.",b,"Alcohol first impairs judgment and decision-making, which then affects other driving skills.",easy
2,Traffic Laws & Rules of the Road,Is it permissible to drive on the shoulder to pass another vehicle?,"a:If the shoulder is wide enough.,b:Under no circumstances.,c:If the vehicle ahead is turning left.,d:If emergency vehicles are behind you.",b,Never drive on the shoulder to pass; passing on the right is allowed only when it can be done safely without leaving the roadway.,easy
4,Safe & Defensive Driving Practices,What should you do before stopping your vehicle at a traffic signal or sign?,"a:Press down hard on the accelerator.,b:Check your mirrors for surrounding traffic.,c:Set the parking brake.",b,"Before braking to stop, check mirrors for traffic around you and apply steady pressure to the brake for a smooth stop.",easy
4,Safe & Defensive Driving Practices,What is the proper way to back up your vehicle?,"a:Rely only on your rearview mirror.,b:Press hard on the gas pedal.,c:Look directly through the rear window while moving slowly.",c,"When reversing, turn and look through the rear window, placing your right arm over the seatback. Do not rely solely on mirrors and go slowly.",easy
4,Safe & Defensive Driving Practices,"If you have a sudden tire blowout, what is the safest brake action?","a:Apply the brakes firmly.,b:Pump the brakes.,c:Use the brakes lightly.",c,"Hold the wheel steady, release the accelerator, and slow down gradually—use the brakes lightly once speed has dropped.",medium
5,Driving in Special Conditions,How can you reduce the risk of hydroplaning in wet conditions?,"a:Drive at a speed appropriate for ideal conditions.,b:Apply your brakes as soon as your car starts to skid.,c:Slow down.",c,Reduce speed in wet conditions to maintain tire contact with the road and avoid hydroplaning.,easy
4,Safe & Defensive Driving Practices,"When preparing to change lanes, which statement is correct?","a:Vehicles with two outside mirrors do not have blind spots.,b:Look over your right shoulder for a right lane change and over your left shoulder for a left lane change.,c:You only need to turn and look over your right shoulder for lane changes to the right or left.",b,"Before changing lanes, signal, check all mirrors, and look over the shoulder toward the lane you plan to enter to check the blind spot for vehicles, motorcycles, or bicycles.",easy
2,Traffic Laws & Rules of the Road,"From which lane should you start a left turn from a multilane, one-way street onto another one-way street?","a:Any lane as long as it's safe.,b:The lane closest to the left curb.,c:The lane in the center of the road.",b,"When turning left from a one-way street onto another one-way street, begin from the far left lane and turn into the leftmost lane of the street you're entering.",easy
2,Traffic Laws & Rules of the Road,"When preparing to make a left turn from a two-way street, where should you position your vehicle?","a:Near the right-hand side of the road.,b:Near the centerline.,c:On the left of the centerline.",b,"To turn left from a two-way street, position your vehicle near the centerline and begin the turn when it's safe to do so without cutting the corner.",easy
2,Traffic Laws & Rules of the Road,"After passing a vehicle on the left, when is it safe to move back into the right lane?","a:After about three seconds.,b:When you can no longer see the vehicle over your right shoulder.,c:When you can see the front of the passed vehicle in your rearview mirror.",c,Return to the right lane when you can see the passed vehicle's front (headlights) in your rearview mirror and it is safe to do so.,medium
8,Special Situations & Road Users,When may you legally drive around or under a lowered railroad crossing gate?,"a:When warning lights are not flashing.,b:When you can see clearly both directions.,c:Never.,d:When traffic is backed up.",c,It is illegal and dangerous to go around or under lowered crossing gates; wait until the gates are raised and it is safe.,easy
6,"Alcohol, Drugs & Impaired Driving",What restriction applies to all drivers under 21 regarding alcohol?,"a:They cannot drive after consuming any alcohol.,b:They cannot drive after midnight.,c:They cannot smoke while driving.,d:They cannot drive on highways.",a,Drivers under 21 are prohibited from driving after consuming any alcohol; a zero-tolerance rule applies and violations can suspend licenses.,medium
2,Traffic Laws & Rules of the Road,"If a pedestrian began crossing after the Don't Walk started and is in the intersection when your light turns green, what should you do?","a:Proceed if the pedestrian is not in your lane.,b:Wait until the pedestrian finishes crossing before going.,c:Proceed because you have the right-of-way.,d:Honk and continue carefully.",b,You must yield to pedestrians already in the intersection and wait until they have crossed before proceeding on your green signal.,easy
