section-num,section-name,question,options,correct-answer,note,difficulty
3,"Signs, Signals & Road Markings",Temporary construction and maintenance signs are characterized by:,"a:A red background with green writing.,b:An orange background with black writing.,c:A yellow background with blue writing.",b,Work zone and temporary signs use an orange background with black text or symbols to warn drivers.,easy
5,Driving in Special Conditions,"If dust or smoke reduces visibility, what should you do with your lights?","a:Turn on your headlights.,b:Turn on your parking lights.,c:Turn on your emergency flashers.",a,Turn on headlights anytime you cannot see other vehicles clearly so other drivers can see you as well.,medium
5,Driving in Special Conditions,"When merging onto the interstate, after checking for a gap and signaling you should:","a:Merge carefully into the gap.,b:Expect traffic to make room because you have the right-of-way.,c:Wait for the lane to clear completely before merging.",a,"Accelerate to match traffic speed, signal, and merge into the gap when it is safe; do not assume other drivers will yield for you.",medium
8,Special Situations & Road Users,"If a school bus stopped ahead on the road has flashing lights and an extended stop arm, what must you do?","a:Come to a complete stop until the red lights stop flashing and the stop arm is retracted.,b:Change lanes and pass cautiously.,c:Slow down to 10 mph and pass.",a,Stop and remain stopped while the bus is loading or unloading students and its red lights are flashing and stop arm extended; only proceed once those signals are off.,easy
8,Special Situations & Road Users,"After stopping for a train and it passes, you should:","a:Wait for all signals to stop and look for a possible second train.,b:Proceed as soon as the visible train has passed without checking further.,c:Drive around the crossing gate if it seems clear.",a,"Do not cross until gates are fully raised, warning lights have ceased, and you have checked for additional trains on other tracks.",easy
8,Special Situations & Road Users,When should you avoid using your horn?,"a:To warn a driver who is not paying attention.,b:Near blind pedestrians.,c:When visibility ahead is limited.,d:If you might hit another vehicle.",b,Do not use the horn near someone who is blind; yield and proceed only when it is safe.,easy
8,Special Situations & Road Users,Why should motorists give extra space to children on bicycles?,"a:Because they have less developed reflexes and are smaller and harder to see.,b:Because they always follow traffic rules.,c:Because they are slower than adults and will not move suddenly.",a,"Children on bicycles are less predictable and harder to see; give them extra room, especially near schools and parks.",medium
4,Safe & Defensive Driving Practices,"When being tailgated by another driver, you should:","a:Create extra space ahead of your vehicle.,b:Increase your speed to pull away.,c:Brake suddenly to discourage them.",a,Allow more room in front of you and avoid sudden braking; change lanes if safe to do so or gradually slow to encourage the tailgater to pass.,medium
2,Traffic Laws & Rules of the Road,Under what circumstances may you legally block an intersection?,"a:You may during rush hour traffic.,b:If you entered the intersection on the green light.,c:Under no circumstances.,d:If you entered the intersection on a yellow light.",c,You may not enter an intersection unless you can clear it completely; blocking it is not legal regardless of signal color or traffic conditions.,medium
4,Safe & Defensive Driving Practices,What is the definition of distracted driving?,"a:Anything that takes your attention away from driving.,b:Anything that causes you to pay more attention to driving.,c:Anything that forces evasive action by another vehicle.",a,"Distracted driving includes any activity that diverts eyes, hands, or mind from driving and contributes to collisions.",easy
5,Driving in Special Conditions,What color are traffic control devices in construction and maintenance areas?,"a:Orange.,b:Red.,c:Yellow.",a,"Orange signs, cones, and barriers indicate construction or maintenance work zones and require extra caution.",easy
