section-num,section-name,question,options,correct-answer,note
6,Some Special Driving,"When driving in fog, you should:","a: Drive cautiously at reduced speed, b: Avoid high beam headlights, c: Use low beam headlights, d: All of the above",d,"Fog reduces visibility, so drivers should slow down, use low beams for better road illumination, and avoid high beams to prevent glare."
1,Right-of-Way,What should you avoid when making a left turn?,"a: Signaling to other drivers.,b: Cutting the corner.,c: Slowing down.",b,"When making a left turn, avoid cutting the corner to prevent interfering with other vehicles, while signaling and slowing appropriately."
1,Right-of-Way,"At an uncontrolled intersection where you arrive simultaneously with a vehicle to your right, you should:","a: Speed through the intersection, b: Yield to the vehicle on the right, c: Enter and force the other vehicle to stop",b,"At an uncontrolled intersection, the vehicle on the right has the right-of-way when both arrive simultaneously, ensuring orderly traffic flow."
5,Speed and Speed Limits,Fines for traffic violations in construction and maintenance zones are:,"a: Reduced, b: Doubled, c: Eliminated",b,"Fines are doubled in construction zones when workers and warning signs are present, emphasizing the need for caution."
5,Speed and Speed Limits,A driver traveling much slower than the speed limit:,"a: Is always a safe driver, b: Always has the right-of-way, c: Should allow following vehicles to pass",c,"Driving significantly below the speed limit on a two-lane road can create hazards, so drivers should pull over to let faster traffic pass safely."
2,"Signals, Signs, and Markers",What should you do at a steady red traffic light?,"a: Come to a complete stop.,b: Continue as you have the right-of-way.,c: Stop only if a police officer is present.",a,"A steady red light requires a complete stop, though a right turn on red is allowed after stopping if no sign prohibits it and it's safe."
6,Some Special Driving,What should you do if your accelerator sticks while driving?,"a: Try to pull it up manually.,b: Shift to park.,c: Shift to neutral and brake steadily.",c,"If the accelerator sticks, shifting to neutral disengages the engine’s power, allowing you to brake steadily and safely pull over."
8,Motor Vehicle Crashes,Anything that causes you to ____ can lead to a crash.,"a: Take your eyes off the road, b: Remove your hands from the wheel, c: Divert your attention from driving, d: All of the above",d,"Distractions that take your eyes, hands, or focus away from driving significantly increase the likelihood of a crash."
7,Alcohol and Drug Impact on the Driving Ability,Which does not happen after drinking alcohol?,"a: Slower reflexes and reaction time.,b: Distorted speed and distance judgment.,c: Increased alertness.",c,"Alcohol reduces alertness, reaction time, vision, and judgment, increasing risk-taking and impairing driving ability."
8,Motor Vehicle Crashes,What should you do if someone is injured in an accident you’re involved in?,"a: Move the injured immediately.,b: Leave the injured where they are.,c: Avoid moving the injured unless necessary.",c,Do not move the injured unless absolutely necessary to avoid worsening injuries; keep them warm and apply first aid if needed.
9,Pedestrian Safety,Drivers must yield to a pedestrian:,"a: Even if they cross carelessly, b: Only in a crosswalk, c: Only if on the same side of the road",a,"Drivers must always yield to pedestrians, even if they cross recklessly, to prioritize their safety."
3,"Signaling, Passing, and Turning",When may you pass with a solid and broken yellow line if the broken line is on your side?,"a: Only in an emergency.,b: On an expressway.,c: If traffic is clear.",c,"You may pass when the broken yellow line is on your side and traffic is clear, ensuring no interference with oncoming vehicles."
4,"Parking, Stopping, or Standing",Drivers may not park within ____ of a crosswalk.,"a: 20 feet, b: 30 feet, c: 35 feet",a,Parking within 20 feet of a crosswalk is prohibited to ensure visibility and prevent crashes.
9,Pedestrian Safety,What should you do at an intersection with a green light and pedestrians crossing against the red?,"a: Honk your horn.,b: Speed up to pass the pedestrians.,c: Stop to let pedestrians cross safely.",c,"Yield to pedestrians caught in the intersection, even if crossing against the light, to ensure their safety."
1,Right-of-Way,"When turning left, drivers must yield to:","a: Drivers already in the intersection, b: Oncoming traffic, c: Pedestrians in the intersection, d: All of the above",d,"Left turns require yielding to oncoming traffic, pedestrians, and vehicles or cyclists already in the intersection for safety."
3,"Signaling, Passing, and Turning",How should drivers use a shared center lane on a multilane road with opposing traffic?,"a: To pass another vehicle.,b: To slow or stop before turning left.,c: As a through-traffic lane.",b,"Use the center lane only to slow or stop for a safe left turn, not for passing or through traffic."
3,"Signaling, Passing, and Turning",When may you not cross a single broken white or yellow line?,"a: If it interferes with traffic.,b: When turning left into a driveway.,c: When the car ahead is disabled.",a,"Do not cross a broken line if it interferes with traffic, but you may cross to pass or turn when safe."
4,"Parking, Stopping, or Standing",How close may you not park to a traffic control signal?,"a: 50 feet.,b: 30 feet.,c: 35 feet.",b,Do not park within 30 feet of a traffic control signal to avoid obstructing visibility and causing crashes.
6,Some Special Driving,Which is not a factor in stopping distance?,"a: Steering ability, b: Braking distance, c: Reaction distance",a,"Stopping distance depends on perception, reaction, and braking distances, not steering ability."
6,Some Special Driving,A seat belt should be adjusted to:,"a: Be loose, b: Fit snugly across your hips and lower abdomen, c: Be hidden under the seat",b,"A properly adjusted seat belt should fit snugly across the hips and lower abdomen, with the shoulder belt allowing a fist’s width of space at the chest."
6,Some Special Driving,Your first response to reduced visibility should be:,"a: Turning on headlights, b: Reducing speed, c: Turning on windshield wipers",b,Reducing speed is the primary response to low visibility to maintain control and avoid hazards.
1,Right-of-Way,Who has the right-of-way at an uncontrolled intersection when two vehicles arrive simultaneously?,"a: The vehicle on the right.,b: The vehicle on the left.,c: The vehicle that honks first.",a,"At an uncontrolled intersection, the vehicle on the right has the right-of-way when both arrive at the same time."
2,"Signals, Signs, and Markers",You must stop at an intersection for a:,"a: Flashing red light, b: Steady yellow light, c: Yellow arrow",a,"A flashing red light requires a full stop, equivalent to a stop sign, before proceeding when clear."
2,"Signals, Signs, and Markers",What should you do when nearing railroad tracks?,"a: Look, listen, slow down, and be ready to stop.,b: Speed up to cross before gates lower.,c: Drive around a lowered gate.",a,"Approach railroad tracks cautiously, looking and listening for trains, slowing down, and preparing to stop if necessary."
5,Speed and Speed Limits,"As you approach an intersection and the light turns from green to yellow, you should:","a: Accelerate to beat the red light, b: Brake sharply to stop, c: Slow down and prepare to stop unless already in the intersection",c,"A yellow light signals an impending red light, so drivers should slow down and be ready to stop, unless already in the intersection."
4,"Parking, Stopping, or Standing",Can you park across from a fire station entrance?,"a: Yes, if emergency vehicles have left.,b: Yes, at night.,c: No, it is prohibited.",c,Parking is prohibited within 75 feet of a fire station entrance on the opposite side to ensure emergency access.
7,Alcohol and Drug Impact on the Driving Ability,How does alcohol affect driving skills and judgment?,"a: Improves driving but impairs judgment.,b: Negatively impacts both driving skills and judgment.,c: Has no effect on driving or judgment.",b,"Alcohol impairs critical driving skills, such as reaction time and vision, and distorts judgment, increasing risk-taking and reducing the ability to assess speed and distance."
7,Alcohol and Drug Impact on the Driving Ability,Drinking coffee after consuming alcohol:,"a: Lowers blood alcohol concentration, b: Neutralizes alcohol’s effects, c: Has no effect on blood alcohol concentration",c,Coffee does not reduce BAC or counteract alcohol’s impairing effects; only time allows the body to process alcohol.
2,"Signals, Signs, and Markers",A yellow and black diamond-shaped sign:,"a: Warns of road conditions or hazards, b: Guides to nearby cities and towns, c: Indicates traffic laws",a,"Yellow and black diamond-shaped signs alert drivers to potential road hazards or conditions, such as curves or obstacles."
4,"Parking, Stopping, or Standing",You may not park:,"a: On a hill.,b: In a parking lot.,c: On a crosswalk or bike lane.",c,Parking on crosswalks or bike lanes is illegal to maintain accessibility and safety for pedestrians and cyclists.
2,"Signals, Signs, and Markers",Work zone signs indicate:,"a: It’s summer, b: Stop and back up, c: Less than ideal driving conditions",c,"Orange work zone signs signal road work, requiring extra caution due to potential hazards like workers or equipment."
3,"Signaling, Passing, and Turning",What should you do when passing other vehicles?,"a: Check mirrors and blind spots.,b: Honk three times.,c: Re-enter within 10 feet of the passed vehicle.",a,"Check mirrors and blind spots, signal, and re-enter your lane only when you see the passed vehicle’s front in your rearview mirror."
3,"Signaling, Passing, and Turning","You may not pass within ____ of a bridge, viaduct, or tunnel.","a: 200 feet, b: 100 feet, c: 500 feet",b,"Passing within 100 feet of a bridge, viaduct, or tunnel is prohibited due to limited visibility and space."
7,Alcohol and Drug Impact on the Driving Ability,"To overcome the effects of alcohol consumption, you need:","a: Tomato juice and lime, b: Hot coffee, c: Time",c,"Only time allows the body to metabolize and eliminate alcohol, restoring normal driving ability."
7,Alcohol and Drug Impact on the Driving Ability,How many alcoholic drinks does your body process per hour?,"a: Three drinks.,b: One drink.,c: Two drinks.",b,"The average body processes about one alcoholic drink per hour, though factors like weight and food intake affect impairment."
3,"Signaling, Passing, and Turning",When should you stop using a hand signal for a turn?,"a: During the turn.,b: After the turn.,c: Just before the turn.",b,Stop using a hand signal after completing the turn to maintain control with both hands on the wheel.
1,Right-of-Way,"When turning onto a one-way street, drivers should:","a: Turn into the right lane, b: Turn into the left lane, c: Turn into the least obstructive lane",c,Turn into the lane that least interferes with other traffic on a one-way street to maintain smooth flow.
6,Some Special Driving,Defensive driving means:,"a: Driving aggressively, b: Using safe strategies to avoid crashes, c: Being more hazardous than non-defensive driving",b,Defensive driving employs proactive strategies to prevent collisions by staying alert and anticipating road hazards.
8,Motor Vehicle Crashes,"If you collide with an unattended vehicle, you should:","a: Continue driving, b: Locate the owner or leave a note, c: Avoid contacting your insurance",b,"After hitting an unattended vehicle, stop and either find the owner or leave a note with your contact details and accident circumstances."
7,Alcohol and Drug Impact on the Driving Ability,What’s the only way to lower your blood alcohol concentration (BAC?,"a: Drink coffee.,b: Exercise.,c: Allow time for your body to eliminate alcohol.",c,"Only time allows the body to process and eliminate alcohol, as coffee or exercise cannot reduce BAC or reverse alcohol’s effects."
1,Right-of-Way,"When two vehicles arrive at an uncontrolled intersection simultaneously, which has the right-of-way?","a: The vehicle on the right, b: The vehicle on the left, c: The vehicle sounding its horn first",a,"At an uncontrolled intersection, the vehicle on the right has priority when arriving simultaneously, ensuring orderly flow."
6,Some Special Driving,What should you do when a driver behind you wants to pass?,"a: Speed up.,b: Maintain your speed.,c: Slow down to allow room.",c,"Slow down to create space in front of your vehicle, making it easier and safer for the passing driver to complete the maneuver."
2,"Signals, Signs, and Markers",When must you stop at a railroad crossing?,"a: If a stop sign is posted.,b: If a gate is lowered.,c: If crossing lights are flashing.",c,"Stop if red lights are flashing, a gate is lowered, a stop sign is posted, a flagger signals, or a train is approaching."
2,"Signals, Signs, and Markers",What should you do at an intersection with a flashing yellow light?,"a: Stop and wait for the light to change.,b: Make a U-turn as the intersection is closed.,c: Proceed carefully through the intersection.",c,"A flashing yellow light requires slow, cautious progression through the intersection, scanning for traffic in both directions."
1,Right-of-Way,What should you do when moving from the right lane to the left on a multilane highway?,"a: Check rearview mirror for traffic behind.,b: Look over your left shoulder for blind spots.,c: Check side mirror and signal.",b,"Check mirrors, signal, and look over your left shoulder to ensure the left lane is clear before changing lanes."
8,Motor Vehicle Crashes,"If your vehicle blocks traffic after an accident, you should:","a: Move it off the road if possible, b: Leave it in place, c: Wait for police before moving",a,"Move the vehicle off the roadway if safe to do so, to prevent further traffic hazards."
6,Some Special Driving,What should you do if your accelerator sticks open while driving?,"a: Shift to neutral and brake steadily.,b: Slam on your brakes.,c: Turn on your four-way flashers.",a,"Turn off the ignition carefully, apply brakes, and move to a safe area if your accelerator sticks to prevent uncontrolled acceleration."
2,"Signals, Signs, and Markers","At a railroad crossing with a crossbuck but no gates or lights, you should:","a: Cross cautiously only when no train is coming, b: Turn down your radio to listen for a train, c: Proceed only when cleared by a flagger, d: All of the above",d,"Approach crossbucks cautiously, listen for trains, and obey flaggers to ensure no train is approaching before crossing."
7,Alcohol and Drug Impact on the Driving Ability,What happens when alcohol is combined with another drug?,"a: The effects of both may be amplified.,b: No effects occur.,c: The effects of both are reduced.",a,"Combining alcohol with other drugs can enhance the impairing effects of both, significantly increasing intoxication levels."
6,Some Special Driving,What should you do if your tire blows out while driving?,"a: Slam on brakes.,b: Hold the wheel tightly and slow to a stop.,c: Keep driving normally.",b,"Grip the steering wheel firmly, ease off the accelerator, and slow to a stop in a safe area after a tire blowout."
7,Alcohol and Drug Impact on the Driving Ability,Which medications might affect driving ability?,"a: Any medication.,b: Only headache medicine.,c: Only diet pills.",a,"Any medication, prescription or over-the-counter, may impair driving ability, so check with a doctor or read labels."
6,Some Special Driving,"When approaching a railroad crossing without signals or gates, you should:","a: Cross quickly, b: Always stop, c: Yield to any train",c,"Yield to any approaching train at an uncontrolled crossing, ensuring it’s safe to cross before proceeding."
