id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8758,ਬਰੇਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਨਾਲ ਗਰਮੀ ਪੈਦਾ ਹੁੰਦੀ ਹੈ। ਜੇ ਬਹੁਤ ਜ਼ਿਆਦਾ ਗਰਮੀ ਪੈਦਾ ਹੁੰਦੀ ਹੈ:,,ਬ੍ਰੇਕ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦੇ।,ਬ੍ਰੇਕ ਆਮ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਚੀਕ ਸਕਦੇ ਹਨ।,ਬ੍ਰੇਕ ਅਸਮਾਨਤਾ ਨਾਲ ਬ੍ਰੇਕ ਕਰਨਗੇ।,,A,"ਬ੍ਰੇਕਾਂ ਨੂੰ ਬਹੁਤ ਜ਼ਿਆਦਾ ਗਰਮੀ ਲੈਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ, ਪਰ ਡਰਾਈਵਰਾਂ ਨੂੰ ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਹੌਲੀ ਕਰਨ ਲਈ ਸਿਰਫ਼ ਬ੍ਰੇਕਾਂ 'ਤੇ ਨਿਰਭਰ ਨਹੀਂ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ। ਬ੍ਰੇਕ ਫਿੱਕੇ ਪੈ ਸਕਦੇ ਹਨ ਅਤੇ ਵਾਹਨ ਨੂੰ ਹੌਲੀ ਕਰਨ ਦੀ ਆਪਣੀ ਸਮਰੱਥਾ ਗੁਆ ਸਕਦੇ ਹਨ ਜੇਕਰ ਉਹ ਬਹੁਤ ਜ਼ਿਆਦਾ ਗਰਮ ਹੋ ਜਾਂਦੇ ਹਨ, ਇਸ ਲਈ ਡਰਾਈਵਰਾਂ ਨੂੰ ਇੰਜਣ ਬ੍ਰੇਕਿੰਗ ਪ੍ਰਭਾਵ 'ਤੇ ਵੀ ਭਰੋਸਾ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।"
11900,ਦੋਹਰੀ ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਦੇ ਦੋ ਸਿਸਟਮ ਕੀ ਸਾਂਝੇ ਕਰਦੇ ਹਨ?,,ਹੋਜ਼,ਇੱਕ ਏਅਰ ਕੰਪ੍ਰੈਸ਼ਰ,ਏਅਰ ਟੈਂਕ,,B,"ਦੋਹਰੀ ਏਅਰ ਬ੍ਰੇਕ ਪ੍ਰਣਾਲੀਆਂ ਵਿੱਚ ਦੋਵੇਂ ਸਿਸਟਮ ਇੱਕ ਸਿੰਗਲ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਨੂੰ ਸਾਂਝਾ ਕਰਦੇ ਹਨ। ਜੇਕਰ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਖਰਾਬ ਹੋ ਜਾਂਦਾ ਹੈ, ਤਾਂ ਕੋਈ ਵੀ ਸਿਸਟਮ ਠੀਕ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕੇਗਾ।"
9890,ਬ੍ਰੇਕਾਂ ਨੂੰ ਕੰਮ ਕਰਨ ਲਈ ਏਅਰ ਬ੍ਰੇਕ ਕੀ ਵਰਤਦੇ ਹਨ?,,ਕੰਪਰੈੱਸਡ ਹਵਾ,ਬਾਹਰੀ ਹਵਾ,ਗੈਰ-ਸੰਕੁਚਿਤ ਹਵਾ,,A,ਬਹੁਤ ਸਾਰੇ ਵੱਡੇ CMV ਏਅਰ ਬ੍ਰੇਕ ਨਾਲ ਲੈਸ ਹਨ. ਇੱਕ ਏਅਰ ਬ੍ਰੇਕਿੰਗ ਸਿਸਟਮ ਕੰਮ ਕਰਨ ਲਈ ਕੰਪਰੈੱਸਡ ਹਵਾ ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ।
9462,ਜਦੋਂ ਏਅਰ ਟੈਂਕ ਨੂੰ ਨਿਕਾਸ ਕੀਤਾ ਜਾਂਦਾ ਹੈ ਤਾਂ ਕੀ ਹਟਾਇਆ ਜਾਂਦਾ ਹੈ?,,ਪਾਣੀ ਅਤੇ ਤੇਲ,ਅਮੋਨੀਆ,ਤਰਲ ਕਲੀਨਰ,,A,"ਇੱਕ ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਵਿੱਚ, ਏਅਰ ਟੈਂਕਾਂ ਵਿੱਚ ਪਾਣੀ ਅਤੇ ਕੰਪ੍ਰੈਸਰ ਤੇਲ ਦੇ ਸੰਚਵ ਨੂੰ ਹਟਾਉਣ ਲਈ ਨਾਲੀਆਂ ਹੁੰਦੀਆਂ ਹਨ। ਸਿਸਟਮ ਵਿੱਚ ਪਾਣੀ ਅਤੇ ਤੇਲ ਨੂੰ ਇਕੱਠਾ ਹੋਣ ਦੇਣ ਨਾਲ ਬ੍ਰੇਕਾਂ ਨੂੰ ਨੁਕਸਾਨ ਹੋ ਸਕਦਾ ਹੈ।"
9947,"ਜੇਕਰ ਏਅਰ ਬ੍ਰੇਕ ਵਾਲੇ ਵਾਹਨ ਵਿੱਚ ਘੱਟ ਹਵਾ ਦੇ ਦਬਾਅ ਦਾ ਚੇਤਾਵਨੀ ਸਿਗਨਲ ਆਉਂਦਾ ਹੈ, ਤਾਂ ਡਰਾਈਵਰ ਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,"ਡ੍ਰਾਈਵਿੰਗ ਕਰਦੇ ਸਮੇਂ ਬ੍ਰੇਕਾਂ ਦੀ ਜਾਂਚ ਕਰੋ, ਪਰ ਜੇਕਰ ਕੁਝ ਗਲਤ ਨਹੀਂ ਲੱਗਦਾ ਤਾਂ ਗੱਡੀ ਚਲਾਉਂਦੇ ਰਹੋ।",ਤੁਰੰਤ ਗੱਡੀ ਚਲਾਉਣਾ ਬੰਦ ਕਰ ਦਿਓ।,ਖਤਰੇ ਵਾਲੀਆਂ ਲਾਈਟਾਂ ਨੂੰ ਚਾਲੂ ਕਰਕੇ ਡਰਾਈਵ ਕਰੋ।,,B,"ਜੇਕਰ ਤੁਸੀਂ ਏਅਰ ਬ੍ਰੇਕ ਨਾਲ ਵਾਹਨ ਚਲਾ ਰਹੇ ਹੋ ਤਾਂ ਘੱਟ ਹਵਾ ਦੇ ਦਬਾਅ ਦਾ ਚੇਤਾਵਨੀ ਸਿਗਨਲ ਆਉਂਦਾ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਜਿੰਨੀ ਜਲਦੀ ਹੋ ਸਕੇ ਵਾਹਨ ਨੂੰ ਰੁਕਣਾ ਅਤੇ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਪਾਰਕ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ। ਇਹ ਜ਼ਰੂਰੀ ਹੈ ਕਿ ਤੁਸੀਂ ਸੁਰੱਖਿਅਤ ਢੰਗ ਨਾਲ ਰੁਕਣ ਦੇ ਯੋਗ ਹੋਵੋ ਜਦੋਂ ਕਿ ਤੁਹਾਡੇ ਕੋਲ ਅਜੇ ਵੀ ਕੁਝ ਬ੍ਰੇਕਿੰਗ ਪਾਵਰ ਬਾਕੀ ਹੈ।"
8756,ਏਅਰ ਟੈਂਕ ਡਰੇਨ:,,ਠੰਡੇ ਮੌਸਮ ਵਿੱਚ ਇਸਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰਨੀ ਚਾਹੀਦੀ.,ਏਅਰ ਟੈਂਕ ਤੋਂ ਪਾਣੀ ਅਤੇ ਤੇਲ ਨੂੰ ਕੱਢਣ ਲਈ ਮਦਦਗਾਰ ਹੁੰਦੇ ਹਨ।,ਹਵਾ ਨੂੰ ਬ੍ਰੇਕਾਂ ਤੱਕ ਲਿਜਾਣ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ।,,B,ਇੱਕ ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਵਿੱਚ ਕੰਪਰੈੱਸਡ ਹਵਾ ਵਿੱਚ ਆਮ ਤੌਰ 'ਤੇ ਪਾਣੀ ਅਤੇ ਤੇਲ ਦੀ ਇੱਕ ਨਿਸ਼ਚਿਤ ਮਾਤਰਾ ਹੁੰਦੀ ਹੈ। ਜੇਕਰ ਇਕੱਠਾ ਹੋਣ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ ਤਾਂ ਇਹ ਸਿਸਟਮ ਨੂੰ ਨੁਕਸਾਨ ਪਹੁੰਚਾ ਸਕਦਾ ਹੈ। ਕੰਪਰੈੱਸਡ ਹਵਾ ਤੋਂ ਪਾਣੀ ਅਤੇ ਤੇਲ ਨੂੰ ਹਟਾਉਣ ਵਿੱਚ ਸਹਾਇਤਾ ਲਈ ਏਅਰ ਟੈਂਕਾਂ ਵਿੱਚ ਡਰੇਨ ਵਾਲਵ ਹੁੰਦੇ ਹਨ।
8767,ਹਵਾ ਦਾ ਦਬਾਅ ਇੱਕ ਸਿੰਗਲ ਏਅਰ ਸਿਸਟਮ ਵਿੱਚ ਅੰਦਰ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ:,,15 ਮਿੰਟ.,12 ਮਿੰਟ.,ਤਿੰਨ ਮਿੰਟ.,,C,"ਸਿੰਗਲ ਏਅਰ ਸਿਸਟਮ ਵਿੱਚ, ਹਵਾ ਦਾ ਦਬਾਅ ਤਿੰਨ ਮਿੰਟਾਂ ਵਿੱਚ ਲਗਭਗ 50 ਤੋਂ 90 psi ਤੱਕ ਬਣ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।"
11691,"ਇੱਕ ਦੋਹਰੀ ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਵਿੱਚ, ਇੱਕ ਸਿਸਟਮ ਵਿੱਚ ਇੱਕ ਲੀਕ:",,ਹਮੇਸ਼ਾ ਦਾ ਮਤਲਬ ਹੈ ਕਿ ਦੋਵਾਂ ਪ੍ਰਣਾਲੀਆਂ ਵਿੱਚ ਲੀਕ ਹਨ।,ਦੂਜੇ ਸਿਸਟਮ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਨਹੀਂ ਕਰ ਸਕਦਾ।,ਚਿੰਤਾ ਕਰਨ ਵਾਲੀ ਕੋਈ ਚੀਜ਼ ਨਹੀਂ ਹੈ।,,B,"ਇੱਕ ਡੁਅਲ ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਦੋ ਵੱਖ-ਵੱਖ ਏਅਰ ਬ੍ਰੇਕ ਪ੍ਰਣਾਲੀਆਂ ਦਾ ਬਣਿਆ ਹੁੰਦਾ ਹੈ। ਜੇ ਇੱਕ ਸਿਸਟਮ ਵਿੱਚ ਹਵਾ ਦਾ ਲੀਕ ਹੁੰਦਾ ਹੈ, ਤਾਂ ਇਹ ਦੂਜੇ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਨਹੀਂ ਕਰ ਸਕਦਾ ਹੈ।"
11667,"ਜਦੋਂ ਤੁਸੀਂ S-ਕੈਮ ਬ੍ਰੇਕਾਂ ਵਾਲੇ ਵਾਹਨ ਵਿੱਚ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਦਬਾਉਂਦੇ ਹੋ, ਤਾਂ ਹਵਾ ਦਾ ਦਬਾਅ ਡੰਡੇ ਨੂੰ ਬਾਹਰ ਧੱਕਦਾ ਹੈ ਅਤੇ ਅੱਗੇ ਵਧਦਾ ਹੈ:",,ਸਲੈਕ ਐਡਜਸਟਰ.,ਧੁਰਾ.,ਬ੍ਰੇਕ ਡਰੱਮ.,,A,"S-ਕੈਮ ਬ੍ਰੇਕਾਂ ਵਾਲੇ ਵਾਹਨ ਵਿੱਚ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਦਬਾਉਣ ਵੇਲੇ, ਹਵਾ ਬ੍ਰੇਕ ਚੈਂਬਰਾਂ ਵਿੱਚ ਦਾਖਲ ਹੋਵੇਗੀ। ਜੋੜਿਆ ਗਿਆ ਹਵਾ ਦਾ ਦਬਾਅ ਬਰੇਕ ਕੈਮਸ਼ਾਫਟਾਂ ਨੂੰ ਮਰੋੜ ਕੇ, ਡੰਡੇ ਨੂੰ ਬਾਹਰ ਧੱਕੇਗਾ ਅਤੇ ਢਿੱਲੇ ਐਡਜਸਟਰਾਂ ਨੂੰ ਹਿਲਾਏਗਾ।"
11715,ਇੱਕ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਗਵਰਨਰ ਕੰਪ੍ਰੈਸਰ ਨੂੰ ਹਵਾ ਪੰਪ ਕਰਨ ਤੋਂ ਰੋਕ ਦੇਵੇਗਾ ਜਦੋਂ ਏਅਰ ਟੈਂਕ ਵਿੱਚ ਹਵਾ ਦਾ ਦਬਾਅ ਪੱਧਰ ਹੁੰਦਾ ਹੈ:,,125 psi.,100 psi.,150 psi.,,A,"ਜਦੋਂ ਏਅਰ ਟੈਂਕ 125 psi ਦੇ ਹਵਾ ਦੇ ਦਬਾਅ ਦੇ ਪੱਧਰ 'ਤੇ ਹੁੰਦੇ ਹਨ ਤਾਂ ਇੱਕ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਗਵਰਨਰ ਕੰਪ੍ਰੈਸਰ ਨੂੰ ਹਵਾ ਪੰਪ ਕਰਨ ਤੋਂ ਰੋਕ ਦੇਵੇਗਾ। ਇਸ ਹਵਾ ਦੇ ਦਬਾਅ ਦੇ ਪੱਧਰ ਨੂੰ ""ਕਟ-ਆਊਟ"" ਪੱਧਰ ਕਿਹਾ ਜਾਂਦਾ ਹੈ।"
