section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,At what age can a New Mexico teen apply for a learner's permit?,"a:14,b:14 and a half,c:15,d:16",c,"New Mexico allows teens to apply for a learner's permit at age 15. A parent or guardian must sign the application, and the permit allows supervised driving practice under New Mexico's GDL program.",medium
2,Traffic Laws & Rules of the Road,What is the passing score for the New Mexico MVD knowledge test?,"a:70% (18/25 correct),b:72% (18/25 correct),c:80% (20/25 correct),d:85% (21/25 correct)",b,"New Mexico requires a passing score of 72% on the 25-question knowledge test, which means you must answer at least 18 out of 25 questions correctly. This is a lower passing threshold than most states, which typically require 80%.",medium
2,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in New Mexico?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,New Mexico sets the per se DWI limit at 0.08% BAC for drivers 21 and older. Commercial drivers face a stricter 0.04% limit. Reaching 0.08% BAC is sufficient for a DWI charge regardless of apparent impairment. Note: New Mexico uses 'DWI' not 'DUI.',medium
2,Traffic Laws & Rules of the Road,New Mexico's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.00% — any detectable amount,b:0.02%,c:0.04%,d:0.08%",b,New Mexico's zero tolerance law sets the underage DWI threshold at 0.02% BAC for drivers under 21. Drivers under 21 found with a BAC of 0.02% or higher face automatic license revocation.,medium
2,Traffic Laws & Rules of the Road,You are driving in New Mexico and encounter a dust storm (haboob) that reduces visibility to near zero. What should you do?,"a:Turn on high beams and slow to 15 mph,b:Pull off the road completely, turn off lights, and wait for the storm to pass,c:Continue at reduced speed — dust storms pass quickly,d:Use your hazard lights and stop on the shoulder",b,"In a severe dust storm, pull completely off the paved road, turn off your headlights (so other drivers do not follow them into a stopped vehicle), set the parking brake, and wait for the storm to pass. This is critical in New Mexico's desert regions where haboobs can reduce visibility to zero.",medium
2,Traffic Laws & Rules of the Road,What is the default speed limit on a New Mexico rural highway when no speed limit sign is posted?,"a:55 mph,b:60 mph,c:65 mph,d:70 mph",a,"New Mexico's default speed limit on rural highways is 55 mph when no posted sign indicates otherwise. On divided four-lane highways, the default may be higher. Always check posted signs — New Mexico has some roads with limits up to 75 mph.",medium
2,Traffic Laws & Rules of the Road,"In New Mexico, when must you yield to a pedestrian?","a:Only at marked crosswalks with signals,b:At all crosswalks — marked and unmarked — and anytime a pedestrian is in your path,c:Only when a pedestrian is on the same side of the road as you,d:Only at intersections with traffic signals",b,"New Mexico requires drivers to yield to pedestrians at all crosswalks, both marked and unmarked, and any time a pedestrian is in the roadway. An unmarked crosswalk exists at every intersection — even without painted lines — where two public streets meet.",medium
2,Traffic Laws & Rules of the Road,What does New Mexico's Move Over law require when passing a stopped emergency vehicle on a highway?,"a:Move over only for police vehicles, not for tow trucks,b:Move one lane away from any stopped emergency or highway maintenance vehicle — or slow if lane change is unsafe,c:Stop completely behind the emergency vehicle,d:Maintain your lane — emergency vehicles have protective barriers",b,"New Mexico's Move Over law requires drivers to move one lane away from any stopped emergency, law enforcement, or highway maintenance vehicle with flashing lights. If moving is not safely possible, reduce speed to at least 20 mph below the posted speed limit.",medium
2,Traffic Laws & Rules of the Road,"On a New Mexico two-lane highway, you see a broken yellow center line on your side of the road. This means:","a:Passing is always prohibited,b:Passing is permitted when it is safe and the road ahead is clear,c:You must slow to 45 mph before passing,d:Passing is only permitted by the vehicle ahead, not you",b,"A broken (dashed) yellow line on your side of the center allows passing when you have adequate sight distance, no oncoming traffic, and can complete the pass safely. A solid yellow line on your side prohibits passing — never cross a solid line on your side.",medium
2,Traffic Laws & Rules of the Road,What must all drivers do when approaching a school bus with flashing red lights on an undivided New Mexico road?,"a:Stop only if driving behind the bus,b:All traffic in both directions must stop at least 10 feet from the bus,c:Slow to 15 mph and pass the bus carefully,d:Stop only if children are visible near the bus",b,New Mexico requires all traffic on an undivided road in both directions to stop when a school bus activates its flashing red lights and stop arm. Stop at least 10 feet from the bus and wait until the lights stop flashing and the arm retracts before proceeding.,medium
2,Traffic Laws & Rules of the Road,What is the speed limit in a New Mexico school zone when children are present?,"a:10 mph,b:15 mph,c:20 mph,d:25 mph",c,"New Mexico school zones have a 15–20 mph speed limit when children are present or when warning lights are flashing. Specific limits are posted at each school zone. Always watch for school zone signs, especially during arrival and dismissal times.",medium
2,Traffic Laws & Rules of the Road,"Under New Mexico's implied consent law, refusing a chemical test after a DWI arrest results in:","a:No penalty — you have the right to refuse,b:Automatic license revocation for at least 1 year for a first offense,c:Only a fine with no license action,d:License revocation only if convicted of DWI",b,"New Mexico's implied consent law means driving on state roads implies your consent to chemical testing. A first-offense refusal results in an automatic license revocation of at least 1 year, plus the refusal can be used as evidence in court.",medium
2,Traffic Laws & Rules of the Road,You are driving on a New Mexico highway and notice the front end of your vehicle drifting slightly. This may indicate:,"a:Your speed is too low — accelerate to correct the drift,b:A flat or underinflated tire, alignment issue, or loose suspension component,c:Normal driving on desert roads — wind causes all vehicles to drift,d:An engine problem — turn off the ignition immediately",b,"Drifting or pulling to one side while driving can indicate an underinflated or flat tire, alignment problems, or a loose suspension component. In New Mexico's desert heat, tire pressure changes rapidly. Pull over safely and inspect your tires before continuing.",medium
2,Traffic Laws & Rules of the Road,When are headlights required in New Mexico?,"a:Only between midnight and 5 AM,b:From 30 minutes after sunset to 30 minutes before sunrise and in weather that reduces visibility,c:Only when driving on highways,d:Only in rain or fog",b,"New Mexico requires headlights from 30 minutes after sunset to 30 minutes before sunrise and whenever weather conditions reduce visibility. In New Mexico's desert, sudden rain and dust storms can significantly reduce visibility — turn your headlights on any time visibility is limited.",medium
2,Traffic Laws & Rules of the Road,What does a flashing yellow traffic signal at a New Mexico intersection mean?,"a:Stop completely and wait for the light to turn green,b:Yield to all traffic and then proceed,c:Slow down, be alert, and proceed with caution,d:Proceed without slowing — it is just a cautionary signal",c,"A flashing yellow signal means caution — reduce speed, look carefully for crossing traffic, and proceed when it is safe. A full stop is not required (unlike a flashing red), but you must be prepared to yield if necessary.",medium
2,Traffic Laws & Rules of the Road,What is the minimum recommended following distance on New Mexico highways?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,"New Mexico recommends a minimum 3-second following distance under normal conditions. On desert highways where blowing dust, flash floods, and wildlife can suddenly appear, consider increasing to 4 seconds or more for a safer buffer.",medium
2,Traffic Laws & Rules of the Road,"New Mexico has many open range areas. If you hit livestock on an open range road, who is generally responsible?","a:The livestock owner is always responsible for animals on the road,b:The driver may be responsible — in open range areas, animals have the right to be on the road,c:The state highway department is responsible for all livestock incidents,d:Neither party is legally responsible — it is treated as an act of nature",b,"In New Mexico's open range areas, drivers must watch for livestock. In open range jurisdictions, ranchers are not required to fence in their animals — the animals have the right to be on the road. Drivers are expected to drive at a safe speed and watch for animals, especially at night.",medium
2,Traffic Laws & Rules of the Road,You are making a left turn at an intersection. An oncoming vehicle is approaching. When should you turn?,"a:Turn immediately — your turn signal gives you the right of way,b:Wait until there is a safe gap in oncoming traffic before turning,c:Flash your lights to signal the oncoming driver to slow,d:Turn if the oncoming vehicle is more than 5 car lengths away",b,A vehicle turning left must always yield to oncoming traffic. Wait for a safe gap — one large enough to complete the turn without forcing oncoming drivers to brake. Misjudging the speed of oncoming traffic is a leading cause of left-turn crashes.,medium
2,Traffic Laws & Rules of the Road,What shape and color identifies a regulatory sign in New Mexico?,"a:Yellow diamond,b:Orange pentagon,c:White rectangle or special shapes (octagon for stop, triangle for yield),d:Green rectangle",c,"Regulatory signs are white rectangles or special shapes like the red octagonal stop sign and triangular yield sign. These signs communicate laws you must obey — speed limits, no passing, do not enter, and similar requirements.",medium
2,Traffic Laws & Rules of the Road,"Under New Mexico GDL rules, what restriction applies to drivers under 18 regarding nighttime driving?","a:No driving between midnight and 5:00 AM,b:No driving between 11:00 PM and 5:00 AM,c:No driving between 10:00 PM and 5:00 AM,d:No driving between midnight and 6:00 AM",a,"Under New Mexico's GDL program, provisional license holders (under 18) are prohibited from driving between midnight and 5:00 AM, unless accompanied by a licensed driver age 21 or older, or driving for work, school, religious activities, or emergencies.",medium
