section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,What is the default speed limit on most urban streets in Mississippi when no speed limit sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:40 mph",b,"Mississippi sets the default speed limit in urban areas at 30 mph when no other limit is posted. Many new drivers assume 25 mph (common in other states), but Mississippi's default urban limit is 30 mph. Always check posted signs.",medium
1,Traffic Laws & Rules of the Road,What is the maximum speed limit on most Mississippi interstate highways for passenger vehicles?,"a:65 mph,b:70 mph,c:75 mph,d:80 mph",b,Mississippi's standard interstate speed limit is 70 mph for passenger vehicles on most rural interstate sections. Urban sections through Jackson or other cities may have lower posted limits. Always follow the posted sign.,medium
1,Traffic Laws & Rules of the Road,What is the speed limit in Mississippi school zones when children are present?,"a:15 mph,b:20 mph,c:25 mph,d:30 mph",b,Mississippi school zones have a 20 mph speed limit when children are present or warning lights are active. This is lower than many states' 25 mph limit. Slow down well in advance of school zones and remain alert for children near the roadway.,medium
1,Traffic Laws & Rules of the Road,"Under Mississippi's GDL program, at what age can a teenager apply for a learner's permit?","a:14,b:15,c:16,d:15 and a half",b,"In Mississippi, teens can apply for a learner's permit at age 15. After meeting supervised driving requirements, they become eligible for an intermediate license at age 16 after 1 year of supervised practice including at least 15 hours at night.",medium
1,Traffic Laws & Rules of the Road,Mississippi's GDL program requires permit holders to complete at least how many supervised nighttime driving hours?,"a:5 hours,b:10 hours,c:15 hours,d:20 hours",c,"Mississippi requires GDL permit holders to complete at least 50 hours of supervised driving practice, of which at least 15 hours must be at night. Mississippi's 15-hour nighttime requirement is higher than many other states and reflects the importance of building nighttime driving skills before driving alone after dark.",medium
1,Traffic Laws & Rules of the Road,"Under Mississippi's GDL nighttime restrictions, teens under 17 with an intermediate license may not drive during which hours?","a:10 PM to 5 AM,b:11 PM to 5 AM,c:Midnight to 5 AM,d:Midnight to 6 AM",c,"Mississippi restricts drivers under 17 with an intermediate license from driving between midnight and 5 AM unless accompanied by a licensed adult age 21 or older. Exceptions apply for work, school activities, and emergencies. The curfew is midnight — not 10 PM or 11 PM.",medium
1,Traffic Laws & Rules of the Road,The legal BAC limit for a driver age 21 or older in Mississippi is:,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"Mississippi, like all U.S. states, sets the per se DUI limit at 0.08% BAC for drivers 21 and older. A BAC at or above this level establishes impairment under Mississippi law regardless of how the driver looks or acts. Commercial drivers face a stricter 0.04% limit.",medium
1,Traffic Laws & Rules of the Road,"Under Mississippi's zero tolerance law, what BAC level is illegal for a driver under 21?","a:Any measurable amount — 0.00%,b:0.02%,c:0.04%,d:0.08%",b,Mississippi's zero tolerance law for underage drivers sets the illegal BAC threshold at 0.02%. A driver under 21 with a BAC of 0.02% or higher faces DUI charges and license suspension. This is considerably lower than the adult standard of 0.08%.,medium
1,Traffic Laws & Rules of the Road,"Under Mississippi's implied consent law, a driver who refuses a chemical test after a DUI stop will:","a:Face no legal penalty,b:Have their license suspended automatically for 90 days,c:Only receive a written warning,d:Lose their license permanently",b,Mississippi's implied consent law means that driving on state roads constitutes consent to chemical testing. A first-offense refusal triggers a 90-day license suspension. The refusal can also be presented as evidence of consciousness of guilt at trial. Refusing rarely benefits the driver legally.,medium
1,Traffic Laws & Rules of the Road,Mississippi's seatbelt law requires which vehicle occupants to be buckled?,"a:Only the driver,b:Driver and front-seat passengers only,c:All occupants in all seating positions,d:Only occupants under age 21",c,"Mississippi requires all vehicle occupants — front and rear seats — to wear a seatbelt. Mississippi has primary enforcement, meaning an officer can stop a vehicle solely because a front-seat occupant is unbuckled, without any other violation.",medium
