section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,What is the default speed limit in an urban area in Alabama when no speed limit sign is posted?,"a:20 mph,b:25 mph,c:30 mph,d:35 mph",b,"Alabama sets the default urban speed limit at 25 mph when no sign is posted. This is lower than some neighboring states (e.g., Tennessee's 30 mph). Always look for posted signs, as specific roads within urban areas may have different limits.",medium
2,Traffic Laws & Rules of the Road,What is Alabama's speed limit on most rural two-lane roads when no sign is posted?,"a:45 mph,b:50 mph,c:55 mph,d:60 mph",c,"The default rural road speed limit in Alabama is 55 mph. On interstate highways, the limit is higher — typically 70 mph for passenger vehicles. Always check posted signs, especially in areas transitioning from rural to suburban.",medium
2,Traffic Laws & Rules of the Road,"Under Alabama's GDL program, at what age can a teenager apply for a learner's permit?","a:14,b:15,c:16,d:15 and a half",b,"In Alabama, teens can apply for a learner's permit at age 15. The GDL program requires a mandatory supervised driving period before being eligible for a restricted license at age 16.",medium
2,Traffic Laws & Rules of the Road,Alabama's GDL program requires permit holders to complete how many hours of supervised driving before upgrading to a restricted license?,"a:30 hours (including 10 at night),b:40 hours (including 10 at night),c:50 hours (including 10 at night)",c,"Alabama requires a minimum of 50 hours of supervised driving practice, of which at least 10 hours must be at night, before applying for a Stage II restricted license. Alternatively, the applicant may complete an approved driver education course.",medium
2,Traffic Laws & Rules of the Road,"Under Alabama's Graduated Driver License (GDL) law, a restricted license holder (age 16, or age 17 with a license for less than 6 months) may not operate a vehicle between which hours?","a:11:00 p.m. and 5:00 a.m.,b:12:00 midnight and 6:00 a.m.,c:10:00 p.m. and 6:00 a.m.",b,"In Alabama, Graduated Driver License (GDL) stage II (restricted license) holders who are 16 years old, or 17 years old with a license held for less than 6 months, are prohibited from operating a vehicle between 12:00 midnight and 6:00 a.m., unless accompanied by a parent/guardian, a licensed driver age 21 or older with parental consent, or driving for work, school events, religious events, or medical emergencies.",medium
2,Traffic Laws & Rules of the Road,"Under Alabama's GDL program, what passenger restriction applies to a restricted license holder (age 16, or age 17 with a license for less than 6 months)?","a:No passengers under the age of 21 are allowed.,b:May not have more than 1 non-family passenger unless accompanied by a parent, guardian, or supervising driver age 21 or older.,c:May have up to three non-family passengers.",b,"Alabama's GDL law restricts stage II (restricted license) holders to carrying no more than 1 non-family passenger, unless accompanied by a parent, legal guardian, or a supervising licensed driver who is at least 21 years of age.",medium
2,Traffic Laws & Rules of the Road,The legal BAC limit for a driver age 21 or older in Alabama is:,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"Alabama, like all U.S. states, sets the per se DUI limit at 0.08% BAC for drivers 21 and older. A BAC at or above this level is sufficient to establish impairment under Alabama law, regardless of how the driver appears or behaves.",medium
2,Traffic Laws & Rules of the Road,"Under Alabama's zero tolerance law, what BAC level is illegal for a driver under 21?","a:Any measurable amount — 0.00%,b:0.02%,c:0.04%,d:0.08%",b,Alabama's zero tolerance law for drivers under 21 sets the illegal BAC threshold at 0.02%. A driver under 21 with a BAC of 0.02% or higher faces criminal DUI charges and license suspension. This is stricter than the 0.08% adult standard.,medium
2,Traffic Laws & Rules of the Road,"Under Alabama's implied consent law, refusing a chemical test after a DUI stop will result in:","a:No penalty — refusal is a protected right,b:A 90-day license suspension for a first offense,c:The same fine as a minor traffic violation,d:Immediate arrest on additional charges",b,Alabama's implied consent law means drivers have agreed to chemical testing by driving on state roads. A first-offense refusal results in a 90-day license suspension. Subsequent refusals carry longer suspensions. The refusal may also be presented as evidence in court.,medium
2,Traffic Laws & Rules of the Road,Alabama law requires all occupants of a vehicle to:,"a:Wear a seatbelt only if the vehicle is traveling over 25 mph,b:Wear a seatbelt — all occupants in all seating positions,c:Wear a seatbelt only if they are under 18 or in the front seat,d:Wear a seatbelt only on highways",b,"Alabama requires all vehicle occupants — front and back seat — to wear a seatbelt. Alabama has primary enforcement for front-seat occupants, meaning an officer can stop a vehicle solely for a front-seat seatbelt violation.",medium
2,Traffic Laws & Rules of the Road,"In Alabama, a driver operating a vehicle while using a handheld cell phone is:","a:Only prohibited for commercial drivers,b:Prohibited for drivers of all ages and license types,c:Only prohibited for drivers under 18,d:Prohibited only in school zones and construction zones",b,Alabama prohibits all drivers from using a handheld mobile phone while driving. This applies to drivers of all ages — not just teens. Hands-free devices are permitted for adult drivers. Drivers under 18 face even stricter restrictions and may not use any mobile device while driving.,medium
2,Traffic Laws & Rules of the Road,What speed limit applies in Alabama school zones?,"a:15 mph,b:20 mph,c:25 mph,d:30 mph",c,Alabama school zones have a 25 mph speed limit when children are present or warning lights are flashing. Reduce speed well before the zone and watch for children crossing the road or waiting at crosswalks.,medium
2,Traffic Laws & Rules of the Road,"When approaching a stationary emergency vehicle with flashing lights on an Alabama highway, what does the Move Over law require?","a:Stop completely until the vehicle moves,b:Only slow down if the shoulder is narrow,c:Move one lane away from the vehicle if safe, or slow to a safe speed if not possible,d:Move over only for police or fire vehicles — not tow trucks",c,"Alabama's Move Over law requires drivers to move one lane away from any stopped emergency, law enforcement, towing, or utility vehicle displaying flashing lights. If a lane change is not safe, reduce to a safe and appropriate speed. Violating this law is a moving violation.",medium
2,Traffic Laws & Rules of the Road,"On a two-lane road, when a school bus activates its red flashing lights and stop arm, what must ALL approaching drivers do?","a:Stop only if traveling in the same direction as the bus,b:Slow to 15 mph and proceed cautiously,c:Stop at least 20 feet from the bus — in both directions — until lights stop flashing,d:Yield to children but may pass slowly if no children are visible",c,"On an undivided two-lane road in Alabama, vehicles traveling in BOTH directions must stop at least 20 feet from a school bus with flashing red lights. Wait until the arm retracts and lights stop flashing before proceeding. On a divided highway, only traffic following the bus must stop.",medium
2,Traffic Laws & Rules of the Road,What is the recommended following distance under normal driving conditions in Alabama?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",b,"Alabama recommends using the 'two-second rule' as the minimum safe following distance under normal, ideal road and weather conditions.",medium
2,Traffic Laws & Rules of the Road,You arrive at a 4-way stop at the same time as a driver on your left. Who has the right of way?,"a:The driver on your left, because they were there first,b:You have the right of way — the driver to your left must yield to you,c:Whoever signals first proceeds first,d:The driver going straight always has priority",b,"At a 4-way stop when two vehicles arrive simultaneously, the driver to the RIGHT has the right of way. Since the other driver is to your LEFT, you are to their right — meaning you have the right of way and should proceed first.",medium
2,Traffic Laws & Rules of the Road,Right turns on red lights in Alabama are:,"a:Prohibited statewide,b:Permitted after a complete stop, unless a sign prohibits it,c:Permitted without stopping if no traffic is visible,d:Permitted only between 6 AM and 8 PM",b,"Right turns on red are permitted in Alabama after a complete stop and yielding to all pedestrians and cross traffic. If a 'No Turn on Red' sign is posted, the turn is prohibited. Always come to a full stop and look carefully before proceeding.",medium
2,Traffic Laws & Rules of the Road,A flashing yellow traffic light at an Alabama intersection means:,"a:Stop completely before proceeding,b:The signal is broken — treat as a 4-way stop,c:Slow down and proceed with caution,d:Yield to all cross traffic before entering",c,"A flashing yellow signal means slow down and proceed with caution. Unlike a flashing red, a full stop is not required. Scan for crossing traffic and pedestrians before entering the intersection. Flashing signals are commonly used at intersections with lower traffic volume.",medium
2,Traffic Laws & Rules of the Road,"On a two-lane road in Alabama, a solid yellow line on YOUR side of the center means:","a:You may pass if you signal for 200 feet first,b:Passing is prohibited — you cannot cross the center line,c:You are in a designated passing zone,d:The road is about to merge — stay right",b,"A solid yellow line on your side of the road prohibits crossing the center line to pass. This marking identifies areas with limited sight distance — such as hills, curves, and intersections. A dashed yellow line on your side indicates that passing is permitted when safe.",medium
2,Traffic Laws & Rules of the Road,What is the maximum speed limit on most Alabama interstate highways for passenger vehicles?,"a:65 mph,b:70 mph,c:75 mph,d:80 mph",b,"Most Alabama interstates have a maximum speed limit of 70 mph for passenger vehicles. Some urban interstate sections through Birmingham or Huntsville may have posted limits of 60–65 mph. Always follow the posted sign, which may be lower in congested areas.",medium
2,Traffic Laws & Rules of the Road,You are approaching a pedestrian crosswalk and a pedestrian is waiting on the curb to cross. What are you required to do?,"a:Slow down only if they are already in the street,b:Stop and yield to the pedestrian before they step into the road,c:Honk to warn the pedestrian and continue at normal speed,d:Proceed if the pedestrian is not yet in your lane",b,Alabama law requires drivers to stop and yield to pedestrians at crosswalks — even before they step into the road. Pedestrian right-of-way is a frequently tested concept. Yielding to pedestrians is both a legal requirement and a critical safety practice.,medium
2,Traffic Laws & Rules of the Road,"When an emergency vehicle with lights and siren approaches from behind, Alabama law requires you to:","a:Accelerate to stay ahead of it,b:Stop immediately in your current lane,c:Pull to the right edge of the road and stop until the vehicle has passed,d:Move to the center lane if on a multi-lane road",c,"Alabama law requires you to immediately pull to the right side of the road and stop when an emergency vehicle approaches with active lights and siren, regardless of its direction of travel. Wait until the vehicle has fully passed before reentering the lane.",medium
2,Traffic Laws & Rules of the Road,What does an orange diamond-shaped sign on Alabama roads indicate?,"a:A permanent speed reduction ahead,b:A work or construction zone requiring extra caution,c:A recreational area exit ahead,d:A school crossing zone",b,"Orange diamond-shaped signs indicate work zones and construction areas. Speed limits in Alabama work zones are strictly enforced — fines are doubled in active work zones when workers are present. Slow down, stay alert, and watch for lane shifts and workers on or near the road.",medium
2,Traffic Laws & Rules of the Road,What is the recommended following distance when driving in poor weather or road conditions in Alabama?,"a:2 seconds,b:3 seconds,c:4 or 5 seconds,d:10 seconds",c,"In poor weather or bad road conditions, the Alabama Driver Manual recommends increasing your following distance to a four or five second count.",medium
