section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving",What term refers to the amount of alcohol present in a person's bloodstream?,"a:Implied consent (IC).,b:Blood alcohol concentration (BAC).,c:Rate of alcohol consumption (RAC).,d:Driving under influence level (DUI level).",b,Blood alcohol concentration (BAC) measures the percentage of alcohol in the blood; higher BAC levels indicate greater impairment.,easy
8,Special Situations & Road Users,"After stopping for a train at a railroad crossing and the train passes, you should:","a:Look for a second train and wait for signals to stop flashing.,b:Immediately proceed once the visible train passes.,c:Drive around crossing gates if they stay down briefly.,d:Honk to signal your intent to cross.",a,There may be another train on adjacent tracks; wait until all gates are up and signals stop before proceeding.,medium
3,"Signs, Signals & Road Markings",Regulatory signs are typically what color background?,"a:White.,b:Green.,c:Yellow.,d:Blue.",a,"Regulatory signs (speed, stop, yield, etc.) are usually white rectangles or squares with colored symbols or text.",easy
5,Driving in Special Conditions,"Work zone barrels, cones, and signs are used to:","a:Keep drivers out of hazardous work areas.,b:Inconvenience drivers intentionally.,c:Make drivers angry about slow traffic.",a,These devices guide and protect drivers and workers by keeping traffic out of dangerous parts of the work zone.,easy
3,"Signs, Signals & Road Markings",A centerline with one solid yellow and one broken yellow line means:,"a:You may pass from the side next to the broken line when it is safe.,b:You are not allowed to pass in this area.,c:You are only allowed to make right turns in this area.",a,"When the broken line is adjacent to your lane, you may cross it to pass if it is safe; the solid line side may not pass.",medium
2,Traffic Laws & Rules of the Road,Is it ever acceptable to drive off the paved road onto the shoulder to pass another vehicle?,"a:No — you may not drive off the main traveled portion of the road to pass.,b:Yes, if the vehicle ahead is turning left.,c:Yes, if there are two or more lanes traveling in your direction.",a,Do not drive onto the shoulder to pass; passing must be done within the proper travel lanes when safe.,easy
2,Traffic Laws & Rules of the Road,"If you are already in an intersection when a green light changes to yellow, you should:","a:Continue moving and clear the intersection safely.,b:Stop in the intersection, and c:Increase your speed to avoid collisions.",a,"If you are within the intersection when the light turns yellow, proceed to clear it safely rather than stopping in it.",medium
3,"Signs, Signals & Road Markings",A broken yellow line between two lanes of traffic indicates:,"a:Passing is permitted when it is safe.,b:Both lanes of traffic are going in the same direction.,c:Passing is not permitted.",a,Dashed yellow lines separate opposing lanes and mean that passing is allowed when it is safe to do so.,easy
5,Driving in Special Conditions,"In fog, rain, or snow you should use:","a:Low beam headlights.,b:High beam headlights.,c:Fog lights only.",a,Low beam headlights reduce glare from reflected moisture and help you see better in precipitation and fog.,easy
5,Driving in Special Conditions,Why is driving at night generally more dangerous than driving in daylight?,"a:Your reaction time is slower at night.,b:You cannot see as far ahead at night.,c:The road is always more slippery at night.,d:Oncoming headlights eliminate glare.",b,Reduced visibility and glare from oncoming lights mean you cannot see as far at night; use headlights and be cautious.,easy
4,Safe & Defensive Driving Practices,"Because motorcycles and similar small vehicles can be hard to spot, you should:","a:Make constant visual checks and be especially alert.,b:Share a lane with a motorcycle.,c:Slow down every time you see one.",a,Motorcycles can be hidden in blind spots; check mirrors frequently and look carefully before changing lanes or turning.,easy
2,Traffic Laws & Rules of the Road,"After you pass another vehicle, when is it safe to return to your lane?","a:When you can see the passed vehicle's headlights in your rearview mirror.,b:After you have signaled for three seconds.,c:When the other driver signals you to return.",a,"Return to your lane only when you can see both headlights of the passed vehicle in your inside rearview mirror, indicating enough space.",easy
3,"Signs, Signals & Road Markings",An orange and red triangular emblem on the rear of a vehicle indicates:,"a:The vehicle is a slow-moving vehicle.,b:The vehicle will yield the right-of-way.,c:Shoulder work is ahead.",a,Slow-moving vehicles such as farm equipment or maintenance vehicles display an orange-red triangle on the back to warn other drivers.,easy
5,Driving in Special Conditions,"When driving in fog, which lighting is best to use?","a:Four-way flashers.,b:Low beam headlights.,c:High beam headlights.,d:Parking lights only.",b,"Use low-beam headlights in fog, rain, or snow; high beams can reflect off moisture and reduce visibility.",easy
2,Traffic Laws & Rules of the Road,"If you begin a turn but then decide not to, you should:","a:Complete the turn you started.,b:Signal and rejoin traffic by backing up.,c:Quickly steer back to the previous lane.,d:Stop in the intersection and wait.",a,"Once committed to a turn, follow through; abrupt corrections can cause collisions.",easy
6,"Alcohol, Drugs & Impaired Driving",Which statement about driving while taking medications is true?,"a:Many cold medications can make a person drowsy.,b:Over-the-counter meds never impair driving if used as directed.,c:Prescribed medications are always safe to drive on.,d:Medications only affect drivers over 65.",a,Both prescription and OTC medications can impair driving; many cold/allergy meds cause drowsiness.,medium
2,Traffic Laws & Rules of the Road,"When changing lanes, you should never:","a:Attempt to change lanes in an intersection.,b:Check blind spots by looking over your shoulder.,c:Check for other drivers moving into the same lane.,d:Signal your intended move.",a,Never change lanes within an intersection; always check mirrors and blind spots and signal before moving.,easy
8,Special Situations & Road Users,"When vehicles are stopped behind a school bus with flashing red lights, they must remain stopped until:","a:The stop arm is retracted and the bus resumes motion.,b:All students are off the bus.,c:The stop arm is retracted.",a,"Motorists must stop for a school bus with flashing red lights and its stop arm extended, and remain stopped until the lights are off, the arm is withdrawn, and the bus moves.",easy
3,"Signs, Signals & Road Markings","If you see a lane-control sign with an arrow and the word ""ONLY"" under it above your lane, you must:","a:Travel in the direction indicated by the arrow.,b:Always make a lane change.,c:Ignore it if traffic is light.",a,"Lane-control signs require you to use the indicated lane movement (for example, left-only) as shown by the arrow and ""ONLY"".",easy
8,Special Situations & Road Users,"A truck's ""No zones"" refer to areas where cars:","a:Disappear into blind spots or are so close they limit the truck driver's ability to stop or maneuver.,b:Have several car lengths between their vehicle and the truck.,c:Have sufficient space to travel behind the truck.",a,"No zones are the large blind areas around trucks and buses where smaller vehicles may be hidden or too close, increasing crash risk.",easy
7,Vehicle Ownership & Responsibilities,"Whenever you park on any hill, you should:","a:Set the parking brake and leave the vehicle in ""park"" (or in gear).,b:Let the vehicle roll slightly and then set the parking brake.,c:Always point your front wheels straight ahead regardless of curb presence.",a,On hills you should leave the car in park or in gear and engage the parking brake; also turn wheels appropriately depending on curb.,easy
3,"Signs, Signals & Road Markings",A steady red arrow on a traffic signal means:,"a:Traffic may not move in the arrow's direction.,b:You may turn in that direction after stopping.,c:You may turn in that direction with caution.,d:The direction has right-of-way.",a,A steady red arrow prohibits traffic from moving in that direction until a green signal appears.,easy
4,Safe & Defensive Driving Practices,"If an oncoming vehicle fails to dim high beams at night, you should:","a:Look toward the right edge of your lane and watch the vehicle from the corner of your eye.,b:Look straight ahead in your lane.,c:Look toward the left edge of your lane.,d:Flash your high beams back at them.",a,Avoid looking directly at incoming high beams; focus on the right edge and use peripheral vision to track the vehicle.,easy
2,Traffic Laws & Rules of the Road,A green arrow signal requires you to:,"a:Yield to any vehicle, bicycle, or pedestrian still in the intersection, then turn in the arrow's direction.,b:Wait four seconds before proceeding.,c:Yield only to pedestrians.",a,A green arrow indicates you may turn in the arrow's direction after yielding to any traffic or pedestrians in the intersection.,easy
6,"Alcohol, Drugs & Impaired Driving",Which driving skills are affected by alcohol and/or drugs?,"a:All of the above (alertness, concentration, reaction time, coordination).,b:Alertness and concentration only.,c:Reaction time and coordination only.,d:None of the above.",a,"Alcohol and drugs reduce alertness, concentration, slow reaction time, and impair coordination.",easy
5,Driving in Special Conditions,"When visibility is very poor due to fog, you should slow down and:","a:Use low-beam headlights.,b:Turn on your emergency flashers.,c:Use high-beam headlights.,d:Turn on only parking lights.",a,Use low beams (and fog lights if equipped) because high beams reflect off fog and reduce visibility.,medium
4,Safe & Defensive Driving Practices,"If you feel drowsy while driving, you should:","a:Find a safe place to stop and take a short nap.,b:Increase your speed to reach your destination sooner.,c:Turn up the radio and drive on.,d:Drink energy drinks and continue driving.",a,"If you are too tired to drive safely, stop to rest or change drivers; naps are effective at restoring alertness.",easy
8,Special Situations & Road Users,"When you see an emergency vehicle using flashing lights and/or siren, you must:","a:Pull over to the curb or edge of the road and stop until it passes.,b:Maintain your speed and stay in your lane until it passes.,c:Move into the right lane and drive slowly until it has passed.",a,"When an emergency vehicle approaches, pull over to the right edge of the road and stop until it has passed, yielding right-of-way.",easy
3,"Signs, Signals & Road Markings",A steady green traffic light at an intersection indicates:,"a:You may proceed through the intersection at a safe speed if the way is clear.,b:Increase your speed.,c:Adjust your mirrors.",a,"A steady green means you may go when the intersection is clear, yielding to any traffic or pedestrians already in the intersection.",easy
4,Safe & Defensive Driving Practices,How do stopping distances and crash severity change as vehicle speed increases?,"a:Stopping distances increase and crashes become more severe.,b:Stopping distances decrease as speed increases.,c:Speed has no effect on stopping distance or crash severity.",a,"Higher speeds lengthen stopping distances and make collisions more severe, increasing risk of injury or death.",easy
8,Special Situations & Road Users,"When an emergency vehicle is using siren and flashing lights, you must yield by:","a:Driving as close as possible to the right edge of the road and stopping.,b:Changing into the right lane and driving slowly until it passes.,c:Stopping in the middle of an intersection immediately.",a,"Move toward the right edge of the roadway and stop, taking care not to block intersections, until the emergency vehicle has passed.",easy
7,Vehicle Ownership & Responsibilities,"If your vehicle breaks down on a public road and you must stop, you should:","a:Pull off to the right side of the road, if possible, and turn on your hazard lights.,b:Stop in your lane and hold down the horn to attract attention.,c:Stop where you are and leave the vehicle running.",a,"When possible, get off the traveled portion of the road and use emergency flashers to show you need assistance.",easy
4,Safe & Defensive Driving Practices,"If you continually pass vehicles on a two-lane road because you drive faster than others, what is most likely to happen?","a:It will get you to your destination much more quickly and safely.,b:Your chances of a collision will increase.,c:You will help prevent traffic congestion.,d:You will improve your fuel economy.",b,Frequent passing on two-lane roads raises your collision risk; avoid unnecessary passing when possible.,medium
5,Driving in Special Conditions,When driving on gravel or dirt roads you should:,"a:Slow down because your tires have less traction than on pavement.,b:Drive at the same speed as on pavement because traction is unchanged.,c:Expect better visibility than on paved roads.",a,Loose surfaces reduce traction and lengthen stopping distance; reduce speed and drive cautiously on gravel or dirt roads.,easy
3,"Signs, Signals & Road Markings",A solid yellow line beside a broken yellow line indicates:,"a:Vehicles next to the broken line may pass, while those next to the solid line may not.,b:Vehicles in both directions may pass at any time.,c:The side next to the solid line may pass.",a,"When a broken line borders a solid yellow, passing is allowed only from the side with the broken line when it is safe.",easy
3,"Signs, Signals & Road Markings",Signs with orange backgrounds are used to warn drivers about:,"a:Construction and maintenance conditions.,b:General warnings.,c:Regulatory requirements.",a,Orange signs specifically indicate construction or maintenance areas and alert drivers to changed conditions.,easy
2,Traffic Laws & Rules of the Road,"When merging onto the freeway, you should be driving:","a:At or near the speed of traffic on the freeway.,b:Five to 10 mph slower than traffic.,c:The posted speed limit regardless of traffic speed.,d:Below 25 mph to safely merge.",a,Enter the freeway at or near the speed of traffic so you can merge smoothly.,medium
4,Safe & Defensive Driving Practices,"If a tire suddenly blows out, what is the correct action?","a:Hold the steering wheel firmly, steer straight, slow down gradually, and use the brakes lightly.,b:Apply the brake and hold it.,c:Pull over quickly and brake hard.",a,"If a blowout occurs, grip the wheel, keep the vehicle straight, ease off the gas, and slow gradually before pulling off the road in a safe place.",difficult
2,Traffic Laws & Rules of the Road,When should your wheels not be pointed straight ahead?,"a:When parked on a hill or sloping driveway.,b:When waiting to make a left turn at a traffic light.,c:When parked on a level roadway with no curb.",a,"When parked on a slope, turn wheels so the vehicle will not roll into traffic if the brakes fail; on level roads leave wheels straight.",easy
