id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9432,ਮਿਰਰ ਐਡਜਸਟਮੈਂਟ ਦੀ ਸਹੀ ਢੰਗ ਨਾਲ ਜਾਂਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜੇਕਰ:,,ਟ੍ਰੇਲਰ ਸਿੱਧਾ ਹੈ।,ਕੋਈ ਟ੍ਰੇਲਰ ਨਹੀਂ ਹੈ।,ਗੱਡੀ ਥੋੜੀ ਮੋੜ 'ਤੇ ਹੈ।,,A,"ਇੱਕ ਜਾਂ ਇੱਕ ਤੋਂ ਵੱਧ ਟ੍ਰੇਲਰਾਂ ਵਾਲੇ ਵਾਹਨ 'ਤੇ, ਸ਼ੀਸ਼ੇ ਦੀ ਵਿਵਸਥਾ ਦੀ ਸਹੀ ਜਾਂਚ ਤਾਂ ਹੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਜੇਕਰ ਟ੍ਰੇਲਰ ਸਿੱਧੇ ਹਨ। ਹਰ ਯਾਤਰਾ ਦੀ ਸ਼ੁਰੂਆਤ ਤੋਂ ਪਹਿਲਾਂ ਸ਼ੀਸ਼ੇ ਦੀ ਵਿਵਸਥਾ ਦੀ ਜਾਂਚ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ।"
8578,ਜੇਕਰ ਬ੍ਰੇਕਿੰਗ ਸਿਸਟਮ ਹਾਈਡ੍ਰੌਲਿਕ ਪ੍ਰੈਸ਼ਰ ਨਹੀਂ ਬਣਾ ਸਕਦਾ ਤਾਂ ਤੁਹਾਨੂੰ ਕੀ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ?,,ਅੱਪਸ਼ਿਫਟ।,ਡਾਊਨਸ਼ਿਫਟ।,ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਜਿੱਥੋਂ ਤੱਕ ਇਹ ਜਾਣਾ ਹੈ ਹੇਠਾਂ ਰੱਖੋ।,,B,"ਜੇਕਰ ਤੁਹਾਡਾ ਹਾਈਡ੍ਰੌਲਿਕ ਬ੍ਰੇਕਿੰਗ ਸਿਸਟਮ ਤੁਹਾਡੇ ਵਾਹਨ ਨੂੰ ਹੌਲੀ ਕਰਨ ਜਾਂ ਰੋਕਣ ਲਈ ਲੋੜੀਂਦਾ ਦਬਾਅ ਨਹੀਂ ਬਣਾਉਂਦਾ, ਤਾਂ ਕੁਝ ਸੰਭਵ ਹੱਲ ਹਨ। ਹੇਠਲੇ ਗੇਅਰ ਵਿੱਚ ਸ਼ਿਫਟ ਕਰਨ, ਬ੍ਰੇਕਾਂ ਨੂੰ ਪੰਪ ਕਰਨ, ਅਤੇ/ਜਾਂ ਐਮਰਜੈਂਸੀ ਬ੍ਰੇਕ ਦੀ ਵਰਤੋਂ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋ।"
11623,"ਕਨਵਰਟਰ ਡੌਲੀ ਨੂੰ ਦੂਜੇ ਜਾਂ ਤੀਜੇ ਟ੍ਰੇਲਰ ਨਾਲ ਜੋੜਦੇ ਸਮੇਂ, ਟ੍ਰੇਲਰ ਦੀ ਉਚਾਈ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ:",,ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਕੇਂਦਰ ਤੋਂ ਥੋੜ੍ਹਾ ਉੱਚਾ।,ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਕੇਂਦਰ ਨਾਲ ਲੈਵਲ।,ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਕੇਂਦਰ ਤੋਂ ਥੋੜ੍ਹਾ ਘੱਟ।,,C,"ਕਨਵਰਟਰ ਡੌਲੀ ਨੂੰ ਦੂਜੇ ਜਾਂ ਤੀਜੇ ਟ੍ਰੇਲਰ ਨਾਲ ਜੋੜਦੇ ਸਮੇਂ, ਟ੍ਰੇਲਰ ਦੀ ਉਚਾਈ ਸਹੀ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ। ਇਹ ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਕੇਂਦਰ ਤੋਂ ਥੋੜ੍ਹਾ ਘੱਟ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।"
11355,ਟੁੱਟੇ ਮੁਅੱਤਲ ਹਿੱਸੇ:,,ਤੁਰੰਤ ਮੁਰੰਮਤ ਕੀਤੀ ਜਾਵੇ।,"ਮੁਰੰਮਤ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ, ਪਰ ਤੁਰੰਤ ਨਹੀਂ.",ਪਛਾਣ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ।,,A,ਸਸਪੈਂਸ਼ਨ ਸਿਸਟਮ ਐਕਸਲਜ਼ ਨੂੰ ਜਗ੍ਹਾ 'ਤੇ ਰੱਖਦੇ ਹੋਏ ਵਾਹਨ ਅਤੇ ਇਸਦੇ ਲੋਡ ਨੂੰ ਫੜਨ ਦੇ ਮਹੱਤਵਪੂਰਣ ਕਾਰਜ ਕਰਦਾ ਹੈ। ਇਸ ਲਈ ਮੁਅੱਤਲ ਵਿੱਚ ਨੁਕਸ ਬਹੁਤ ਖਤਰਨਾਕ ਹਨ।
8662,ਕਾਰਗੋ ਟੈਂਕ ਕਦੇ ਵੀ ਪੂਰੀ ਤਰ੍ਹਾਂ ਭਰੇ ਨਹੀਂ ਹੋਣੇ ਚਾਹੀਦੇ ਕਿਉਂਕਿ:,,ਤਰਲ ਦੇ ਵਿਸਤਾਰ ਲਈ ਥਾਂ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।,ਨਿਯਮਾਂ ਲਈ ਤਰਲ ਦੇ ਸਿਖਰ ਅਤੇ ਟੈਂਕ ਦੀ ਛੱਤ ਦੇ ਵਿਚਕਾਰ ਤਿੰਨ ਫੁੱਟ ਦੀ ਕਲੀਅਰੈਂਸ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।,ਟੈਂਕ ਬਹੁਤ ਭਾਰੀ ਹੋਵੇਗਾ।,,A,"ਤਰਲ ਪਦਾਰਥ ਵਧਦੇ ਜਾਂਦੇ ਹਨ ਜਿਵੇਂ ਕਿ ਉਹ ਗਰਮ ਹੁੰਦੇ ਹਨ ਅਤੇ ਡਰਾਈਵਰਾਂ ਨੂੰ ਇਸ ਵਿਸਥਾਰ ਨੂੰ ਅਨੁਕੂਲ ਕਰਨ ਲਈ ਇੱਕ ਟੈਂਕ ਵਿੱਚ ਵਾਧੂ ਥਾਂ ਦੀ ਇਜਾਜ਼ਤ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ। ਵੱਖ-ਵੱਖ ਤਰਲ ਪਦਾਰਥ ਵੱਖ-ਵੱਖ ਡਿਗਰੀਆਂ ਤੱਕ ਫੈਲਦੇ ਹਨ, ਇਸਲਈ ਡਰਾਈਵਰਾਂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਚੁੱਕੇ ਜਾਣ ਵਾਲੇ ਖਾਸ ਲੋਡ ਦੀਆਂ ਆਊਟੇਜ ਲੋੜਾਂ ਤੋਂ ਜਾਣੂ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।"
8643,ਰੋਲਓਵਰ ਹੁੰਦੇ ਹਨ ਜਦੋਂ:,,ਤੁਸੀਂ ਬਹੁਤ ਹੌਲੀ ਗੱਡੀ ਚਲਾਓ।,ਤੁਹਾਨੂੰ ਰੋਕਿਆ ਗਿਆ ਹੈ.,ਤੁਸੀਂ ਬਹੁਤ ਤੇਜ਼ੀ ਨਾਲ ਮੋੜ ਲੈਂਦੇ ਹੋ।,,C,"ਰੋਲਓਵਰ ਓਪਰੇਟਰਾਂ ਦੇ ਬਹੁਤ ਤੇਜ਼ੀ ਨਾਲ ਮੋੜਣ ਕਾਰਨ ਹੁੰਦੇ ਹਨ। ਘੁੰਮਣ ਤੋਂ ਬਚਣ ਲਈ, ਪ੍ਰਵੇਸ਼ ਦੁਆਰ ਰੈਂਪਾਂ 'ਤੇ, ਬਾਹਰ ਨਿਕਲਣ ਵਾਲੇ ਰੈਂਪਾਂ 'ਤੇ ਅਤੇ ਕੋਨਿਆਂ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਹੌਲੀ-ਹੌਲੀ ਗੱਡੀ ਚਲਾਓ। ਟ੍ਰੇਲਰਾਂ ਨੂੰ ਟੋਇੰਗ ਕਰਦੇ ਸਮੇਂ ਤੇਜ਼ ਲੇਨ ਤਬਦੀਲੀਆਂ ਕਰਨ ਤੋਂ ਬਚੋ।"
11536,ਬੇਫਲ ਨਾਲ ਲੈਸ ਟੈਂਕ ਨੂੰ ਚਲਾਉਣ ਵਾਲੇ ਡਰਾਈਵਰ ਨੂੰ ਖਾਸ ਤੌਰ 'ਤੇ ਸਾਵਧਾਨ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ:,,ਅੱਗੇ-ਪਿੱਛੇ ਵਾਧਾ।,ਸਾਈਡ-ਟੂ-ਸਾਈਡ ਵਾਧਾ।,ਅੰਤ-ਤੋਂ-ਅੰਤ ਵਾਧਾ।,,B,"ਜਦੋਂ ਕਿ ਇੱਕ ਟੈਂਕ ਵਿੱਚ ਘਬਰਾਹਟ ਅੱਗੇ ਅਤੇ ਪਿੱਛੇ ਵੱਲ ਵਧਣ ਨੂੰ ਰੋਕਦੀ ਹੈ, ਉਹ ਪਾਸੇ ਤੋਂ ਪਾਸੇ ਦੇ ਵਾਧੇ ਨੂੰ ਨਹੀਂ ਰੋਕਦੀਆਂ। ਪਾਸੇ ਵੱਲ ਵਧਣਾ ਰੋਲਓਵਰ ਦਾ ਕਾਰਨ ਬਣ ਸਕਦਾ ਹੈ।"
8538,"ਜਦੋਂ ਸੜਕ ਦੇ ਕਿਨਾਰੇ ਖਿੱਚਿਆ ਜਾਂਦਾ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਹੋਰ ਵਾਹਨ ਚਾਲਕਾਂ ਨੂੰ ਤੁਹਾਡੀ ਮੌਜੂਦਗੀ ਬਾਰੇ ਸੁਚੇਤ ਕਰਨ ਲਈ ਆਪਣੀਆਂ ਟੇਲਲਾਈਟਾਂ 'ਤੇ ਭਰੋਸਾ ਕਰੋ।,ਹੋਰ ਵਾਹਨ ਚਾਲਕਾਂ ਦੀ ਚਿੰਤਾ ਨਾ ਕਰੋ।,ਹੋਰ ਵਾਹਨ ਚਾਲਕਾਂ ਨੂੰ ਤੁਹਾਡੀ ਮੌਜੂਦਗੀ ਬਾਰੇ ਸੁਚੇਤ ਕਰਨ ਲਈ ਆਪਣੇ ਚਾਰ-ਮਾਰਗੀ ਐਮਰਜੈਂਸੀ ਫਲੈਸ਼ਰਾਂ ਦੀ ਵਰਤੋਂ ਕਰੋ।,,C,"ਜਦੋਂ ਸੜਕ ਦੇ ਕਿਨਾਰੇ ਰੋਕਿਆ ਜਾਵੇ, ਤਾਂ ਆਪਣੇ ਵਾਹਨ ਦੇ ਚਾਰ-ਮਾਰਗੀ ਐਮਰਜੈਂਸੀ ਫਲੈਸ਼ਰਾਂ ਨੂੰ ਚਾਲੂ ਕਰਨਾ ਯਕੀਨੀ ਬਣਾਓ, ਖਾਸ ਕਰਕੇ ਘੱਟ ਦਿੱਖ ਦੇ ਸਮੇਂ। ਰੋਕੇ ਜਾਣ ਦੇ 10 ਮਿੰਟਾਂ ਦੇ ਅੰਦਰ ਚੇਤਾਵਨੀ ਡਿਵਾਈਸਾਂ ਨੂੰ ਰੱਖੋ।"
8524,"ਟ੍ਰੇਲਰ ਦੇ ਨਾਲ ਸਮਰਥਨ ਕਰਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਇਹਨਾਂ ਦੁਆਰਾ ਸ਼ੁਰੂ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਸਟੀਅਰਿੰਗ ਵੀਲ ਨੂੰ ਮੋੜ ਦੀ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜਨਾ।,ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਮੋੜ ਦੇ ਉਲਟ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜਨਾ।,ਜਿੰਨਾ ਸੰਭਵ ਹੋ ਸਕੇ ਪਹੀਏ ਨੂੰ ਤੇਜ਼ੀ ਨਾਲ ਮੋੜੋ.,,B,"ਟ੍ਰੇਲਰ ਨਾਲ ਬੈਕ ਕਰਦੇ ਸਮੇਂ, ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਮੋੜ ਦੇ ਉਲਟ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜ ਕੇ ਸ਼ੁਰੂ ਕਰੋ। ਇੱਕ ਵਾਰ ਜਦੋਂ ਟ੍ਰੇਲਰ ਮੋੜਨਾ ਸ਼ੁਰੂ ਕਰ ਦਿੰਦਾ ਹੈ, ਤਾਂ ਟ੍ਰੇਲਰ ਦਾ ਅਨੁਸਰਣ ਕਰਨ ਲਈ ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਦੀ ਦਿਸ਼ਾ ਉਲਟਾਓ।"
8709,"ਜੇਕਰ ਕਲੋਰੀਨ ਦੀ ਢੋਆ-ਢੁਆਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ, ਤਾਂ ਵਾਹਨ ਵਿੱਚ ਕੀ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ?",,ਇੱਕ ਗੈਸ ਮਾਸਕ,ਚਸ਼ਮਾ,ਇੱਕ ਕੁਹਾੜੀ,,A,"ਜੇਕਰ ਕਾਰਗੋ ਟੈਂਕਾਂ ਵਿੱਚ ਕਲੋਰੀਨ ਦੀ ਢੋਆ-ਢੁਆਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ, ਤਾਂ ਡਰਾਈਵਰ ਕੋਲ ਆਪਣੇ ਵਾਹਨ ਵਿੱਚ ਇੱਕ ਪ੍ਰਵਾਨਿਤ ਗੈਸ ਮਾਸਕ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।"
