section-num,section-name,question,options,correct-answer,note,difficulty
3,"Signs, Signals & Road Markings",What are the colors of signs that indicate the distance to the next highway exit?,"a:Yellow with black letters,b:Red with white letters,c:Black with white letters,d:Green with white letters.",c,Guidance and destination signs (including distance to exits) are green with white letters or symbols.,medium
8,Special Situations & Road Users,"When an authorized emergency vehicle using sirens and flashing lights approaches, what must you do?","a:Speed up to get out of the way.,b:Stop in the middle of the road.,c:Pull to the right edge of the roadway and wait for it to pass.,d:Maintain your speed and lane.",c,"When an emergency vehicle approaches with lights or siren, immediately pull to the right side and let it pass.",easy
2,Traffic Laws & Rules of the Road,"What is true about signaling before turns, lane changes, or pulling from a curb?","a:You only need to signal during the maneuver,b:It is a good driving habit and is required by law.,c:It is only necessary if other vehicles are present.",b,You must signal your intentions in advance; South Carolina law generally requires signaling at least 100 feet before turning or changing lanes.,easy
8,Special Situations & Road Users,"If a child is riding a bicycle near your vehicle, you should:","a:Beep your horn to warn them.,b:Assume they are in total control.,c:Expect the unexpected and be prepared for sudden movements.",c,"Children on bicycles are unpredictable; be alert, reduce speed, and be prepared for sudden changes in direction.",easy
2,Traffic Laws & Rules of the Road,"If you miss an exit on a freeway, what should you do?","a:Make the turn quickly from your current lane.,b:Continue to the next exit or other safe location to turn around.,c:Stop and back up on the shoulder.",b,"If you miss an exit, do not back up or make sudden lane changes; proceed to the next exit or safe location where you can turn around legally.",easy
3,"Signs, Signals & Road Markings",Drivers may not pass from either side of which centerline marking?,"a:Single solid white line.,b:Single broken yellow line.,c:Combination solid and broken yellow line.,d:Double solid yellow line.",d,A double solid yellow centerline on a two-way road means no traffic from either direction may cross the center to pass.,medium
4,Safe & Defensive Driving Practices,"True or False: As vehicle speed increases, it takes longer to stop when reacting to another driver's unexpected actions.","a:Only on wet roads,b:TRUE,c:FALSE,d:Only with heavier vehicles",b,"Higher speeds increase stopping distance and reaction distance, so it takes longer to stop at higher speeds.",easy
4,Safe & Defensive Driving Practices,Which action helps prevent becoming an aggressive driver?,"a:Drive above the posted speed limit.,b:Tailgate the driver ahead of you.,c:Relax",a,"To avoid aggressive driving, stay calm, focus on driving, allow plenty of travel time, obey speed limits, and be courteous to other road users.",easy
5,Driving in Special Conditions,"When a vehicle with bright headlights comes toward you at night, what should you do to avoid being blinded?","a:Look directly at the headlights.,b:Stop until it passes.,c:Glance toward the right edge of your lane.",c,Do not stare at oncoming headlights; glance toward the right edge of your lane so you can maintain course without being blinded.,easy
5,Driving in Special Conditions,True or false: While driving at night you may use only your parking lights instead of headlights.,"a:Only on well-lit streets.,b:False.,c:Only during dawn or dusk.,d:True.",b,It is unlawful to drive at night using only parking lights. Headlights are required when visibility is reduced.,easy
8,Special Situations & Road Users,"If you see pedestrians in a crosswalk ahead, how should you respond?","a:Pull behind pedestrians and pass them.,b:Continue because motorists always have the right-of-way.,c:Honk to encourage them to hurry.,d:Yield and wait for them to cross before proceeding.",d,At crosswalks yield to pedestrians; proceed only when it is safe and the crosswalk is clear.,easy
8,Special Situations & Road Users,"When driving near heavy trucks, what should other drivers remember?","a:Trucks require increased stopping distances and larger turning space,b:Trucks require less stopping distance than smaller vehicles,c:Trucks are quieter at night,d:Trucks always have the right-of-way",a,Heavy trucks need more stopping distance and wider turning room; avoid lingering alongside where the driver cannot see you.,medium
8,Special Situations & Road Users,May you drive around lowered gates at a railroad crossing?,"a:Only if you see no train coming.,b:Only on private property.,c:Only if you are in a hurry.,d:No",d,"You must never go around a lowered gate. Obey lights, gates, and flaggers at railroad crossings to avoid a collision.",easy
2,Traffic Laws & Rules of the Road,"Before making a turn, what should you do?","a:Ignore signaling if no other vehicles are nearby.,b:Speed up to move through the turn quickly.,c:Turn the steering wheel sharply at the last moment.,d:Activate your turn signal several seconds before turning.",d,"To complete a turn safely, activate your turn signal about three to four seconds before you turn so other road users know your intention.",easy
2,Traffic Laws & Rules of the Road,"If you're in the center lane of an expressway and continually passed on both sides, what should you do?","a:Stay in the center lane.,b:Move to a lane on your right when safe.,c:Speed up to assert your position.",b,"On multilane roads, drive in the right lanes unless passing or preparing for a left turn. Move right when appropriate to allow traffic flow.",medium
4,Safe & Defensive Driving Practices,Distracted drivers are at greater risk when using which device?,"a:CD player,b:Radio,c:Seatbelt,d:Cell phone",a,"Using a cell phone, even hands-free, is a major distraction that increases crash risk.",easy
5,Driving in Special Conditions,"When driving in fog, which lights should you use?","a:Turn on high-beam headlights.,b:Use low-beam headlights and slow down.,c:Use only parking lights.",a,"Use low beams in fog (high beams reflect back) and reduce speed; if visibility is extremely poor, pull off safely.",easy
8,Special Situations & Road Users,"When passing a motorcycle, you should:","a:Complete the pass with your vehicle fully in the left lane before returning.,b:Stay in the same lane because motorcycles need less space.,c:Blow your horn to force the motorcycle onto the shoulder.,d:Pass as closely as possible to avoid wind effects."," ""a""",Give a motorcycle a full lane when passing; never crowd it and make sure your vehicle is completely in the left lane before returning.,medium
5,Driving in Special Conditions,What should you do to increase safety when driving at night?,"a:Drive at the posted daytime speed.,b:Always use your high beams.,c:Increase your following distance.,d:Look directly at oncoming headlights.",c,Night driving reduces visibility and depth perception; increase following distance and use headlights properly (low beams in traffic).,easy
3,"Signs, Signals & Road Markings","When double solid yellow lines mark the center of the road, what does that mean about passing?","a:Passing is permitted from the left,b:You may pass if you signal first,c:Passing is not allowed from either direction,d:Passing is permitted from the right",a,Double solid yellow lines prohibit passing in both directions; they separate traffic moving in opposite directions.,easy
4,Safe & Defensive Driving Practices,"When backing up, the best practice is to:","a:Steer with both hands while looking into the side mirror.,b:Open the passenger door to gain a better view.,c:Only use the rearview mirror to back up.,d:Turn your head and look back over your shoulder while steering with one hand.",d,Always look behind you by turning your head and shoulders when backing up; steer with one hand to control the vehicle while observing.,medium
3,"Signs, Signals & Road Markings",What does a broken yellow line between two lanes of traffic mean?,"a:Both lanes are going in the same direction.,b:Passing is permitted when it's safe.,c:Passing is not permitted.",b,A dashed (broken) yellow line between opposing lanes means passing is allowed when it is safe to do so.,easy
4,Safe & Defensive Driving Practices,"If you must back up on a two-lane road, you should:","a:Signal and wait for someone to guide you.,b:Turn your head to look back before and while backing.,c:Back quickly to minimize time on the road.,d:Rely solely on side mirrors.",b,Always look over your shoulder and check behind the vehicle before and while backing up to ensure the way is clear.,easy
6,"Alcohol, Drugs & Impaired Driving",What should a driver do if taking a non-prescription drug?,"a:Read the drug's label for warnings about driving before operating a vehicle.,b:Drink alcohol to counteract drowsiness.,c:Continue to drive regardless of warnings.",a,Many over-the-counter medications can impair driving; read labels and consult a doctor or pharmacist if unsure about effects.,medium
2,Traffic Laws & Rules of the Road,Which of these statements about right-of-way is accurate?,"a:You may make a right turn in front of a pedestrian in a crosswalk.,b:If two vehicles enter an intersection at the same time,c:Drivers turning left must yield to oncoming traffic and pedestrians before turning.",c,Always yield to oncoming traffic and pedestrians when making left or right turns; do not assume others will yield to you.,medium
4,Safe & Defensive Driving Practices,"If your vehicle's wheels have run off the pavement edge, what should you do first?","a:Turn the front wheels slightly left to edge back onto the road.,b:Hold the wheel firmly,c:Turn the front wheels sharply to re-enter the pavement immediately.",b,"If you run off the pavement, hold the steering wheel steady, release the accelerator, gently brake, slow, check traffic, and when safe, gradually steer back onto the roadway.",medium
3,"Signs, Signals & Road Markings",A driver whose left arm and hand are extended downward is signaling that they intend to:,"a:Turn left.,b:Proceed slowly.,c:Turn right.,d:Stop.",d,"When a driver's left arm points downward, it is a signal that the vehicle is slowing or stopping.",easy
4,Safe & Defensive Driving Practices,"If you encounter an animal in the roadway, what should you do?","a:Try to hit it to avoid stopping traffic.,b:Honk continuously to make it move quickly.,c:Slow and pass the animal slowly to avoid startling it.,d:Ignore it and continue at the same speed.",c,Be cautious and pass animals slowly to avoid startling them and causing unpredictable behavior.,medium
2,Traffic Laws & Rules of the Road,True or false: The usual speed limit in residential neighborhoods is 30 mph.,"a:Only near schools.,b:False.,c:True.,d:Only during daytime.",c,"Residential and urban speed limits are commonly 30 miles per hour, though posted signs determine the exact limit.",easy
3,"Signs, Signals & Road Markings","When you need windshield wipers for rain or snow, what else must you do?","a:Turn on your headlights (low beams).,b:Pull over immediately.,c:Switch to high beams.,d:Turn on interior lights only.",a,"If conditions require wipers, you must also use low-beam headlights so others can see your vehicle.",easy
6,"Alcohol, Drugs & Impaired Driving",What might be a possible effect of taking prescription medication while drinking alcohol?,"a:It will make you more alert.,b:There will likely be no effect.,c:It can make you unfit to drive due to increased impairment.",c,Combining prescription medications with alcohol can increase impairment and make you unfit to drive; always check warnings and consult a doctor or pharmacist.,difficult
8,Special Situations & Road Users,Do drivers need to stop for a stopped school bus when traveling in the opposite direction on a four-lane highway?,"a:False,b:True (no stop required when traveling opposite on a divided four-lane highway)",b,"On multi-lane highways with four or more lanes, drivers traveling in the opposite direction are not required to stop for a stopped school bus, though they should exercise caution.",medium
2,Traffic Laws & Rules of the Road,"After passing another vehicle on a two-lane road with opposing traffic, when should you return to your lane?","a:Only after signaling for at least five seconds.,b:When there is enough room between you and the passed vehicle.,c:Immediately regardless of distance.",b,Return to the driving lane only when you can see the passed vehicle in your rearview mirror and there is sufficient space.,medium
2,Traffic Laws & Rules of the Road,When are you driving too slowly?,"a:When you are driving slower than 40 mph on any highway.,b:When you block vehicles moving at normal,c:When you do not pass other cars often.",a,You must not drive so slowly that you impede normal traffic flow or create a hazard.,easy
6,"Alcohol, Drugs & Impaired Driving",What is the only reliable way to reduce your blood alcohol concentration (BAC)?,"a:Drink coffee,b:Exercise,c:Allow your body time to eliminate the alcohol,d:Take a cold shower",c,Only time allows the body to metabolize alcohol and reduce BAC; other remedies do not sober you.,easy
2,Traffic Laws & Rules of the Road,"When parking facing uphill where there is no curb, which way should you turn your wheels?","a:Turn your wheels away from the edge of the road,b:Turn your wheels toward the edge of the road (right),c:Keep the wheels straight,d:Turn wheels toward the center of the road",b,"If parked uphill without a curb, turn the front wheels toward the road edge so the vehicle will roll off the roadway if brakes fail.",easy
5,Driving in Special Conditions,"When visibility is low because of fog, what is the proper driving technique?","a:Turn on interior lights to improve visibility,b:Slow down and use low beam headlights,c:Increase speed to clear the fog quickly,d:Use high beams for better viewing",b,"In fog, use low beams and reduce speed; if visibility is extremely limited, pull off the road until conditions improve.",medium
2,Traffic Laws & Rules of the Road,"Before changing lanes on a multilane highway, what should you do?","a:Flash your headlights to warn others,b:Reduce speed drastically,c:Check your rearview and side mirrors and look over your shoulder for blind-spot vehicles,d:Turn on your hazard lights",c,Always check mirrors and look over your shoulder to ensure no vehicle is in your blind spot before changing lanes.,easy
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, what should you avoid doing?","a:Apply the brakes hard,b:Stay off the brakes and steer to regain control,c:Pump the brakes repeatedly,d:Turn off the engine immediately",b,"If your vehicle skids, don't use the brakes; steer smoothly to recover control and keep the vehicle moving safely.",medium
2,Traffic Laws & Rules of the Road,"When driving on an interstate and you intend to change lanes or pass, what should you do?","a:Always use cruise control before changing lanes.,b:Stop on the shoulder first if tired.,c:Signal",c,"Before changing lanes or passing on an interstate, signal, check mirrors, and check blind spots. Do not stop on the shoulder except for emergencies.",easy
6,"Alcohol, Drugs & Impaired Driving",What can happen when alcohol is combined with another drug?,"a:The effects of both may be reduced,b:The combined effects of both substances may be increased,c:Nothing will happen,d:They cancel each other out",b,Mixing alcohol with other drugs can multiply impairing effects and increase harm and impairment.,medium
2,Traffic Laws & Rules of the Road,"If you miss your exit on an interstate, what should you do?","a:Stop and make a U-turn on the highway.,b:Back up to the missed exit.,c:Roll down your window and ask for directions.,d:Continue to the next exit and return safely.",d,Do not back up or make a U-turn on the highway; go to the next exit and safely return to your intended route.,easy
8,Special Situations & Road Users,What must you do when you approach a stopped school bus on your side of a two-lane road with red lights flashing?,"a:Change lanes and pass cautiously.,b:Stop and remain stopped until the lights stop flashing.,c:Slow down to 10 mph and pass carefully.",c,Stop for a stopped school bus on a two-lane road when its red lights are flashing; wait until the lights are turned off.,easy
7,Vehicle Ownership & Responsibilities,"If your vehicle has a mechanical problem, what is the safest action?","a:Turn on hazard lights and pull off the road when possible.,b:Stop in your lane and turn on hazard lights.,c:Signal and pull into the slow lane and stop there.",a,"If your vehicle breaks down, get it off the road away from traffic if possible and turn on emergency flashers so other drivers can see you.",easy
2,Traffic Laws & Rules of the Road,How should you treat an intersection where the traffic signal is not operating?,"a:Proceed without stopping if the intersection looks clear.,b:Only stop if police are present.,c:Drive quickly through to avoid delays.,d:As an all-way stop: come to a full stop and yield before entering.",d,"If signals are out, treat the intersection as a four-way stop, coming to a complete stop and yielding as required.",difficult
8,Special Situations & Road Users,"When sharing the road with a truck, what should you remember about trucks' stopping ability?","a:They have a smaller turning radius than passenger cars,b:They can stop as quickly as motorcycles,c:They require longer distances to stop than smaller vehicles,d:They require less distance to stop than smaller vehicles",c,Trucks are heavy and need more distance to stop; leave extra space when driving near them.,easy
4,Safe & Defensive Driving Practices,"If you experience a tire blowout while driving, which of the following steps are appropriate?","a:Immediately stop in the middle of the road,b:Accelerate to maintain control,c:Turn sharply to reach the shoulder quickly,d:Remove your foot from the gas and do not immediately apply the brakes",d,"If a tire blows out, take your foot off the accelerator, steer straight, slow gradually, and then pull off the road.",medium
8,Special Situations & Road Users,A large truck ahead is making a right turn on a street with two lanes in each direction. What is likely to occur?,"a:The truck must remain in the right lane the entire turn.,b:The truck will always use the left lane to turn.,c:The truck may need to swing wide to finish the turn.,d:The truck can finish the turn in either lane.",c,Long vehicles have rear wheels that track a shorter path than the front wheels. Long trucks often need to swing wide on right turns to avoid clipping the curb or other vehicles.,medium
5,Driving in Special Conditions,"If your wheels drop off the pavement onto the shoulder, what should you do?","a:Accelerate and swerve back immediately.,b:Brake hard and turn sharply back onto the road.,c:Slow down,d:Stop on the shoulder and remain there indefinitely.",c,Reduce speed without braking and carefully re-enter the roadway when clear of traffic and safe to do so.,medium
2,Traffic Laws & Rules of the Road,When should you use your turn signal?,"a:Only when changing lanes.,b:When changing lanes,c:Only when pulling away from the curb.",b,"You must signal anytime you move left or right: changing lanes, entering traffic from a parking spot or alley, or pulling next to or away from a curb.",easy
6,"Alcohol, Drugs & Impaired Driving","True or False: By driving in South Carolina, you have consented to submit to chemical tests for intoxication if requested by law enforcement.","a:Only if arrested,b:False,c:True,d:Only if under 21",c,South Carolina's implied consent law means drivers agree to chemical testing for intoxication when requested by officers.,medium
4,Safe & Defensive Driving Practices,"If your vehicle lacks ABS and you need to stop quickly, what is the recommended technique?","a:Hold the brake pedal down hard and steer.,b:Lightly tap the brakes repeatedly.,c:Firmly pump your brakes.",c,"For vehicles without ABS, pumping the brakes helps stop quickly while maintaining some steering control. ABS-equipped vehicles require firm continuous pressure.",medium
3,"Signs, Signals & Road Markings",What color and text style do temporary construction and maintenance signs use?,"a:Red background with green writing.,b:Green background with white writing.,c:Yellow background with blue writing.,d:Orange background with black writing.",d,Temporary work zone signs use orange backgrounds with black symbols or lettering to warn drivers.,easy
8,Special Situations & Road Users,"When following a motorcycle, what should you do?","a:Share the same following distance as behind cars always.,b:Follow closer because motorcycles stop faster.,c:Assume motorcyclists are more visible than cars.,d:Allow extra space in front of your vehicle.",d,"Motorcycles can stop quickly and may be harder to see, so increase following distance to give yourself room to react.",easy
2,Traffic Laws & Rules of the Road,"Before making a left turn from a one-way street, which lane should you be in?","a:The lane nearest the center of the street.,b:The lane nearest the right curb.,c:Any available lane.,d:The lane nearest the left curb.",d,"When turning, begin from the lane closest to the direction you want to travel; from a one-way street a left turn should start from the lane nearest the left curb.",easy
4,Safe & Defensive Driving Practices,Which action disrupts smooth traffic flow?,"a:Slowing down to look at a crash or unusual scene.,b:Avoiding needless lane changes.,c:Using public transit instead of driving.,d:Maintaining a steady speed with traffic.",a,Rubbernecking—slowing to observe crashes or unusual events—blocks traffic and should be avoided.,easy
3,"Signs, Signals & Road Markings",What do double solid yellow lines painted down the middle of the road mean?,"a:Railroad crossing ahead.,b:Passing is not permitted from either direction,c:Pedestrian crossing ahead.,d:Only passing by heavy trucks allowed.",b,"Double solid yellow lines mean you generally may not cross the lines to pass, except in limited situations such as left turns when safe.",easy
2,Traffic Laws & Rules of the Road,Which of the following is illegal and may result in fines and/or imprisonment?,"a:Participating in or assisting a race on a public highway.,b:Speeding,c:Driving barefooted,d:Steering with one hand",c,Participating in or assisting a race or speed contest on a public highway is prohibited and can be punished by fines and/or imprisonment.,medium
3,"Signs, Signals & Road Markings",If a green arrow changes to a solid green light you may:,"a:No longer turn under any circumstance.,b:Still turn in the arrow's direction but must yield to oncoming traffic and pedestrians.,c:Have the right-of-way over oncoming traffic.,d:Only go straight.",b,"When a green arrow becomes a solid green, turns are permitted but you must yield to oncoming traffic and pedestrians.",medium
2,Traffic Laws & Rules of the Road,Which of the following best describes a safe place to pass another vehicle?,"a:On a hill or curve where visibility is limited.,b:At any railroad crossing.,c:At a street crossing or highway intersection.,d:Only where you can see far enough ahead to be sure no oncoming traffic is present.",d,"You may pass only where you can see far enough ahead to determine it is safe; do not pass on hills, curves, crossings, or where signs prohibit it.",medium
8,Special Situations & Road Users,"If a transit vehicle signals to re-enter the roadway after a stop, what must you do?","a:Yield to the transit vehicle and allow it to re-enter.,b:Honk to alert the driver.,c:Speed up to pass before it merges.,d:Remain in your lane and ignore its signals.",a,Yield to transit vehicles signaling to pull back into traffic after loading or unloading passengers by changing lanes or slowing as needed.,easy
4,Safe & Defensive Driving Practices,"When entering a gap in highway traffic, what should you do?","a:Speed up and force other vehicles to make way.,b:Check behind you and the vehicle ahead,c:Stop in the lane until a gap appears.,d:Watch only the cars behind the gap.",b,"Before changing lanes or entering traffic, be sure no vehicles are in the space you intend to occupy; check to the side and behind.",medium
3,"Signs, Signals & Road Markings",What does a solid white edge line that slants left toward the center of the road indicate?,"a:The road narrows ahead (edge line angles into the roadway).,b:There is an intersection ahead.,c:You must turn left soon.",a,A solid edge line marking the road's edge that angles inward indicates the roadway narrows ahead.,medium
5,Driving in Special Conditions,Hydroplaning occurs when tires ride on water; how can you reduce the chance of hydroplaning?,"a:Move to the shoulder as soon as it starts to rain.,b:Put on cruise control to keep a constant speed.,c:Slow down.",c,Hydroplaning is caused by driving too fast on wet roads; reduce speed in wet conditions to prevent tires from riding on a film of water.,medium
8,Special Situations & Road Users,"At a crosswalk, who has the right-of-way?","a:Construction workers must yield to vehicles,b:Pedestrians must be yielded to by vehicles,c:Only pedestrians with signals have the right-of-way,d:Pedestrians must yield to vehicles",b,Vehicles must stop for pedestrians in a crosswalk (marked or unmarked) unless directed otherwise by signals or officers.,easy
3,"Signs, Signals & Road Markings","When you approach an intersection with a flashing red light, what must you do?","a:Come to a complete stop, yield to traffic and pedestrians, then proceed when safe,b:Slow down and proceed with caution,c:Stop and remain stopped as long as the light is red,d:Only stop if other vehicles are present",a,"A flashing red light is equivalent to a stop sign; stop fully, yield, and then continue when it is safe.",easy
8,Special Situations & Road Users,True or false: You do not have to stop for a school bus with flashing red lights if it is on a private road.,"a:True.,b:Only if the bus is on a driveway.,c:Only for commercial vehicles.,d:False.",d,"Drivers must stop for a school bus that is loading or unloading with flashing red lights and stop arm out, whether the bus is on public or private roads.",easy
2,Traffic Laws & Rules of the Road,Which statement about making a right turn is correct?,"a:When turning right onto a four-lane road,b:You should swing wide to the left when making a right turn.,c:You may make a right turn on red after stopping",c,"After yielding to traffic and pedestrians, you may turn right on red unless a sign specifically prohibits it; stay close to the right curb and turn into the nearest lane.",easy
4,Safe & Defensive Driving Practices,"If another vehicle suddenly cuts directly in front of you creating a hazard, what should you do first?","a:Take your foot off the gas pedal.,b:Swerve immediately into the adjacent lane.,c:Honk and slam on the brakes.",a,"If a vehicle merges too closely in front of you, ease off the accelerator to create space; avoid abrupt braking or swerving unless necessary.",medium
