section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When a school bus is stopped on your side of the road with red lights flashing, you must:","a:Change lanes and pass cautiously.,b:Slow to 10 mph and proceed.,c:Stop until the lights stop flashing and the stop arm is retracted.",c,Stop for a school bus that is loading or unloading students while its red lights are flashing and stop arm is extended; don't pass.,difficult
3,"Signs, Signals & Road Markings",What is a crosswalk?,"a:An area designated for road construction workers.,b:Another name for a four-way intersection.,c:The area where pedestrians may cross the roadway.",c,Crosswalks designate where pedestrians may cross the road and may be marked by white solid lines or may be unmarked at some intersections.,
4,Safe & Defensive Driving Practices,"If you repeatedly drive faster than other cars on a two-lane road and keep passing, what is likely to happen?","a:It will help prevent traffic congestion.,b:Your chance of a collision increases.,c:You will reach your destination much faster and more safely.",a,Avoid passing other vehicles on two-lane roads — every pass raises the chance of a crash.,
7,Vehicle Ownership & Responsibilities,"If your car becomes disabled on the highway, where should you park if possible?","a:With all four wheels off the traveled portion of the highway.,b:Stop in the right lane.,c:Stop where you are and wait for help.",a,"If your vehicle is disabled, move it off the main travel lanes so it does not block traffic or create a hazard.",
7,Vehicle Ownership & Responsibilities,Which statement about backing your vehicle is true?,"a:Always dangerous.,b:Dangerous if you have a helper.,c:Only dangerous in large vehicles.",b,Backing is always hazardous because visibility is limited; use caution and helpers when necessary.,
7,Vehicle Ownership & Responsibilities,"In a vehicle equipped with airbags, where is the safest place for children age 12 and under to ride?","a:The back seat.,b:The front seat.,c:The bed of a pick-up truck.",a,Children 12 and under should ride in the back seat when the vehicle has airbags to reduce injury risk.,difficult
3,"Signs, Signals & Road Markings",A diamond-shaped road sign is a:,"a:Yield sign.,b:Stop sign.,c:Warning sign.",c,Diamond-shaped signs warn drivers of special conditions or hazards ahead; they are usually yellow or orange.,
2,Traffic Laws & Rules of the Road,When must you stop your vehicle?,"a:Where there is a red traffic light.,b:Both of the above.,c:At any intersection where a police officer orders you to stop.",a,"You must come to a complete stop at steady or flashing red lights and obey any police officer directing traffic, regardless of signals.",
4,Safe & Defensive Driving Practices,What is true about changing lanes safely?,"a:Look over your right shoulder for a right lane change and your left shoulder for a left lane change.,b:You only need to turn and look over your right shoulder for lane changes to the right or left.,c:Vehicles with two outside mirrors do not have blind spots.",b,"Before changing lanes, signal, check mirrors, and look over the appropriate shoulder to verify the adjacent lane is clear of vehicles, motorcycles, or bicycles.",
4,Safe & Defensive Driving Practices,"To be able to turn quickly, your hands should be placed:","a:Next to each other on the top of the steering wheel.,b:On opposite sides of the steering wheel.,c:On the top and bottom of the steering wheel.",b,"Both hands should be on opposite sides of the steering wheel to promote comfortable, controlled turns, especially at higher speeds.",
8,Special Situations & Road Users,"If you see a pedestrian using a guide dog or carrying a white cane, what must you do?","a:Honk your horn to let them know you are there.,b:You must yield the right-of-way.,c:The pedestrian must yield the right-of-way.",c,Blind or partially blind pedestrians using a guide dog or white cane must be given the right-of-way.,
2,Traffic Laws & Rules of the Road,"To turn left from a multilane one-way street onto another one-way street, where should you start the turn?","a:From any lane as long as it is safe.,b:From the center lane.,c:From the lane closest to the left curb.",c,Begin left turns from the far left lane when turning from one one-way street onto another one-way street.,
2,Traffic Laws & Rules of the Road,Is it appropriate to always drive slower than the surrounding traffic?,"a:No — driving significantly slower can block traffic and may be illegal.,b:Yes — it is always safer to drive more slowly than others.,c:Yes — it is a recommended defensive driving technique.",a,You should drive slower in poor conditions but not impede normal traffic flow; blocking traffic can result in a citation.,difficult
5,Driving in Special Conditions,"If you must make an emergency stop on an interstate, what should you do?","a:Get out of your vehicle and flag down the first vehicle that passes.,b:Sound your horn at passing cars to get their attention.,c:Pull off the road",a,"If you stop on the highway shoulder, turn on emergency flashers and remain in the vehicle when possible; walking along an interstate is extremely dangerous.",
2,Traffic Laws & Rules of the Road,A flashing yellow light at an intersection means:,"a:Come to a complete stop as quickly as possible.,b:Slow down and proceed with caution.,c:Stop and proceed only when the intersection is clear.",b,A flashing yellow light warns drivers to slow down and proceed with caution; no full stop is required unless needed for safety.,
2,Traffic Laws & Rules of the Road,A U-turn is prohibited:,"a:On a straight roadway with a clear view for 500 feet in both directions.,b:On or near any curve or hill.,c:In a parking lot.",b,Never make U-turns on or near curves or hills because you may not see approaching traffic or pedestrians and could cause a collision.,difficult
