section-num,section-name,question,options,correct-answer,note,difficulty
5,Driving in Special Conditions,"On slippery surfaces like snow or ice, which action is recommended before descending steep hills?","a:Shift to a low gear to maintain control.,b:Follow closely behind the vehicle in front of you.,c:Pump your brakes continuously to prevent freezing.,d:Use cruise control to keep steady speed. ",a,Use a low gear to help maintain traction when going down steep hills; avoid quick stops and follow farther behind other vehicles.,medium
2,Traffic Laws & Rules of the Road,How should you respond to a flashing yellow traffic light at an intersection?,"a:Slow down and proceed through the intersection with caution.,b:Stop before entering the intersection.,c:Wait for a green light before proceeding.,d:Speed up to clear the intersection quickly.",a,A flashing yellow light warns drivers to slow down and exercise caution while crossing or turning at the intersection.,easy
6,"Alcohol, Drugs & Impaired Driving",Which substances can affect your driving ability?,"a:Tranquilizers, marijuana, sedatives, cough syrups, and some over-the-counter cold medicines — all of the above.,b:Only illegal drugs.,c:Only alcoholic beverages.,d:Only prescription medications. ",a,"Many substances — including depressants, illicit drugs, and certain OTC medicines — impair driving and increase crash risk.",difficult
2,Traffic Laws & Rules of the Road,"Before changing lanes, you should:","a:Check side mirrors and look over your shoulder to confirm the lane is clear.,b:Check only the inside rearview mirror.,c:Slow down significantly and merge quickly.,d:Turn on your hazard lights and change lanes.",a,Always check your side mirrors and perform a shoulder check to verify the adjacent lane is clear before changing lanes.,easy
3,"Signs, Signals & Road Markings",A broken yellow line beside a solid yellow line means what?,"a:Passing is permitted from the lane next to the solid yellow line.,b:Passing is not permitted from either direction.,c:Passing is permitted from the lane next to the broken yellow line.",c,"When a broken yellow line is next to a solid yellow line, traffic beside the broken line may pass when safe, while traffic beside the solid line may not.",medium
4,Safe & Defensive Driving Practices,"If you are angry after an argument, what should you do before driving?","a:Loudly play the radio while driving so you won’t think about your argument.,b:Take a few minutes to cool off before driving.,c:Drive on the interstate to let off steam.",b,Strong emotions impair judgment and attention. Calm down before operating a vehicle so you can focus on driving safely.,easy
4,Safe & Defensive Driving Practices,"If you are about to be struck from the rear, which of these should you NOT do?","a:Letting go of the steering wheel.,b:Apply your brakes.,c:Press your head firmly against the head restraint.",a,Do not let go of the steering wheel. Brace against the seat and head restraint and be prepared to apply brakes to avoid being pushed into another vehicle.,medium
5,Driving in Special Conditions,"If poor weather reduces visibility, what should you do regarding following distance?","a:Increase your following distance.,b:Drive in the lane closest to oncoming traffic.,c:Speed up to get off the road quickly.",a,"When visibility is reduced, increase following distance to allow more time to react to hazards.",easy
4,Safe & Defensive Driving Practices,How are stopping distances and crash severity affected as vehicle speed increases?,"a:They increase as a vehicle's speed increases.,b:They decrease as a vehicle's speed increases.,c:They are not affected by a vehicle's speed.",a,"As speed increases, both stopping distance and the potential impact severity of a collision increase; maintain greater following distances at higher speeds.",easy
3,"Signs, Signals & Road Markings",Regulatory signs are typically what color and must always be obeyed?,"a:Blue,b:Green,c:White",c,Regulatory signs control traffic movement. They are typically white with black markings and must be obeyed by motorists.,easy
3,"Signs, Signals & Road Markings",A broken yellow line down the center of a road indicates what?,"a:A construction zone is ahead.,b:Passing is not permitted from either direction.,c:Passing is permitted from either direction.",c,Broken yellow center lines separate two-way traffic and mean passing is allowed when it is safe to do so and no oncoming traffic is present.,easy
8,Special Situations & Road Users,An orange and red triangular emblem displayed on the rear of a vehicle indicates what?,"a:The vehicle has the right-of-way.,b:Slow-moving vehicle.,c:Shoulder work ahead.",b,An orange and red triangle identifies a slow-moving vehicle such as farm equipment or road maintenance vehicles and indicates limited speed.,easy
6,"Alcohol, Drugs & Impaired Driving",Which statement about alcohol and driving is true?,"a:Alcohol affects judgment, which is essential for safe driving.,b:If you can walk straight after drinking, you are safe to drive.,c:Being under the legal BAC means your driving isn't impaired.,d:Drinking coffee neutralizes alcohol's effects.",a,Alcohol impairs judgment and decision-making; any amount can degrade driving ability even below legal BAC limits.,easy
2,Traffic Laws & Rules of the Road,What should you do when entering an interstate from an entrance ramp?,"a:Stop, check for cars, and enter when safe.,b:Check for cars and reduce your speed to 25 mph before entering the traffic lane.,c:Check for cars, increase your speed to match the flow of traffic, and merge when the way is clear.",c,Use the acceleration lane to match the speed of traffic and merge when a safe gap appears; do not stop unless necessary.,medium
2,Traffic Laws & Rules of the Road,What should you do when you see a steady yellow light and have not entered the intersection?,"a:Speed up to beat the red light.,b:Reduce your speed and proceed carefully through the intersection.,c:Come to a safe stop.",c,A steady yellow warns the signal is changing to red; stop safely if you have not entered the intersection.,easy
7,Vehicle Ownership & Responsibilities,"When involved in a collision, when should you give your name, address, and vehicle registration information to the other drivers?","a:Only if the collision caused injury.,b:When property damage totals above $500.,c:Every time you are involved in a collision.",c,"You must stop and exchange identification, address, and vehicle registration information with other drivers involved in any crash, regardless of severity.",easy
2,Traffic Laws & Rules of the Road,"When overtaking another vehicle, how should you pass?","a:Pass the vehicle as slowly as possible.,b:Drive at the same speed as the vehicle you are passing.,c:Pass the vehicle as safely and as quickly as possible.",c,"Pass quickly and safely, then return to your lane when you can see the passed vehicle's headlights in your rearview mirror.",easy
