section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which of the following is true about passing another vehicle?,"a:You may pass another vehicle on a hill or in a curve.,b:You may pass another vehicle by using the shoulder of the highway.,c:You may pass only where it is legal and safe to do so.",c,Never pass on a hill or curve where you cannot see oncoming traffic; do not use the shoulder. Pass only where it is legal and safe.,
5,Driving in Special Conditions,"When driving in fog, should you use high beam headlights?","a:True,b:False",b,Use low-beam headlights in fog; high beams reflect off the fog and reduce visibility.,
3,"Signs, Signals & Road Markings","When approaching a steady green traffic light, what should drivers do?","a:Proceed if the intersection is clear, yielding to pedestrians and vehicles in the intersection.,b:Treat the intersection like a four-way stop.,c:Stop if a police officer is nearby.",a,"On a steady green, you may go if the way is clear, but must yield to pedestrians and any vehicles still in the intersection; be prepared to stop if the light changes.",
6,"Alcohol, Drugs & Impaired Driving",Lack of sleep affects your driving ability in a way similar to which of the following?,"a:The effect that amphetamines have.,b:The effect that alcohol has.,c:The effect that anger has.,d:None of the above.",b,"Fatigue impairs driving in a manner comparable to alcohol. For example, being awake 18 hours can impair driving similar to a BAC of about 0.05%, and 24 hours awake is similar to about 0.10%.",
4,Safe & Defensive Driving Practices,Using both lap and shoulder belts together increases survival in a crash. True or false?,"a:True,b:False",a,Properly worn lap and shoulder belts together provide the most protection and reduce the risk of serious injury or death in crashes.,
2,Traffic Laws & Rules of the Road,Is it legal to cross a double solid yellow centerline to pass?,"a:If there is no oncoming traffic.,b:Yes.,c:No.",c,Two solid yellow lines mean neither lane may cross to pass; you may cross only to turn into a driveway or side road where permitted.,
4,Safe & Defensive Driving Practices,What is the single most effective thing you can do to reduce injury risk in a crash?,"a:Stay in the right lane on multilane highways.,b:Limit your driving to weekdays.,c:Wear your seat belt.",c,Wearing a seat belt is the most effective way to reduce the risk of death or serious injury in a crash.,
4,Safe & Defensive Driving Practices,What characterizes a good defensive driver?,"a:Looks out for actions of other drivers and anticipates problems.,b:Drives slowly at all times.,c:Travels at a constant speed regardless of conditions.",a,"A good defensive driver stays alert to others' behaviors, anticipates hazards, and adapts speed and position to remain safe.",
2,Traffic Laws & Rules of the Road,Is the posted maximum speed limit always the fastest you can legally drive under any conditions?,"a:True,b:False",b,"The posted maximum speed is for ideal conditions; you must reduce speed when conditions (weather, visibility, traffic) require it.",
6,"Alcohol, Drugs & Impaired Driving",Taking drugs together with alcohol typically:,"a:Lessens the effect of alcohol on your ability to drive.,b:Is no more dangerous than consuming alcohol by itself.,c:Increases the risk of causing a crash.",c,Combining drugs and alcohol can multiply impairment and increase the likelihood of a crash.,
6,"Alcohol, Drugs & Impaired Driving",Which types of drugs can affect your driving ability?,"a:Only illegal narcotics.,b:Only prescription drugs.,c:Both over-the-counter and prescription drugs, as well as illegal drugs.,d:Only allergy medicines.",c,"Many legal and illegal drugs, including prescription and over-the-counter medications, can impair driving and make it unsafe.",
2,Traffic Laws & Rules of the Road,"You cannot pass safely on a two-way, two-lane street unless you can:","a:Return to your lane before meeting oncoming traffic.,b:Your vehicle is capable of the speed necessary to pass.,c:Clearly see the road ahead so you can complete the pass safely.",c,"You should only pass when you can clearly see the road ahead, can return to your lane before meeting oncoming traffic, and your vehicle can safely complete the pass.",
3,"Signs, Signals & Road Markings",Drivers may not pass from either side of which centerline type?,"a:Double solid yellow,b:Single broken yellow,c:Combination solid and broken yellow",a,A double solid yellow centerline prohibits passing by traffic from either direction.,
7,Vehicle Ownership & Responsibilities,Who is required to use seat belts in Minnesota?,"a:Only the driver.,b:All vehicle occupants as required by law.,c:Only child passengers.,d:Only passengers in the front seat.",b,Minnesota law requires seat belt use; vehicles must be equipped with seat belts and occupants must use them as required.,
8,Special Situations & Road Users,"When you hear or see an emergency vehicle approaching on a divided multilane highway, what must you do?","a:Ignore the signal if other lanes are free.,b:Stop immediately where you are.,c:Slow, provide a clear path by moving if safe, and stop if necessary.,d:Speed up to clear the lane.",c,"If you see or hear an emergency vehicle, slow and move safely to allow a clear path and stop if necessary so the emergency vehicle can pass.",difficult
4,Safe & Defensive Driving Practices,"When passing a vehicle that has just parked on the side of the road, what should you assume?","a:The driver may open their door, so use extra caution.,b:Speed up to pass quickly.,c:Slam on your brakes as you approach.",a,Assume doors may open; pass slowly and give space when passing parked vehicles to avoid striking someone exiting.,
2,Traffic Laws & Rules of the Road,"When passing on a multilane highway, what must you ensure?","a:The passing lane is clear and it is safe to change lanes.,b:You may only pass on the right.,c:Watch for oncoming traffic in the opposite direction.",a,"Before passing on a multilane highway, confirm the lane you will use is clear and signal before changing lanes.",
3,"Signs, Signals & Road Markings",What does a single dashed white line between lanes mean?,"a:Drivers may not pass.,b:Lanes move in opposite directions.,c:Drivers may pass or change lanes when it is safe to do so.",c,Dashed white lines separate lanes moving in the same direction; you may cross them to pass or change lanes when safe.,
3,"Signs, Signals & Road Markings",How should drivers respond to a flashing yellow traffic signal?,"a:Increase their speed to clear the intersection.,b:Come to a complete stop regardless of traffic.,c:Slow down and proceed with caution.,d:Turn on hazard lights and proceed.",c,A flashing yellow light warns of a hazard—slow down and proceed with caution through the intersection.,
6,"Alcohol, Drugs & Impaired Driving",Which of the following can impair your ability to drive and lead to a DUII arrest?,"a:Beer, wine, and other liquor,b:Controlled substances such as illegal drugs or prescription medicines,c:Inhalants such as glue or paint,d:All of the above.",d,"Many substances — alcohol, illegal drugs, inhalants, and some legal medications — can impair driving ability and can result in arrest.",
2,Traffic Laws & Rules of the Road,What should you do before making a turn?,"a:Activate your turn signal several seconds before turning.,b:Turn the wheel immediately without signaling.,c:Increase your speed before turning.,d:Sound your horn instead of signaling.",a,Always signal three to four seconds before turning to communicate your intentions to other road users.,difficult
8,Special Situations & Road Users,Why should you be cautious when passing a bicycle?,"a:The bicycle always has the right-of-way.,b:You are moving faster than the bicycle.,c:Oncoming traffic may not see you pull out to pass the bicycle.",b,"Cyclists may need to swerve or avoid hazards; also oncoming traffic may not realize you are passing, so pass with extra caution and give plenty of space.",difficult
5,Driving in Special Conditions,Which actions help lower the risk of hydroplaning?,"a:Use tires with proper air pressure.,b:Replace tires that have bad tread.,c:Do not speed when the roads are wet.",c,"To reduce hydroplaning risk: avoid excessive speed on wet roads, maintain proper tire pressure, and replace tires with worn tread.",
8,Special Situations & Road Users,What should you do when an emergency vehicle displaying flashing red or blue lights approaches?,"a:Pull over to the side and come to a complete stop.,b:Continue driving but try to stay out of its way.,c:See if you can reach your destination before the emergency vehicle catches up to you.,d:Speed up and get out of the way.",a,"Yield the right-of-way: where possible, pull to the right edge of the road and stop; if in an intersection, clear it first then pull over.",
2,Traffic Laws & Rules of the Road,Is it legal to exceed the posted speed limit when passing another vehicle?,"a:True — briefly exceeding the speed limit is allowed.,b:False — you must not exceed the posted limit even when passing.,c:Only if the passing lane is clear.,d:Only on a two-lane road.",b,"It is illegal to exceed the posted speed limit under any circumstances, including when passing another vehicle.",
