Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Licensing Requirements","Finance","State","A mortgage clause that allows the lender to demand immediate payment of the entire loan balance if the borrower defaults on covenants like monthly payments. matches which of the following terms?","Ad Valorem","Acceleration Clause","Adverse Possession","Agency","B","Acceleration Clause is defined as: A mortgage clause that allows the lender to demand immediate payment of the entire loan balance if the borrower defaults on covenants like monthly payments. Example: A homeowner misses three consecutive mortgage payments. The lender invokes the acceleration clause, demanding the entire remaining balance of $210,000 within 30 days. Because the homeowner cannot pay this full sum, the lender initiates a foreclosure sale."
"Licensing Requirements","State Rules","State","Select the correct term for this definition: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Alienation Clause","Agency","Ad Valorem","Adverse Possession","C","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"Licensing Requirements","Property Law","State","A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. is the legal definition of:","Amortization","Alienation Clause","Agency","Adverse Possession","D","Adverse Possession is defined as: A method of acquiring title to real property by possessing it in an open, notorious, hostile, and continuous manner for a statutorily defined period. Example: A neighbor builds a fence that encroaches 5 feet onto a homeowner's land. The homeowner does not object, and the neighbor continues to use that strip of land, mowing it and planting gardens on it, for 15 continuous years (the state's statutory limit). The neighbor can file a lawsuit to claim legal ownership of that 5-foot strip via adverse possession."
"Licensing Requirements","Agency & Ethics","State","What real estate term matches the following description: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties.","Agency","Appraisal","Alienation Clause","Amortization","A","Agency is defined as: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. Example: A home seller hires a real estate broker to market their home. The seller signs a listing agreement, creating an agency relationship. The broker now has the legal authority and duty to represent the seller's interests in negotiations with prospective buyers."
"Licensing Requirements","Finance","State","Define: Also known as a 'due-on-sale' clause, this mortgage provision allows the lender to demand immediate repayment of the full loan balance if the property is sold or transferred.","Amortization","Appraisal","Alienation Clause","Appurtenance","C","Alienation Clause is defined as: Also known as a 'due-on-sale' clause, this mortgage provision allows the lender to demand immediate repayment of the full loan balance if the property is sold or transferred. Example: A seller attempts to sell their house to a buyer by letting the buyer take over their 3% interest rate mortgage. The lender invokes the alienation clause, requiring the seller to pay off the remaining $150,000 balance immediately upon sale, forcing the buyer to obtain their own financing."
"Licensing Requirements","Finance","State","The gradual liquidation or repayment of a financial debt through regular, periodic payments of both principal and interest over a specified term. matches which of the following terms?","Appraisal","Asbestos","Amortization","Appurtenance","C","Amortization is defined as: The gradual liquidation or repayment of a financial debt through regular, periodic payments of both principal and interest over a specified term. Example: An agent helps a buyer secure a 30-year fixed-rate mortgage of $300,000. With a fully amortized loan schedule, the buyer makes equal monthly payments of $1,800. In month 1, $1,500 goes to interest and $300 to principal. By year 25, $300 goes to interest and $1,500 goes directly to reducing the principal balance."
"Licensing Requirements","Valuation","State","Select the correct term for this definition: An unbiased, defensible estimate of the fair market value of a property, conducted by a licensed professional appraiser using standardized valuation methods.","Appurtenance","Asbestos","Appraisal","Assessed Value","C","Appraisal is defined as: An unbiased, defensible estimate of the fair market value of a property, conducted by a licensed professional appraiser using standardized valuation methods. Example: A buyer agrees to purchase a home for $350,000 and applies for a mortgage. The lender hires an independent appraiser, who inspects the home, compares it to three similar nearby homes that sold recently, and determines its appraised market value is $348,000, preventing the lender from lending on the higher agreed-upon purchase price."
"Licensing Requirements","Property Law","State","A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights). is the legal definition of:","Assessed Value","Appurtenance","Bilateral Contract","Asbestos","B","Appurtenance is defined as: A right, privilege, or improvement that is associated with a property and transfers automatically with the title (e.g., easements, outbuildings, or water rights). Example: A buyer purchases a home that has an easement appurtenant allowing them to cross the neighbor's property to access a public lake. When the buyer takes title, this easement right transfers to them automatically as an appurtenance, without needing a separate deed or contract."
"Licensing Requirements","State Rules","State","What real estate term matches the following description: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled.","Asbestos","Blockbusting","Bilateral Contract","Assessed Value","A","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"Licensing Requirements","State Rules","State","Define: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes.","Blockbusting","Buffer Zone","Bilateral Contract","Assessed Value","D","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"Licensing Requirements","Contracts","State","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Bundle of Rights","Buffer Zone","Bilateral Contract","Blockbusting","C","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"Licensing Requirements","Agency & Ethics","State","Select the correct term for this definition: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood.","Capitalization Rate (Cap Rate)","Blockbusting","Bundle of Rights","Buffer Zone","B","Blockbusting is defined as: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood. Example: An agent contacts homeowners in a subdivision and warns them that a minority family has purchased a nearby home, advising them to sell their properties before home values drop. This is blockbusting, and it violates federal fair housing laws."
"Licensing Requirements","Property Law","State","A strip of land, such as a park, greenbelt, or playground, designated to separate two incompatible zoning districts (e.g., residential and industrial). is the legal definition of:","Caveat Emptor","Bundle of Rights","Capitalization Rate (Cap Rate)","Buffer Zone","D","Buffer Zone is defined as: A strip of land, such as a park, greenbelt, or playground, designated to separate two incompatible zoning districts (e.g., residential and industrial). Example: The city planning board requires a developer to build a 100-foot-wide park filled with trees between a new retail shopping mall and an existing single-family residential neighborhood, serving as a buffer zone."
"Licensing Requirements","Property Law","State","What real estate term matches the following description: The legal rights associated with real property ownership, including the rights of possession, control, enjoyment, exclusion, and disposition.","Capitalization Rate (Cap Rate)","Bundle of Rights","Caveat Emptor","Chain of Title","B","Bundle of Rights is defined as: The legal rights associated with real property ownership, including the rights of possession, control, enjoyment, exclusion, and disposition. Example: A property owner decides to lease their guest house to a tenant, paint their main house blue, and erect a fence to keep trespassers out. They are exercising their bundle of rights: disposition (leasing), control (painting), and exclusion (fencing)."
"Licensing Requirements","Valuation","State","Define: A ratio used to estimate the rate of return on an investment property, calculated by dividing the Net Operating Income (NOI) by the purchase price or current value.","Capitalization Rate (Cap Rate)","Commingling","Caveat Emptor","Chain of Title","A","Capitalization Rate (Cap Rate) is defined as: A ratio used to estimate the rate of return on an investment property, calculated by dividing the Net Operating Income (NOI) by the purchase price or current value. Example: An investor purchases a small retail strip mall for $1,200,000. The property generates $96,000 in Net Operating Income annually. The cap rate is calculated as $96,000 / $1,200,000 = 0.08, or an **8% Cap Rate**."
"Licensing Requirements","Agency & Ethics","State","Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. matches which of the following terms?","Caveat Emptor","Commingling","Comparative Market Analysis (CMA)","Chain of Title","A","Caveat Emptor is defined as: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. Example: A buyer purchases a home in a state with strict caveat emptor laws. During inspections, they fail to check the crawlspace. After closing, they discover termite damage. Under caveat emptor, the buyer is responsible for the repairs unless they can prove the seller intentionally concealed the damage."
"Licensing Requirements","Property Law","State","Select the correct term for this definition: The chronological history of all recorded ownership transfers, liens, and encumbrances affecting a property, tracing back to the original patent.","Commingling","Condemnation","Comparative Market Analysis (CMA)","Chain of Title","D","Chain of Title is defined as: The chronological history of all recorded ownership transfers, liens, and encumbrances affecting a property, tracing back to the original patent. Example: A title search company examines county deed records to trace a property's ownership. They find a transfer from Owner A to Owner B, and Owner B to Owner C, but no deed showing how Owner D acquired it from Owner C. This represents a break in the chain of title, which must be resolved by a quiet title lawsuit."
"Licensing Requirements","Agency & Ethics","State","An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. is the legal definition of:","Commingling","Condemnation","Deed","Comparative Market Analysis (CMA)","A","Commingling is defined as: An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. Example: A broker receives a $5,000 earnest money check from a buyer. Instead of depositing it into the brokerage's trust account, they deposit it into their business operating account to pay office utilities, intending to transfer it back later. This is commingling, and it can result in the revocation of their real estate license."
"Licensing Requirements","Valuation","State","What real estate term matches the following description: An estimate of a property's value prepared by a real estate agent based on recent sales of similar nearby properties to assist in pricing.","Condemnation","Deed","Deed Restrictions","Comparative Market Analysis (CMA)","D","Comparative Market Analysis (CMA) is defined as: An estimate of a property's value prepared by a real estate agent based on recent sales of similar nearby properties to assist in pricing. Example: An agent prepares a CMA for a seller who wants to list their home. The agent finds three similar 3-bedroom homes nearby that sold for $290,000, $295,000, and $305,000. Based on these comps, the agent advises the seller to list their home at $299,000."
"Licensing Requirements","Property Law","State","Define: The legal process by which a government exercises its power of eminent domain to take private property for public use, paying just compensation.","Condemnation","Defeasance Clause","Deed Restrictions","Deed","A","Condemnation is defined as: The legal process by which a government exercises its power of eminent domain to take private property for public use, paying just compensation. Example: The state planning department determines that a new highway bypass must run through a farmer's pasture. The state offers the farmer $120,000 based on appraisals. When the farmer refuses to sell, the state files a condemnation suit to take the land and pay the farmer the appraised value."
"Licensing Requirements","Property Law","State","A written legal instrument that transfers ownership of real property from the grantor (seller) to the grantee (buyer). matches which of the following terms?","Deed Restrictions","Dual Agency","Deed","Defeasance Clause","C","Deed is defined as: A written legal instrument that transfers ownership of real property from the grantor (seller) to the grantee (buyer). Example: At the closing table, the seller signs a General Warranty Deed transferring ownership of the home to the buyer. Once the deed is signed and handed to the buyer, title has been legally conveyed."
"Licensing Requirements","Property Law","State","Select the correct term for this definition: Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers).","Defeasance Clause","Easement","Deed Restrictions","Dual Agency","C","Deed Restrictions is defined as: Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers). Example: A developer subdivision deed includes a restriction stating that no property owner can construct a detached workshop or guest house on their lot. A buyer who purchases a home in this subdivision is legally bound by this deed restriction."
"Licensing Requirements","Finance","State","A mortgage clause requiring the lender to release their lien on the property (via a satisfaction piece) once the borrower fully repays the loan. is the legal definition of:","Dual Agency","Eminent Domain","Defeasance Clause","Easement","C","Defeasance Clause is defined as: A mortgage clause requiring the lender to release their lien on the property (via a satisfaction piece) once the borrower fully repays the loan. Example: A homeowner makes their final mortgage payment on a 30-year loan. Under the defeasance clause, the lender must issue a release deed, proving that the mortgage has been fully repaid and the lien on the home is cleared."
"Licensing Requirements","Agency & Ethics","State","What real estate term matches the following description: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties.","Dual Agency","Eminent Domain","Encroachment","Easement","A","Dual Agency is defined as: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties. Example: An agent lists a house for sale. A buyer who does not have an agent contacts them directly to purchase the home. The agent represents both the buyer and the seller in the transaction, creating a dual agency relationship that requires signed disclosures from both parties."
"Licensing Requirements","Property Law","State","Define: A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways).","Encroachment","Eminent Domain","Encumbrance","Easement","D","Easement is defined as: A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways). Example: A homeowner's driveway crosses a neighbor's property to reach the main road. The homeowner holds an easement appurtenant over the neighbor's property, and this right remains in effect when either property is sold."
