section-num,section-name,question,options,correct-answer,note,difficulty
2,"Signs, Signals & Road Markings",What does an orange-colored road sign generally indicate?,"a:A school zone is ahead.,b:A railroad crossing is ahead.,c:Construction",c,Orange signs warn of construction or maintenance activities; slow down and be prepared for changed traffic patterns.,easy
1,Traffic Laws & Rules of the Road,A broken yellow line beside a solid yellow line means:,"a:Passing on the left is permitted from either direction.,b:Passing is permitted from the lane next to the broken line.,c:Passing is permitted from the lane next to the solid line.",b,"When a broken yellow line is next to a solid yellow, vehicles on the side of the broken line may pass when safe; vehicles next to the solid line may not.",easy
2,"Signs, Signals & Road Markings",You may cross a dashed white line:,"a:At any time.,b:When it is safe to change lanes.,c:Only during daylight hours.",b,Broken white lines separate lanes moving in the same direction and may be crossed to change lanes when it is safe.,easy
1,Traffic Laws & Rules of the Road,What does a posted speed limit represent?,"a:The exact speed you must always drive to avoid a ticket.,b:Only a suggested speed to follow.,c:The maximum legal speed under ideal conditions.",c,"A speed limit is the maximum legal speed for ideal conditions; you should drive slower when road, weather, or traffic conditions demand it.",easy
1,Traffic Laws & Rules of the Road,What should you do before making a turn?,"a:Turn the wheel immediately without signaling.,b:Increase your speed then turn.,c:Signal your intent a few seconds before turning.",c,Activate your turn signal about three to four seconds before turning to warn other road users.,easy
2,"Signs, Signals & Road Markings",Which signal indicates you should slow down and proceed with caution through an intersection?,"a:A flashing red light.,b:A solid yellow light.,c:A flashing yellow light.",c,"A flashing yellow light means slow down, proceed with caution, and be ready to stop if necessary.",easy
3,Safe & Defensive Driving Practices,"When the driver behind you signals they want to pass, what should you do?","a:Maintain exactly the same speed.,b:Speed up to prevent them from passing.,c:Slow down to allow space in front of your vehicle for a safe pass.",c,Slow slightly to create a gap ahead of your vehicle so the overtaking driver can pass more quickly and safely.,easy
2,"Signs, Signals & Road Markings",What does a steady green traffic light at an intersection mean?,"a:Must slow down and prepare to stop.,b:May drive through the intersection if the road is clear.,c:Must stop and check for oncoming traffic before proceeding.",b,"A steady green light means you may proceed through the intersection if it is clear. You may also turn, but you must yield to pedestrians and other traffic as required.",easy
4,Driving in Special Conditions,How should you drive in fog to reduce risk?,"a:Reduce speed, drive cautiously, and use low-beam headlights.,b:Use high beams to see farther.,c:Use hazard lights only.",a,"In fog, slow down, be cautious, and use low beams because high beams reflect back and reduce visibility.",medium
3,Safe & Defensive Driving Practices,What best ensures safety when backing a vehicle?,"a:Check rearview mirrors only.,b:Check behind the vehicle on foot before getting in.,c:Honk immediately before reversing.",b,"Because it's hard to see from the driver's seat, walk to the rear of the vehicle first to check for children or objects before backing.",easy
3,Safe & Defensive Driving Practices,What have studies shown about wearing a seat belt properly?,"a:It increases the chance of fatality.,b:It reduces the risk of serious injury in a crash.,c:It reduces damage to your vehicle.",b,Properly worn seat belts significantly reduce the chances of serious injury or death in crashes.,easy
3,Safe & Defensive Driving Practices,Which activities can cause distracted driving?,"a:Only adjusting the radio.,b:Eating,c:Only texting.",b,"Many common tasks—eating, phone use, or adjusting audio—distract drivers and increase crash risk.",easy
4,Driving in Special Conditions,"To help prevent fatigue on a long trip, what should you do?","a:Drive with one eye open at a time.,b:Do arm exercises every hour.,c:Stop and rest approximately every two hours.",c,"To reduce fatigue, stop regularly—about every two hours—for a short break, rest, or stretch; if drowsy, stop driving immediately and rest.",easy
7,Special Situations & Road Users,Approximately how far might a fully loaded tractor-trailer traveling 55 mph take to stop?,"a:Up to 400 feet.,b:About 50 feet.,c:About 125 feet.",a,"Large, fully loaded tractor-trailers require much longer distances to stop than passenger cars—up to nearly 400 feet at 55 mph.",difficult
7,Special Situations & Road Users,"Regarding pedestrians, what is the driver's responsibility?","a:Only yield if the pedestrian is in a marked crosswalk.,b:Do everything possible to avoid striking a pedestrian and yield the right-of-way.,c:Assume pedestrians must yield to vehicles.",b,"Drivers must be alert and yield to pedestrians to prevent collisions, even if the pedestrian is not lawfully crossing.",easy
4,Driving in Special Conditions,What factor significantly affects your ability to stop a vehicle?,"a:Road conditions (wet, icy, gravel),b:Signal lights ahead,c:Time of day only",a,Stopping distance is heavily influenced by road surface and condition; reduce speed accordingly when roads are poor.,easy
2,"Signs, Signals & Road Markings",Is it legal to cross a double solid yellow centerline to pass another vehicle?,"a:No.,b:Yes.,c:Only if there is no oncoming traffic.",a,Two solid yellow lines mean no passing or crossing for either direction except to turn into a driveway or similar approved location.,easy
7,Special Situations & Road Users,How should you respond when near a blind pedestrian using a white cane or guide dog?,"a:Slow down, yield the right-of-way, and be prepared to stop.,b:Take the right-of-way because vehicles have priority.,c:Proceed normally without slowing down.",a,"Slow, yield, and be ready to stop whenever you encounter a blind pedestrian using a cane or guide dog to ensure their safety.",easy
5,"Alcohol, Drugs & Impaired Driving",What effect does alcohol have on reflexes and reaction time?,"a:Wakes you up.,b:Puts you to sleep.,c:Slows reflexes and reaction time.",c,"Alcohol is a depressant that slows brain activity, reducing reaction time and impairing judgment and coordination needed for safe driving.",easy
3,Safe & Defensive Driving Practices,"If an aggressive driver cuts you off, what is the safest reaction?","a:Flash your lights to let them know they are wrong.,b:Speed up and try to retaliate.,c:Stay calm and move out of the aggressive driver's way.",c,"Avoid escalating the situation. Remain calm, give the aggressive driver space, and if necessary report the incident to authorities when safe.",easy
7,Special Situations & Road Users,"When approaching an emergency vehicle stopped on the right with lights flashing, you should:","a:Maintain your current speed and drive in the right lane.,b:Reduce your speed and safely vacate the lane closest to the emergency vehicle.,c:Maintain your current speed and move quickly into a lane farther away from the emergency vehicle.",b,"Slow down and move over one lane away from stopped emergency vehicles when it is safe to do so; if you cannot safely change lanes, reduce speed and proceed with caution.",easy
4,Driving in Special Conditions,"On a narrow road with an obstructed view approaching a curve, the best action is to:","a:Stop the car,b:Rapidly turn your headlights on and off several times.,c:Sound your horn and stay close to the right edge of the road while proceeding carefully.",c,"If visibility is blocked on a narrow mountain road, sound your horn to warn oncoming traffic and proceed slowly while staying close to the right edge.",medium
3,Safe & Defensive Driving Practices,"If your vehicle has Anti-Lock Braking System (ABS) and it starts to lose traction, what should you do?","a:Pump the brakes.,b:Press and hold the brake pedal firmly.,c:Press and hold the gas pedal.",b,"If your vehicle has ABS, press and hold the brake pedal firmly; the system will pump the brakes automatically to help you maintain control.",medium
2,"Signs, Signals & Road Markings",What do round traffic signs typically warn drivers about?,"a:No passing zones.,b:School zones.,c:Railroad crossings ahead.",c,Circular signs are used for railroad crossing warnings; approach them with caution.,easy
4,Driving in Special Conditions,"On long trips, how can you prevent drowsiness?","a:Turn on your car radio.,b:Slow down.,c:Stop at regular intervals to rest and stretch.",c,"Schedule regular stops to rest, stretch, and refresh; do not rely solely on caffeine or music to prevent drowsiness.",easy
1,Traffic Laws & Rules of the Road,How early should you signal before passing another vehicle?,"a:Signal after you begin the lane change.,b:Signal only just before you change lanes.,c:Signal early enough for other drivers to know your plans in advance.",c,You should signal early enough so other drivers understand your intentions before you start the passing maneuver.,easy
