Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Estate for Years","Bilateral Contract","Exclusive Right-to-Sell","Escrow","B","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Escrow","Estate for Years","Exclusive Right-to-Sell","Acceptance","A","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Acceptance","Exclusive Right-to-Sell","Estate for Years","Accord","C","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Accord And Satisfaction","Acceptance","Accord","Exclusive Right-to-Sell","D","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accounts Payable","Acceptance","Accord","Accord And Satisfaction","B","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accord","Accord And Satisfaction","Accounts Payable","Addendum","A","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Addendum","Additional Deposit","Accounts Payable","Accord And Satisfaction","D","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Accounts Payable","Addendum","Adjusted Mortgage","Additional Deposit","A","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Ad Valorem","Licensing Acts","Licensee","License","A","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"National: Real Estate Practice","State Rules","National","A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. matches which of the following terms?","Life In Being","Licensing Acts","Licensee","Asbestos","D","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes.","Life In Being","Limited Access Highway","Licensing Acts","Assessed Value","D","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"National: Real Estate Practice","State Rules","National","Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. is the legal definition of:","Limited Partnership","Life In Being","Limited Access Highway","Lis Pendens","D","Lis Pendens is defined as: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. Example: A buyer sues a seller for specific performance to force the sale of a home. The buyer's attorney records a lis pendens on the property to prevent the seller from selling it to someone else during the lawsuit."
"National: Real Estate Practice","State Rules","National","What real estate term matches the following description: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members.","Local Government","Limited Access Highway","Limited Partnership","A.I.R. (american Industrial Real Estate Association)","D","A.I.R. (american Industrial Real Estate Association) is defined as: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. Example: An example applying the concept of A.I.R. (american Industrial Real Estate Association) in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes.","Local Government","Made-land","Limited Partnership","Abandonment Of Homestead","D","Abandonment Of Homestead is defined as: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. Example: An example applying the concept of Abandonment Of Homestead in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. matches which of the following terms?","Mandamus","Local Government","Made-land","Accommodator","D","Accommodator is defined as: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. Example: An example applying the concept of Accommodator in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A..","Massachusetts Trust","Mandamus","Administrator","Made-land","C","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"National: General Principles of Agency","Agency & Ethics","National","What real estate term matches the following description: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties.","Agency","Environmental Protection Agency (epa)","Delivery","Document Preparation Fee","A","Agency is defined as: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. Example: A home seller hires a real estate broker to market their home. The seller signs a listing agreement, creating an agency relationship. The broker now has the legal authority and duty to represent the seller's interests in negotiations with prospective buyers."
"National: General Principles of Agency","Agency & Ethics","National","Define: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood.","Equal Dignity Rule","Document Preparation Fee","Blockbusting","Environmental Protection Agency (epa)","C","Blockbusting is defined as: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood. Example: An agent contacts homeowners in a subdivision and warns them that a minority family has purchased a nearby home, advising them to sell their properties before home values drop. This is blockbusting, and it violates federal fair housing laws."
"National: General Principles of Agency","Agency & Ethics","National","Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. matches which of the following terms?","Escrow Instructions","Caveat Emptor","Equal Dignity Rule","Environmental Protection Agency (epa)","B","Caveat Emptor is defined as: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. Example: A buyer purchases a home in a state with strict caveat emptor laws. During inspections, they fail to check the crawlspace. After closing, they discover termite damage. Under caveat emptor, the buyer is responsible for the repairs unless they can prove the seller intentionally concealed the damage."
"National: General Principles of Agency","Agency & Ethics","National","Select the correct term for this definition: An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds.","Escrow Instructions","Escrow Officer","Commingling","Equal Dignity Rule","C","Commingling is defined as: An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. Example: A broker receives a $5,000 earnest money check from a buyer. Instead of depositing it into the brokerage's trust account, they deposit it into their business operating account to pay office utilities, intending to transfer it back later. This is commingling, and it can result in the revocation of their real estate license."
"National: General Principles of Agency","Agency & Ethics","National","A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties. is the legal definition of:","Ethics","Dual Agency","Escrow Instructions","Escrow Officer","B","Dual Agency is defined as: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties. Example: An agent lists a house for sale. A buyer who does not have an agent contacts them directly to purchase the home. The agent represents both the buyer and the seller in the transaction, creating a dual agency relationship that requires signed disclosures from both parties."
"National: General Principles of Agency","Agency & Ethics","National","What real estate term matches the following description: A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability.","Ethics","Exclusive Agency Listing","Fair Housing Act","Escrow Officer","C","Fair Housing Act is defined as: A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability. Example: A landlord refuses to rent an apartment to a qualified family because they have children. This is a violation of the Fair Housing Act, which protects familial status."
"National: General Principles of Agency","Agency & Ethics","National","Define: The legal duties of loyalty, obedience, disclosure, confidentiality, accountability, and reasonable care (OLD CAR) owed by an agent to their client.","Exclusive Listing","Exclusive Agency Listing","Ethics","Fiduciary Duties","D","Fiduciary Duties is defined as: The legal duties of loyalty, obedience, disclosure, confidentiality, accountability, and reasonable care (OLD CAR) owed by an agent to their client. Example: An agent learns that a prospective buyer is willing to pay $10,000 more than their written offer. Under the duty of loyalty and disclosure, the agent must inform the seller of this fact immediately."
"National: General Principles of Agency","Agency & Ethics","National","Intentional misrepresentation or concealment of material facts designed to deceive another party into acting to their financial detriment. matches which of the following terms?","Exclusive Listing","Fraud","Exclusive Agency Listing","F.H.A. (federal Housing Administration)","B","Fraud is defined as: Intentional misrepresentation or concealment of material facts designed to deceive another party into acting to their financial detriment. Example: A seller covers up structural cracks in the foundation with paneling to hide them from buyers. This intentional concealment of a material defect constitutes fraud."
"National: Financing","Finance","National","A mortgage clause requiring the lender to release their lien on the property (via a satisfaction piece) once the borrower fully repays the loan. is the legal definition of:","Mortgage Banker","Mortgage Company","Mortgage Credit Certificate Program (mcc)","Defeasance Clause","D","Defeasance Clause is defined as: A mortgage clause requiring the lender to release their lien on the property (via a satisfaction piece) once the borrower fully repays the loan. Example: A homeowner makes their final mortgage payment on a 30-year loan. Under the defeasance clause, the lender must issue a release deed, proving that the mortgage has been fully repaid and the lien on the home is cleared."
"National: Financing","Finance","National","What real estate term matches the following description: The legal process where a lender seizes and sells a property to recover the unpaid mortgage balance after the borrower defaults.","Foreclosure","Mortgage Credit Certificate Program (mcc)","Mortgage Discount","Mortgage Company","A","Foreclosure is defined as: The legal process where a lender seizes and sells a property to recover the unpaid mortgage balance after the borrower defaults. Example: A borrower stops making mortgage payments for six months. The bank initiates foreclosure proceedings, schedules a public auction, and sells the home to the highest bidder to satisfy the outstanding loan balance."
"National: Financing","Finance","National","Define: A legal claim against a property that secures payment of a debt (e.g., mortgages, tax liens, mechanics' liens).","Mortgage Insurance","Lien","Mortgage Discount","Mortgage Credit Certificate Program (mcc)","B","Lien is defined as: A legal claim against a property that secures payment of a debt (e.g., mortgages, tax liens, mechanics' liens). Example: A contractor remodels a kitchen but is not paid. They file a mechanic's lien against the home, preventing the owner from selling the property without satisfying the debt."
"National: Financing","Finance","National","The illegal practice of lenders refusing to make loans or providing worse terms in specific geographic areas based on neighborhood demographics. matches which of the following terms?","Mortgage Discount","Mortgage Insurance Premium (mip)","Redlining","Mortgage Insurance","C","Redlining is defined as: The illegal practice of lenders refusing to make loans or providing worse terms in specific geographic areas based on neighborhood demographics. Example: A bank draws a line on a map around a neighborhood and refuses to approve mortgages for homes within that boundary. This constitutes illegal redlining."
"National: Financing","Finance","National","Select the correct term for this definition: The voluntary relinquishment of rights of ownership or another interest (such as an easement) by failure to use the property, coupled with an intent to abandon (give up the interest).","Mortgage Insurance Premium (mip)","Abandonment","Mortgage Modification","Mortgage Insurance","B","Abandonment is defined as: The voluntary relinquishment of rights of ownership or another interest (such as an easement) by failure to use the property, coupled with an intent to abandon (give up the interest). Example: An example applying the concept of Abandonment in U.S. real estate transactions."
"National: Financing","Finance","National","A reduction or decrease. Commonly used to describe a decrease of assessed valuation of property for ad valorem taxes. When used regarding wills, it refers to a reduction of gifts to one or more beneficiaries when the assets left in the will are insufficient to pay all creditors and beneficiaries. There is usually a different formula used for debts than for priorities of gifts. See also: Contribution. is the legal definition of:","Mortgage Insurance Premium (mip)","Mortgage Modification","Mortgage Out","Abatement","D","Abatement is defined as: A reduction or decrease. Commonly used to describe a decrease of assessed valuation of property for ad valorem taxes. When used regarding wills, it refers to a reduction of gifts to one or more beneficiaries when the assets left in the will are insufficient to pay all creditors and beneficiaries. There is usually a different formula used for debts than for priorities of gifts. See also: Contribution. Example: An example applying the concept of Abatement in U.S. real estate transactions."
"National: Financing","Finance","National","What real estate term matches the following description: The immediate right to possession of a remainder interest upon the failure of a life estate.","Acceleration","Mortgage Pool","Mortgage Out","Mortgage Modification","A","Acceleration is defined as: The immediate right to possession of a remainder interest upon the failure of a life estate. Example: An example applying the concept of Acceleration in U.S. real estate transactions."
"National: Financing","Finance","National","Define: Interest on a note, bond, etc. which has been earned but not yet paid. Since interest is usually paid in arrears, accrued interest does not necessarily indicate a delinquency in payment. See also: Accumulated Interest.","Mortgage Out","Accrued Interest","Mortgage Revenue Bonds","Mortgage Pool","B","Accrued Interest is defined as: Interest on a note, bond, etc. which has been earned but not yet paid. Since interest is usually paid in arrears, accrued interest does not necessarily indicate a delinquency in payment. See also: Accumulated Interest. Example: An example applying the concept of Accrued Interest in U.S. real estate transactions."
"National: Property Ownership","Property Law","National","Select the correct term for this definition: Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers).","Confession Of Judgment","Deed Restrictions","Conduit, Electrical","Conduit System","B","Deed Restrictions is defined as: Private clauses or covenants in a deed that limit the use, occupancy, or physical characteristics of a property (often established by developers). Example: A developer subdivision deed includes a restriction stating that no property owner can construct a detached workshop or guest house on their lot. A buyer who purchases a home in this subdivision is legally bound by this deed restriction."
"National: Property Ownership","Property Law","National","A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways). is the legal definition of:","Easement","Consanguinity","Conduit, Electrical","Confession Of Judgment","A","Easement is defined as: A non-possessory right to cross or use another person's land for a specific, limited purpose (e.g., utility access or shared driveways). Example: A homeowner's driveway crosses a neighbor's property to reach the main road. The homeowner holds an easement appurtenant over the neighbor's property, and this right remains in effect when either property is sold."
"National: Property Ownership","Property Law","National","What real estate term matches the following description: The constitutional right of a government to take private property for public use, provided just compensation is paid to the owner.","Conservation","Consanguinity","Confession Of Judgment","Eminent Domain","D","Eminent Domain is defined as: The constitutional right of a government to take private property for public use, provided just compensation is paid to the owner. Example: The city needs to widen a major arterial road. They exercise eminent domain to acquire a 10-foot strip of land from the front yards of adjacent homeowners, paying each owner the appraised market value of the land taken."
