chapter,section,sub-section,question,options,correct-answer,note
1,Rules of the Road,,What does it mean when a driver’s left arm and hand are extended downward?,"a: Turn left.,b: Turn right.,c: Stop.",c,A driver’s left arm extended downward signals an intent to stop. Adjust your driving accordingly.
1,Vehicle Licensing,,How close can you park to a fire hydrant?,"a: Within 20 feet.,b: Within 15 feet.,c: Within 10 feet.",b,Parking within 15 feet of a fire hydrant is prohibited.
1,Rules of the Road,,What do downward-facing triangular signs indicate?,"a: Construction zones.,b: School zones.,c: Yield to traffic or pedestrians.",c,Downward-facing triangular signs typically indicate that drivers must yield to traffic or pedestrians and proceed when safe.
1,Safe Driving Tips,,Why do larger vehicles have larger blind spots?,"a: They have no blind spots.,b: Their size creates larger blind spots.,c: They have smaller blind spots.",b,"Larger vehicles like trucks and SUVs have bigger blind spots, especially near their rear, invisible in mirrors."
1,Emergencies,,What should you do after a collision?,"a: Stand in traffic lanes to wait for help.,b: Stop at or near the collision site and move the vehicle off the road if possible.,c: Try to remove downed power lines.",b,"After a collision causing only property damage, move the vehicle off the road if possible. For other collisions, stop at or near the site."
1,Emergencies,,What should you do when approaching a stopped emergency vehicle with flashing lights?,"a: Slow down and change lanes if possible.,b: Drive to the right and stop.,c: Continue at the same speed.",a,"Change lanes if possible or slow down below the speed limit, giving the emergency vehicle space, and be prepared to stop."
1,Rules of the Road,,What does an orange-colored sign indicate?,"a: No passing zone.,b: Railroad crossing.,c: Construction or maintenance zone.",c,"Orange signs with black symbols indicate construction, maintenance, or emergency operations areas."
1,Emergencies,,What should you do when an emergency vehicle with sirens or lights approaches?,"a: Pull to the right and stop.,b: Pull to the right and slow down.,c: Pull to the right with flashers on.",a,Immediately pull to the right side of the road and stop when an emergency vehicle with sirens or lights approaches.
1,Rules of the Road,,Which vehicle must yield when two vehicles enter an intersection simultaneously from different highways?,"a: Either one.,b: The vehicle on the left.,c: The vehicle on the right.",b,The vehicle on the left must yield to the vehicle on the right at uncontrolled or sign-controlled intersections.
1,Rules of the Road,,Where are stop lines located?,"a: At intersections and crosswalks.,b: Next to churches and schools.,c: In curves and on hills.",a,"Stop lines, solid white lines, are painted at intersections and crosswalks to indicate where drivers must stop."
1,Rules of the Road,,What does a double solid yellow line in the center of a two-lane road mean?,"a: Lanes move in the same direction and passing is not allowed.,b: Lanes move in opposite directions and passing is permitted when safe.,c: Lanes move in opposite directions and passing is prohibited.",c,Double solid yellow lines indicate that traffic moves in opposite directions and passing is not allowed.
1,Rules of the Road,,What should you do when approaching a school bus with its stop arm extended?,"a: Stop and wait until the arm is withdrawn.,b: Honk before passing on the left.,c: Proceed if most kids have exited.",a,Stop completely when a school bus has its stop arm extended and wait until it is withdrawn before proceeding.
1,In Shape to Drive,,"How should a driver handle being worried, nervous, or angry?","a: Drive faster to stay alert.,b: Focus on driving before starting.,c: Drive as usual.",b,Emotions like worry or anger can distract from driving. Take time to calm down and focus before starting the engine.
1,Rules of the Road,,What do work zone signs indicate?,"a: It is summer.,b: Stop and back up.,c: Less than ideal driving conditions.",c,"Orange work zone signs indicate road work, requiring extra caution due to less than ideal driving conditions."
1,Safe Driving Tips,,Why is night driving more challenging?,"a: Cars overheat more at night.,b: Visibility is reduced.,c: Rain is more likely at night.",b,"Night driving is harder due to reduced visibility, requiring appropriate headlights and slower speeds to stop within visible distance."
1,Safe Driving Tips,,"When exiting a highway, when should you slow down?","a: On the main road before the exit lane.,b: At a toll booth.,c: In the exit lane.",c,Slow down only after moving into the exit lane when exiting a highway to maintain traffic flow.
1,Safe Driving Tips,,What causes highway hypnosis while driving?,"a: Taking frequent breaks during a trip.,b: Gazing at the road for extended periods.,c: Getting too much sleep before a journey.",b,"Highway hypnosis occurs when drivers fixate on the road ahead for long periods, failing to actively scan their surroundings. This can cause zoning out, increasing the risk of crashing into slowing or stopped traffic."
1,Vehicle Licensing,,How should you park uphill on a street with a curb?,"a: Keep front wheel straight.,b: Turn front wheels away from curb.,c: Turn front wheels toward curb.",b,Turn front wheels away from the curb to prevent the vehicle from rolling into traffic if brakes fail.
1,Safe Driving Tips,,How should you change lanes from the left to the right lane?,"a: Check mirrors signal look over left shoulder.,b: Check mirrors signal look over right shoulder.,c: Check mirrors signal look over both shoulders.",b,"Check mirrors, signal, and look over your right shoulder to check the blind spot before moving to the right lane."
1,Vehicle Licensing,,Can you park or stop on the shoulder of a freeway?,"a: With four-way flashers on.,b: If no part of the vehicle is on the road.,c: To look at a map.",c,Parking on a freeway shoulder is prohibited except in emergencies.
1,Safe Driving Tips,,What is checking your blind spot before changing lanes or merging?,"a: A bad driving habit.,b: Unnecessary.,c: A good driving habit.",c,"Checking your blind spot by looking over your shoulder before changing lanes, merging, or pulling from a curb is a critical safety habit."
1,Safe Driving Tips,,How does distracted driving affect a driver’s performance?,"a: Causes the driver to drive faster.,b: Is never dangerous.,c: Slows reaction to hazards.",c,"Distractions slow a driver’s reaction to traffic and hazards, making driving unsafe."
1,Rules of the Road,,"What color are regulatory signs, and must they be obeyed?","a: Green optional.,b: White mandatory.,c: Blue optional.",b,"Regulatory signs, usually white with black markings, must always be obeyed as they regulate traffic movement."
1,Safe Driving Tips,,What should you do when driving near a blind pedestrian with a white cane or guide dog?,"a: Slow down and be prepared to stop.,b: Take the right-of-way.,c: Proceed normally.",a,"Slow down, yield, and be prepared to stop for a blind pedestrian with a white cane or guide dog to ensure their safety."
1,Rules of the Road,,What should you do at a steady red traffic light?,"a: Drive through if no traffic.,b: Proceed with right-of-way.,c: Stop completely.",c,"A steady red light requires a complete stop; driving through is illegal and dangerous, though a right turn may be allowed if not prohibited."
1,Safe Driving Tips,,How should you drive on slippery roads?,"a: Drive the speed limit cautiously.,b: Drive faster.,c: Slow down.",c,"Slow down on slippery roads caused by rain, snow, or sleet to maintain safety, even below the posted speed limit."
1,Rules of the Road,,"At an uncontrolled intersection, you must:","a: Wait for other drivers to signal you to proceed.,b: Take the right-of-way cautiously.,c: Slow down and yield to vehicles already in the intersection or those that arrived first.",c,"At uncontrolled intersections, yield to vehicles already in the intersection or those that arrived first."
1,Emergencies,,What should you do when an emergency vehicle with flashing lights approaches?,"a: Try to reach your destination first.,b: Continue driving but stay out of the way.,c: Pull over and stop.",c,"Pull over to the right and stop for an emergency vehicle with flashing lights, or drive through an intersection first if already in it."
1,Emergencies,,What should you do when you hear a fire engine siren behind you?,"a: Slow down until it passes.,b: Drive with flashers on.,c: Pull over and stop.",c,Pull over to the side of the road and stop when you hear a fire engine siren to allow it to pass safely.
1,Rules of the Road,,What happens if a green arrow changes to a solid green light?,"a: You may still turn but must yield to oncoming traffic.,b: You must proceed straight and cannot turn.,c: You retain the right-of-way to turn.",a,"When a green arrow becomes a solid green light, you may turn in the arrow’s direction but must yield to pedestrians and oncoming traffic."
1,Rules of the Road,,A person using a white cane or guide dog is likely:,"a: Conducting a traffic study.,b: Blind.,c: Deaf.",b,"Drivers must yield to pedestrians using a white cane or guide dog, as they are likely blind."
