section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"If you reach an intersection where you wish to turn but are not in the correct lane, what should you do?","a:Turn from your current lane without signaling.,b:Proceed to the next intersection and make the turn from the proper lane.,c:Back up to position yourself for the turn.,d:Quickly cut across traffic to make the turn.",b,"If you are not in the correct lane to make a turn when you reach an intersection, continue straight and go to the next intersection. Then get into the proper lane and make your turn safely. Never make sudden lane changes, turn from the wrong lane, or back up in an intersection.",easy
8,Special Situations & Road Users,What can happen to a bicyclist who fails to obey traffic laws?,"a:They will always receive just a warning from law enforcement.,b:They cannot be stopped by police.,c:They are always correct because they are more vulnerable.,d:They can be ticketed.",d,"Bicyclists are generally required to follow the same traffic laws as motor vehicle drivers, such as stopping at red lights and stop signs and yielding when required. If they violate these laws, they can be stopped by police and issued citations just like drivers.",easy
4,Safe & Defensive Driving Practices,"When changing lanes to the left, how should you check your blind spot?","a:Use only the rearview mirror.,b:Glance over your left shoulder.,c:Look in your side mirror only.,d:Glance over your right shoulder.",b,"Before changing lanes to the left, check your mirrors and then briefly glance over your left shoulder to see the area your mirrors do not cover, known as the blind spot. This quick shoulder check helps you confirm there is no vehicle or motorcycle hidden beside you before you move into the next lane.",easy
5,Driving in Special Conditions,"When passing a large vehicle, what must drivers of small vehicles be prepared for?","a:Wind gusts that can affect vehicle stability.,b:Additional traffic signals.,c:Loud noises only.,d:Improved visibility.",a,"When passing large trucks or buses, be ready for strong wind gusts and air turbulence that can push or pull your vehicle sideways. Keep a firm grip on the steering wheel and allow extra space as you pass. Noise alone is not the concern; the main safety issue is how the air movement can affect your vehicle’s stability.",medium
2,Traffic Laws & Rules of the Road,"Unless otherwise posted, what is the usual speed limit on open county highways in West Virginia?","a:65 mph.,b:55 mph.,c:70 mph.,d:60 mph.",b,"In West Virginia, the general speed limit on open county highways is 55 mph unless signs show a different limit. Always obey posted signs, as local conditions may require lower or higher speeds than the general rule.",medium
8,Special Situations & Road Users,Emergency vehicles generally:,"a:Are not required to use sirens when responding to emergencies.,b:Must always be followed closely by other cars.,c:Cannot give instructions over loudspeakers.,d:Have the right-of-way when using sirens and/or flashing lights and you must yield to them.",d,"When an emergency vehicle is using its siren and/or flashing lights, you must yield the right‑of‑way. Safely move to the right side of the road and stop if possible, and do not block or follow closely behind the emergency vehicle.",easy
4,Safe & Defensive Driving Practices,"When approaching an accident scene, what should you do if you are not involved?","a:Keep your attention on your driving and pass without stopping unless emergency help hasn't arrived and you can safely assist.,b:Stop and get out to watch the scene.,c:Pile into the area to take photographs.,d:Slow down to look and impede traffic.",a,"If you are not involved in a crash, keep your attention on driving and pass carefully without stopping. Only stop if emergency help has not arrived and you can safely assist without creating more danger. Unnecessary stopping or slowing to look can cause additional crashes and traffic delays.",easy
5,Driving in Special Conditions,What does an orange-colored traffic sign typically indicate?,"a:The start of a no-passing zone.,b:Construction or maintenance ahead.,c:A hospital nearby.,d:A school zone ahead.",b,"Orange traffic signs are used for construction, maintenance, and work zones. They warn you to be prepared for workers, equipment, lane shifts, or reduced speeds, and to use extra caution when driving through these areas.",easy
3,"Signs, Signals & Road Markings",A solid red arrow in a traffic signal means:,"a:The arrow is decorative and may be ignored.,b:Drivers may turn immediately without yielding.,c:Traffic in that lane must stop and may not turn in the arrow's direction.,d:You can proceed if no other cars are present.",c,"A solid red arrow means you must stop and you are not allowed to turn in the direction the arrow points while it is red. You must wait for a green arrow or green light that permits the turn, unless a specific sign and state law allow a red‑arrow turn after stopping.",easy
1,Licensing & Permit Requirements,Which document must the driver present when stopped for a violation or equipment check?,"a:Proof of vehicle registration.,b:Driver's license.,c:Proof of insurance.",b,"When stopped, a driver must present their license; they should also have registration and proof of insurance available in the vehicle.",easy
