section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,What is the act of turning your head and checking your blind spot before changing lanes called?,"a:A good driving habit.,b:A bad driving habit.,c:An unnecessary practice.",a,"Checking blind spots by turning your head over your shoulder before changing lanes, pulling away from a curb, or merging is a good driving habit—you should not rely solely on mirrors.",easy
3,"Signs, Signals & Road Markings",An octagonal road sign is always which of the following?,"a:A stop sign.,b:A speed limit sign.,c:A hospital sign.",a,An eight-sided (octagonal) sign always means STOP.,easy
7,Vehicle Ownership & Responsibilities,Where are you not allowed to park?,"a:On a crosswalk or in a marked bicycle lane.,b:In a parking lot.,c:On private property with permission.,d:In a driveway if permitted by owner.",a,"Parking is unlawful in locations such as crosswalks or marked bicycle lanes; when parking on the street, be within 12 inches of the curb.",easy
8,Special Situations & Road Users,What lane width is a motorcycle entitled to use?,"a:The same full lane width as any other motor vehicle.,b:Only half the width of a regular lane.,c:The bicycle lane only.",a,"Motorcycles are entitled to occupy the full lane, just like other motor vehicles.",easy
2,Traffic Laws & Rules of the Road,"If the driver behind you signals they want to pass, what should you do?","a:Slow down to allow room in front of your vehicle for them to pass.,b:Maintain your current speed.,c:Speed up to prevent the pass.",a,"When another driver wants to pass, slow down slightly to create space ahead so they can complete the pass safely.",easy
5,Driving in Special Conditions,"To stay safe in poor weather, which of the following should you do?","a:Not drive on bald tires.,b:Increase your following distances.,c:Slow down.",b,"In poor weather, slow down, increase following distance, and ensure tires have adequate tread for proper control and stopping.",medium
2,Traffic Laws & Rules of the Road,"On a narrow road when meeting an oncoming vehicle, what must you do?","a:Allow the oncoming vehicle at least one-half of the main-traveled portion of the road.,b:Pull completely off the road and stop.,c:Demand the other vehicle pull over to make room.",a,"On narrow roads, allow the oncoming vehicle at least half the main traveled portion so both vehicles can pass safely.",medium
7,Vehicle Ownership & Responsibilities,"When approaching an accident scene, what should you generally do if you are not involved and emergency help has already arrived?","a:Keep your attention on driving and continue moving.,b:Stop in the roadway to look.,c:Pull over in the emergency lane and get out to watch.",a,Do not stop at an accident scene unless you are involved or assistance is required; keep moving and remain attentive to traffic and pedestrians.,medium
4,Safe & Defensive Driving Practices,"On major highways, what driving habits help prevent 'highway hypnosis' and improve safety?","a:Keep your eyes fixed on the horizon.,b:Stay alert, keep your eyes moving, and be prepared to react to hazards.,c:Turn off cruise control and close your eyes briefly to rest.",b,"To avoid highway hypnosis and stay safe, remain alert, scan the road frequently rather than staring at one spot, and be ready to respond to unexpected hazards.",easy
5,Driving in Special Conditions,Which of the following should you avoid when driving on slippery roads?,"a:Reduce your following distance.,b:Use cruise control to maintain a steady speed.,c:Always drive at the maximum speed limit.",b,"Avoid cruise control on slippery roads; reduce speed and increase following distance, and avoid sudden steering or braking.",medium
7,Vehicle Ownership & Responsibilities,What is the minimum license suspension period for driving without valid liability insurance in Alaska?,"a:90 days.,b:60 days.,c:Two years.",a,"If you are involved in an accident while uninsured or fail to provide proof of insurance within 15 days, your license will be suspended for a minimum of 90 days.",medium
2,Traffic Laws & Rules of the Road,"When parallel parking between two cars, what should you do first?","a:Pull up even with the car in front of your desired parking space.,b:Turn your wheels to the left.,c:Turn your wheels to the right.",a,"After checking traffic and signaling, stop parallel to the vehicle ahead of the space before beginning your turn to enter the spot.",medium
7,Vehicle Ownership & Responsibilities,Why is a leaky exhaust system dangerous?,"a:It can cause carbon monoxide poisoning in the passenger compartment.,b:It increases vehicle noise only.,c:It causes a loss of hearing.,d:It reduces engine power slightly but is otherwise harmless.",a,A leaking exhaust can allow carbon monoxide to enter the vehicle’s cabin; keep the exhaust system free of leaks and repair defects immediately.,medium
4,Safe & Defensive Driving Practices,What causes 'highway hypnosis'?,"a:Staring at the roadway for long periods of time.,b:Frequent rest stops.,c:Too much sleep the night before your trip.",a,"Highway hypnosis results from staring straight ahead for long periods without actively scanning, which can make you zone out and miss hazards.",medium
1,Licensing & Permit Requirements,"When stopped for a traffic violation or at an equipment check, what document must the driver produce?","a:Their driver license.,b:Proof of registration.,c:Proof of insurance.",a,"When stopped, the driver is responsible for providing their driver's license; they should also have registration and proof of insurance available.",easy
3,"Signs, Signals & Road Markings",What does a solid white line between lanes indicate?,"a:Traffic is moving in the same direction and lane changes are discouraged or not allowed.,b:Traffic is moving in opposite directions and passing is prohibited.,c:You may cross whenever you like.,d:It separates carpool lanes from regular lanes.",a,White lines separate lanes moving in the same direction; a solid white line indicates lane changes are discouraged or forbidden.,medium
7,Vehicle Ownership & Responsibilities,"If your car breaks down on a highway, what should you do to warn other drivers?","a:Use your four-way emergency flashers and move as far off the road as possible.,b:Sound your horn continuously while stopped on the roadway.,c:Leave your vehicle in the travel lane and stand behind it to warn drivers.",a,"If your vehicle is disabled, get it safely off the roadway if possible, then turn on hazard flashers and lift the hood to signal trouble.",medium
2,Traffic Laws & Rules of the Road,Which checks should you perform before changing lanes on a multilane road?,"a:Look in your mirrors before staring straight ahead.,b:Slow down to shrink your blind spot.,c:Honk your horn to alert drivers behind you.",a,"Before changing lanes, check mirrors and look over your shoulder to verify the blind spot in the direction you intend to move.",easy
8,Special Situations & Road Users,"As a pedestrian, what is a safe practice when approaching a street or crosswalk?","a:Always insist on the right-of-way over vehicles.,b:Never enter a street or crosswalk when vehicles are approaching closely.,c:Enter a crosswalk at any time because drivers must stop.",b,"Pedestrians have right-of-way in crosswalks, but you should not step into the street if vehicles are approaching too closely and cannot stop in time.",easy
