section-num,section-name,question,options,correct-answer,note,difficulty
7,Vehicle Ownership & Responsibilities,"When parking uphill where there is no curb, which way should you turn your front wheels?","a:Turn them toward the edge of the road (to the right),b:Turn them away from the edge of the road (to the left),c:Keep them straight",a,"When parking uphill on a road without a curb, turn the front wheels toward the edge so the vehicle will roll off the road if the brakes fail.",medium
2,Traffic Laws & Rules of the Road,Is it required to signal when changing lanes?,"a:False,b:True",b,Drivers must use the appropriate turn signal to indicate intent to change lanes so others can react safely.,easy
2,Traffic Laws & Rules of the Road,Does ''yield'' also require you to stop if you cannot merge safely into traffic?,"a:False,b:True",b,"If you must yield and cannot safely merge into the flow of traffic, you must stop and wait for a safe gap.",medium
8,Special Situations & Road Users,The statement 'Motorcyclists are entitled to the full width of a traffic lane and should be passed like other vehicles' is:,"a:False,b:True",b,"Motorcyclists may use the entire lane and drivers should pass them the same way as any other vehicle, allowing a full lane of space.",medium
4,Safe & Defensive Driving Practices,You are being tailgated. What should you do regarding following distance?,"a:Maintain the same distance as usual,b:Increase the space ahead of your vehicle,c:Decrease your following distance",b,"If another driver is tailgating you, create extra space in front of your vehicle and avoid sudden braking to reduce crash risk.",easy
2,Traffic Laws & Rules of the Road,"When passing another vehicle traveling in the same direction, you should:","a:Pass as safely and as quickly as possible,b:Drive at the same speed as the vehicle you are passing,c:Pass as slowly as possible",a,"When passing, do so quickly and safely and return to your lane only when you can see the other vehicle’s headlights in your rearview mirror.",easy
4,Safe & Defensive Driving Practices,What is the best action if you become tired while driving?,"a:Stop to rest or change drivers,b:Drink coffee and continue,c:Open a window and keep driving",a,The safest option when tired is to stop and rest or have another licensed driver take over.,easy
5,Driving in Special Conditions,"When weather or low visibility requires lights, which should you use?","a:Low beam headlights,b:High beam headlights,c:Parking lights",a,"Use low beam headlights in fog, snow, or rain because high beams can reflect and create glare, reducing visibility.",easy
7,Vehicle Ownership & Responsibilities,"If your vehicle has a two-part (lap and shoulder) seat belt, how should you wear it?","a:Use only the shoulder belt,b:Use both the lap and shoulder belts,c:Use only the lap belt",b,Using both lap and shoulder belts together provides the intended protection; using only one part greatly reduces safety.,easy
8,Special Situations & Road Users,"At a railroad crossing with no flashing lights or gates, what should you do?","a:Proceed at normal speed,b:Slow down, look and listen for trains,c:Speed up to clear the crossing quickly",b,"Where there are no active warning devices, slow, look both ways, and listen for approaching trains before crossing.",easy
4,Safe & Defensive Driving Practices,How do stopping distances and collision severity change as a vehicle's speed increases?,"a:Increase as a vehicle's speed increases.,b:Are not affected by a vehicle's speed.,c:Decrease as a vehicle's speed increases.",a,Higher speeds result in longer stopping distances and more severe crashes; increase following distance as speed rises.,medium
