section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving",How is drinking alcohol and driving classified?,"a:A serious traffic safety problem,b:Safe if you have only had a few drinks,c:A minor traffic safety problem",a,Driving while impaired by alcohol or drugs is a serious safety issue and greatly increases crash risk.,easy
2,Traffic Laws & Rules of the Road,When turning left you must yield the right-of-way to:,"a:Other drivers already in the intersection,b:Oncoming traffic and pedestrians,c:Pedestrians only if they are in a crosswalk",b,Left-turning drivers must yield to oncoming traffic and to pedestrians and bicyclists in the intersection.,medium
2,Traffic Laws & Rules of the Road,The space you need to cross traffic safely depends on:,"a:Road conditions, weather, and oncoming traffic,b:Whether there is a stop sign present,c:Whether you used your turn signal",a,"The gap needed to cross or turn depends on road surface, weather, and the speed and distance of oncoming traffic.",medium
4,Safe & Defensive Driving Practices,Which factors affect your vehicle's braking distance?,"a:Only the number of passengers.,b:Only the age of the vehicle.,c:Vehicle speed,d:Only the color of the vehicle.",c,"Braking distance depends on how fast you are traveling, the state of your brakes and tires, and road surface conditions such as wetness or ice.",medium
7,Vehicle Ownership & Responsibilities,"If you hit an unattended parked car and can't find the owner, what must you do?","a:Stay until the police arrive,b:Assume you have done enough and leave,c:Leave a written note with your name",c,"If you strike an unattended vehicle, leave a written notice with your name, address, and the circumstances of the accident if the owner cannot be located.",medium
3,"Signs, Signals & Road Markings",Lanes of traffic moving in the same direction are separated by which color lines?,"a:Yellow lines.,b:Green lines.,c:White lines.,d:Red lines.",c,White lines (solid or broken) are used to separate lanes moving in the same direction; yellow lines separate opposing traffic.,easy
7,Vehicle Ownership & Responsibilities,"When stopped for a traffic violation or equipment check, what must the driver produce?","a:Only their license.,b:Their driver license,c:Only proof of insurance.,d:Only proof of registration.",b,"Drivers must present their license, vehicle registration, and proof of insurance when requested by law enforcement.",medium
3,"Signs, Signals & Road Markings",When may you cross a dashed white line?,"a:At any time regardless of conditions,b:Only during daylight hours,c:When it is safe to change lanes",c,Broken white lines separate lanes moving in the same direction and may be crossed to change lanes when safe.,easy
3,"Signs, Signals & Road Markings","When you reach an intersection with a flashing red light, what must you do?","a:Stop only if other cars are approaching.,b:Slow down and proceed without stopping.,c:Come to a full stop,d:Drive through if the intersection seems clear.",c,"A flashing red light requires a full stop and yielding the right-of-way, just like a stop sign.",easy
8,Special Situations & Road Users,"When driving through an area where children are playing, you should expect them to:","a:Know when it is safe to cross,b:Always stop at the curb before crossing,c:Possibly run into the street without looking",c,Children can act unpredictably; reduce speed and be prepared to stop at any time.,easy
3,"Signs, Signals & Road Markings",Two solid white lines painted across a traffic lane indicate the boundaries of:,"a:A bicycle lane,b:A pedestrian crosswalk,c:A no-passing zone for vehicles only",b,Two solid white lines can mark a crosswalk; drivers must yield to pedestrians in marked crosswalks.,easy
6,"Alcohol, Drugs & Impaired Driving",Taking drugs along with alcohol generally:,"a:Is no more dangerous than alcohol alone,b:Lessens the effect of alcohol on driving ability,c:Increases the risk of causing a crash",c,"Combining alcohol with other drugs (prescription, over-the-counter, or illegal) increases impairment and crash risk.",medium
2,Traffic Laws & Rules of the Road,"If you miss your exit on an interstate, what is the correct action?","a:Continue to the next exit and safely return to your destination.,b:Stop and make a U-turn on the shoulder.,c:Back up on the exit ramp.,d:Signal and cross multiple lanes at once to get back.",a,Do not stop or back up on the highway; proceed to the next exit and safely turn around to return to the desired exit.,easy
8,Special Situations & Road Users,What lane entitlement do motorcycles have?,"a:They must use the bicycle lane,b:The same full lane width as other motor vehicles,c:They are limited to half a lane",b,Motorcycles are entitled to a full lane just like other vehicles and should be treated accordingly.,easy
4,Safe & Defensive Driving Practices,"If you experience a tire blowout while driving, you should:","a:Keep accelerating to reach the shoulder quickly,b:Do not immediately use your brakes; take your foot off the gas,c:Immediately stomp on the brakes",b,"Take your foot off the gas, avoid sudden braking, gradually slow, then steer to a safe place to stop.",medium
8,Special Situations & Road Users,How can you avoid being in a truck or bus driver's blind spot?,"a:Drive directly behind them very close.,b:Always pass on the right,c:Avoid driving alongside them and avoid tailgating; do not remain beside them for extended periods.,d:Flash your lights to get their attention.",c,Large vehicles have significant blind spots at the sides and rear; avoid lingering alongside and give them plenty of space when passing.,medium
