chapter,section,sub-section,question,options,correct-answer,note
8,Safe Driving Tips,,When should you signal before passing another vehicle?,"a: Just before changing lanes.,b: After changing lanes.,c: Early enough to inform other drivers.",c,Signal early before passing to alert other drivers of your intentions.
8,Safe Driving Tips,,Is texting while driving legal in Washington State?,"a: Legal but not recommended.,b: A safe activity.,c: Illegal.",c,"Texting while driving is illegal in Washington State, as it’s a dangerous distraction that can lead to a citation."
8,Rules of the Road,,What does an arrow painted on the pavement mean?,"a: Drivers in that lane must stop before following the arrow.,b: Drivers in that lane may follow the arrow if they choose.,c: Drivers in that lane must follow the arrow’s direction.",c,"A pavement arrow indicates that drivers in that lane must follow the arrow’s direction, subject to any overriding traffic signs or signals."
8,Emergencies,,What should you do if your brakes fail?,"a: Flash your lights.,b: Shift to neutral.,c: Pump the brake pedal to build pressure.",c,"Pump the brake pedal several times to build pressure if brakes fail, attempting to restore braking ability."
8,Safe Driving Tips,,How should you change lanes from the left to the right lane?,"a: Check mirrors signal look over left shoulder.,b: Check mirrors signal look over right shoulder.,c: Check mirrors signal look over both shoulders.",b,"Check mirrors, signal, and look over your right shoulder to check the blind spot before moving to the right lane."
8,Emergencies,,What should you do if a tire blows out while driving?,"a: Maintain speed and steer straight.,b: Brake hard immediately.,c: Gradually slow by easing off the gas and steer straight.",c,"If a tire blows out, hold the steering wheel tightly, ease off the gas, avoid braking until under control, then brake gently and pull off the road."
8,Rules of the Road,,On roads with more than two lanes traveling in the same direction. You should:,"a: Speed up and not allow anyone to pass you when traveling in the right lane.,b: Use the middle lane for slower speeds.,c: Use the left lane for passing only.",c,"On multi-lane roads, the left lane is designated for passing or faster-moving traffic, while the right and middle lanes are for slower or regular travel."
8,Rules of the Road,,What is the correct order of traffic lights from top to bottom?,"a: Green red yellow.,b: Red yellow green.,c: Red green yellow.",b,"Vertically arranged traffic signals always have red at the top, yellow in the middle, and green at the bottom. Horizontally, red is on the left and green on the right."
8,Safe Driving Tips,,How should you approach a railroad crossing with a crossbuck but no gates or lights?,"a: Cross with extreme caution when no train is coming.,b: Turn down radio to hear trains.,c: Wait for a flagger’s clearance.",a,"Approach with extreme caution, crossing only when no train is coming, and obey any flagger’s instructions."
8,Safe Driving Tips,,What should you do when approaching a railroad crossing warning sign?,"a: Drive faster than the train.,b: Be prepared to stop if a train is nearby.,c: Go around lowered gates.",b,"Obey railroad crossing signs, slow down, and be ready to stop if a train is approaching, never bypassing barriers."
8,Safe Driving Tips,,How should you drive at night?,"a: Use high beams when no oncoming vehicles.,b: Wear sunglasses to reduce glare.,c: Use high beams in rain.",a,"Use high beams at night when no oncoming vehicles are present, and ensure headlights are on from 30 minutes after sunset to 30 minutes before sunrise."
8,Safe Driving Tips,,What ensures safety when backing your vehicle?,"a: Honk before shifting to reverse.,b: Check behind before entering the vehicle.,c: Check rearview mirrors.",b,"Walk to the back of the vehicle before entering to check for children or objects, as mirrors alone are insufficient."
8,Rules of the Road,,What does coming to a complete stop and yielding at an intersection correspond to?,"a: A solid green light.,b: A flashing yellow light.,c: A flashing red light.",c,"A flashing red light requires a complete stop and yielding to cross traffic or pedestrians, like a stop sign."
8,Rules of the Road,,What does a red and white triangular sign at an intersection indicate?,"a: Always stop completely.,b: Slow down if an emergency vehicle is approaching.,c: Slow down and yield to traffic or pedestrians.",c,"A red and white triangular yield sign requires drivers to slow down and yield to vehicles or pedestrians in the intersection, stopping if necessary."
8,Rules of the Road,,What does a yellow and black diamond-shaped sign indicate?,"a: Directs you to nearby cities or towns.,b: Warns of road conditions or hazards.,c: Informs about traffic laws.",b,Yellow and black diamond-shaped signs warn of conditions or hazards on or near the road.
8,Emergencies,,What should you do if your vehicle’s accelerator sticks open?,"a: Blow your horn.,b: Slam on brakes.,c: Turn on four-way flashers.",c,"Turn off the ignition carefully, apply brakes, and move to a safe area; use four-way flashers to warn others."
8,Safe Driving Tips,,What should you do when approaching railroad tracks?,"a: Look listen slow down and be prepared to stop.,b: Speed up to cross before gates lower.,c: Drive around lowered gates.",a,"At railroad tracks, look, listen, slow down, and be ready to stop for trains or other vehicles on the rails."
