Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Bilateral Contract","Estate for Years","Exclusive Right-to-Sell","Escrow","A","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Exclusive Right-to-Sell","Acceptance","Estate for Years","Escrow","D","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Accord","Estate for Years","Acceptance","Exclusive Right-to-Sell","B","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Accord And Satisfaction","Acceptance","Accord","Exclusive Right-to-Sell","D","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Acceptance","Accord And Satisfaction","Accord","Accounts Payable","A","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accord","Accounts Payable","Addendum","Accord And Satisfaction","A","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Addendum","Accounts Payable","Accord And Satisfaction","Additional Deposit","C","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Accounts Payable","Addendum","Adjusted Mortgage","Additional Deposit","A","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Adjusted Mortgage","Additional Deposit","Addendum","Administrator's Deed","C","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Administrator's Deed","Additional Deposit","Adjusted Mortgage","Adult","B","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Parcel Map","Ad Valorem","Parol","Order Confirming Sale","B","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"National: Real Estate Practice","State Rules","National","A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. matches which of the following terms?","Parol","Parcel Map","Per Capita","Asbestos","D","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
