chapter,section,sub-section,question,options,correct-answer,note
5,,,What does a regulatory sign containing a red circle with a slash through the middle indicates?,"a:Drivers should come to a complete stop.,b:An action is forbidden.,c:Some drivers should yield to other drivers.",b,"A red circle with a slash indicates a prohibited action, such as 'No Left Turn' or 'No U-Turn.'"
5,,,"If you are parked parallel to the curb, you may get out of the car on the traffic side:","a:During the daytime when other drivers can see you,b:When the traffic light at the closest intersection turns red,c:When you won't interfere with oncoming vehicles,d:If you use your four-way flasher first",c,You may exit on the traffic side only when it’s safe and won’t interfere with oncoming vehicles.
5,,,You have the right-of-way when:,"a:Entering a traffic circle.,b:Backing out of a driveway.,c:Leaving a parking space.,d:none",d,You must yield in these situations to other traffic.
5,,,"When a school bus is stopped to load/unload children, you must:","a:Stop until all children are off the bus.,b:Stop until the red lights stop flashing.,c:Pass slowly in another lane.",b,"Stop until the lights stop flashing and the stop arm is withdrawn, ensuring child safety."
5,,,The only way to lower your BAC is:,"a:Drinking coffee.,b:Exercising.,c:Waiting for time to pass.",c,Only time allows the body to metabolize and eliminate alcohol.
5,,,"When wanting to turn left at a green light with heavy oncoming traffic, you should:","a:Use the next intersection.,b:Wait at the crosswalk.,c:Wait in the intersection’s center.",a,Use the next intersection to avoid blocking traffic or risking a crash.
5,,,"Assuming that the street is level, what should you do after you have finished parallel parking in a space between two other cars?","a:Leave your front wheels turned toward the curb,b:Make sure your car almost touches the car behind you,c:Move as far forward in the space as possible,d:Straighten your front wheels and leave room between cars",d,Straightening wheels and leaving space ensures easier exit and avoids contact with other cars.
5,,,A 'no parking' sign at a certain location means:,"a:You may never stop your vehicle there,b:You may stop temporarily to load or unload passengers,c:You may park there if the driver remains in the vehicle,d:You may leave your vehicle unattended for less than 5 minutes",b,A 'no parking' sign allows temporary stops for loading or unloading passengers.
5,,,"Generally, pass vehicles traveling in the same direction:","a:On their right.,b:On their left.,c:Only with their signal.",b,Pass on the left in the passing lane when safe and legal to do so.
5,,,What should you do before leaving a parking space that is parallel to the curb?,"a:Use your horn.,b:Turn on your four-way flashers.,c:Look for traffic by turning your head.",c,"Before leaving a parallel parking space, check for traffic by turning your head to ensure it’s safe."
5,,,You may cross a single solid white line on the highway:,"a:Anytime you choose.,b:If traffic conditions require it.,c:Only to turn into a driveway.",b,Cross a solid white line only when necessary due to traffic conditions.
5,,,Which factors often contribute to traffic crashes?,"a:Speeding or driving too fast for conditions.,b:Getting enough rest.,c:Staying focused on driving.",a,Excessive speed or inappropriate speed for conditions causes many crashes.
5,,,Minimum speed signs aim to:,"a:Maintain smooth traffic flow.,b:Show local road conditions.,c:Test traffic signal needs.",a,Minimum speed limits prevent slow driving that disrupts traffic flow.
5,,,What does double solid yellow lines painted down the middle of the road mean?,"a:Pedestrian crossing ahead.,b:Railroad crossing ahead.,c:Passing is not permitted from either direction.",c,Double solid yellow lines prohibit passing from either direction for safety.
