section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"If you drive much slower than the posted speed and impede traffic on a two-lane road, what should you do?","a:Continue driving slowly because it's safest.,b:Always keep the right-of-way.,c:Pull off the road and allow following vehicles to pass if traffic is backing up.",c,Driving significantly below the flow of traffic can be hazardous. On a two-lane road you may be required to pull off and let faster traffic pass.,medium
5,Driving in Special Conditions,"When driving in fog, what should you do about speed and headlights?","a:Drive cautiously and reduce your speed.,b:Use your high beam headlights.,c:Keep your normal speed because visibility is unchanged.",a,"Fog reduces visibility. Slow down, drive cautiously, and use low beams rather than high beams to improve visibility.",medium
3,"Signs, Signals & Road Markings",What does a broken yellow line next to a solid yellow line indicate?,"a:Passing is permitted from the lane next to the broken line.,b:Passing is permitted from the lane next to the solid line.,c:Passing on the left is permitted from either direction.",a,"If the broken line is next to your lane, you may pass when safe; if the solid line is next to your lane, passing is prohibited.",easy
3,"Signs, Signals & Road Markings",What does a flashing yellow traffic light at an intersection mean?,"a:Slow down and proceed with caution.,b:Stop and wait for a green light.,c:Continue through normally without reducing speed.",a,"A flashing yellow light warns drivers to slow down, watch for traffic, and proceed carefully.",easy
3,"Signs, Signals & Road Markings",What does an “End school zone” sign indicate?,"a:The start of a reduced speed school zone.,b:The end of a reduced speed school zone.,c:A 20 mph speed limit begins here.",b,An 'End school zone' sign indicates the end of the reduced speed school zone; follow posted limits during the times indicated.,easy
2,Traffic Laws & Rules of the Road,"If you miss your exit on a freeway, what is the correct action?","a:Go to the next exit and re-route.,b:Make a U-turn through the median.,c:Pull onto the shoulder and back up to the exit.",a,"If you miss an exit, continue to the next exit; do not stop, back up, or cross the median on a freeway.",easy
7,Vehicle Ownership & Responsibilities,"When traveling with small children in a vehicle, what is the safest practice?","a:Hold them securely by hand.,b:Ensure they are properly restrained in child seats or seat belts.,c:Allow them to stand in the back if supervised.",b,Children must be properly restrained in child safety seats or seat belts; holding a child in your arms is unsafe.,easy
2,Traffic Laws & Rules of the Road,What should you do before passing another vehicle?,"a:Check mirrors and blind spots, signal, and re-enter the lane when safe.,b:Honk three times before passing.,c:Return to your lane within 10 feet of the passed vehicle.",a,"Before passing, check mirrors and blind spots, use your turn signal, and only return to the lane when you can see the passed vehicle's front in your rearview mirror.",easy
4,Safe & Defensive Driving Practices,What is a safe technique for negotiating a curve?,"a:Increase speed entering the curve and slow on exit.,b:Slow down before entering and gradually accelerate as you exit.,c:Maintain the same speed throughout the entire curve.",b,Slow down before a curve to maintain control; accelerate gradually as you exit the curve.,medium
8,Special Situations & Road Users,"Two solid white lines across a lane mark the boundaries of what, and how should you respond to pedestrians there?","a:They mark a crosswalk; you must yield to pedestrians in the crosswalk.,b:They mark a bicycle lane; vehicles have the right-of-way.,c:They mark a no-passing zone for vehicles only.",a,Two solid white lines often indicate a crosswalk; pedestrians in a crosswalk must be given the right-of-way.,easy
5,Driving in Special Conditions,"At night, which road user is hardest to see?","a:Road signs.,b:Pedestrians.,c:Other motorists.",b,Pedestrians are the hardest to see at night compared with signs or other vehicles; use extra caution and headlights.,easy
7,Vehicle Ownership & Responsibilities,"If a police officer stops you for a violation or equipment check, which document are you required to present?","a:Proof of registration.,b:Your driver license.,c:Proof of insurance.",b,"When stopped, drivers must be able to produce their driver license, vehicle registration, and proof of insurance upon request.",easy
4,Safe & Defensive Driving Practices,When is it appropriate to use your horn?,"a:When you have lost control and need to warn others.,b:When overtaking another car.,c:To get a slow driver to move out of the lane.",a,Use your horn to warn others of immediate danger (for example if you lose control); avoid unnecessary or aggressive horn use.,easy
3,"Signs, Signals & Road Markings",Regulatory signs are normally which color and must be obeyed?,"a:White,b:Blue,c:Green",a,Regulatory signs are typically white with black or red markings and indicate traffic laws or regulations that drivers are required to follow.,easy
4,Safe & Defensive Driving Practices,"If you notice other drivers acting or reacting in anger, what should you do?","a:Don’t make eye contact with them.,b:React with hand gestures.,c:Distance yourself from the situation and avoid provoking them.",c,"Avoid engagement: slow down, move over, avoid eye contact and gestures, and distance yourself to reduce the chance of escalation.",easy
3,"Signs, Signals & Road Markings","When approaching railroad crossing signals that are flashing, what must you do?","a:Slow down and look for a train.,b:Stop and look for a train, staying at least 15 feet from the rail if signals are warning.,c:Look, then speed up quickly to beat the train.",b,"If crossing signals are flashing or gates are down, stop no closer than 15 feet from the nearest rail and wait until it's safe to cross.",medium
