section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,What should you do before changing lanes on a multilane highway?,"a:Check rearview and side mirrors and look over your shoulder to check your blind spot.,b:Turn on your headlights.,c:Sound your horn to alert others.",a,"Before changing lanes, check mirrors, signal, and look over your shoulder in the direction you plan to move to ensure the lane is clear.",easy
1,Traffic Laws & Rules of the Road,"If a police officer is directing traffic at an intersection where signals are working, whom should you obey?","a:The traffic signals.,b:The officer directing traffic.,c:The posted speed limit signs only.",b,Directions from a traffic officer override traffic signals and signs; always obey an officer's directions.,easy
7,Special Situations & Road Users,A pedestrian starts crossing in front of you. What is the correct action?,"a:Flash your lights to warn them.,b:Slow down and be prepared to stop.,c:Speed up and pass in front of the pedestrian.",b,"Slow down and be prepared to stop for pedestrians, especially in crosswalks and areas where children may be present. Always yield to pedestrians in crosswalks.",easy
2,"Signs, Signals & Road Markings",What do pennant-shaped traffic signs normally indicate?,"a:Speed limits.,b:No passing zones.,c:School zones.",b,Pennant-shaped signs are used to mark no passing zones; the sign's shape helps drivers recognize the restriction even before reading the text.,easy
2,"Signs, Signals & Road Markings",What color are guide signs that give directional or mileage information?,"a:Yellow,b:Red,c:Green",c,Guide signs (destination signs) have a green background and provide directional and mileage information.,easy
1,Traffic Laws & Rules of the Road,"After stopping at a stop sign, which scanning sequence is recommended before proceeding?","a:Look left first, then right, then left again.,b:Move when the vehicle ahead of you moves.,c:Check your rearview mirror for cars tailgating.",a,"When stopped, look left first (vehicles from the left are closer), then right, then left again to be sure it is safe to proceed.",medium
6,Vehicle Ownership & Responsibilities,Drivers are prohibited from parking in which of these locations?,"a:On a bridge,b:In a tunnel,c:In an underpass,d:All of the above",d,"Parking is not allowed on bridges, overpasses, in underpasses, or tunnels because of safety and obstruction concerns.",easy
4,Driving in Special Conditions,"When driving in bad weather, how should you adjust your following distance?","a:Increase your following distance.,b:Decrease your following distance.,c:Keep the same following distance as in clear conditions.",a,In adverse weather increase your following distance to allow more time to react and stop safely.,easy
1,Traffic Laws & Rules of the Road,"Signaling before you turn, change lanes, or pull away from a curb is:","a:A good driving habit and required by law.,b:Necessary only if other traffic is present.,c:Necessary only during the maneuver, not before.",a,You must signal at least 100 feet before turning or moving laterally; signaling communicates your intentions to other drivers.,easy
4,Driving in Special Conditions,What lighting should you use when driving in rain?,"a:Low beam headlights.,b:High beam headlights.,c:Parking lights only.",a,"In rain, use low-beam headlights to improve visibility without creating glare from reflections.",easy
6,Vehicle Ownership & Responsibilities,"If your vehicle breaks down on a highway, what should you do first to warn other drivers?","a:Sit in your car and wait for help.,b:Use your four-way flashers and move off the road as far as possible.,c:Sound your horn at passing motorists.",b,"Signal before leaving the roadway, get as far off the road as possible, turn on hazard flashers, and lift the hood to indicate a disabled vehicle.",medium
1,Traffic Laws & Rules of the Road,What is your blind spot?,"a:The area you cannot see without moving your head.,b:Directly behind your vehicle.,c:The area you see in your rearview mirror.",a,Blind spots are areas around your vehicle not visible in mirrors; check by turning your head to look over your shoulder.,easy
2,"Signs, Signals & Road Markings",What shape is a stop sign?,"a:A rectangle.,b:An octagon (eight sides).,c:A circle.",b,Stop signs are uniquely octagonal; come to a complete stop when you encounter one.,easy
2,"Signs, Signals & Road Markings",Diagonal stripes sloping downward to the left on a barricade or panel indicate what?,"a:The driver should bear to the right.,b:The driver should stop.,c:The driver should bear to the left.",c,Diagonal stripes on barricades guide drivers in the correct direction: stripes sloping downward and to the left indicate drivers should bear left.,medium
1,Traffic Laws & Rules of the Road,"Approaching an intersection with a flashing yellow light, how should you proceed?","a:Stop and wait for the light to change.,b:Drive carefully through the intersection after slowing.,c:Make a U-turn because the intersection is closed.",b,A flashing yellow light means proceed with caution; slow down and be prepared to yield if necessary.,easy
1,Traffic Laws & Rules of the Road,What does a red arrow traffic signal require a driver to do?,"a:Stop and remain stopped until a green light or green arrow appears.,b:Slow down and proceed with caution.,c:Stop, then proceed when clear without waiting for a green.",a,A red arrow requires drivers to stop and remain stopped until the signal changes to a green light or green arrow.,easy
3,Safe & Defensive Driving Practices,Which of the following helps prevent crashes?,"a:Ignore other drivers and stay in your lane.,b:Communicate with other road users (signal, make eye contact when appropriate).,c:Drive only on side streets to avoid traffic.",b,"Communicate your intentions (signals, brake lights, horn when needed) so other road users can anticipate your actions.",easy
6,Vehicle Ownership & Responsibilities,What must you do if you leave your vehicle unattended?,"a:Turn off the engine only.,b:Lock the ignition and remove the key and set the parking brake.,c:Set the parking brake only.",b,"Stop the engine, lock the ignition, remove the key, and set the parking brake when leaving your vehicle unattended.",easy
1,Traffic Laws & Rules of the Road,What does a flashing yellow traffic signal mean?,"a:Slow down and proceed with caution.,b:Stop and wait for a green light.,c:Speed up to clear the intersection quickly.",a,A flashing yellow light warns you to slow down and proceed through the intersection with caution.,easy
7,Special Situations & Road Users,"If you have a green light but pedestrians are crossing against the signal, what should you do?","a:Speed up and pass in front of the pedestrians.,b:Honk your horn to warn them.,c:Stop to allow the pedestrians to cross safely.",c,Yield to pedestrians in the roadway even if you have a green light; stop and let them cross safely.,medium
1,Traffic Laws & Rules of the Road,"When you see an emergency vehicle with flashing lights, you must pull over to the road edge and allow it to pass under what circumstance?","a:Only if it is approaching you from the opposite direction.,b:Only if it is following you.,c:Regardless of your direction (pull to the right and stop).",c,"You must pull over to the right edge of the roadway and stop for emergency vehicles with flashing lights, whether they are approaching from behind or the opposite direction.",easy
4,Driving in Special Conditions,"When an oncoming vehicle uses high beams and blinds you, what should you do?","a:Use your bright lights until the other vehicle dims theirs.,b:Flash your lights on and off to warn them.,c:Look down and toward the right edge of the road until the vehicle passes.",c,Look slightly to the right of the lane and toward the road edge to avoid being blinded by high beams until the vehicle passes.,medium
7,Special Situations & Road Users,"When an emergency vehicle with flashing lights is traveling in your area, how must you respond?","a:Speed up to avoid the emergency vehicle.,b:Make every effort to give the emergency vehicle a clear path of travel.,c:Stop your vehicle immediately and prevent them from passing.",b,"You must give emergency vehicles using lights and sirens a clear path of travel, pulling to the side of the road if it is safe to do so.",easy
3,Safe & Defensive Driving Practices,Which combination of safety devices provides the best protection in a crash?,"a:Only an airbag.,b:Only a lap and shoulder belt.,c:Both a lap/shoulder belt and an airbag.",c,Seat belts greatly increase survival chances. Airbags provide additional protection when used together with lap/shoulder belts.,easy
1,Traffic Laws & Rules of the Road,What should you do before passing another vehicle?,"a:Check your mirrors and blind spots.,b:Honk your horn at least three times.,c:Re-enter your lane within 10 feet of the passed vehicle.",a,"Before you pass, check mirrors and blind spots, signal your intention, and return to the lane only when it is safe and you can see the passed vehicle in your rearview mirror.",easy
1,Traffic Laws & Rules of the Road,"If your vehicle's turn signals fail, what should you use to indicate a turn?","a:Hand signals,b:Your horn,c:Headlights,d:Hazard lights",a,"If turn signals are not working, use standard hand signals to show your intended direction.",easy
2,"Signs, Signals & Road Markings",Signs indicating public recreation areas are typically what color?,"a:Green,b:Orange,c:Brown,d:Red",c,"Brown signs are used to indicate areas of public recreation, cultural, and historical significance.",easy
3,Safe & Defensive Driving Practices,"If your vehicle's right wheels run off the pavement, what is the safest recovery method?","a:Immediately steer sharply back onto the pavement and accelerate.,b:Take your foot off the gas, slow down, steer parallel to the roadway, then gently ease back on when safe.,c:Stop quickly and get out to check damage.",b,"Do not overcorrect; ease off the accelerator, slow down, keep the wheel straight, and gently steer back onto the road when it is safe.",difficult
7,Special Situations & Road Users,What does a reflective orange triangle displayed on the rear of a vehicle mean?,"a:The vehicle often travels at 25 mph or slower.,b:It is an ambulance.,c:It is a school bus.",a,"A reflective orange triangle indicates the vehicle normally travels at 25 mph or less, such as farm equipment or slow-moving vehicles.",medium
3,Safe & Defensive Driving Practices,Which factor most affects your ability to stop quickly?,"a:Time of day.,b:The condition of the road (wet, icy, or dry).,c:Signal lights.",b,"Road surface conditions (wet, icy, or damaged pavement) greatly affect stopping distance; reduce speed accordingly in poor conditions.",medium
5,"Alcohol, Drugs & Impaired Driving",Drinking coffee after consuming alcohol will do which of the following?,"a:Has no effect on blood alcohol concentration.,b:Cancels the effect of the alcohol.,c:Decreases blood alcohol concentration.",a,Coffee may make you feel more awake but it does not reduce your blood alcohol concentration (BAC) or reverse impairment.,easy
2,"Signs, Signals & Road Markings",Two solid white lines across a lane indicate what regarding pedestrians?,"a:Vehicles have right-of-way over pedestrians,b:Pedestrians in crosswalks must be given the right-of-way,c:No one has right-of-way in crosswalks,d:Only bicycles may cross there",b,Solid white crosswalk lines mark where pedestrians cross and drivers must yield to pedestrians in crosswalks.,easy
3,Safe & Defensive Driving Practices,"When using a roundabout, drivers should do which of the following?","a:Yield to traffic already in the roundabout,b:Stop within the roundabout,c:Drive clockwise around the central island,d:Enter without signaling",a,Roundabouts flow counterclockwise; entering motorists must yield to traffic already circulating and follow the circle to the right.,easy
4,Driving in Special Conditions,"At dusk or during heavy overcast, which vehicle lights should you use?","a:Parking lights.,b:Headlights (low beam).,c:Four-way flashers.",b,"At dusk or in poor light you must turn on your headlights; use low beams within 1,000 feet of oncoming traffic and within 500 feet of a vehicle you are following.",easy
7,Special Situations & Road Users,What can happen to a bicyclist who fails to obey traffic laws?,"a:They are exempt from traffic laws.,b:They may be ticketed.,c:They will always receive a warning first.",b,Bicyclists have the same rights and duties as motor vehicle drivers; those who disobey traffic laws can be cited.,easy
1,Traffic Laws & Rules of the Road,At a yield sign you should:,"a:Always stop before entering the intersection.,b:Yield the right-of-way to traffic in the road you are entering.,c:Yield only to traffic on the right.",b,Slow down and yield to traffic and pedestrians in the roadway you are entering; stop if necessary.,easy
7,Special Situations & Road Users,What do crossbuck signs indicate?,"a:School zones.,b:Railroad crossings.,c:No passing zones.",b,Crossbuck signs identify railroad crossings and serve as a yield sign to trains; always look and listen for trains before crossing.,easy
1,Traffic Laws & Rules of the Road,"If two drivers arrive at the same time to an uncontrolled intersection, who has the right-of-way?","a:The driver on the right has the right-of-way.,b:The driver on the left has the right-of-way.,c:One driver may continue driving without stopping.",a,"When two vehicles reach an open intersection at the same time, yield to the vehicle on your right; proceed only when it is safe.",easy
7,Special Situations & Road Users,"If a transit vehicle is signaling to re-enter traffic after a stop, what must you do?","a:Honking to alert the driver.,b:Yield so it can safely re-enter.,c:Speed up to pass before it returns to traffic.",b,Yield to buses or transit vehicles re-entering traffic after stopping to load or unload passengers; change lanes or slow to allow them safe entry.,easy
3,Safe & Defensive Driving Practices,"When making a turn, you should do what with your speed?","a:Maintain your speed,b:Increase your speed,c:Reduce your speed,d:Vary your speed",c,"When turning, slow to a speed that lets you control the vehicle, stay in your lane, and respond to unexpected situations.",easy
1,Traffic Laws & Rules of the Road,A red flashing traffic signal is equivalent to which traffic control device?,"a:A solid red light.,b:A stop sign.,c:A yield sign.",b,A red flashing signal has the same meaning as a stop sign: come to a full stop and proceed only when safe.,easy
1,Traffic Laws & Rules of the Road,"Compared to smaller vehicles, larger vehicles generally have:","a:Smaller blind spots.,b:No blind spots.,c:Larger blind spots.",c,"Large trucks and buses have larger blind spots (areas not visible in mirrors), so give them extra space.",easy
1,Traffic Laws & Rules of the Road,"To pass a slower vehicle on a two-lane, two-way road, what is required?","a:Never cross the centerline.,b:Use the lane belonging to oncoming traffic when it is safe and legal to do so.,c:Use the shoulder at any time.",b,"Passing on a two-lane, two-way road requires using the oncoming traffic lane; pass only when it is safe and legal to do so.",medium
3,Safe & Defensive Driving Practices,What helps you avoid needing to make emergency stops in traffic?,"a:Honk your horn to make others aware of you.,b:Look ahead and maintain a safe following distance.,c:Drive only in the right lane.",b,Scanning ahead and keeping a safe following distance gives you time to react to hazards and reduces the need for sudden stops.,easy
1,Traffic Laws & Rules of the Road,What do speed limit signs indicate?,"a:The maximum or minimum speed legally allowed,b:Potential driving speeds for the area,c:The speed to use in heavy traffic,d:Recommended speed under adverse conditions",a,Speed limit signs show the maximum or minimum legal speed under ideal conditions; you must reduce speed when conditions require it.,easy
3,Safe & Defensive Driving Practices,What is the single most effective action to reduce your chance of death or serious injury in a crash?,"a:Limit your driving to weekdays.,b:Stay in the right lane on multilane highways.,c:Wear your seat belt.",c,Wearing your seat belt is the single most effective way to reduce your risk of death or serious injury in a crash.,easy
7,Special Situations & Road Users,"If you are following a school bus or a tank truck carrying flammable liquids, what should you be prepared to do?","a:Decrease your following distance.,b:Pass them on the right.,c:Be prepared to stop at all railroad crossings.",c,School buses and tank trucks carrying flammable liquids are required to stop at railroad tracks; be ready to stop if you are following one of these vehicles.,medium
1,Traffic Laws & Rules of the Road,"When turning left from a multilane, one-way street onto another one-way street, where should you start your turn?","a:The right lane.,b:The left lane.,c:The middle of the intersection.",b,"To turn left from a one-way street, start from the left lane and turn into the leftmost lane of the street you enter.",easy
3,Safe & Defensive Driving Practices,In which situation is it appropriate to sound your horn?,"a:When you have lost control of your car to alert others.,b:When passing another car on a multilane highway.,c:When you are approaching a green light.",a,"Use your horn to warn others of immediate danger, such as if you lose control; avoid using it for everyday communication.",medium
1,Traffic Laws & Rules of the Road,"If a crossing guard is directing traffic in a school zone, you must:","a:Follow the crossing guard's directions,b:Follow what other drivers are doing instead of the guard,c:Assume the guard has no authority,d:Proceed only on green signal lights",a,You must obey the directions of a crossing guard and drive cautiously in school zones as directed.,easy
1,Traffic Laws & Rules of the Road,"At an uncontrolled intersection where you and another vehicle arrive at the same time and the other vehicle is on your right, what should you do?","a:Drive into the intersection and make the other vehicle stop.,b:Speed up and get through the intersection.,c:Slow down and yield to the vehicle on your right.",c,"When two vehicles arrive at an uncontrolled intersection at the same time, yield to the vehicle on your right.",easy
3,Safe & Defensive Driving Practices,The effect of being very tired on your driving ability is similar to which substance's effect?,"a:Anger.,b:Amphetamines.,c:Alcohol.",c,Fatigue impairs driving in ways similar to alcohol—alertness and reaction time decline significantly after long periods awake.,difficult
3,Safe & Defensive Driving Practices,When preparing to change lanes you should:,"a:Check your side view mirror,b:Check your rearview mirror,c:Quickly glance over your shoulder to check for vehicles,d:Do all of the above",d,"Before changing lanes, check side and rearview mirrors and quickly glance over your shoulder to check blind spots.",easy
4,Driving in Special Conditions,"When driving in fog, which of the following should you do?","a:Use high beam headlights,b:Drive cautiously and reduce your speed,c:Use parking lights only,d:Speed up to clear the fog quickly",b,"In fog you should slow down, drive with caution, and use low beam headlights rather than high beams.",medium
1,Traffic Laws & Rules of the Road,"After passing another vehicle on a two-lane road with traffic in opposite directions, when should you return to your lane?","a:Return to the driving lane when there's enough room between you and the vehicle you passed.,b:Remain in the left lane if you intend to turn left.,c:Return to the right side of the roadway immediately.",a,"After passing, return to your lane only when you can see the passed vehicle in your rearview mirror and there is sufficient space to do so safely.",easy
2,"Signs, Signals & Road Markings",What does a double solid yellow centerline on a two-lane road indicate?,"a:Lanes are moving in the same direction and drivers are not permitted to pass.,b:Lanes are moving in opposite directions and drivers are permitted to pass when it is safe to do so.,c:Lanes are moving in opposite directions and drivers are not permitted to pass.",c,Yellow lines separate traffic moving in opposite directions. Solid lines indicate that passing is not allowed.,easy
3,Safe & Defensive Driving Practices,How can you prevent drowsiness on long trips?,"a:Stop at regular intervals to rest and stretch.,b:Turn on your car radio loud.,c:Slow down and drive more slowly than traffic.",a,Schedule regular rest stops to rest and stretch; this helps maintain alertness on long trips.,easy
1,Traffic Laws & Rules of the Road,"From a center lane reserved for turning, which maneuver(s) are permitted?","a:You may make left turns from either direction.,b:You may pass slow-moving traffic using the lane.,c:You may drive straight through the intersection from the center lane.",a,A center lane marked for turns is used for left turns from either direction; it is not for passing or through traffic.,medium
3,Safe & Defensive Driving Practices,Which is a safe method to drive through a curve?,"a:Speed up as you enter and slow as you exit,b:Slow down before entering the curve and gradually accelerate on exit,c:Maintain constant speed throughout the curve,d:Brake sharply in the middle of the curve",b,Slow before entering a curve and increase speed gradually as you exit to maintain control.,medium
2,"Signs, Signals & Road Markings",What does a solid white line down the center of a two-lane road indicate?,"a:Lanes are moving in opposite directions and drivers are not permitted to pass.,b:Lanes are moving in opposite directions and drivers may pass when safe.,c:Lanes are moving in the same direction and drivers are not permitted to pass.",c,White lines separate lanes moving in the same direction; a solid white line discourages or prohibits lane changes.,medium
