section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving","If you are driving and are 21 years old or older, you are considered to be driving under the influence when your blood alcohol concentration (BAC) is a minimum of:","a:0.02 percent.,b:0.04 percent.,c:0.06 percent.,d:0.08 percent.",d,"A driver with a blood alcohol concentration (BAC) of 0.08 percent or higher is driving under the influence. Conviction of driving under the influence may result in a fine, imprisonment, or both.",medium
8,Special Situations & Road Users,What is the appropriate action to take when approaching a railroad crossing that does not have signals to direct traffic?,"a:Always bring the car to a complete stop.,b:Slow down and be prepared to stop.,c:All railroad crossings have signals so you will never encounter this situation.",b,"When approaching an unmarked railroad crossing, slow down and be prepared to stop. Before you cross, be sure that no trains are approaching from either direction on any track. If you see or hear a train coming, stop at a safe distance from the nearest track and wait to proceed until after the train passes.",easy
3,"Signs, Signals & Pavement Markings",What are the colors of signs that tell you the distance to the next exit on a highway?,"a:Yellow with black letters,b:Black with white letters,c:Red with white letters,d:Green with white letters",d,Signs providing information about destinations are green with white letters or symbols.,medium
3,"Signs, Signals & Pavement Markings",You may cross double solid yellow lines:,"a:To pass a slow-moving truck.,b:To turn into a driveway.,c:To pass another car.",b,"Double solid lines indicate that you may not pass or change lanes. You cannot cross the lines unless it is to turn left to enter or exit a highway, to turn into or from a driveway, or to make a U-turn (where permitted).",medium
4,Safe & Defensive Driving Practices,"When driving to an unfamiliar area, you:","a:Should depend on road signs to find your way.,b:Should plan your trip in advance.,c:Only have to know generally where your destination is.",b,"When driving to an unfamiliar area, plan your trip in advance. Don’t start with only a hazy idea of where you are going. If your destination is in an unfamiliar area, check the location on a map before you start to drive.",easy
3,"Signs, Signals & Pavement Markings","Coming to a complete stop at an intersection, yielding to cross traffic/pedestrians, and then proceeding through the intersection when the way is clear corresponds with:","a:A solid red light.,b:A flashing yellow light.,c:A solid green light.,d:A flashing red light.",d,"A flashing red traffic light means the same thing as a stop sign. You must come to a complete stop, yield to cross traffic and pedestrians, and then proceed when the way is clear.",medium
2,Traffic Laws & Rules of the Road,Exceeding the speed limit by more than 50 mph will result in a fine of ____ for a first offense.,"a:$100,b:$400,c:$1,000",c,"Exceeding the speed limit by more than 50 mph will result in a fine of $1,000 for a first-time offense. A second offense will result in a fine of $2,500.",difficult
8,Special Situations & Road Users,"When you approach a railroad crossing without flashing warning signals or crossing gates, you should:","a:Cross the tracks immediately and as quickly as possible.,b:Always stop before crossing the tracks.,c:Prepare to yield to any train at the crossing.",c,"Always be prepared to yield to any oncoming trains before crossing railroad tracks, particularly if there are no lights or gates controlling the crossing. Never start to cross the tracks until there is room for your entire vehicle on the other side of the tracks. Due to the risk of a vehicle stalling, it is not wise to shift gears when crossing railroad tracks.",easy
4,Safe & Defensive Driving Practices,Defensive driving is:,"a:Identifying dangerous driving situations and taking action to avoid accidents.,b:Defending yourself against poor drivers by getting ahead of them in traffic.,c:Following the vehicle ahead of you at a close distance.",a,"You drive defensively when you identify dangerous driving situations and take action before an accident occurs. Defensive driving helps prevent conflicts with aggressive, offensive, discourteous, careless, inattentive, impulsive, ignorant, or intoxicated drivers or pedestrians.",easy
2,Traffic Laws & Rules of the Road,"When turning left, drivers must yield the right-of-way to:","a:Other drivers who are already in the intersection.,b:Oncoming traffic.,c:Pedestrians who are already in the intersection.",b,"When turning left, drivers must yield the right-of-way to oncoming traffic. Drivers must also always yield the right-of-way to pedestrians, bicyclists, and other drivers who are already in the intersection.",easy
4,Safe & Defensive Driving Practices,Which is the most common cause of traffic crashes?,"a:New drivers,b:Human error,c:Bad weather",b,Crashes often occur when one driver does not see another vehicle or when a driver does something unexpected. Communicate with other drivers on the road to help prevent traffic crashes.,easy
8,Special Situations & Road Users,"To safely pass a bicycle, you should:","a:Honk at the bicyclist to let them know you're trying to pass.,b:Drive in the bicycle lane until you get a chance to pass.,c:Slow down and give them as much space as possible.",c,"When passing a bicyclist, slow down and give them as much space as you can. Bicyclists have much less protection than drivers of motor vehicles and they should not be crowded. Passing a bicycle too quickly can shift the bicyclist off-course.",easy
8,Special Situations & Road Users,"When you drive through an area where children are playing, you should expect them:","a:To know when it is safe to cross the street.,b:To stop at the curb before crossing the street.,c:To run out in front of you without looking.",c,You should always reduce your speed and use extra caution when children are in the vicinity. They may fail to understand the danger and may run out in front of you without looking.,easy
