section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,What term refers to the amount of alcohol present in a person's bloodstream?,"a:Implied consent (IC).,b:Blood alcohol concentration (BAC).,c:Rate of alcohol consumption (RAC).,d:Driving under influence level (DUI level).",b,Blood alcohol concentration (BAC) measures the percentage of alcohol in the blood; higher BAC levels indicate greater impairment.,medium
1,Traffic Laws & Rules of the Road,"After stopping for a train at a railroad crossing and the train passes, you should:","a:Look for a second train and wait for signals to stop flashing.,b:Immediately proceed once the visible train passes.,c:Drive around crossing gates if they stay down briefly.,d:Honk to signal your intent to cross.",a,There may be another train on adjacent tracks; wait until all gates are up and signals stop before proceeding.,medium
1,Traffic Laws & Rules of the Road,Regulatory signs are typically what color background?,"a:White.,b:Green.,c:Yellow.,d:Blue.",a,"Regulatory signs (speed, stop, yield, etc.) are usually white rectangles or squares with colored symbols or text.",medium
1,Traffic Laws & Rules of the Road,"Work zone barrels, cones, and signs are used to:","a:Keep drivers out of hazardous work areas.,b:Inconvenience drivers intentionally.,c:Make drivers angry about slow traffic.",a,These devices guide and protect drivers and workers by keeping traffic out of dangerous parts of the work zone.,medium
1,Traffic Laws & Rules of the Road,A centerline with one solid yellow and one broken yellow line means:,"a:You may pass from the side next to the broken line when it is safe.,b:You are not allowed to pass in this area.,c:You are only allowed to make right turns in this area.",a,"When the broken line is adjacent to your lane, you may cross it to pass if it is safe; the solid line side may not pass.",medium
1,Traffic Laws & Rules of the Road,Is it ever acceptable to drive off the paved road onto the shoulder to pass another vehicle?,"a:No — you may not drive off the main traveled portion of the road to pass.,b:Yes, if the vehicle ahead is turning left.,c:Yes, if there are two or more lanes traveling in your direction.",a,Do not drive onto the shoulder to pass; passing must be done within the proper travel lanes when safe.,medium
1,Traffic Laws & Rules of the Road,"If you are already in an intersection when a green light changes to yellow, you should:","a:Continue moving and clear the intersection safely.,b:Stop in the intersection, and c:Increase your speed to avoid collisions.",a,"If you are within the intersection when the light turns yellow, proceed to clear it safely rather than stopping in it.",medium
1,Traffic Laws & Rules of the Road,A broken yellow line between two lanes of traffic indicates:,"a:Passing is permitted when it is safe.,b:Both lanes of traffic are going in the same direction.,c:Passing is not permitted.",a,Dashed yellow lines separate opposing lanes and mean that passing is allowed when it is safe to do so.,medium
1,Traffic Laws & Rules of the Road,"In fog, rain, or snow you should use:","a:Low beam headlights.,b:High beam headlights.,c:Fog lights only.",a,Low beam headlights reduce glare from reflected moisture and help you see better in precipitation and fog.,medium
1,Traffic Laws & Rules of the Road,Why is driving at night generally more dangerous than driving in daylight?,"a:Your reaction time is slower at night.,b:You cannot see as far ahead at night.,c:The road is always more slippery at night.,d:Oncoming headlights eliminate glare.",b,Reduced visibility and glare from oncoming lights mean you cannot see as far at night; use headlights and be cautious.,medium
