section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"When turning left from a two-way street onto a one-way street, into which lane should you complete the turn?","a:In the right lane of the street.,b:In the center of the street.,c:In the left lane of the street.",c,"When turning left from a two-way onto a one-way street, complete the turn into the lane nearest the lane you came from — typically the left lane.",easy
7,Vehicle Ownership & Responsibilities,"If you are involved in an accident and another person is injured, you should:","a:Move the injured immediately away from the scene.,b:Always leave the injured where they are without rendering aid.,c:Not move the injured unless necessary, keep them warm, and provide first aid if you are trained.,d:Drive to the nearest hospital leaving the scene.",c,Avoid moving injured victims unless there is an immediate danger; keep them warm and give first aid within your training until emergency help arrives.,medium
4,Safe & Defensive Driving Practices,Which action should you take before making a turn?,"a:Use your signal.,b:Turn the wheel immediately without signaling.,c:Increase your speed.",a,Signal at least three to four seconds before turning to notify other drivers and pedestrians of your intent.,easy
5,Driving in Special Conditions,Driving at night requires extra caution because:,"a:Traffic moves faster at night.,b:There is a larger volume of traffic at night.,c:Drivers cannot see as well at night.,d:Headlights are not required at night.",c,Reduced light conditions limit visibility; use headlights from half an hour after sunset to half an hour before sunrise and increase your following distance.,easy
8,Special Situations & Road Users,What lane entitlement do motorcycles have?,"a:Half the width of a lane.,b:The bicycle lane only.,c:The same full lane width as other motor vehicles.",c,Motorcycles are entitled to the full width of a traffic lane like any other vehicle.,easy
5,Driving in Special Conditions,"When it starts to rain while you are driving, you should:","a:Turn on your headlights and slow down.,b:Drive at the posted speed limit at all times.,c:Speed up to pass other vehicles.",a,"Reduce your speed, turn on low beam headlights in rain to increase visibility, and pull off if conditions become unsafe.",easy
2,Traffic Laws & Rules of the Road,"When entering a highway from an entrance ramp, you should generally:","a:Stop at the end of the ramp and wait for a large gap.,b:Enter slowly well below traffic speed.,c:Accelerate on the ramp to match the speed of freeway traffic and merge when safe.,d:Signal and stay on the ramp until traffic clears completely.",c,Use the acceleration lane to pick up speed and merge into an appropriate gap in traffic; the vehicles on the freeway have the right-of-way.,medium
2,Traffic Laws & Rules of the Road,What color line divides lanes of traffic moving in opposite directions?,"a:Yellow,b:Red,c:Black",a,Yellow pavement markings divide traffic moving in opposite directions; white lines separate lanes moving in the same direction.,medium
8,Special Situations & Road Users,"When you see or hear an approaching emergency vehicle, what is the correct response on a two-lane road?","a:Stop immediately where you are.,b:Drive as far right as is safe and stop.,c:Proceed slowly and try to move out of its way later.",b,"On two-lane roads, pull as far to the right as is safe and stop to allow emergency vehicles to pass.",easy
6,"Alcohol, Drugs & Impaired Driving",Which of the following can impair driving and lead to DUII charges?,"a:Controlled substances such as illegal drugs or certain prescription medicines.,b:Inhalants such as glue or paint.,c:Beer, wine, and other liquor.",a,"A variety of substances—alcohol, illegal drugs, inhalants, and many prescription or over-the-counter medications—can impair driving.",medium
4,Safe & Defensive Driving Practices,"If your accelerator becomes stuck while driving, what should you do?","a:Shift to neutral and apply steady pressure on the brake.,b:Reach down and try to pull the pedal up.,c:Shift to park immediately.",a,"If the accelerator sticks, keep eyes on the road, shift to neutral, apply steady braking, pull off the road when safe, then turn off the engine.",medium
4,Safe & Defensive Driving Practices,What causes 'highway hypnosis'?,"a:Driving after too much sleep the night before your trip.,b:Frequent rest stops.,c:Staring at the roadway for long periods and failing to scan.",c,Highway hypnosis can occur when you stare straight ahead for long periods and stop actively scanning; take breaks and keep your eyes moving.,medium
