section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Under what condition may you turn left on a solid red light if not prohibited?,"a:From a two-way street onto a one-way street after stopping,b:Under no circumstances,c:Onto any street if no vehicles or pedestrians are present",a,"Unless a sign prohibits it, you may turn left on red from a one-way street onto another one-way street after coming to a complete stop and ensuring it is safe.",difficult
6,"Alcohol, Drugs & Impaired Driving",How can alcoholic beverages affect your driving abilities?,"a:They slow your reaction time, give a false sense of confidence, and impair thinking (all of the above),b:They only affect your mood,c:They improve coordination",a,"Alcohol impairs judgment, slows reaction times, and reduces coordination and distance perception.",easy
4,Safe & Defensive Driving Practices,Which of the following is NOT a factor in determining stopping distance?,a:Perception and reaction time and braking distance.;b:Braking distance.;c:Reaction distance.;d:Steering ability.,d,"Stopping distance depends on perception time, reaction distance, and braking distance. Steering ability is not a primary factor in stopping distance.",medium
2,Traffic Laws & Rules of the Road,"If an oncoming vehicle is headed toward you in your lane, what action should you take?","a:Blow your horn, steer right, and accelerate.,b:Blow your horn, steer left, and brake.,c:Blow your horn, steer right, and brake.",c,"Honk to warn, steer right to escape if possible, and brake firmly and steadily to reduce impact if a collision seems unavoidable.",medium
4,Safe & Defensive Driving Practices,Which of these commonly contributes to traffic crashes?,"a:Inattentive driving.,b:Following other vehicles too closely.,c:Excessive speed for conditions.,d:All of the above.",d,"Inattentive driving, tailgating, and driving too fast for conditions are common causes of collisions.",easy
2,Traffic Laws & Rules of the Road,When may you legally cross double solid yellow center lines?,a:To pass a slow-moving truck.;b:To turn into a driveway or make a left turn when permitted.;c:To pass another car.;d:To change lanes for any reason.,b,"Double solid yellow lines prohibit passing, but you may cross them to turn left into a driveway or to make other permitted left turns.",medium
2,Traffic Laws & Rules of the Road,"To pass a slower vehicle on a two-lane, two-way road, what must you do?",a:Use the lane belonging to oncoming traffic to complete the pass when it is safe and legal.;b:Flash your lights to force the other driver to move over.;c:Use the road shoulder to pass.;d:Pass only if a police officer allows it.,a,"Passing on a two-lane, two-way road requires using the lane for oncoming traffic; only pass when it is safe and legal to do so.",medium
7,Vehicle Ownership & Responsibilities,"If your accelerator sticks while driving, what should you do first?","a:Reach down and attempt to pull it up.,b:Shift to park.,c:Shift to neutral and apply steady pressure on the brake.",c,"If the accelerator sticks, keep your eyes on the road, shift into neutral, apply steady braking, pull off the roadway when safe, and turn off the engine.",medium
2,Traffic Laws & Rules of the Road,What must you do when approaching an intersection marked with a yield sign?,a:Always come to a complete stop regardless of traffic.;b:Yield the right-of-way to traffic in the intersection or roadway you are entering.;c:Yield only to traffic on your right.;d:Proceed because yield signs are suggestions only.,b,A yield sign means slow down and give the right-of-way to traffic or pedestrians in the intersection or roadway you plan to enter.,easy
4,Safe & Defensive Driving Practices,Why maintain a space cushion around your vehicle?,"a:To prevent other drivers from cutting you off,b:To allow time to react to unexpected situations,c:To keep traffic flowing faster",b,Keeping a space cushion gives you time to react and take evasive actions if other drivers make mistakes.,easy
3,"Signs, Signals & Road Markings",What does a solid white line down the center of a two-lane road indicate?,"a:Lanes are moving in opposite directions and drivers are permitted to pass when safe.,b:Lanes are moving in opposite directions and drivers are not permitted to pass.,c:Lanes are moving in the same direction and drivers are not permitted to pass.",c,White lines separate traffic moving in the same direction. A solid white line indicates lane changes are discouraged or prohibited.,easy
2,Traffic Laws & Rules of the Road,"If you pass your interstate exit, you should:","a:Continue to the next exit and use it to return,c:Quickly cut across traffic to make the turn,b:Make a U-turn in the lane",a,Do not back up or make dangerous turns; proceed to the next exit to safely return to your intended route.,easy
2,Traffic Laws & Rules of the Road,Which takes precedence over the others at an intersection?,a:A steady red light.;b:A police officer directing traffic.;c:A stop sign.;d:A flashing yellow light.,b,"Directions from police officers or authorized traffic controllers override traffic lights, signs, and pavement markings.",easy
7,Vehicle Ownership & Responsibilities,"If an accident scene is not readily visible to oncoming traffic, you should:","a:Warn approaching drivers by having someone or using lights/flares to alert them,b:Let oncoming traffic watch out for themselves,c:Wait passively for police to arrive and handle warning",a,"Warn approaching traffic to prevent further collisions using people, flashlights, or flares when safe to do so.",medium
3,"Signs, Signals & Road Markings",What does a yellow and black diamond-shaped sign indicate?,"a:Helps direct you to cities and towns ahead.,b:Tells you about traffic laws and regulations.,c:Warns you about conditions on or near the road.",c,Diamond-shaped signs with a yellow background and black symbols are warning signs that alert drivers to conditions on or near the roadway.,easy
2,Traffic Laws & Rules of the Road,"When reversing your vehicle, what is the correct practice?","a:Rely only on mirrors to guide you.,b:Flash your lights while backing.,c:Open your door to look back.,d:Turn your head and look through the rear window while backing.",d,"When backing, turn and look through the rear window; do not rely only on mirrors or sensors, and check for small children and obstacles.",medium
3,"Signs, Signals & Road Markings",What color pavement markings separate traffic moving in opposite directions?,"a:White.,b:Red.,c:Yellow.,d:Black.",c,Yellow centerlines are used to separate lanes of traffic traveling in opposite directions.,easy
4,Safe & Defensive Driving Practices,"If your tire suddenly blows out while driving, what should you do?",a:Turn the steering wheel sharply to the left.;b:Keep driving normally.;c:Hold the steering wheel firmly and slow to a stop.;d:Slam on your brakes.,c,"Grip the steering wheel firmly, release the accelerator to slow gradually, and steer to remain in your lane. When you are moving very slowly, apply the brakes lightly and pull off the road to a safe place.",easy
3,"Signs, Signals & Road Markings",What does a solid yellow X over a traffic lane indicate?,"a:Drivers must move out of the indicated lane because it is about to be used by oncoming traffic.,b:That drivers may drive regularly in the indicated lane.,c:That the indicated lane is for left turns only.",a,A solid yellow X is a lane control signal meaning the lane is about to be or is no longer available in your direction; move out of it safely.,medium
6,"Alcohol, Drugs & Impaired Driving",What will help someone overcome the influence of alcoholic drinks?,"a:Tomato juice and lime,b:Hot coffee,c:Fresh air,d:Only the passage of time.",d,Nothing short of allowing time will reduce alcohol in the bloodstream and restore sobriety.,easy
5,Driving in Special Conditions,"If you must stop along the road at night, what lighting should you use?","a:Turn off all your lights.,b:Use your parking lights only.,c:Use your headlights only.,d:Turn on your emergency flashers and leave your low-beam headlights on.",d,"If you stop at night, turn on your emergency flashers and keep your low-beam headlights on so other road users can see your vehicle.",medium
7,Vehicle Ownership & Responsibilities,Where is it illegal to park?,a:On a hill.;b:In a parking lot.;c:On a crosswalk or in a marked bicycle lane.;d:Within 200 feet of a stop sign.,c,"You may not park on a crosswalk nor in a marked bicycle lane. When parking on the street, be within 12 inches of the curb.",easy
8,Special Situations & Road Users,"As a pedestrian, you should:","a:Walk facing traffic on the left side when no sidewalk exists and look for turning vehicles before crossing,b:Always insist on right-of-way over vehicles in a crosswalk,c:Run across streets to keep up with traffic flow",a,"Pedestrians should walk facing traffic where no sidewalk exists, avoid running, and watch for turning vehicles before crossing.",easy
3,"Signs, Signals & Road Markings",Regulatory traffic signs are usually which color?,"a:White,b:Blue,c:Green",a,Regulatory signs are typically white with black markings and must be obeyed.,easy
4,Safe & Defensive Driving Practices,"If you are in another driver's blind spot, you should:","a:Move forward or fall back until you are visible in their mirrors,b:Maintain your position in the blind spot,c:Flash your lights rapidly to get their attention",a,Avoid driving in another vehicle's blind spot; adjust speed slightly so they can see you in their mirrors.,easy
8,Special Situations & Road Users,Why must you be extra cautious when passing a bicycle?,"a:You are moving faster than the bicycle.,b:The bicycle always has the right-of-way.,c:Oncoming traffic may not see you pull out to pass.,d:Bicycles never signal their turns.",c,Passing drivers must be cautious because cyclists may swerve and oncoming vehicles may not expect you to enter the opposing lane to pass.,medium
4,Safe & Defensive Driving Practices,"If you suffer a tire blowout while driving, you should:","a:Ease off the gas, avoid immediate heavy braking, then gradually slow and pull off the road,b:Apply hard braking immediately,c:Continue at the same speed and steer to the shoulder",a,"On a blowout, remove your foot from the accelerator, avoid hard braking until control is regained, then slow gently and pull off safely.",difficult
2,Traffic Laws & Rules of the Road,"When turning onto a street that has multiple lanes going your direction, which lane should you enter?","a:The lane closest to your original lane.,b:The middle lane regardless of position.,c:Any lane you choose after turning.,d:The farthest lane from your original lane.",a,"When turning, enter the lane nearest to the lane you used before the turn and do not change lanes during the turn.",medium
2,Traffic Laws & Rules of the Road,"When changing lanes on a highway, you should:","a:Signal, check your mirrors, and glance over your shoulder to check your blind spot,b:Only signal when other traffic is present,c:Rely solely on inside rearview mirror",a,"Signal early, check mirrors, and look over your shoulder to ensure the blind spot is clear before changing lanes.",medium
4,Safe & Defensive Driving Practices,"If you are worried, nervous, angry, or crying, what should you do before driving?","a:Drive anyway; emotions won't change your ability.,b:Drive faster because you feel more alert.,c:Take time to focus and calm down before starting to drive.,d:Listen to loud music to distract yourself while driving.",c,Emotional states can impair driving ability; take time to calm down and concentrate before getting behind the wheel.,medium
