id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8595,ਤੁਸੀਂ ਡਿਊਟੀ 'ਤੇ ਜਾਣ ਦੇ ____ ਦੇ ਅੰਦਰ ਸ਼ਰਾਬ ਨਹੀਂ ਪੀ ਸਕਦੇ।,,ਇੱਕ ਘੰਟਾ,ਦੋ ਘੰਟੇ,ਚਾਰ ਘੰਟੇ,,C,"ਵਪਾਰਕ ਵਾਹਨ ਚਾਲਕਾਂ ਨੂੰ ਡਿਊਟੀ 'ਤੇ ਜਾਣ ਦੇ ਚਾਰ ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਕੋਈ ਵੀ ਨਸ਼ੀਲੇ ਪਦਾਰਥ ਦਾ ਸੇਵਨ ਕਰਨ ਦੀ ਮਨਾਹੀ ਹੈ, ਚਾਹੇ ਉਸ ਵਿੱਚ ਅਲਕੋਹਲ ਦੀ ਮਾਤਰਾ ਹੋਵੇ।"
8504,____ ਦੀ ਇੱਕ ਟ੍ਰੇਡ ਡੂੰਘਾਈ ਇੱਕ ਟਾਇਰ ਦੇ ਹਰ ਵੱਡੇ ਗਰੋਵ ਵਿੱਚ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ ਜੋ ਕਿ ਵਪਾਰਕ ਮੋਟਰ ਵਾਹਨ ਦੇ ਸਾਹਮਣੇ ਨਹੀਂ ਹੈ।,,ਇੱਕ ਇੰਚ ਦਾ 1/32,ਇੱਕ ਇੰਚ ਦਾ 2/32,ਇੱਕ ਇੰਚ ਦਾ 4/32,,B,"ਸੁਰੱਖਿਅਤ ਸੰਚਾਲਨ ਲਈ, ਇੱਕ ਵਪਾਰਕ ਮੋਟਰ ਵਾਹਨ ਨੂੰ ਅਗਲੇ ਟਾਇਰਾਂ 'ਤੇ ਹਰੇਕ ਵੱਡੇ ਗਰੋਵ ਵਿੱਚ ਇੱਕ ਇੰਚ ਦੇ 4/32 ਦੀ ਡੂੰਘਾਈ, ਅਤੇ ਦੂਜੇ ਟਾਇਰਾਂ 'ਤੇ ਇੱਕ ਇੰਚ ਦੇ 2/32 ਦੀ ਡੂੰਘਾਈ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।"
8772,ਵੱਡੇ ਵਾਹਨ ਏਅਰ ਬ੍ਰੇਕਾਂ ਦੀ ਵਰਤੋਂ ਕਿਉਂ ਕਰਦੇ ਹਨ?,,ਹੋਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਬਹੁਤ ਉੱਚੀ ਆਵਾਜ਼ ਵਿੱਚ ਚੀਕਦੇ ਹਨ।,ਏਅਰ ਬ੍ਰੇਕ ਬਹੁਤ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸਿਸਟਮ ਹਨ.,ਹੋਰ ਬ੍ਰੇਕਿੰਗ ਪ੍ਰਣਾਲੀਆਂ ਦਾ ਆਉਣਾ ਔਖਾ ਹੈ।,,B,"ਜੇਕਰ ਸਹੀ ਢੰਗ ਨਾਲ ਵਰਤਿਆ ਅਤੇ ਸੰਭਾਲਿਆ ਜਾਵੇ, ਤਾਂ ਏਅਰ ਬ੍ਰੇਕ ਵੱਡੇ, ਭਾਰੀ ਵਾਹਨਾਂ ਨੂੰ ਰੋਕਣ ਦਾ ਇੱਕ ਸੁਰੱਖਿਅਤ ਅਤੇ ਪ੍ਰਭਾਵੀ ਤਰੀਕਾ ਹੈ।"
8524,"ਟ੍ਰੇਲਰ ਦੇ ਨਾਲ ਸਮਰਥਨ ਕਰਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਇਹਨਾਂ ਦੁਆਰਾ ਸ਼ੁਰੂ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਸਟੀਅਰਿੰਗ ਵੀਲ ਨੂੰ ਮੋੜ ਦੀ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜਨਾ।,ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਮੋੜ ਦੇ ਉਲਟ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜਨਾ।,ਜਿੰਨਾ ਸੰਭਵ ਹੋ ਸਕੇ ਪਹੀਏ ਨੂੰ ਤੇਜ਼ੀ ਨਾਲ ਮੋੜੋ.,,B,"ਟ੍ਰੇਲਰ ਨਾਲ ਬੈਕ ਕਰਦੇ ਸਮੇਂ, ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਮੋੜ ਦੇ ਉਲਟ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜ ਕੇ ਸ਼ੁਰੂ ਕਰੋ। ਇੱਕ ਵਾਰ ਜਦੋਂ ਟ੍ਰੇਲਰ ਮੋੜਨਾ ਸ਼ੁਰੂ ਕਰ ਦਿੰਦਾ ਹੈ, ਤਾਂ ਟ੍ਰੇਲਰ ਦਾ ਅਨੁਸਰਣ ਕਰਨ ਲਈ ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਦੀ ਦਿਸ਼ਾ ਉਲਟਾਓ।"
11717,"ਹੇਠਾਂ ਵੱਲ ਡ੍ਰਾਈਵਿੰਗ ਕਰਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਉਦੋਂ ਤੱਕ ਬ੍ਰੇਕ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ ਜਦੋਂ ਤੱਕ ਤੁਸੀਂ ਇੱਕ ਸਪੀਡ ਤੱਕ ਨਹੀਂ ਪਹੁੰਚ ਜਾਂਦੇ ਜੋ ਤੁਹਾਡੀ ਸੁਰੱਖਿਅਤ ਗਤੀ ਤੋਂ ____ ਹੇਠਾਂ ਹੈ, ਫਿਰ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਛੱਡ ਦਿਓ।",,5 ਮੀਲ ਪ੍ਰਤੀ ਘੰਟਾ,10 ਮੀਲ ਪ੍ਰਤੀ ਘੰਟਾ,15 ਮੀਲ ਪ੍ਰਤੀ ਘੰਟਾ,,A,"ਹੇਠਾਂ ਵੱਲ ਗੱਡੀ ਚਲਾਉਂਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਉਦੋਂ ਤੱਕ ਦਬਾ ਕੇ ਰੱਖਣਾ ਚਾਹੀਦਾ ਹੈ ਜਦੋਂ ਤੱਕ ਤੁਹਾਡਾ ਵਾਹਨ ਤੁਹਾਡੀ ਸੁਰੱਖਿਅਤ ਸਪੀਡ ਤੋਂ 5 mph ਦੀ ਸਪੀਡ 'ਤੇ ਨਹੀਂ ਪਹੁੰਚ ਜਾਂਦਾ, ਫਿਰ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਛੱਡ ਦਿਓ। ਇਸ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਦੁਹਰਾਓ."
8526,ਟ੍ਰੇਲਰ ਦੇ ਨਾਲ ਸਮਰਥਨ ਕਰਦੇ ਸਮੇਂ:,,ਤੁਹਾਨੂੰ ਇੱਕ ਸਿੱਧੀ ਲਾਈਨ ਵਿੱਚ ਬੈਕਅੱਪ ਨਹੀਂ ਕਰਨਾ ਚਾਹੀਦਾ।,"ਜਦੋਂ ਤੱਕ ਤੁਸੀਂ ਕੋਰਸ ਤੋਂ ਦੂਰ ਨਹੀਂ ਹੋ, ਤੁਹਾਨੂੰ ਡ੍ਰਾਇਫਟ ਨੂੰ ਠੀਕ ਨਹੀਂ ਕਰਨਾ ਚਾਹੀਦਾ।",ਤੁਹਾਨੂੰ ਵਾਹਨ ਦੀ ਸਥਿਤੀ ਬਦਲਣ ਲਈ ਅਕਸਰ ਅੱਗੇ ਖਿੱਚਣਾ ਚਾਹੀਦਾ ਹੈ।,,C,"ਬੈਕ ਕਰਨ ਵੇਲੇ, ਜਦੋਂ ਵੀ ਲੋੜ ਹੋਵੇ, ਤੁਹਾਨੂੰ ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਮੁੜ-ਸਥਾਪਿਤ ਕਰਨ ਲਈ ਅੱਗੇ ਖਿੱਚਣਾ ਚਾਹੀਦਾ ਹੈ। ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਵਹਿਣ ਦੀ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜ ਕੇ ਡਰਾਫਟ ਨੂੰ ਤੁਰੰਤ ਠੀਕ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।"
8588,"ਜੇਕਰ ਕਿਸੇ ਦੁਰਘਟਨਾ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਵੇ, ਤਾਂ ਇਹਨਾਂ ਵਿੱਚੋਂ ਕਿਸ ਦੀ ਸਿਫ਼ਾਰਸ਼ ਨਹੀਂ ਕੀਤੀ ਜਾਂਦੀ?",,ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਸੜਕ ਦੇ ਕਿਨਾਰੇ ਲਿਜਾਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰੋ,ਜ਼ਖਮੀਆਂ ਦੀ ਦੇਖਭਾਲ ਕਰਦੇ ਹੋਏ,ਮੌਕੇ ਤੋਂ ਫ਼ਰਾਰ ਹੋ ਗਏ,,C,"ਦੁਰਘਟਨਾ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਣ 'ਤੇ, ਤੁਹਾਨੂੰ ਖੇਤਰ ਦੀ ਸੁਰੱਖਿਆ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ, ਅਧਿਕਾਰੀਆਂ ਨੂੰ ਸੂਚਿਤ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ, ਜ਼ਖਮੀਆਂ ਦੀ ਦੇਖਭਾਲ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ, ਲੋੜੀਂਦੀ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ, ਅਤੇ ਹਾਦਸੇ ਦੀ ਰਿਪੋਰਟ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ। ਤੁਸੀਂ ਦੁਰਘਟਨਾ ਵਾਲੀ ਥਾਂ ਛੱਡਣ ਲਈ ਆਪਣਾ ਲਾਇਸੈਂਸ ਗੁਆ ਸਕਦੇ ਹੋ।"
9582,ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਛੱਡਣ ਵੇਲੇ:,,ਏਅਰ ਬ੍ਰੇਕ ਨੂੰ ਲਾਗੂ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ.,ਪਾਰਕਿੰਗ ਬ੍ਰੇਕ ਨੂੰ ਲਾਗੂ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ.,ਜੇਕਰ ਗੱਡੀ ਗੇਅਰ ਤੋਂ ਬਾਹਰ ਰਹਿ ਗਈ ਹੋਵੇ ਤਾਂ ਬ੍ਰੇਕ ਨਹੀਂ ਲਗਾਉਣੀ ਚਾਹੀਦੀ।,,B,"ਜਦੋਂ ਵੀ ਤੁਸੀਂ ਪਾਰਕ ਕਰਦੇ ਹੋ ਤਾਂ ਪਾਰਕਿੰਗ ਬ੍ਰੇਕਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ। ਜੇ ਜਰੂਰੀ ਹੋਵੇ, ਆਪਣੇ ਪਹੀਏ ਨੂੰ ਚੱਕ ਦਿਓ."
8525,"ਬੈਕਅੱਪ ਲੈਂਦੇ ਸਮੇਂ, ਇੱਕ ਮੋੜਨ ਵਾਲੇ ਟ੍ਰੇਲਰ ਦੀ ਪਾਲਣਾ ਕਰੋ:",,ਕੁਝ ਨਹੀਂ ਬਦਲਣਾ. ਵਾਹਨ ਕੁਦਰਤੀ ਤੌਰ 'ਤੇ ਟ੍ਰੇਲਰ ਦਾ ਅਨੁਸਰਣ ਕਰੇਗਾ।,ਸਟੀਅਰਿੰਗ ਵੀਲ ਦੀ ਦਿਸ਼ਾ ਬਦਲਣਾ।,ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਉਸ ਦਿਸ਼ਾ ਵੱਲ ਮੋੜਨਾ ਹੋਰ ਵੀ ਸਖ਼ਤ ਹੈ ਜਿਸ ਦਿਸ਼ਾ ਵਿੱਚ ਇਹ ਪਹਿਲਾਂ ਹੀ ਮੋੜ ਰਿਹਾ ਹੈ।,,B,"ਟ੍ਰੇਲਰ ਨਾਲ ਬੈਕ ਕਰਦੇ ਸਮੇਂ, ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਨੂੰ ਮੋੜ ਦੇ ਉਲਟ ਦਿਸ਼ਾ ਵਿੱਚ ਮੋੜ ਕੇ ਸ਼ੁਰੂ ਕਰੋ। ਇੱਕ ਵਾਰ ਜਦੋਂ ਟ੍ਰੇਲਰ ਮੋੜਨਾ ਸ਼ੁਰੂ ਕਰ ਦਿੰਦਾ ਹੈ, ਤਾਂ ਟ੍ਰੇਲਰ ਦਾ ਅਨੁਸਰਣ ਕਰਨ ਲਈ ਸਟੀਅਰਿੰਗ ਵ੍ਹੀਲ ਦੀ ਦਿਸ਼ਾ ਉਲਟਾਓ।"
9254,"ਇੱਕ ਚੌਰਾਹੇ ਦੇ ਕੇਂਦਰ ਵਿੱਚ ਪਹੁੰਚਣ ਤੋਂ ਪਹਿਲਾਂ ਇੱਕ ਖੱਬਾ ਮੋੜ ਸ਼ੁਰੂ ਕਰਕੇ, ਤੁਸੀਂ:",,ਸੰਭਾਵਤ ਤੌਰ 'ਤੇ ਵਾਰੀ ਨੂੰ ਤਸੱਲੀਬਖਸ਼ ਢੰਗ ਨਾਲ ਪੂਰਾ ਕਰੇਗਾ।,ਤੁਹਾਡੇ ਵਾਹਨ ਦੇ ਖੱਬੇ ਪਾਸੇ ਨਾਲ ਹੋਰ ਵਾਹਨਾਂ ਨੂੰ ਟੱਕਰ ਮਾਰ ਸਕਦੀ ਹੈ।,ਹੋਰ ਡਰਾਈਵਰ ਤੁਹਾਡੀ ਵਾਰੀ ਦੇ ਅਨੁਕੂਲ ਹੋਣ ਲਈ ਆਪਣੇ ਵਾਹਨਾਂ ਨੂੰ ਮੂਵ ਕਰਨ ਦੀ ਉਮੀਦ ਕਰ ਸਕਦੇ ਹਨ।,,B,"ਜਦੋਂ ਕਿਸੇ ਚੌਰਾਹੇ 'ਤੇ ਖੱਬੇ ਪਾਸੇ ਮੁੜਨ ਦੀ ਯੋਜਨਾ ਬਣਾ ਰਹੇ ਹੋ, ਤਾਂ ਇਹ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਸੀਂ ਮੋੜ ਸ਼ੁਰੂ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਚੌਰਾਹੇ ਦੇ ਕੇਂਦਰ 'ਤੇ ਪਹੁੰਚ ਗਏ ਹੋ। ਜੇਕਰ ਤੁਸੀਂ ਬਹੁਤ ਜਲਦੀ ਮੁੜਦੇ ਹੋ, ਤਾਂ ਔਫ-ਟਰੈਕਿੰਗ ਕਾਰਨ ਤੁਹਾਡੇ ਵਾਹਨ ਦਾ ਖੱਬਾ ਪਾਸਾ ਕਿਸੇ ਹੋਰ ਵਾਹਨ ਨਾਲ ਟਕਰਾ ਸਕਦਾ ਹੈ।"
