section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When an emergency vehicle approaches with lights or siren active, what must a driver do immediately?","a:Slow down and stay in lane.,b:Pull to the right and stop.,c:Pull to the right and turn on four-way flashers.,d:Drive to the left shoulder and stop",b,You must promptly pull to the right and stop to allow emergency vehicles to pass safely.,easy
6,"Alcohol, Drugs & Impaired Driving",Which statement best describes drivers who have consumed alcohol and then drive?,"a:They become better drivers because they are more careful,b:They do not have sufficient control over their bodies,c:They are always aware of the risks",b,"Alcohol is a depressant that reduces judgment, vision, coordination, and reaction time, impairing a driver’s ability to operate a vehicle safely.",easy
8,Special Situations & Road Users,"When approaching railroad tracks, what should you do?","a:Keep radio volume high to hear signals better.,b:Speed up to cross before a train appears.,c:Drive around lowered gates if a car is stuck on the tracks.,d:Look and listen",d,"Always look, listen, and be ready to stop at tracks; do not go around gates or take risks.",easy
2,Traffic Laws & Rules of the Road,How must a driver respond to a flashing red traffic signal?,"a:Merge to the right.,b:Come to a complete stop,c:Slow down and continue without stopping.",b,"A flashing red light means stop, yield to other traffic and pedestrians, and proceed only when it is safe.",medium
6,"Alcohol, Drugs & Impaired Driving","If you socialize and drink alcohol, what is a safe option to ensure safe travel?","a:Wait 10 minutes and then drive,b:Ride home with a friend who has not been drinking.,c:Take a cold shower before driving.,d:Drink coffee before driving.",b,Arranging a sober ride home prevents impaired driving; coffee or a shower does not reduce blood alcohol content.,easy
4,Safe & Defensive Driving Practices,Does talking or texting on a cell phone significantly increase crash risk?,"a:False,b:True",b,Using a handheld or hands-free phone for talking or texting distracts you and increases the likelihood of a crash; it reduces attention and reaction time.,easy
8,Special Situations & Road Users,"When driving near heavy trucks, what must other drivers allow for?","a:The reduced noise levels from larger vehicles,b:The decreased stopping distance of trucks,c:The increased stopping distance required by large vehicles",c,Large vehicles need more distance to stop; smaller vehicles should avoid lingering in truck blind spots and give them extra space.,easy
4,Safe & Defensive Driving Practices,Which behavior describes an inattentive driver?,"a:Using turn signals when changing lanes.,b:Watching only the car directly ahead.,c:Daydreaming or staring at objects off the roadway while driving.,d:Checking mirrors frequently and scanning traffic.",c,Inattentive drivers are distracted by non-driving activities and do not adequately scan the road.,medium
7,Vehicle Ownership & Responsibilities,"When making an emergency roadside stop, is it unnecessary to set the parking brake?","a:False,b:True",a,"When you make an emergency stop, set your parking brake and turn on your emergency flashers to alert other drivers.",easy
2,Traffic Laws & Rules of the Road,"Which traffic signal situation requires you to come to a complete stop, yield, then proceed when clear?","a:A flashing yellow light.,b:A steady yellow light,c:A flashing red light.,d:A solid green light.",c,"A flashing red light functions like a stop sign: stop, yield to others, and proceed when safe.",easy
5,Driving in Special Conditions,"If an oncoming vehicle fails to dim its high beams, where should you glance?","a:Toward the right edge of your lane.,b:Directly at the source of the light.,c:Toward the left side of the road.,d:At the center line for reference.",a,Glance to the right side of the road to avoid temporary blindness from glare while maintaining roadway position.,easy
2,Traffic Laws & Rules of the Road,"What is the default speed limit in business, residential, and school districts unless otherwise posted?","a:15 mph,b:25 mph,c:30 mph",b,"Unless signs indicate otherwise, the speed limit for passenger vehicles and motorcycles in business, residential, or school areas is 25 mph.",easy
2,Traffic Laws & Rules of the Road,"Before turning left at an intersection, what is important to do?","a:Sound your horn to warn oncoming traffic,b:Swing to the right side of your lane to make room,c:Yield to oncoming vehicles and pedestrians",c,Before making a left turn you must yield to oncoming traffic and pedestrians; do not turn unless the way is clear and it is legal to do so.,easy
3,"Signs, Signals & Road Markings",What type of signs are typically orange?,"a:Regulatory signs like speed limits.,b:Work zone and construction signs.,c:School zone signs.,d:Recreational area signs.",b,Orange signs warn of work zones or construction and alert drivers to changing conditions ahead.,easy
2,Traffic Laws & Rules of the Road,"What does a 'Reduced speed, 35 mph' sign mean?","a:The new 35 mph speed limit begins at this sign.,b:The advisory speed begins after the sign,c:You have plenty of time to slow down before the zone.,d:The reduced speed begins at the next sign.",a,A posted reduced speed sign indicates the new posted speed limit begins at that sign.,easy
8,Special Situations & Road Users,"At a school crossing sign, what should drivers do?","a:Drive at normal speed if no crossing guard is present,b:Always stop even if no children are present.,c:Always sound your horn when children are near.,d:Watch for children and be prepared to stop.",d,Always yield to pedestrians and be alert for children who may enter the crosswalk or roadway unexpectedly.,easy
2,Traffic Laws & Rules of the Road,"Is signaling before turning, changing lanes, or pulling away from a curb required?","a:Only if other traffic is present,b:Yes — it is required by law and a good habit,c:Only during the maneuver itself",b,You must signal your intentions in advance (Virginia requires signaling at least 100 feet before changing lanes or turning) so other road users can anticipate your actions.,easy
4,Safe & Defensive Driving Practices,What should you adjust first when you sit in a vehicle before driving?,"a:Your seat belt.,b:Your rearview mirror.,c:Your seat.",c,"Adjust your seat first so you can reach the controls and see the road, then set mirrors and fasten your seat belt.",easy
3,"Signs, Signals & Road Markings",Signs that warn drivers about hazardous conditions are called what?,"a:Regulatory signs,b:Information signs,c:Warning signs",c,Warning signs (usually yellow with black symbols) advise drivers of potentially hazardous conditions ahead and should be obeyed for safety.,easy
2,Traffic Laws & Rules of the Road,Which statement about speed is correct?,"a:Driving too slowly on some highways can be dangerous.,b:Speed has no effect on crash severity.,c:Speeding never results in fatalities,d:Speeding is safe if you are skilled.",a,Both driving too fast and driving much slower than traffic can be dangerous; speed increases crash severity and risk.,medium
4,Safe & Defensive Driving Practices,When should you look over your shoulder to check a blind spot?,"a:When turning left or right,b:When pulling toward or away from a curb,c:When changing lanes,d:All of the above",d,"Check blind spots any time you intend to change the vehicle's position—turning, changing lanes, or parking.",easy
8,Special Situations & Road Users,What is the safest way to pass a bicyclist?,"a:Honk to warn them you're passing closely.,b:Drive in the bike lane to get around them.,c:Slow down and give the bicyclist as much lateral space as possible.,d:Pass very quickly with no additional clearance.",c,Give bicyclists ample space when passing; do not crowd them and avoid passing too quickly.,easy
