id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8758,Using the brakes creates heat. If too much heat is produced:,,The brakes may not work.,The brakes may squeak more than usual.,The brakes will brake unevenly.,,A,"Brakes are designed to take a lot of heat, but drivers should not rely solely on the brakes to slow their vehicle. Brakes may fade and lose their ability to slow down the vehicle if they become too hot, so drivers should also rely on the engine braking effect."
11900,What do the two systems of a dual air brake system share?,,Hoses,An air compressor,Air tanks,,B,"Both systems in a dual air brake systems share a single air compressor. If the air compressor is damaged, neither system will be able to operate properly."
9890,What do air brakes use to make the brakes work?,,Compressed air,Outside air,Non-compressed air,,A,Many large CMVs are equipped with air brakes. An air braking system uses compressed air to operate.
9462,What is removed when an air tank is drained?,,Water and oil,Ammonia,Liquid cleaners,,A,"In an air brake system, air tanks have drains to remove accumulations of water and compressor oil. Allowing water and oil to accumulate in the system could cause damage to the brakes."
9947,"If the low air pressure warning signal comes on in a vehicle with air brakes, the driver should:",,"Test the brakes while driving, but continue driving if nothing seems wrong.",Immediately stop driving.,Drive with the hazard lights activated.,,B,"If the low air pressure warning signal comes on while you are operating a vehicle with air brakes, you should stop and safely park the vehicle as soon as possible. It is essential that you are able to stop safely while you still have some braking power remaining."
8756,Air tank drains:,,Should not be used in cold weather.,Are helpful to remove water and oil from the air tanks.,Are used to move air to the brakes.,,B,Compressed air in an air brake system usually has a certain amount of water and oil in it. This can harm the system if allowed to accumulate. Air tanks have drain valves to aid in removing water and oil from the compressed air.
8767,Air pressure should build up in a single air system within:,,15 minutes.,12 minutes.,Three minutes.,,C,"In single air systems, air pressure should build from approximately 50 to 90 psi within three minutes."
11691,"In a dual air brake system, a leak in one system:",,Always means there are leaks in both systems.,May not affect the other system.,Is not something to worry about.,,B,"A dual air brake system is made up of two separate air brake systems. If there is an air leak in one system, it may not affect the other."
11667,"When you press the brake pedal in a vehicle with S-cam brakes, air pressure pushes out the rod and moves the:",,Slack adjuster.,Axle.,Brake drum.,,A,"When pressing the brake pedal in a vehicle with S-cam brakes, air will enter the brake chambers. The added air pressure will push out the rods and move slack adjusters, twisting the brake camshafts."
11715,An air compressor governor will stop the compressor from pumping air once the air tanks have an air pressure level of:,,125 psi.,100 psi.,150 psi.,,A,"An air compressor governor will stop the compressor from pumping air once the air tanks are at an air pressure level of 125 psi. This air pressure level is referred to as the ""cut-out"" level."
11322,If the safety relief valve in the air brake system releases air:,,The compressor needs more air.,The air pressure has become too high.,The brakes are fully operational.,,B,"An air brake system has a safety relief valve, which releases air from the tanks if the pressure gets too high. If the valve must operate, something in the system is wrong and should be addressed by a mechanic."
