section-num,section-name,question,options,correct-answer,note,difficulty
7,Vehicle Ownership & Responsibilities,"When parking uphill where there is no curb, which way should you turn your front wheels?","a:Turn them toward the edge of the road (to the right),b:Turn them away from the edge of the road (to the left),c:Keep them straight",a,"When parking uphill without a curb, turn your front wheels toward the edge of the road. If your brakes fail, the vehicle will roll away from traffic and off the roadway instead of into the lane.",
2,Traffic Laws & Rules of the Road,Is it required to signal when changing lanes?,"a:False,b:True",b,"You must signal whenever you change lanes so other drivers, motorcyclists, bicyclists, and pedestrians know your intentions and can adjust safely. Signaling is required even if you think no one is around.",
2,Traffic Laws & Rules of the Road,Does ''yield'' also require you to stop if you cannot merge safely into traffic?,"a:False,b:True",b,"A yield sign means you must slow down and be prepared to stop. If you cannot safely merge into traffic, you must stop and wait until there is a safe gap before proceeding.",
8,Special Situations & Road Users,The statement 'Motorcyclists are entitled to the full width of a traffic lane and should be passed like other vehicles' is:,"a:False,b:True",b,"Motorcyclists are entitled to use a full traffic lane just like any other vehicle. When passing a motorcycle, move fully into the adjacent lane and give them the same space and clearance you would give a car.",
4,Safe & Defensive Driving Practices,You are being tailgated. What should you do regarding following distance?,"a:Maintain the same distance as usual,b:Increase the space ahead of your vehicle,c:Decrease your following distance",b,"If you are being tailgated, increase your following distance from the vehicle ahead. This gives you more time to slow down gradually and reduces the chance of a rear-end collision if you must brake.",
2,Traffic Laws & Rules of the Road,"When passing another vehicle traveling in the same direction, you should:","a:Pass as safely and as quickly as possible,b:Drive at the same speed as the vehicle you are passing,c:Pass as slowly as possible",a,"When you pass, you should move into the passing lane, accelerate to safely and efficiently overtake the other vehicle, and then return to your lane as soon as it is safe. Do not linger in the blind spot or beside the other vehicle. Return only when you can see the front of the passed vehicle in your rearview mirror.",
4,Safe & Defensive Driving Practices,What is the best action if you become tired while driving?,"a:Stop to rest or change drivers,b:Drink coffee and continue,c:Open a window and keep driving",a,The safest option when tired is to stop and rest or have another licensed driver take over.,
5,Driving in Special Conditions,"When weather or low visibility requires lights, which should you use?","a:Low beam headlights,b:High beam headlights,c:Parking lights",a,"In rain, fog, or snow, use low beam headlights. High beams can reflect off moisture in the air and create glare, making it harder to see. Parking lights alone are not sufficient for visibility or to meet legal requirements when visibility is reduced.",
7,Vehicle Ownership & Responsibilities,"If your vehicle has a two-part (lap and shoulder) seat belt, how should you wear it?","a:Use only the shoulder belt,b:Use both the lap and shoulder belts,c:Use only the lap belt",b,"A combination lap and shoulder belt is designed to be worn together: the lap belt low and snug across the hips, and the shoulder belt across the chest and away from the neck. Using only one part greatly reduces protection and increases the risk of serious injury in a crash.",
8,Special Situations & Road Users,"At a railroad crossing with no flashing lights or gates, what should you do?","a:Proceed at normal speed,b:Slow down, look and listen for trains,c:Speed up to clear the crossing quickly",b,"At a railroad crossing without flashing lights or gates, you must approach with caution: slow down, look carefully in both directions, and listen for trains. Cross only when you are sure no train is coming and there is enough space to clear the tracks without stopping.",difficult
4,Safe & Defensive Driving Practices,How do stopping distances and collision severity change as a vehicle's speed increases?,"a:Increase as a vehicle's speed increases.,b:Are not affected by a vehicle's speed.,c:Decrease as a vehicle's speed increases.",a,"As speed increases, both stopping distance and crash severity increase. Your vehicle needs more distance to come to a complete stop, and the force of impact in a collision is much greater at higher speeds. This is why you should leave more following distance as your speed rises.",
7,Vehicle Ownership & Responsibilities,A vehicle with a bad suspension can cause which problem?,"a:Squealing brakes,b:Vehicle control problems,c:Slack in the steering",b,"A bad or worn suspension makes it harder to keep the vehicle stable and under control, especially when turning, braking, or driving over bumps. This can cause swaying, bouncing, and poor handling, which are serious vehicle control problems and a safety hazard.",
4,Safe & Defensive Driving Practices,"For quick and controlled turns, where should your hands be on the steering wheel?","a:Next to each other on the top of the steering wheel.,b:On opposite sides of the steering wheel.,c:On the top and bottom of the steering wheel.",b,"For quick, controlled turns, place your hands on opposite sides of the steering wheel, typically around the 9 and 3 o’clock positions. This gives you better leverage, balance, and control of the vehicle, especially at higher speeds or during sudden maneuvers.",
4,Safe & Defensive Driving Practices,"When your traffic signal turns green while waiting at an intersection, should you still look before proceeding?","a:False,b:True",b,"When the light turns green, you must still look left, right, and ahead before moving. A green light means you may go if the intersection is clear, but other drivers may run the red light or pedestrians may still be crossing. Checking first helps prevent collisions.",
5,Driving in Special Conditions,"To reduce the chance of losing traction on wet roads, what should you do?","a:Make abrupt turns.,b:Slow down.,c:Apply the brakes firmly.",b,"On wet roads, slow down to reduce the risk of losing traction or hydroplaning. Lower speed allows your tires to maintain better contact with the road. Avoid sudden steering, hard braking, or quick acceleration, as these can cause skids when the road is slippery.",
3,"Signs, Signals & Road Markings",A broken yellow line next to a solid yellow line means:,"a:Passing is permitted from the lane next to the broken yellow line,b:Passing is permitted from the lane next to the solid yellow line,c:Passing is not permitted from either direction",a,"A broken yellow line next to a solid yellow line means passing is allowed only for traffic on the side with the broken line, and not allowed for traffic on the side with the solid line. This marking separates traffic moving in opposite directions and controls where it is safe and legal to pass.",
3,"Signs, Signals & Road Markings","If you are on a highway next to a single broken white line, are you allowed to cross it?","a:You cannot cross the line to pass,b:You may cross to pass or change lanes,c:You may only cross it from the left lane",b,"A single broken white line separates lanes of traffic moving in the same direction. You may cross it to change lanes or pass when it is safe and legal to do so, after checking mirrors, blind spots, and signaling.",
8,Special Situations & Road Users,What is the penalty for illegally passing a stopped school bus in Illinois?,"a:Driving privilege suspension and a mandatory $300 fine,b:A 60-day suspension of driving privileges,c:A $30 fine and 14-day suspension",a,"In Illinois, illegally passing a stopped school bus with its red lights flashing and stop arm extended carries a mandatory minimum $300 fine and a suspension of driving privileges for the first offense. The law is strict to protect children who may be crossing the road around the bus.",difficult
7,Vehicle Ownership & Responsibilities,"If you are involved in or come upon a traffic crash, should you stop in a safe, well-lit public place that does not obstruct traffic if able?","a:True,b:False",a,"If you are involved in or come upon a crash, you must stop, but you should do so in a safe, well-lit public place that does not block traffic if your vehicle can be moved. Then check for injuries, call 911, and exchange information. Stopping in a safe location helps prevent additional collisions.",
4,Safe & Defensive Driving Practices,Which best describes how defensive drivers think?,"a:They expect no breaks and give none.,b:They consider what other drivers might do and are prepared to react.,c:They assume other drivers will do the right thing.",b,"Defensive drivers constantly consider what other drivers, pedestrians, and cyclists might do and stay ready to react safely. They do not assume others will always follow the rules; instead, they anticipate mistakes and leave space and time to respond.",
8,Special Situations & Road Users,"When a pedestrian using a guide dog or carrying a white cane is crossing, must you yield to them?","a:True,b:False",a,"Blind or partially blind pedestrians using a guide dog or white cane have the right-of-way. You must always yield, stop if necessary, and allow them to cross safely. Never honk, rush, or try to go around them.",
8,Special Situations & Road Users,"If a truck or bus is making a right turn and you also need to turn right, what should you do?","a:Squeeze between the large vehicle and the curb to turn,b:Wait until the truck or bus has completed its turn before you turn,c:Turn quickly before the truck or bus finishes its turn",b,Large vehicles need extra space to complete turns; wait until they finish before you turn to avoid collisions.,
8,Special Situations & Road Users,"If you must make an emergency stop on an interstate, what is the correct action?","a:Get out of your vehicle and flag down help,b:Sound your horn at passing cars,c:Pull off the road, turn on emergency flashers, and stay in your vehicle if possible",c,"On an interstate, only stop for emergencies. Pull completely off the roadway if possible, turn on your hazard flashers so others see you, and stay inside your vehicle with seat belt fastened if it is safe. Walking on the interstate or standing near traffic is very dangerous.",
2,Traffic Laws & Rules of the Road,Which of the following is unlawful when passing?,"a:Passing in any marked no-passing zone,b:Passing another vehicle over a railroad crossing,c:Both of the above",c,"Passing is illegal and unsafe in marked no‑passing zones and at or over railroad crossings. These areas have limited visibility or special hazards, so you must stay in your lane and wait until it is legal and safe to pass.",difficult
2,Traffic Laws & Rules of the Road,Should slow vehicles stay in the left-hand lane except when passing?,"a:False,b:True",a,"Slower traffic should keep right so faster vehicles can pass safely on the left. Use the left lane mainly for passing or preparing for a left turn, not for cruising at a slower speed.",
5,Driving in Special Conditions,Must headlights be on from sunset to sunrise?,"a:False,b:True",b,"Headlights should be on from sunset to sunrise and any time visibility is poor, such as in rain, snow, or fog. This makes it easier for you to see and for other drivers to see you, reducing the risk of collisions.",
2,Traffic Laws & Rules of the Road,"When preparing to exit an interstate, when is the correct time to reduce speed?","a:As you approach the deceleration lane.,b:Immediately upon entering the deceleration lane.,c:About halfway through the deceleration lane.",b,"On an interstate, stay at highway speed until you are actually in the deceleration lane. Once in the deceleration lane, reduce speed smoothly to the posted advisory speed for the exit ramp. Slowing too early can surprise drivers behind you and create a hazard in the through-traffic lane.",
2,Traffic Laws & Rules of the Road,"When entering traffic after parking at a curb, what should you do?","a:Drive more slowly than traffic for 200 feet,b:Wait for a large enough gap to accelerate to traffic speed,c:Wait for the first two vehicles to pass then merge",b,"Before leaving the curb, signal, check mirrors, and look over your shoulder for traffic. Enter only when there is a gap large enough for you to accelerate up to the speed of traffic without forcing other drivers to brake or swerve.",difficult
5,Driving in Special Conditions,Does Illinois law require headlights to be on when windshield wipers are in use?,"a:True,b:False",a,"In Illinois, you must turn on your headlights whenever your windshield wipers are in use due to weather conditions. This improves visibility and helps other drivers see you in rain, snow, or other reduced-visibility situations.",
5,Driving in Special Conditions,"Under low-visibility conditions caused by fog, what should you do?","a:Turn on your high beams,b:Slow down and use low beam headlights,c:Increase your speed to clear the area quickly",b,"In fog, slow down and use low beam headlights so the light does not reflect back and blind you. If visibility becomes extremely poor, pull off the road to a safe place, turn on your hazard lights, and wait until conditions improve.",
6,"Alcohol, Drugs & Impaired Driving",Is it true that cellphone use while driving is permitted if the driver is over 19 and using hands-free?,"a:False,b:True",a,"In Illinois, drivers may not use a handheld phone while driving, regardless of age. Hands‑free use is only allowed for drivers 19 and older, but even then it is still restricted in certain situations (such as in school or construction zones). So it is not simply permitted if over 19 and using hands‑free"" as a blanket rule.""",difficult
5,Driving in Special Conditions,What should you do about following distance when driving at night?,"a:Always use high beams,b:Look directly at oncoming headlights,c:Increase your following distance",c,"At night, visibility is reduced and it is harder to judge speed and distance. Increasing your following distance gives you more time to see hazards, react to brake lights ahead, and stop safely if something unexpected happens.",
2,Traffic Laws & Rules of the Road,"When turning left, to whom must you yield?","a:Oncoming vehicles traveling straight or turning right,b:Passing cars,c:No one",a,"When turning left, you must yield to oncoming traffic that is going straight or turning right, including motorcycles and bicycles. You may only complete your left turn when it is safe and there is a sufficient gap in oncoming traffic.",
1,Licensing & Permit Requirements,Can driving privileges be revoked for giving false information to the Secretary of State?,"a:False,b:True",b,Providing false information on a driver’s license application is a serious offense. It can lead to criminal penalties and also to suspension or revocation of your driving privileges by the licensing authority.,
4,Safe & Defensive Driving Practices,How often should you check your rearview mirrors while driving?,"a:Often to see how traffic is moving behind you,b:Only when slowing down,c:To see if a vehicle is in your blind spot",a,"You should check your mirrors often to stay aware of traffic behind and beside you. Frequent mirror checks help you spot fast‑approaching vehicles, prepare for lane changes, and react early to changing traffic conditions.",
5,Driving in Special Conditions,"As daylight fades, which lighting should you use to help other drivers see you?","a:Low beam headlights,b:Parking lights,c:Emergency flashers",a,"As daylight fades, you should turn on your low beam headlights so other drivers can see you and you can see the road. Parking lights and emergency flashers are not a substitute for headlights while driving.",
5,Driving in Special Conditions,"When driving in fog, should you use high beam headlights?","a:False,b:True",a,"In fog, always use low beam headlights or fog lights. High beams reflect off the water droplets in the fog and shine back into your eyes, making it harder to see.",
1,Licensing & Permit Requirements,"To restore driving privileges after losing them for failure to pay crash damages, what must a driver do?","a:Nothing specific is required,b:File proof of financial responsibility with the Secretary of State,c:Pay a small fine to the court",b,"If your license is suspended for failing to pay crash damages, you must file proof of financial responsibility, such as SR‑22 insurance, with the licensing authority before your driving privileges can be restored.",difficult
8,Special Situations & Road Users,Will your driving privileges be suspended if convicted of illegally passing a stopped school bus?,"a:True,b:False",a,Passing a stopped school bus that is loading or unloading children with its red lights flashing and stop arm extended is a serious offense. A conviction typically results in a mandatory suspension of your driving privileges to protect children’s safety.,
5,Driving in Special Conditions,Is the road surface of a bridge likely to remain icy longer than the rest of the roadway in winter?,"a:True,b:False",a,"Bridges and overpasses freeze and stay icy longer because cold air circulates above and below them, cooling the surface faster than regular roadways that sit on the ground.",
7,Vehicle Ownership & Responsibilities,"If a law enforcement officer stops your vehicle, should you exit immediately and approach the officer’s squad car?","a:False,b:True",a,"If an officer stops you, stay in your vehicle unless you are told to get out. Keep your hands visible, usually on the steering wheel, and wait for the officer’s instructions. Exiting and walking toward the squad car can be seen as a safety risk and may alarm the officer.",
2,Traffic Laws & Rules of the Road,"If you entered an intersection on a green light to make a left turn but the signal then turns red, how should you complete the maneuver?","a:Make sure it is clear, then back up from the intersection.,b:Yield to oncoming traffic and complete the left turn.,c:Wait in the intersection until the light turns green.",b,"If you entered the intersection on green to turn left, you are allowed to clear the intersection even if the light turns red while you are waiting. Move into the intersection, yield to oncoming traffic and pedestrians, and when it is safe and traffic allows, complete your left turn to clear the intersection.",
4,Safe & Defensive Driving Practices,On a freeway why should you look farther ahead than on a city street?,"a:To see potential hazards early,b:Because it takes a quarter mile to stop,c:Because it helps you keep up with traffic",a,"At freeway speeds, you cover distance much faster, so hazards develop more quickly. Looking farther ahead gives you more time to see slow or stopped traffic, debris, or lane closures and to react smoothly instead of braking or swerving at the last second.",
8,Special Situations & Road Users,"At a railroad crossing with lowered gates and flashing lights, how should you respond?","a:Drive around the gates if you don't see a train,b:Stop well behind the gates and wait until they are raised,c:Slow and carefully drive around the gates",b,"When gates are down and lights are flashing, you must stop and stay behind the gate line until the lights stop and the gates are fully raised. Trains are often closer and faster than they appear, and going around the gates is both illegal and extremely dangerous.",difficult
2,Traffic Laws & Rules of the Road,Must drivers yield to pedestrians in an unmarked crosswalk?,"a:True,b:False",a,"An unmarked crosswalk exists at most intersections, even without painted lines. Drivers must yield to pedestrians who are in or entering these crosswalks on their side of the road when there are no traffic signals controlling the crossing.",
8,Special Situations & Road Users,"When a bicyclist is making a left turn, may they use the left lane?","a:Yes, they may use the left lane,b:No, they must wait on the side of the road,c:They may cut through all lanes",a,"Bicyclists generally have the same rights and duties as drivers of motor vehicles. When preparing for or making a left turn, a bicyclist may move into and use the left lane or left-turn lane, just as a car would, when it is safe and legal to do so.",
5,Driving in Special Conditions,"If oncoming headlights are blinding you at night, you should:","a:Look toward the right edge of the road,b:Switch to high beams,c:Turn your lights on and off repeatedly",a,"When oncoming headlights are too bright, avoid looking directly at them. Instead, briefly glance toward the right edge of your lane and use it as a guide until the vehicle passes, while still checking the road ahead frequently.",
2,Traffic Laws & Rules of the Road,"When making a left turn at an intersection, what must you do regarding oncoming traffic and pedestrians?","a:You should always yield to oncoming traffic and pedestrians,b:Oncoming traffic and pedestrians should yield to you,c:You should never yield to oncoming traffic and pedestrians",a,"When turning left at an intersection, you must yield to oncoming vehicles that are going straight or turning right, and to pedestrians in any crosswalk. Make the turn only when there is a safe gap in traffic and the crosswalk is clear.",
8,Special Situations & Road Users,Should a railroad crossbuck sign be treated like a yield sign?,"a:True,b:False",a,"A railroad crossbuck functions like a yield sign: you must slow, look, and listen for trains, and yield the right-of-way to any approaching train or railroad equipment. Proceed only when you are sure the tracks are clear and it is safe to cross.",
2,Traffic Laws & Rules of the Road,Is it lawful to make a right turn on red after stopping and yielding when not prohibited?,"a:True,b:False",a,"In most U.S. jurisdictions, you may turn right on a red light after coming to a complete stop and yielding to pedestrians and all approaching traffic, unless a sign specifically prohibits a right turn on red at that intersection.",
3,"Signs, Signals & Road Markings",A broken yellow line between two lanes of traffic indicates what?,"a:Passing is permitted when it is safe,b:Both lanes of traffic are going the same direction,c:Passing is not permitted",a,A broken (dashed) yellow line between lanes means traffic is moving in opposite directions and you may pass another vehicle if it is safe and the way is clear of oncoming traffic. Always check for enough space to complete the pass and obey any additional signs or markings.,
7,Vehicle Ownership & Responsibilities,Are taillights required to be illuminated after dark?,"a:False,b:True",b,"Taillights must be on whenever headlights are required, typically from sunset to sunrise or when visibility is poor. They allow drivers behind you to see your vehicle from a distance, reducing the risk of rear-end collisions at night or in low-visibility conditions.",
2,Traffic Laws & Rules of the Road,"At a four-way stop, does the vehicle that arrives first have the right-of-way?","a:False,b:True",b,"At a four-way stop, the driver who arrives first has the right-of-way and should proceed first after stopping. If two vehicles arrive at the same time, the driver on the left yields to the driver on the right. Always move only when it is safe and other drivers are yielding as expected.",
2,Traffic Laws & Rules of the Road,When should you reduce speed below the posted limit?,"a:Both when driving in unfavorable weather conditions and when approaching/crossing an intersection,b:Only when approaching and crossing an intersection,c:Only when driving in unfavorable weather conditions",a,"The posted speed limit is the maximum under ideal conditions. You must slow down below the limit when conditions are less than ideal, such as in bad weather, heavy traffic, or poor visibility, and when approaching intersections, curves, hills, or narrow roads so you can stop safely if needed.",
5,Driving in Special Conditions,Is it illegal to drive at night using only your parking lights?,"a:False,b:True",b,"Driving at night with only parking lights is unsafe and illegal. At night or when visibility is poor, you must use your headlights so you can see the road ahead and so other drivers can see you clearly. Parking lights alone are not bright enough for driving.",
7,Vehicle Ownership & Responsibilities,"When making an emergency roadside stop, is it required to set the parking brake?","a:False,b:True",a,"When you make an emergency roadside stop, you should turn on your hazard flashers and, when appropriate, set the parking brake so the vehicle does not roll. However, the law does not always require setting the parking brake in every roadside stop situation; it is a recommended safety practice, especially on grades.",
6,"Alcohol, Drugs & Impaired Driving",Why is using a cell phone while driving considered a distraction?,"a:It occupies the driver's hands, eyes, and mind,b:It causes the driver to be concerned about the cost,c:It draws the attention of other drivers",a,"Using a cell phone while driving is dangerous because it can take your hands off the wheel, your eyes off the road, and your mind off driving. This combination of manual, visual, and cognitive distraction greatly increases the risk of a crash.",
6,"Alcohol, Drugs & Impaired Driving",What is typically the first skill affected by alcohol use?,"a:Balance,b:Judgment,c:Vision",b,"Alcohol first affects the parts of the brain that control judgment and decision‑making. Even at low levels, your ability to judge speed, distance, and risk is reduced before you notice major changes in balance or vision.",
8,Special Situations & Road Users,"If you are turning right and a bicyclist is approaching on your right, should you yield to the bicyclist?","a:False,b:True",b,You must yield to a bicyclist going straight when you are turning right across their path. Let the bicyclist pass through the intersection or past your turn first so you do not cut them off or cause a collision.,
3,"Signs, Signals & Road Markings",Approaching an octagonal traffic sign requires you to:,"a:Turn.,b:Stop.,c:Slow.",b,"An octagonal (eight‑sided) red sign is always a STOP sign. You must come to a complete stop, check for traffic and pedestrians, yield as needed, and proceed only when it is safe.",
1,Licensing & Permit Requirements,Can a parent or guardian cancel a minor's driver license any time before the minor turns 18?,"a:False,b:True",b,"In many states, the parent or legal guardian who signed a minor’s license application can request that the license be canceled at any time before the minor turns 18. This is because the parent or guardian is accepting financial responsibility for the minor’s driving.",
5,Driving in Special Conditions,"If weather or darkness reduces visibility, what should you do to increase safety?","a:Drive in the lane closest to oncoming traffic.,b:Increase your following distance.,c:Speed up to leave the area sooner.",b,"When visibility is reduced by weather or darkness, you need more time and space to see hazards and react safely. Increasing your following distance gives you extra room to brake or steer smoothly if the vehicle ahead slows or stops suddenly.",
2,Traffic Laws & Rules of the Road,"When parking next to a curb, when should you use your turn signal?","a:Only when pulling away from the curb,b:When pulling next to but not away from the curb,c:When pulling next to or away from the curb",c,"You must signal any time you change your vehicle’s position on the road, including when pulling toward a curb to park and when leaving the curb to reenter traffic. Signaling lets other drivers, cyclists, and pedestrians anticipate your movement and adjust safely.",
8,Special Situations & Road Users,Is it ever safe to stop on railroad tracks even for a short time when moving with a stream of vehicles?,"a:False,b:True",a,"You must never stop on railroad tracks. Only enter a crossing when there is enough space for your entire vehicle to clear the tracks on the far side. Stopping on the tracks, even briefly in a line of traffic, is extremely dangerous because a train cannot stop quickly.",
7,Vehicle Ownership & Responsibilities,"If a vehicle has airbags, should occupants still use seat belts?","a:Seat belts do not need to be worn.,b:Seat belts should be worn behind the back.,c:Seat belts should still be worn.",c,"Airbags are designed to work together with seat belts, not replace them. Seat belts keep you properly positioned so the airbag can protect you and help prevent you from being thrown from the vehicle in a crash.",difficult
