section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If you see an emergency vehicle with flashing lights behind you while driving in a city, you should:","a:Drive to the right edge of the road and slow down.,b:Drive to the right edge of the road and stop.,c:Stay in your lane, slow down, and let it pass.",b,"When an emergency vehicle with flashing lights and siren approaches from behind, you must yield the right‑of‑way by pulling as close as safely possible to the right edge of the road and stopping until it has passed. If you are in an intersection, clear the intersection first, then pull over and stop.",easy
5,Driving in Special Conditions,"When driving at night, what should you do to increase safety?","a:Always use your high beams.,b:Look directly at the headlights of an oncoming vehicle.,c:Increase your following distance.",c,"At night, visibility is reduced and it is harder to judge distances, so you should increase your following distance to give yourself more time to react. Use high beams only when appropriate and never look directly into oncoming headlights.",easy
5,Driving in Special Conditions,"When driving in fog, which headlights should you use?","a:Low beam headlights.,b:Four-way flashers.,c:High beam headlights.",a,"Use low beam headlights in fog because their light pattern aims down toward the road and reduces glare. High beams reflect off water droplets in fog, rain, or snow and bounce back into your eyes, making it harder to see. Four-way flashers are for breakdowns or emergencies, not for normal driving in fog.",easy
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, you should:","a:Turn off the ignition.,b:Brake as hard as possible.,c:Ease up on the gas pedal.",c,"If your vehicle begins to skid, gently ease off the accelerator (and the brakes if you were braking) so the tires can regain traction. Sudden braking or turning can make the skid worse. As you ease off the gas, look and steer in the direction you want the front of the vehicle to go until you regain control.",medium
3,"Signs, Signals & Road Markings","On a multilane road, a solid yellow line beside a dashed yellow line means:","a:Passing is permitted only from the direction next to the dashed line.,b:Passing is permitted from both directions.,c:Passing is prohibited from both directions.",a,"Where a solid and a dashed yellow centerline appear together, traffic adjacent to the dashed line may cross to pass; traffic adjacent to the solid line may not.",medium
8,Special Situations & Road Users,Which of these vehicle types is NOT required to stop before crossing any railroad grade crossing in Tennessee?,"a:Taxis.,b:School or church buses.,c:Farm trucks hauling produce.",a,Vehicles such as school buses and certain buses or trucks carrying passengers or hazardous materials must stop at all railroad crossings. Ordinary taxis are not in this category and are not required to stop at every crossing unless a traffic control device or law at that specific crossing requires it.,medium
2,Traffic Laws & Rules of the Road,When entering an interstate highway you should:,"a:Stop, check for cars, and enter when safe.,b:Check for cars and reduce your speed to 25 mph before entering the traffic lane.,c:Check for cars, increase your speed to match the flow of traffic, and merge when the way is clear.",c,"When entering an interstate, use the entrance and acceleration lane to check traffic, signal, and increase your speed to match the flow of traffic. Merge smoothly when there is a safe gap; stopping on the ramp is dangerous except in an emergency or if traffic is stopped.",medium
7,Vehicle Ownership & Responsibilities,"If your vehicle becomes disabled on the highway, you should:","a:Stop where you are.,b:Park with all four wheels off the traveled highway, if possible.,c:Stop in the right lane.",b,"If your vehicle becomes disabled, you should move it as far off the traveled portion of the highway as possible, ideally with all four wheels off the roadway. This reduces the risk of being hit by passing traffic and keeps the lane clear for other drivers.",medium
2,Traffic Laws & Rules of the Road,You should signal continuously when turning because:,"a:Is illegal to turn off your signal before completing a turn.,b:It lets other drivers know what your intentions are.,c:Is always unsafe to turn off a signal before completing a turn.",b,"You should keep your turn signal on continuously through the turn or lane change so others clearly understand what you are about to do. Signaling the whole time helps nearby drivers, cyclists, and pedestrians predict your path and adjust their speed or position to avoid conflicts.",easy
3,"Signs, Signals & Road Markings",A flashing yellow signal at an intersection means you should:,"a:Slow down and proceed with caution.,b:Wait for a green light before proceeding.,c:Stop before crossing the intersection.",a,"A flashing yellow signal means you must slow down and proceed with caution, not stop and not wait for green. Look carefully for cross traffic, pedestrians, and other hazards, and continue only when it is safe.",easy
5,Driving in Special Conditions,How should you adjust driving on gravel or dirt surfaces?,"a:Your tires grip better than on pavement.,b:You have less traction than on pavement, so slow down.,c:Visibility is better than on pavement.",b,"On gravel or dirt, your tires have less traction and your stopping distance increases. Slow down, avoid sudden steering or braking, and increase your following distance to maintain control.",medium
6,"Alcohol, Drugs & Impaired Driving","As your blood alcohol concentration increases, you become:","a:More intoxicated.,b:More coordinated.,c:More sober.",a,"As your blood alcohol concentration (BAC) increases, you become more impaired. Even small increases in BAC reduce judgment, slow reaction time, and affect coordination, making driving increasingly dangerous.",easy
5,Driving in Special Conditions,"During rainy weather, when should you be most cautious when turning or stopping?","a:One half hour after it stops raining.,b:During the first half hour of rain.,c:After it has been raining all day.",b,"The road is most slippery during the first part of a rainstorm because oil and residue on the road surface mix with the water before being washed away. During this time, you should be especially cautious when turning or stopping.",medium
7,Vehicle Ownership & Responsibilities,"If you are the operator involved in a reportable crash, within how many days must you file a report with the Department of Safety and Homeland Security?","a:48 hours.,b:20 days.,c:10 days.",b,"In Tennessee, if you are an operator or owner involved in a reportable crash, you must file the required crash report with the Department of Safety and Homeland Security within 20 days. Failing to report within the required time can lead to penalties or license consequences.",medium
4,Safe & Defensive Driving Practices,"If the rear of your car starts skidding to the left, what is the correct steering action?","a:Steer to the right.,b:Steer to the left.,c:Tap your brakes lightly and shift into neutral.",b,"When the rear of your vehicle skids, you should steer in the same direction that the rear is skidding. If the rear moves left, steer left; if it moves right, steer right. This helps realign the vehicle with your intended path. Avoid hard braking or sudden steering, which can cause you to lose further control.",medium
2,Traffic Laws & Rules of the Road,When is it illegal to make a U-turn near a curve or hill?,"a:When you cannot see clearly for at least 500 feet in each direction.,b:When you can see at least 500 feet in each direction.,c:When there are no vehicles behind you.",b,"You must not make a U‑turn on or near a curve or hill where you cannot see traffic coming from both directions for a sufficient distance, typically at least 500 feet. Good visibility in both directions is required so you have enough time and space to complete the turn safely without surprising oncoming drivers.",easy
