section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which of the following is true about passing another vehicle?,"a:You may pass another vehicle on a hill or in a curve.,b:You may pass another vehicle by using the shoulder of the highway.,c:You may pass only where it is legal and safe to do so.",c,Never pass on a hill or curve where you cannot see oncoming traffic; do not use the shoulder. Pass only where it is legal and safe.,medium
5,Driving in Special Conditions,"When driving in fog, should you use high beam headlights?","a:True,b:False",b,Use low-beam headlights in fog; high beams reflect off the fog and reduce visibility.,easy
3,"Signs, Signals & Road Markings","When approaching a steady green traffic light, what should drivers do?","a:Proceed if the intersection is clear, yielding to pedestrians and vehicles in the intersection.,b:Treat the intersection like a four-way stop.,c:Stop if a police officer is nearby.",a,"On a steady green, you may go if the way is clear, but must yield to pedestrians and any vehicles still in the intersection; be prepared to stop if the light changes.",easy
6,"Alcohol, Drugs & Impaired Driving",Lack of sleep affects your driving ability in a way similar to which of the following?,"a:The effect that amphetamines have.,b:The effect that alcohol has.,c:The effect that anger has.,d:None of the above.",b,"Fatigue impairs driving in a manner comparable to alcohol. For example, being awake 18 hours can impair driving similar to a BAC of about 0.05%, and 24 hours awake is similar to about 0.10%.",medium
4,Safe & Defensive Driving,Using both lap and shoulder belts together increases survival in a crash. True or false?,"a:True,b:False",a,Properly worn lap and shoulder belts together provide the most protection and reduce the risk of serious injury or death in crashes.,easy
2,Traffic Laws & Rules of the Road,Is it legal to cross a double solid yellow centerline to pass?,"a:If there is no oncoming traffic.,b:Yes.,c:No.",c,Two solid yellow lines mean neither lane may cross to pass; you may cross only to turn into a driveway or side road where permitted.,medium
4,Safe & Defensive Driving Practices,What is the single most effective thing you can do to reduce injury risk in a crash?,"a:Stay in the right lane on multilane highways.,b:Limit your driving to weekdays.,c:Wear your seat belt.",c,Wearing a seat belt is the most effective way to reduce the risk of death or serious injury in a crash.,easy
4,Safe & Defensive Driving,What characterizes a good defensive driver?,"a:Looks out for actions of other drivers and anticipates problems.,b:Drives slowly at all times.,c:Travels at a constant speed regardless of conditions.",a,"A good defensive driver stays alert to others' behaviors, anticipates hazards, and adapts speed and position to remain safe.",easy
2,Traffic Laws & Rules of the Road,Is the posted maximum speed limit always the fastest you can legally drive under any conditions?,"a:True,b:False",b,"The posted maximum speed is for ideal conditions; you must reduce speed when conditions (weather, visibility, traffic) require it.",medium
6,"Alcohol, Drugs & Impaired Driving",Taking drugs together with alcohol typically:,"a:Lessens the effect of alcohol on your ability to drive.,b:Is no more dangerous than consuming alcohol by itself.,c:Increases the risk of causing a crash.",c,Combining drugs and alcohol can multiply impairment and increase the likelihood of a crash.,difficult
6,"Alcohol, Drugs & Impaired Driving",Which types of drugs can affect your driving ability?,"a:Only illegal narcotics.,b:Only prescription drugs.,c:Both over-the-counter and prescription drugs, as well as illegal drugs.,d:Only allergy medicines.",c,"Many legal and illegal drugs, including prescription and over-the-counter medications, can impair driving and make it unsafe.",medium
2,Traffic Laws & Rules of the Road,"You cannot pass safely on a two-way, two-lane street unless you can:","a:Return to your lane before meeting oncoming traffic.,b:Your vehicle is capable of the speed necessary to pass.,c:Clearly see the road ahead so you can complete the pass safely.",c,"You should only pass when you can clearly see the road ahead, can return to your lane before meeting oncoming traffic, and your vehicle can safely complete the pass.",difficult
3,"Signs, Signals & Road Markings",Drivers may not pass from either side of which centerline type?,"a:Double solid yellow,b:Single broken yellow,c:Combination solid and broken yellow",a,A double solid yellow centerline prohibits passing by traffic from either direction.,easy
7,Vehicle Ownership & Responsibilities,Who is required to use seat belts in Minnesota?,"a:Only the driver.,b:All vehicle occupants as required by law.,c:Only child passengers.,d:Only passengers in the front seat.",b,Minnesota law requires seat belt use; vehicles must be equipped with seat belts and occupants must use them as required.,easy
8,Special Situations & Road Users,"When you hear or see an emergency vehicle approaching on a divided multilane highway, what must you do?","a:Ignore the signal if other lanes are free.,b:Stop immediately where you are.,c:Slow, provide a clear path by moving if safe, and stop if necessary.,d:Speed up to clear the lane.",c,"If you see or hear an emergency vehicle, slow and move safely to allow a clear path and stop if necessary so the emergency vehicle can pass.",easy
4,Safe & Defensive Driving,"When passing a vehicle that has just parked on the side of the road, what should you assume?","a:The driver may open their door, so use extra caution.,b:Speed up to pass quickly.,c:Slam on your brakes as you approach.",a,Assume doors may open; pass slowly and give space when passing parked vehicles to avoid striking someone exiting.,easy
2,Traffic Laws & Rules of the Road,"When passing on a multilane highway, what must you ensure?","a:The passing lane is clear and it is safe to change lanes.,b:You may only pass on the right.,c:Watch for oncoming traffic in the opposite direction.",a,"Before passing on a multilane highway, confirm the lane you will use is clear and signal before changing lanes.",easy
