section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If an emergency vehicle is approaching with flashing lights and/or siren, what should you do?","a:Speed up to get out of its way without pulling over.,b:Continue as normal because they will find another route.,c:Stop in the travel lane and block passage.,d:Make every reasonable effort to give the emergency vehicle a clear path",d,Yield to emergency vehicles by pulling to the side and stopping if necessary to provide a clear path for them to pass.,easy
4,Safe & Defensive Driving Practices,Many crashes are caused by which of the following?,"a:Drivers consistently checking their mirrors,b:Driving too fast for the conditions,c:Drivers yielding the right-of-way",b,Traveling at speeds too high for the conditions reduces reaction time and increases crash likelihood; always adjust speed to conditions.,easy
2,Traffic Laws & Rules of the Road,When must you stop your vehicle?,"a:Only if another car is waiting at the intersection.,b:Only during rush hour.,c:If a pedestrian is nearby even without a crosswalk.,d:At stop signs",d,"You are required to stop at intersections with stop signs, at red lights, and whenever a traffic officer directs you to stop.",easy
2,Traffic Laws & Rules of the Road,"When you see a 'Merging traffic' sign on a multilane road, what should you do?","a:Always stay at your current speed regardless of traffic.,b:Stop immediately to let them in.,c:Make room for entering vehicles by changing lanes when safe.,d:Honk to warn merging drivers.",c,"On multilane roads, move over when safe to allow entering traffic to merge smoothly and avoid creating a bottleneck.",easy
6,"Alcohol, Drugs & Impaired Driving",How does alcohol affect driving performance?,"a:It has no effect if you feel sober.,b:It slows reflexes and reaction time.,c:It improves focus and alertness.,d:It wakes you up and sharpens judgment.",b,Alcohol is a depressant that slows brain activity and impairs the skills needed for safe driving.,easy
2,Traffic Laws & Rules of the Road,How should you approach an uncontrolled intersection?,"a:Yield to vehicles approaching from your right, slow down, cover the brake, and look in all directions,b:Maintain speed and proceed,c:Assume you have the right-of-way and go first",a,"At intersections with no signs or signals, yield to the vehicle on your right and be prepared to stop to avoid collisions.",medium
3,"Signs, Signals & Road Markings",What does a flashing yellow traffic light mean?,"a:Proceed with caution.,b:Merging traffic.,c:Pedestrian crossing.",a,A flashing yellow light means you should slow down and proceed with caution.,easy
4,Safe & Defensive Driving Practices,How does increasing your speed affect your field of vision?,"a:It decreases your field of vision making hazards harder to detect.,b:It increases your field of vision.,c:It makes it easier to see cross traffic.,d:It does not affect vision at all.",a,"As speed increases, your usable field of vision narrows, so you must be extra alert to hazards.",medium
5,Driving in Special Conditions,Which steps help you drive more safely at night?,"a:Drive faster to reduce exposure time.,b:Increase following distance,c:Use high beams all the time.,d:Use only your parking lights.",b,"Night driving reduces visibility; increase following distance, avoid driving when tired, and ensure headlights are functional.",medium
2,Traffic Laws & Rules of the Road,Which traffic signal gives you the right-of-way to turn left without yielding to oncoming traffic?,"a:A steady red light.,b:A flashing yellow light.,c:A green arrow pointing left.,d:A solid green light.",c,A steady green arrow indicates you may proceed in the direction of the arrow with oncoming traffic stopped for the turning movement.,easy
8,Special Situations & Road Users,Who must yield when a driver is turning and a pedestrian is crossing where there is no traffic light?,"a:Whoever started moving last.,b:The driver only if the pedestrian is in a marked crosswalk.,c:The pedestrian must yield to the turning vehicle.,d:The driver must yield to the pedestrian.",a,Drivers must yield to pedestrians crossing at intersections without traffic signals; pedestrians have the right-of-way in these situations.,easy
2,Traffic Laws & Rules of the Road,"When passing on a multilane highway, what must you ensure before moving into the passing lane?","a:The passing lane is clear and you have signaled your intention.,b:You can pass only on the right.,c:There is no one in the opposite lane.,d:Your passenger opens the door to signal intent.",a,"Before passing, confirm the lane is clear and signal to notify other drivers of your lane change.",easy
2,Traffic Laws & Rules of the Road,"At an unmarked T intersection, who must yield?","a:All vehicles must stop and the first to stop has right-of-way.,b:Traffic on the road that ends at the T must yield to through traffic.,c:Drivers on the right always have the right-of-way.,d:The larger vehicle always yields.",b,"At an unmarked T, vehicles on the road that ends must yield to traffic on the through road.",medium
2,Traffic Laws & Rules of the Road,A Reduced speed 35 mph sign means:,"a:You have ample time to slow down after the sign.,b:The reduced speed starts at the next sign only.,c:The new 35 mph speed limit begins at the sign.,d:The change is optional until enforced by a cop.",c,A posted reduced speed sign indicates that the new speed limit takes effect at the sign itself.,easy
4,Safe & Defensive Driving Practices,"When turning or changing lanes, what must you always do?","a:Signal only if traveling at high speed.,b:Signal your intentions in advance,c:Signal only when other vehicles are present.,d:Signal only in daylight.",b,Signaling before lane changes or turns is required by law and is a good safety habit.,easy
2,Traffic Laws & Rules of the Road,"If an intersection is blocked by traffic ahead, what should you do?","a:Use the shoulder to get around the queued vehicles.,b:Stay out of the intersection until you can fully clear it.,c:Get as close as possible to the car ahead and wait.,d:Enter slowly and inch through the blockage.",b,Do not enter an intersection unless you can fully clear it; blocking intersections impedes traffic flow and is unsafe.,easy
6,"Alcohol, Drugs & Impaired Driving",Being awake for 18 hours impairs driving similarly to having what BAC?,"a:0.20 percent — extreme impairment.,b:About 0.05 percent,c:No BAC equivalent exists.,d:0.00 percent — no impairment.",b,Fatigue impairs driving akin to alcohol; being awake 18 hours roughly equals a BAC of 0.05% impairment.,difficult
5,Driving in Special Conditions,"When you meet a car with high, blinding headlights, what is the best action?","a:Speed up to pass quickly.,b:Look toward the right edge of the road until the other car passes.,c:Use your high beams until they dim theirs.,d:Flash your headlights to warn the other driver.",b,"If an oncoming vehicle has its high beams on, avert your eyes toward the right side of the road so you are not blinded.",easy
4,Safe & Defensive Driving Practices,When should you drive below the posted speed limit?,"a:Only when you see a police car.,b:Whenever conditions such as wet roads,c:Only when entering a busy highway.",b,"You must reduce speed below the posted limit when conditions (weather, visibility, road surface) make the posted speed unsafe.",easy
2,Traffic Laws & Rules of the Road,"When the center line is a solid yellow next to a broken yellow on your side, when may you pass?","a:Only in emergencies.,b:Only if you are on an expressway.,c:You may pass if the broken line is next to your lane and traffic is clear.",c,"If the broken yellow line is next to your lane, you may cross it to pass when there is no oncoming traffic and it is safe to do so.",easy
