section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"Approaching an uncontrolled intersection, you should:","a:Yield to a vehicle coming from your right and be prepared to stop.,b:Maintain your speed and proceed.,c:Expect other drivers to yield to you.,d:Stop regardless of other traffic.",a,"At intersections without signs or signals, yield to the vehicle on your right and be ready to stop to avoid a collision.",medium
3,"Signs, Signals & Road Markings",Lines separating traffic moving in opposite directions are what color?,"a:Yellow,b:White,c:Black",a,Yellow lines are used to divide traffic moving in opposite directions.,easy
5,Driving in Special Conditions,Which lights should you use to improve visibility in rain or fog?,"a:Low beam headlights.,b:High beam headlights.,c:Parking lights only.",a,Low beam headlights improve your visibility to others and reduce glare in rain or fog; do not use high beams.,easy
6,"Alcohol, Drugs & Impaired Driving",What is the effect of combining drugs with alcohol on driving risk?,"a:It increases the chance of causing a crash.,b:It lessens alcohol's effect on driving.,c:It is no more dangerous than alcohol alone.",a,"Drugs—including illegal, prescription, and over-the-counter medicines—can impair driving; combined with alcohol they increase crash risk.",easy
8,Special Situations & Road Users,"When you see an emergency vehicle using flashing lights, what action must you take?","a:Pull to the curb or road edge and stop until it passes.,b:Move into the right lane and drive slowly until it passes.,c:Maintain speed and stay in your lane.",a,"When an emergency vehicle is approaching with flashing lights or siren, pull right and stop until it passes.",easy
1,Licensing & Permit Requirements,A driver license should be considered a:,"a:Right.,b:Requirement.,c:Privilege.,d:Guarantee.",c,Driving is a privilege granted by the state and can be suspended or revoked for unsafe or unlawful behavior.,easy
8,Special Situations & Road Users,Which statement about blind spots is true?,"a:Large trucks have bigger blind spots than most passenger vehicles.,b:They are eliminated if you have two outside mirrors.,c:You can check blind spots with rearview mirrors alone.",a,Blind spots are areas not visible in mirrors; large trucks have much larger blind spots than passenger cars.,medium
2,Traffic Laws & Rules of the Road,"In a roundabout, what is the correct action for entering traffic?","a:Yield to traffic already in the roundabout.,b:Yield to entering traffic.,c:Drive clockwise around the central island.",a,Entering motorists must yield to traffic already using the roundabout and proceed counterclockwise around the central island.,medium
2,Traffic Laws & Rules of the Road,"If you want to enter the freeway but cannot find a gap in traffic, what should you do on the ramp?","a:Maintain your speed and force the other drivers to create a gap.,b:Slow down on the ramp to wait for a gap.,c:Stop at the end of the ramp to wait for a gap.",b,"If no gap is available, slow down on the ramp and wait for a safe space to merge; do not stop at the end of the ramp.",medium
8,Special Situations & Road Users,Why should you be particularly cautious when passing a bicycle?,"a:The bicycle always has the right-of-way.,b:Oncoming traffic may not see you pull out to pass the bicycle.,c:You are moving faster than the bicycle.",b,"When passing bicyclists, be aware they may swerve to avoid hazards and oncoming traffic may not expect you to move out to pass.",medium
4,Safe & Defensive Driving Practices,"When traveling to an unfamiliar area, you should:","a:Plan your route in advance.,b:Rely only on road signs to find your way.,c:Only have a general idea of where you're going.,d:Depend solely on a passenger to give directions.",a,Plan your trip before you go so you are not distracted or uncertain while driving in unfamiliar areas.,easy
2,Traffic Laws & Rules of the Road,"If a traffic signal shows a red light but a green arrow in the direction you want to go, when may you proceed?","a:Only after coming to a complete stop.,b:Only after the light changes to green.,c:If you are in the proper lane and the intersection is clear.",c,"If a green arrow is displayed in your lane, you may proceed in the arrow's direction after yielding to any vehicles or pedestrians still in the intersection.",medium
6,"Alcohol, Drugs & Impaired Driving",How does alcohol affect your driving skills and judgment?,"a:Improves skills but harms judgment.,b:Harms both driving skills and judgment.,c:Has no effect.,d:Only affects judgment.",b,"Alcohol impairs vision, reaction time, coordination, and judgment, reducing your ability to drive safely.",easy
2,Traffic Laws & Rules of the Road,"When approaching a heavy truck from behind uphill, what should you expect?","a:The truck may be traveling slower than the posted speed limit and passing may be unsafe,b:The truck will always move to the right to let you pass,c:You can safely pass on a hill if the lane is clear,d:The truck must pull over to let faster cars pass",a,Large vehicles often slow on hills; passing on hills with limited visibility is dangerous and often illegal.,medium
2,Traffic Laws & Rules of the Road,When may you pass another vehicle?,"a:If your lane is next to a solid yellow line — never, this is prohibited,b:On a hill or curve where you can see well ahead,c:By using the shoulder of the highway,d:When the passing lane is clear and the centerline permits passing",d,Do not pass on hills or curves or by using the shoulder; only pass where centerline markings and visibility allow and it's safe.,difficult
7,Vehicle Ownership & Responsibilities,"If you must park in an area not normally used for parking, what should you ensure?","a:Park five feet from the curb.,b:Park with your reverse lights on.,c:Make sure your vehicle is visible to drivers approaching from any direction.",c,Park so your vehicle does not create a hazard and is visible to approaching drivers from all directions.,easy
6,"Alcohol, Drugs & Impaired Driving",How can you avoid alcohol-related crashes?,"a:Decide before you start drinking that you will not drive.,b:Simply refuse a drink when offered while already drinking.,c:Drive but call a friend if needed.",a,Deciding ahead not to drive if you plan to drink is the only reliable way to avoid alcohol-related crashes.,easy
5,Driving in Special Conditions,"If your vehicle starts to hydroplane on water, should you immediately apply the brakes?","a:True,b:False",b,"If you hydroplane, release the accelerator and allow the vehicle to slow; do not immediately apply the brakes.",medium
8,Special Situations & Road Users,"When following a motorcycle, you should allow extra space in front of your vehicle because:","a:Station wagons need extra space.,b:Passenger vehicles need more stopping room.,c:Motorcycles can stop quickly and are harder to see.",c,"Motorcycles can stop more quickly than cars and are harder to see, so allow extra space to stop safely.",easy
8,Special Situations & Road Users,May you drive around or under a moving railroad gate?,"a:No — never drive around or under a lowering or raising gate,b:Yes if the train is far away,c:Yes if you are in a hurry,d:Yes if there is no warning light",a,Do not drive around or under a gate that is moving up or down; wait until lights stop and gates are fully raised.,easy
2,Traffic Laws & Rules of the Road,"At a yield sign, what should you do?","a:Always come to a full stop.,b:Slow down and yield to traffic and pedestrians.,c:Yield only to vehicles on your left.,d:Speed up to merge.",b,A yield sign means slow down and give the right-of-way to any vehicle or pedestrian already in the roadway you wish to enter.,easy
2,Traffic Laws & Rules of the Road,When may you use a High Occupancy Vehicle (HOV) lane?,"a:Only if your vehicle has the required minimum number of occupants.,b:If you are driving faster than the flow of traffic.,c:If you are a single occupant and the lane is empty.,d:When you are carrying hazardous materials.",a,HOV lanes are restricted to vehicles meeting the minimum occupancy requirement shown on the signs.,easy
5,Driving in Special Conditions,"When driving through a construction zone, you should:","a:Stop to look at the workers.,b:Reduce following distance.,c:Pass carefully and avoid slowing to “rubberneck.”,d:Weave through traffic to get ahead.",c,Do not slow down to stare at incidents; proceed safely and maintain an appropriate following distance and speed through work zones.,medium
5,Driving in Special Conditions,Which surface is most likely to freeze before the rest of the road?,"a:A bridge or overpass.,b:An intersection.,c:A downhill slope.,d:A parking lot.",a,Bridges and overpasses are exposed to air on all sides and often freeze earlier and thaw later than regular pavement.,easy
